a thriller set in modern day seattle , that marked marky mark's migration from the " good vibrations " and " calvin klein undie ad " guy , to mark wahlberg , thespian-at-large , and a mighty good one at that . 	Translation	Positive	Negative	EmotionRationale
plot : boy ( wahlberg ) meets girl ( witherspoon ) . 	plot : boy ( wahlberg ) meets girl ( witherspoon ) .	1	-1	 plot[0] boy[0] wahlberg[0] meets[0] girl[0] witherspoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy likes girl . 	boy likes girl .	3	-1	 boy[0] likes[2] girl[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
girl likes boy . 	girl likes boy .	3	-1	 girl[0] likes[2] boy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
boy and girl begin dating . 	boy and girl begin dating .	1	-1	 boy[0] and[0] girl[0] begin[0] dating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
parents of girl aren't crazy about the boy . 	parents of girl aren't crazy about the boy .	2	-1	 parents[0] of[0] girl[0] aren't[0] crazy[-1][NegatedDueToPreviousWord] about[0] the[0] boy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
girl steps to boy's defense . 	girl steps to boy's defense .	1	-1	 girl[0] steps[0] to[0] boy's[0] defense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
family problems occur . 	family problems occur .	1	-2	 family[0] problems[-1] occur[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
girl learns more about the boy . 	girl learns more about the boy .	1	-1	 girl[0] learns[0] more[0] about[0] the[0] boy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy goes nuts . 	boy goes nuts .	1	-1	 boy[0] goes[0] nuts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fun ensues . 	fun ensues .	2	-1	 fun[1] ensues[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : ever wonder what would happen if your better half turned out to be someone other than the person that you had come to cherish and love ? 	critique : ever wonder what would happen if your better half turned out to be someone other than the person that you had come to cherish and love ?	3	-1	 critique[0] ever[0] wonder[0] what[0] would[0] happen[0] if[0] your[0] better[0] half[0] turned[0] out[0] to[0] be[0] someone[0] other[0] than[0] the[0] person[0] that[0] you[0] had[0] come[0] to[0] cherish[2] and[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
well , if you ever have , then this film is definitely for you . 	well , if you ever have , then this film is definitely for you .	1	-1	 well[0] if[0] you[0] ever[0] have[0] then[0] this[0] film[0] is[0] definitely[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it isn't the most original premise in the world , but it is handled pretty well here , and pretty quickly for that matter ( a speedy 90 minutes ) . 	it isn't the most original premise in the world , but it is handled pretty well here , and pretty quickly for that matter ( a speedy 90 minutes ) .	3	-1	 it[0] isn't[0] the[0] most[0] original[0] premise[0] in[0] the[0] world[0] but[0] it[0] is[0] handled[0] pretty[2] well[0] here[0] and[0] pretty[2] quickly[0] for[0] that[0] matter[0] a[0] speedy[0] 90[0] minutes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i think one of the main reasons this film worked for me is the groundbreaking performance by mark wahlberg ( of boogie nights infamy ( 7 . 5/10 ) . 	i think one of the main reasons this film worked for me is the groundbreaking performance by mark wahlberg ( of boogie nights infamy ( 7 .<br> 5/10 ) .	1	-1	 i[0] think[0] one[0] of[0] the[0] main[0] reasons[0] this[0] film[0] worked[0] for[0] me[0] is[0] the[0] groundbreaking[0] performance[0] by[0] mark[0] wahlberg[0] of[0] boogie[0] nights[0] infamy[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
