any movie about the underground music scene is a difficult beast to master . 	Translation	Positive	Negative	EmotionRationale
any meaning found in the underground is usually lost by the dumbing-down of the experience to make it " more accessible " to the general public . 	any meaning found in the underground is usually lost by the dumbing-down of the experience to make it " more accessible " to the general public .	1	-2	 any[0] meaning[0] found[0] in[0] the[0] underground[0] is[0] usually[0] lost[0] by[0] the[0] dumbing[-1] down[0] of[0] the[0] experience[0] to[0] make[0] it[0] more[0] accessible[0] to[0] the[0] general[0] public[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or the film is produced and directed by people that have about enough understanding of the subject matter that they ought to work as production assistants for vh1 . 	or the film is produced and directed by people that have about enough understanding of the subject matter that they ought to work as production assistants for vh1 .	1	-1	 or[0] the[0] film[0] is[0] produced[0] and[0] directed[0] by[0] people[0] that[0] have[0] about[0] enough[0] understanding[0] of[0] the[0] subject[0] matter[0] that[0] they[0] ought[0] to[0] work[0] as[0] production[0] assistants[0] for[0] vh1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
human traffic , a new film exploring the british underground party/rave scene and the people immersed in the world of clubbing , pubbing , drugs , sex , and the beautiful , beautiful music , is an example of how it really ought to be done . 	human traffic , a new film exploring the british underground party/rave scene and the people immersed in the world of clubbing , pubbing , drugs , sex , and the beautiful , beautiful music , is an example of how it really ought to be done .	4	-1	 human[0] traffic[0] a[0] new[0] film[0] exploring[0] the[0] british[0] underground[0] party/rave[0] scene[0] and[0] the[0] people[0] immersed[0] in[0] the[0] world[0] of[0] clubbing[0] pubbing[0] drugs[0] sex[0] and[0] the[0] beautiful[2] beautiful[2][+1 MultiplePositiveWords] music[0] is[0] an[0] example[0] of[0] how[0] it[0] really[0] ought[0] to[0] be[0] done[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the film follows five brits in their young twenties during a wild weekend of parties , drugs , dancing , sex , pop culture discussions , relationships , and wanking off in front of a mirror while mum interrupts . 	the film follows five brits in their young twenties during a wild weekend of parties , drugs , dancing , sex , pop culture discussions , relationships , and wanking off in front of a mirror while mum interrupts .	1	-2	 the[0] film[0] follows[0] five[0] brits[0] in[0] their[0] young[0] twenties[0] during[0] a[0] wild[0] weekend[0] of[0] parties[0] drugs[0] dancing[0] sex[0] pop[0] culture[0] discussions[0] relationships[0] and[0] wanking[0] off[0] in[0] front[0] of[0] a[0] mirror[0] while[0] mum[0] interrupts[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast of character consists of jip ( john simm ) , our narrator , who has a bit of a problem with his willy , known as mr . floppy . 	the cast of character consists of jip ( john sim ) , our narrator , who has a bit of a problem with his wily , known as mr .<br> floppy .	1	-2	 the[0] cast[0] of[0] character[0] consists[0] of[0] jip[0] john[0] simm/sim[0] our[0] narrator[0] who[0] has[0] a[0] bit[0] of[0] a[0] problem[-1] with[0] his[0] willy/wily[-1] known[0] as[0] mr[0] [[Sentence=-2,1=word max, 1-5]] floppy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
koop ( shaun parkes ) , our black dj maestro , who has insecurity issues , afraid his girlfriend nina ( nicola reynolds ) is shagging other men . 	koop ( shaun parkes ) , our black dj maestro , who has insecurity issues , afraid his girlfriend nina ( nicola reynolds ) is shagging other men .	1	-4	 koop[0] shaun[0] parkes[0] our[0] black[0] dj[0] maestro[0] who[0] has[0] insecurity[-1] issues[0] afraid[-3] his[0] girlfriend[0] nina[0] nicola[0] reynolds[0] is[0] shagging[0] other[0] men[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nina herself can't stand her mcjob and longs for the freedom of the weekends . 	nina herself can't stand her mcjob and longs for the freedom of the weekends .	1	-1	 nina[0] herself[0] can't[0] stand[0] her[0] mcjob[0] and[0] longs[0] for[0] the[0] freedom[0] of[0] the[0] weekends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lulu ( lorraine pilkington ) , jip's best mate , is tired of her cheating boyfriends . 	lulu ( lorraine pilkington ) , jip's best mate , is tired of her cheating boyfriends .	2	-3	 lulu[0] lorraine[0] pilkington[0] jip's[0] best[1] mate[1] is[0] tired[-1] of[0] her[0] cheating[-2] boyfriends[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and moff ( danny dyer ) can't seem to escape the black hole of his awful life . 	and moff ( danny dyer ) can't seem to escape the black hole of his awful life .	1	-4	 and[0] moff[0] danny[0] dyer[0] can't[0] seem[0] to[0] escape[0] the[0] black[0] hole[0] of[0] his[0] awful[-3] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film follows these five individuals during one weekend as each of them discovers love , friendship , and self-fulfillment , all against the raging party background . 	the film follows these five individuals during one weekend as each of them discovers love , friendship , and self-fulfilment , all against the raging party background .	3	-4	 the[0] film[0] follows[0] these[0] five[0] individuals[0] during[0] one[0] weekend[0] as[0] each[0] of[0] them[0] discovers[0] love[2] friendship[1] and[0] self[0] fulfillment/fulfilment[0] all[0] against[-1] the[0] raging[-3] party[0] background[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
