i must admit that i was a tad skeptical of " good will hunting " , based both on the previews and the first fifteen minutes of the film , in which the main character will hunting ( matt damon ) , an mit janitor in his early twenties , is discovered to be an einstein-level closet genius when he solves two extraordinarily difficult math problems overnight . 	Translation	Positive	Negative	EmotionRationale
the only problem is that will is a tough street kid who's had his share of run-ins with the law , and before long he's being hauled in for assault after a parking lot fight . 	the only problem is that will is a tough street kid who's had his share of run-ins with the law , and before long he's being hauled in for assault after a parking lot fight .	1	-3	 the[0] only[0] problem[-1] is[0] that[0] will[0] is[0] a[0] tough[-1] street[0] kid[0] who's[0] had[0] his[0] share[0] of[0] run[0] ins[0] with[0] the[0] law[0] and[0] before[0] long[0] he's[0] being[0] hauled[0] in[0] for[0] assault[-2] after[0] a[0] parking[0] lot[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
professor lambeau ( stellan skarsgard ) , who had brought up the math problems in his lectures , tracks him down and strikes a deal with the police : will is to be released , provided he works with lambeau on his math research regularly and attends therapy sessions . 	professor lambeau ( stellan skarsgard ) , who had brought up the math problems in his lectures , tracks him down and strikes a deal with the police : will is to be released , provided he works with lambeau on his math research regularly and attends therapy sessions .	1	-2	 professor[0] lambeau[0] stellan[0] skarsgard[0] who[0] had[0] brought[0] up[0] the[0] math[0] problems[-1] in[0] his[0] lectures[0] tracks[0] him[0] down[0] and[0] strikes[0] a[0] deal[0] with[0] the[0] police[0] will[0] is[0] to[0] be[0] released[0] provided[0] he[0] works[0] with[0] lambeau[0] on[0] his[0] math[0] research[0] regularly[0] and[0] attends[0] therapy[0] sessions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this sounds like the formula for mildly charming fluff , but " good will hunting " rises above its fairly mundane premise to deliver a poignant and clever drama . 	this sounds like the formula for mildly charming fluff , but " good will hunting " rises above its fairly mundane premise to deliver a poignant and clever drama .	2	-2	 this[0] sounds[0] like[1] the[0] formula[0] for[0] mildly[0] charming[1] fluff[0] but[0] good[1] will[0] hunting[0] rises[0] above[0] its[0] fairly[0] mundane[-1] premise[0] to[0] deliver[0] a[0] poignant[0] and[0] clever[0] drama[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a conflict gradually emerges between lambeau and will's therapist sean mcguire ( robin williams ) - lambeau wants to get will to use his brain , while sean wants him to listen to his heart , both of which he has been largely neglecting . 	a conflict gradually emerges between lambeau and will's therapist sean mcguire ( robin williams ) - lambeau wants to get will to use his brain , while sean wants him to listen to his heart , both of which he has been largely neglecting .	1	-2	 a[0] conflict[-1] gradually[0] emerges[0] between[0] lambeau[0] and[0] will's[0] therapist[0] sean[0] mcguire[0] robin[0] williams[0] lambeau[0] wants[0] to[0] get[0] will[0] to[0] use[0] his[0] brain[0] while[0] sean[0] wants[0] him[0] to[0] listen[0] to[0] his[0] heart[0] both[0] of[0] which[0] he[0] has[0] been[0] largely[0] neglecting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will finds that the former is much easier than the latter , so much so , in fact , that he gets bored with it and grows increasingly resistant to lambeau's attempts to recruit him into the academic lifestyle . 	will finds that the former is much easier than the latter , so much so , in fact , that he gets bored with it and grows increasingly resistant to lambeau's attempts to recruit him into the academic lifestyle .	1	-2	 will[0] finds[0] that[0] the[0] former[0] is[0] much[0] easier[0] than[0] the[0] latter[0] so[0] much[0] so[0] in[0] fact[0] that[0] he[0] gets[0] bored[-1] with[0] it[0] and[0] grows[0] increasingly[0] resistant[0] to[0] lambeau's[0] attempts[0] to[0] recruit[0] him[0] into[0] the[0] academic[0] lifestyle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also has his share of problems with his girlfriend skylar ( minnie driver ) , an mit student who is moving to california at the end of the school year and would like a reluctant will to come with her . 	he also has his share of problems with his girlfriend skylar ( minnie driver ) , an mit student who is moving to california at the end of the school year and would like a reluctant will to come with her .	1	-2	 he[0] also[0] has[0] his[0] share[0] of[0] problems[-1] with[0] his[0] girlfriend[0] skylar[0] minnie[0] driver[0] an[0] mit[0] student[0] who[0] is[0] moving[0] to[0] california[0] at[0] the[0] end[0] of[0] the[0] school[0] year[0] and[0] would[0] like[1][-1 LastWordBoosterStrength] a[0] reluctant[-1] will[0] to[0] come[0] with[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what makes " good will hunting " work so well , aside from the strong performances ( especially from damon and williams ) , is the depth of characterization and the representation of the conflicts in will's life . 	what makes " good will hunting " work so well , aside from the strong performances ( especially from damon and williams ) , is the depth of characterization and the representation of the conflicts in will's life .	2	-2	 what[0] makes[0] good[1] will[0] hunting[0] work[0] so[0] well[0] aside[0] from[0] the[0] strong[0] performances[0] especially[0] from[0] damon[0] and[0] williams[0] is[0] the[0] depth[0] of[0] characterization[0] and[0] the[0] representation[0] of[0] the[0] conflicts[-1] in[0] will's[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script's sympathies seem to lie more with sean mcguire than with lambeau , but neither of them is presented as completely right or wrong . 	the script's sympathies seem to lie more with sean mcguire than with lambeau , but neither of them is presented as completely right or wrong .	1	-2	 the[0] script's[0] sympathies[0] seem[0] to[0] lie[0] more[0] with[0] sean[0] mcguire[0] than[0] with[0] lambeau[0] but[0] neither[0] of[0] them[0] is[0] presented[0] as[0] completely[0] right[0] or[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lambeau , while he may seem a little cold at times , is still written well enough that we like him as a character even when we're not sure if we like what he has to say . 	lambeau , while he may seem a little cold at times , is still written well enough that we like him as a character even when we're not sure if we like what he has to say .	2	-2	 lambeau[0] while[0] he[0] may[0] seem[0] a[0] little[0] cold[-1] at[0] times[0] is[0] still[0] written[0] well[0] enough[0] that[0] we[0] like[1] him[0] as[0] a[0] character[0] even[0] when[0] we're[0] not[0] sure[0] if[0] we[0] like[1] what[0] he[0] has[0] to[0] say[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and sean , for all his warm-heartedness , has , as lambeau and later will point out , not lived up to his full intellectual potential either ; the therapy sessions turn out to be just as revelatory for sean as they do for will . 	and sean , for all his warm-heartedness , has , as lambeau and later will point out , not lived up to his full intellectual potential either ; the therapy sessions turn out to be just as revelatory for sean as they do for will .	1	-1	 and[0] sean[0] for[0] all[0] his[0] warm[0] heartedness[0] has[0] as[0] lambeau[0] and[0] later[0] will[0] point[0] out[0] not[0] lived[0] up[0] to[0] his[0] full[0] intellectual[0] potential[0] either[0] the[0] therapy[0] sessions[0] turn[0] out[0] to[0] be[0] just[0] as[0] revelatory[0] for[0] sean[0] as[0] they[0] do[0] for[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
