it's rather strange too have two computer animated talking ant movies come out in a single year , but that is what disney and pixar animation ; s latest film represents . 	Translation	Positive	Negative	EmotionRationale
while a bugs life isn't nearly as deep as it's predecessor , dreamwork's antz , it is just as funny . 	while a bugs life isn't nearly as deep as it's predecessor , dreamwork's antz , it is just as funny .	2	-1	 while[0] a[0] bugs[0] life[0] isn't[0] nearly[0] as[0] deep[0] as[0] it's[0] predecessor[0] dreamwork's[0] antz[0] it[0] is[0] just[0] as[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a bug's life centers , appropriately , around the life of an ant , named flik . 	a bug's life centers , appropriately , around the life of an ant , named flik .	1	-1	 a[0] bug's[0] life[0] centers[0] appropriately[0] around[0] the[0] life[0] of[0] an[0] ant[0] named[0] flik[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
flik , cutely voiced by newsradio's david foley , hates sticking too tradition and attempts too find new ways of harvesting food and other task . 	flik , cutely voiced by newsradio's david foley , hates sticking too tradition and attempts too find new ways of harvesting food and other task .	2	-4	 flik[0] cutely[1] voiced[0] by[0] newsradio's[0] david[0] foley[0] hates[-3] sticking[0] too[0] tradition[0] and[0] attempts[0] too[0] find[0] new[0] ways[0] of[0] harvesting[0] food[0] and[0] other[0] task[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when one of his inventions causes the offering too be completely lost , the leaders of the colony send him out on a mission too get him out of the way . 	when one of his inventions causes the offering too be completely lost , the leaders of the colony send him out on a mission too get him out of the way .	1	-1	 when[0] one[0] of[0] his[0] inventions[0] causes[0] the[0] offering[0] too[0] be[0] completely[0] lost[0] the[0] leaders[0] of[0] the[0] colony[0] send[0] him[0] out[0] on[0] a[0] mission[0] too[0] get[0] him[0] out[0] of[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the offering is food that a vile group of grasshoppers force the ants too harvest for them . 	the offering is food that a vile group of grasshoppers force the ants too harvest for them .	1	-4	 the[0] offering[0] is[0] food[0] that[0] a[0] vile[-3] group[0] of[0] grasshoppers[0] force[-1] the[0] ants[0] too[0] harvest[0] for[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the leader of the grasshoppers is hopper , who is fiendishly voiced by oscar winner kevin spacey . 	the leader of the grasshoppers is hopper , who is fiendishly voiced by oscar winner kevin spacey .	2	-1	 the[0] leader[0] of[0] the[0] grasshoppers[0] is[0] hopper[0] who[0] is[0] fiendishly[0] voiced[0] by[0] oscar[0] winner[1] kevin[0] spacey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when the offering is lost hopper is very upset and he vows to return shortly too retrieve double the amount of food . 	when the offering is lost hopper is very upset and he vows to return shortly too retrieve double the amount of food .	1	-4	 when[0] the[0] offering[0] is[0] lost[0] hopper[0] is[0] very[0] upset[-2][-1 LastWordBoosterStrength] and[0] he[0] vows[0] to[0] return[0] shortly[0] too[0] retrieve[0] double[0] the[0] amount[0] of[0] food[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when the leaders of the ant colony send flik out on his mission , they never dream he will be successful , they just hope they can get him out of the way so they can harvest the extra food . 	when the leaders of the ant colony send flik out on his mission , they never dream he will be successful , they just hope they can get him out of the way so they can harvest the extra food .	3	-1	 when[0] the[0] leaders[0] of[0] the[0] ant[0] colony[0] send[0] flik[0] out[0] on[0] his[0] mission[0] they[0] never[0] dream[0] he[0] will[0] be[0] successful[2] they[0] just[0] hope[2][-1 LastWordBoosterStrength] they[0] can[0] get[0] him[0] out[0] of[0] the[0] way[0] so[0] they[0] can[0] harvest[0] the[0] extra[0] food[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
flik's mission is too hire some warrior bugs too fight off the grasshoppers when they return . 	flik's mission is too hire some warrior bugs too fight off the grasshoppers when they return .	1	-3	 flik's[0] mission[0] is[0] too[0] hire[0] some[0] warrior[0] bugs[0] too[0] fight[-2] off[0] the[0] grasshoppers[0] when[0] they[0] return[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead flik accidentally hires circus performing bugs , who he mistakenly assumes are warriors . 	instead flik accidentally hires circus performing bugs , who he mistakenly assumes are warriors .	1	-2	 instead[0] flik[0] accidentally[-1] hires[0] circus[0] performing[0] bugs[0] who[0] he[0] mistakenly[-1] assumes[0] are[0] warriors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he returns with the  warriors' , the town is ecstatic until they find out the truth about their heroes . 	when he returns with the  warriors' , the town is ecstatic until they find out the truth about their heroes .	4	-1	 when[0] he[0] returns[0] with[0] the[0] warriors'[0] the[0] town[0] is[0] ecstatic[3] until[0] they[0] find[0] out[0] the[0] truth[1] about[0] their[0] heroes[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
a bug's life has animation that is simply stunning . 	a bug's life has animation that is simply stunning .	1	-1	 a[0] bug's[0] life[0] has[0] animation[0] that[0] is[0] simply[0] stunning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sheer uniqueness of the day to day bug life is very imaginative . 	the sheer uniqueness of the day to day bug life is very imaginative .	3	-2	 the[0] sheer[0] uniqueness[0] of[0] the[0] day[0] to[0] day[0] bug[-1] life[0] is[0] very[0] imaginative[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
together with the great voice acting , this film is the perfect holiday family film . 	together with the great voice acting , this film is the perfect holiday family film .	3	-1	 together[0] with[0] the[0] great[2] voice[0] acting[0] this[0] film[0] is[0] the[0] perfect[1] holiday[0] family[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
its main weakness is that it couldn't beat antz to the theaters , making it seem like stale material . 	its main weakness is that it couldn't beat antz to the theaters , making it seem like stale material .	2	-2	 its[0] main[0] weakness[-1] is[0] that[0] it[0] couldn't[0] beat[0] antz[0] to[0] the[0] theaters[0] making[0] it[0] seem[0] like[1] stale[-1] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
