tibet has entered the american consciousness slowly during the past few years and burst into the forefront recently . 	Translation	Positive	Negative	EmotionRationale
the dalai lama has made speaking tours , tibetan designs and artifacts are showing up in shops , the plight of the people has captured the imagination of major actors and artists and now there are two big budget films within as many months . 	the dalai lama has made speaking tours , tibetan designs and artifacts are showing up in shops , the plight of the people has captured the imagination of major actors and artists and now there are two big budget films within as many months .	1	-2	 the[0] dalai[0] lama[0] has[0] made[0] speaking[0] tours[0] tibetan[0] designs[0] and[0] artifacts[0] are[0] showing[0] up[0] in[0] shops[0] the[0] plight[-1] of[0] the[0] people[0] has[0] captured[-1] the[0] imagination[0] of[0] major[0] actors[0] and[0] artists[0] and[0] now[0] there[0] are[0] two[0] big[0] budget[0] films[0] within[0] as[0] many[0] months[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " kundun " ( " presence " , a name the monks call the young dalai lama ) opens in 1937 with the search for the 14th incarnation of the tibetan leader . 	 " kundun " ( " presence " , a name the monks call the young dalai lama ) opens in 1937 with the search for the 14th incarnation of the tibetan leader .	1	-1	 kundun[0] presence[0] a[0] name[0] the[0] monks[0] call[0] the[0] young[0] dalai[0] lama[0] opens[0] in[0] 1937[0] with[0] the[0] search[0] for[0] the[0] 14th[0] incarnation[0] of[0] the[0] tibetan[0] leader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a group of monks enters a village and a two-year-old child catches their attention . 	a group of monks enters a village and a two-year-old child catches their attention .	1	-1	 a[0] group[0] of[0] monks[0] enters[0] a[0] village[0] and[0] a[0] two[0] year[0] old[0] child[0] catches[0] their[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young boy proves himself by identifying possessions of the previous holy man as " mine " . 	the young boy proves himself by identifying possessions of the previous holy man as " mine " .	1	-1	 the[0] young[0] boy[0] proves[0] himself[0] by[0] identifying[0] possessions[0] of[0] the[0] previous[0] holy[0] man[0] as[0] mine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he and his family are then moved to a monastery in lhassa where he is to be prepared to take his position as the religious and political leader of the country . 	he and his family are then moved to a monastery in lhassa where he is to be prepared to take his position as the religious and political leader of the country .	1	-1	 he[0] and[0] his[0] family[0] are[0] then[0] moved[0] to[0] a[0] monastery[0] in[0] lhassa[0] where[0] he[0] is[0] to[0] be[0] prepared[0] to[0] take[0] his[0] position[0] as[0] the[0] religious[0] and[0] political[0] leader[0] of[0] the[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is forced into difficult decisions when china invades the country in 1950 . 	he is forced into difficult decisions when china invades the country in 1950 .	1	-2	 he[0] is[0] forced[0] into[0] difficult[-1] decisions[0] when[0] china[0] invades[-1] the[0] country[0] in[0] 1950[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the peaceful and isolated country is ill-equipped to fight off the intruders and diplomatic attempts over the next years yield no results . 	the peaceful and isolated country is ill-equipped to fight off the intruders and diplomatic attempts over the next years yield no results .	1	-3	 the[0] peaceful[0] and[0] isolated[-1] country[0] is[0] ill[-1] equipped[0] to[0] fight[-2] off[0] the[0] intruders[-1] and[0] diplomatic[0] attempts[0] over[0] the[0] next[0] years[0] yield[0] no[0] results[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eventually he must make the painful choice to flee to neighboring india . 	eventually he must make the painful choice to flee to neighboring india .	1	-4	 eventually[0] he[0] must[0] make[0] the[0] painful[-3] choice[0] to[0] flee[-1] to[0] neighboring[0] india[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
comparisons to " seven years in tibet " are inevitable . 	comparisons to " seven years in tibet " are inevitable .	1	-1	 comparisons[0] to[0] seven[0] years[0] in[0] tibet[0] are[0] inevitable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both films cover much of the same ground although the earlier movie does so from a westerner's point of view and features boxoffice draw brad pitt . 	both films cover much of the same ground although the earlier movie does so from a westerner's point of view and features boxoffice draw brad pit .	1	-1	 both[0] films[0] cover[0] much[0] of[0] the[0] same[0] ground[0] although[0] the[0] earlier[0] movie[0] does[0] so[0] from[0] a[0] westerner's[0] point[0] of[0] view[0] and[0] features[0] boxoffice[0] draw[0] brad[0] pitt/pit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
