 " seven " is one of the best mystery movies i've ever seen . 	Translation	Positive	Negative	EmotionRationale
it's extremely intriguing and suspenseful , but it's also quite fun . 	it's extremely intriguing and suspenseful , but it's also quite fun .	2	-1	 it's[0] extremely[0] intriguing[0] and[0] suspenseful[0] but[0] it's[0] also[0] quite[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a serial killer mystery , but you don't care so much about making the killer pay as much as hope they just catch the killer . 	it's a serial killer mystery , but you don't care so much about making the killer pay as much as hope they just catch the killer .	3	-2	 it's[0] a[0] serial[0] killer[-1] mystery[0] but[0] you[0] don't[0] care[1][NegatedDueToPreviousWord] so[0] much[0] about[0] making[0] the[0] killer[-1] pay[0] as[0] much[0] as[0] hope[2] they[0] just[0] catch[0] the[0] killer[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the story is a cops-on-the-trail-of-serial-killer mystery . 	the story is a cops-on-the-trail-of-serial-killer mystery .	1	-2	 the[0] story[0] is[0] a[0] cops[0] on[0] the[0] trail[0] of[0] serial[0] killer[-1] mystery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone is murdering people who are offenders of " the seven deadly sins . " 	someone is murdering people who are offenders of " the seven deadly sins .<br> "	1	-4	 someone[0] is[0] murdering[-3] people[0] who[0] are[0] offenders[-2] of[0] the[0] seven[0] deadly[-1] sins[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a fat man ( gluttony ) was forced to eat himself to death , a lawyer ( greed ) is slaughtered by his own rich possessions . . . 	a fat man ( gluttony ) was forced to eat himself to death , a lawyer ( greed ) is slaughtered by his own rich possessions .<br> .<br> .	1	-3	 a[0] fat[-1] man[0] gluttony[0] was[0] forced[0] to[0] eat[0] himself[0] to[0] death[-2] a[0] lawyer[0] greed[-2] is[0] slaughtered[-1] by[0] his[0] own[0] rich[0] possessions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i could go on but revealing any more would give away entirely too much . 	i could go on but revealing any more would give away entirely too much .	1	-1	 i[0] could[0] go[0] on[0] but[0] revealing[0] any[0] more[0] would[0] give[0] away[0] entirely[0] too[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what makes this film so unique is the characterization of the " good guys " which makes the unseen villain seem so vile . 	what makes this film so unique is the characterization of the " good guys " which makes the unseen villain seem so vile .	2	-4	 what[0] makes[0] this[0] film[0] so[0] unique[0] is[0] the[0] characterization[0] of[0] the[0] good[1] guys[0] which[0] makes[0] the[0] unseen[0] villain[-2] seem[0] so[0] vile[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
brad pitt stars is quite excellent as detective david mills , the cocky rookie . 	brad pit stars is quite excellent as detective david mills , the cocky rookie .	4	-2	 brad[0] pitt/pit[0] stars[0] is[0] quite[0] excellent[3] as[0] detective[0] david[0] mills[0] the[0] cocky[-1] rookie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
however , morgan freeman is even better as detective william sommerset , the wise veteran on the verge of retirement ( and he doesn't get killed by the end ) . 	however , morgan freeman is even better as detective william sommerset , the wise veteran on the verge of retirement ( and he doesn't get killed by the end ) .	1	-4	 however[0] morgan[0] freeman[0] is[0] even[0] better[0] as[0] detective[0] william[0] sommerset[0] the[0] wise[0] veteran[0] on[0] the[0] verge[0] of[0] retirement[-1] and[0] he[0] doesn't[0] get[0] killed[-3] by[0] the[0] end[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is a great sense of camaraderie here which often provides for a breath of comic relief . 	there is a great sense of camaraderie here which often provides for a breath of comic relief .	3	-1	 there[0] is[0] a[0] great[2] sense[0] of[0] camaraderie[0] here[0] which[0] often[0] provides[0] for[0] a[0] breath[0] of[0] comic[0] relief[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is impressive because the mood is so tense , and the fact that it can be down-played as well as it is here ( let alone at all ) is quite an accomplishment . 	this is impressive because the mood is so tense , and the fact that it can be down-played as well as it is here ( let alone at all ) is quite an accomplishment .	2	-3	 this[0] is[0] impressive[1] because[0] the[0] mood[0] is[0] so[0] tense[-2] and[0] the[0] fact[0] that[0] it[0] can[0] be[0] down[0] played[0] as[0] well[0] as[0] it[0] is[0] here[0] let[0] alone[0] at[0] all[0] is[0] quite[0] an[0] accomplishment[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the setting takes place in present day new york city but the art direction is able to give the city a feeling of the evil , scary place many believe it to be . 	the setting takes place in present day new york city but the art direction is able to give the city a feeling of the evil , scary place many believe it to be .	1	-5	 the[0] setting[0] takes[0] place[0] in[0] present[0] day[0] new[0] york[0] city[0] but[0] the[0] art[0] direction[0] is[0] able[0] to[0] give[0] the[0] city[0] a[0] feeling[0] of[0] the[0] evil[-2] scary[-3][-1 MultiplePositiveWords] place[0] many[0] believe[0] it[0] to[0] be[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the production design is superb , in the spirit of " batman " and " the crow , " this film embodies the gothic mood . 	the production design is superb , in the spirit of " batman " and " the crow , " this film embodies the gothic mood .	1	-1	 the[0] production[0] design[0] is[0] superb[0] in[0] the[0] spirit[0] of[0] batman[0] and[0] the[0] crow[0] this[0] film[0] embodies[0] the[0] gothic[0] mood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the way the words fade in and out , along with the freaky nine inch nails music really add a lot to the story on a subconscious level - even the credits are scary ! 	the way the words fade in and out , along with the freaky nine inch nails music really add a lot to the story on a subconscious level - even the credits are scary !	1	-4	 the[0] way[0] the[0] words[0] fade[0] in[0] and[0] out[0] along[0] with[0] the[0] freaky[-1] nine[0] inch[0] nails[0] music[0] really[0] add[0] a[0] lot[0] to[0] the[0] story[0] on[0] a[0] subconscious[0] level[0] even[0] the[0] credits[0] are[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the killer's victims have no connections at all , and thus mills and sommerset don't have much to go on to solve the case . 	the killer's victims have no connections at all , and thus mills and sommerset don't have much to go on to solve the case .	1	-3	 the[0] killer's[0] victims[-2] have[0] no[0] connections[0] at[0] all[0] and[0] thus[0] mills[0] and[0] sommerset[0] don't[0] have[0] much[0] to[0] go[0] on[0] to[0] solve[0] the[0] case[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they can only wait for the next murder to occur which makes for tremendous suspense . 	they can only wait for the next murder to occur which makes for tremendous suspense .	1	-4	 they[0] can[0] only[0] wait[0] for[0] the[0] next[0] murder[-3] to[0] occur[0] which[0] makes[0] for[0] tremendous[0] suspense[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
