in 1912 , a ship set sail on her maiden voyage across the atlantic for america . 	Translation	Positive	Negative	EmotionRationale
this ship was built to be the largest ship in the world , and she was . 	this ship was built to be the largest ship in the world , and she was .	1	-1	 this[0] ship[0] was[0] built[0] to[0] be[0] the[0] largest[0] ship[0] in[0] the[0] world[0] and[0] she[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was also build to be one of the most luxurious , and that she was . 	she was also build to be one of the most luxurious , and that she was .	1	-1	 she[0] was[0] also[0] build[0] to[0] be[0] one[0] of[0] the[0] most[0] luxurious[0] and[0] that[0] she[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , she was built to be unsinkable and that unfortunately she was not . 	finally , she was built to be unsinkable and that unfortunately she was not .	1	-2	 finally[0] she[0] was[0] built[0] to[0] be[0] unsinkable[0] and[0] that[0] unfortunately[-1] she[0] was[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to get a ticket for this voyage you either : spent a life's savings to get to america to start life anew , were part of the upper class and had the money to spare , or finally were lucky enough to have a full house in a poker match by the docks like jack dawson . 	to get a ticket for this voyage you either : spent a life's savings to get to america to start life anew , were part of the upper class and had the money to spare , or finally were lucky enough to have a full house in a poker match by the docks like jack dawson .	2	-1	 to[0] get[0] a[0] ticket[0] for[0] this[0] voyage[0] you[0] either[0] spent[0] a[0] life's[0] savings[0] to[0] get[0] to[0] america[0] to[0] start[0] life[0] anew[0] were[0] part[0] of[0] the[0] upper[0] class[0] and[0] had[0] the[0] money[0] to[0] spare[0] or[0] finally[0] were[0] lucky[1] enough[0] to[0] have[0] a[0] full[0] house[0] in[0] a[0] poker[0] match[0] by[0] the[0] docks[0] like[1] jack[0] dawson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jack dawson makes the trip , and happens to be at the right place at the right time . 	jack dawson makes the trip , and happens to be at the right place at the right time .	1	-1	 jack[0] dawson[0] makes[0] the[0] trip[0] and[0] happens[0] to[0] be[0] at[0] the[0] right[0] place[0] at[0] the[0] right[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rose dewitt bukater , a first class passenger , climbs the railings at the aft of the ship with thoughts of jumping . 	rose dewitt bukater , a first class passenger , climbs the railings at the aft of the ship with thoughts of jumping .	1	-1	 rose[0] dewitt[0] bukater[0] a[0] first[0] class[0] passenger[0] climbs[0] the[0] railings[0] at[0] the[0] aft[0] of[0] the[0] ship[0] with[0] thoughts[0] of[0] jumping[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thus is started a tale of romance and intrigue , and a tale of death and tragedy . . . 	thus is started a tale of romance and intrigue , and a tale of death and tragedy .<br> .<br> .	4	-3	 thus[0] is[0] started[0] a[0] tale[0] of[0] romance[3] and[0] intrigue[0] and[0] a[0] tale[0] of[0] death[-2] and[0] tragedy[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
this movie is about a tragic event that took place a great many years ago , an even that should not be taken lightly as any other bit of historical trivia . 	this movie is about a tragic event that took place a great many years ago , an even that should not be taken lightly as any other bit of historical trivia .	3	-3	 this[0] movie[0] is[0] about[0] a[0] tragic[-2] event[0] that[0] took[0] place[0] a[0] great[2] many[0] years[0] ago[0] an[0] even[0] that[0] should[0] not[0] be[0] taken[0] lightly[0] as[0] any[0] other[0] bit[0] of[0] historical[0] trivia[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie titanic shows what happened , maybe not with a 100% degree of accuracy , but it still shows it very realisticaly . 	the movie titanic shows what happened , maybe not with a 100% degree of accuracy , but it still shows it very realisticaly .	1	-1	 the[0] movie[0] titanic[0] shows[0] what[0] happened[0] maybe[0] not[0] with[0] a[0] 100%[0] degree[0] of[0] accuracy[0] but[0] it[0] still[0] shows[0] it[0] very[0] realisticaly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now the titanic is both a story on its own and a backdrop for a story . 	now the titanic is both a story on its own and a backdrop for a story .	1	-1	 now[0] the[0] titanic[0] is[0] both[0] a[0] story[0] on[0] its[0] own[0] and[0] a[0] backdrop[0] for[0] a[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it serves as both admirably , brining forth an interesting story that although simple in its most simple premise is very captivating . 	it serves as both admirably , brining forth an interesting story that although simple in its most simple premise is very captivating .	3	-1	 it[0] serves[0] as[0] both[0] admirably[2] brining[0] forth[0] an[0] interesting[1] story[0] that[0] although[0] simple[0] in[0] its[0] most[0] simple[0] premise[0] is[0] very[0] captivating[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this movie is very emotional simply because of what it is , but that alone is not enough . 	this movie is very emotional simply because of what it is , but that alone is not enough .	1	-3	 this[0] movie[0] is[0] very[0] emotional[-1][-1 LastWordBoosterStrength] simply[0] because[0] of[0] what[0] it[0] is[0] but[0] that[0] alone[0] is[0] not[0] enough[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story is brought out with a certain style that makes is so much more emotional and so much more effective . 	the story is brought out with a certain style that makes is so much more emotional and so much more effective .	1	-2	 the[0] story[0] is[0] brought[0] out[0] with[0] a[0] certain[0] style[0] that[0] makes[0] is[0] so[0] much[0] more[0] emotional[-1] and[0] so[0] much[0] more[0] effective[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
movies such as this will not be forgotten all too quickly and unfortunately then are not something that is produced by hollywood with any great frequency . 	movies such as this will not be forgotten all too quickly and unfortunately then are not something that is produced by hollywood with any great frequency .	3	-2	 movies[0] such[0] as[0] this[0] will[0] not[0] be[0] forgotten[0] all[0] too[0] quickly[0] and[0] unfortunately[-1] then[0] are[0] not[0] something[0] that[0] is[0] produced[0] by[0] hollywood[0] with[0] any[0] great[2] frequency[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the attention to detail that was paid is remarkable . 	the attention to detail that was paid is remarkable .	1	-1	 the[0] attention[0] to[0] detail[0] that[0] was[0] paid[0] is[0] remarkable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole premise for the telling of the story is interesting , with the showing of brand new footage from the wreck of the titanic adding much flavor to an already good movie . 	the whole premise for the telling of the story is interesting , with the showing of brand new footage from the wreck of the titanic adding much flavor to an already good movie .	2	-2	 the[0] whole[0] premise[0] for[0] the[0] telling[0] of[0] the[0] story[0] is[0] interesting[1] with[0] the[0] showing[0] of[0] brand[0] new[0] footage[0] from[0] the[0] wreck[-1] of[0] the[0] titanic[0] adding[0] much[0] flavor[0] to[0] an[0] already[0] good[1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
part of the magical chemistry behind this story is the acting , and for this movie its extremely good acting from the whole cast . 	part of the magical chemistry behind this story is the acting , and for this movie its extremely good acting from the whole cast .	4	-1	 part[0] of[0] the[0] magical[0] chemistry[0] behind[0] this[0] story[0] is[0] the[0] acting[0] and[0] for[0] this[0] movie[0] its[0] extremely[0] good[1][2 LastWordBoosterStrength] acting[0] from[0] the[0] whole[0] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the performances put in by the main stars is something to be admired . 	the performances put in by the main stars is something to be admired .	3	-1	 the[0] performances[0] put[0] in[0] by[0] the[0] main[0] stars[0] is[0] something[0] to[0] be[0] admired[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the characters were played out so memorably that both leonardo dicaprip and kate winslet should receive at the least nominations for their roles . 	the characters were played out so memorably that both leonardo dicaprip and kate winslet should receive at the least nominations for their roles .	1	-1	 the[0] characters[0] were[0] played[0] out[0] so[0] memorably[0] that[0] both[0] leonardo[0] dicaprip[0] and[0] kate[0] winslet[0] should[0] receive[0] at[0] the[0] least[0] nominations[0] for[0] their[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
looking at the acting done in the movie it seems as if they aren't acting but are actually the characters in the movie . 	looking at the acting done in the movie it seems as if they aren't acting but are actually the characters in the movie .	1	-1	 looking[0] at[0] the[0] acting[0] done[0] in[0] the[0] movie[0] it[0] seems[0] as[0] if[0] they[0] aren't[0] acting[0] but[0] are[0] actually[0] the[0] characters[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the casting for the movie could really have been better , in my humble opinion that is . 	the casting for the movie could really have been better , in my humble opinion that is .	1	-1	 the[0] casting[0] for[0] the[0] movie[0] could[0] really[0] have[0] been[0] better[0] in[0] my[0] humble[0] opinion[0] that[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one character that will most likely not be mentioned by any other review or commentary about this film is that of the ship itself . 	one character that will most likely not be mentioned by any other review or commentary about this film is that of the ship itself .	1	-1	 one[0] character[0] that[0] will[0] most[0] likely[0] not[0] be[0] mentioned[0] by[0] any[0] other[0] review[0] or[0] commentary[0] about[0] this[0] film[0] is[0] that[0] of[0] the[0] ship[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , you read correctly , the ship is a character . 	yes , you read correctly , the ship is a character .	1	-1	 yes[0] you[0] read[0] correctly[0] the[0] ship[0] is[0] a[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how is the titanic a character ? 	how is the titanic a character ?	1	-1	 how[0] is[0] the[0] titanic[0] a[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you ask well simple , a ship had a certain character about it and as most sailors and boats men will tell you . 	you ask well simple , a ship had a certain character about it and as most sailors and boats men will tell you .	1	-1	 you[0] ask[0] well[0] simple[0] a[0] ship[0] had[0] a[0] certain[0] character[0] about[0] it[0] and[0] as[0] most[0] sailors[0] and[0] boats[0] men[0] will[0] tell[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this character is everything about the ship from its specifications to its luxuries and the titanic was no stranger to this . 	this character is everything about the ship from its specifications to its luxuries and the titanic was no stranger to this .	1	-1	 this[0] character[0] is[0] everything[0] about[0] the[0] ship[0] from[0] its[0] specifications[0] to[0] its[0] luxuries[0] and[0] the[0] titanic[0] was[0] no[0] stranger[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . cameron brings the ship to life in an almost literal sense . 	mr .<br> cameron brings the ship to life in an almost literal sense .	1	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] cameron[0] brings[0] the[0] ship[0] to[0] life[0] in[0] an[0] almost[0] literal[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all this adds to the movie in a certain way that most hollywood productions cant seem to grasp . 	all this adds to the movie in a certain way that most hollywood productions cant seem to grasp .	1	-1	 all[0] this[0] adds[0] to[0] the[0] movie[0] in[0] a[0] certain[0] way[0] that[0] most[0] hollywood[0] productions[0] cant[0] seem[0] to[0] grasp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , to produce the effect that i mentioned above and to sink the ship itself are feats that are accomplished by special effects wizards . 	now , to produce the effect that i mentioned above and to sink the ship itself are feats that are accomplished by special effects wizards .	2	-1	 now[0] to[0] produce[0] the[0] effect[0] that[0] i[0] mentioned[0] above[0] and[0] to[0] sink[0] the[0] ship[0] itself[0] are[0] feats[0] that[0] are[0] accomplished[1] by[0] special[1] effects[0] wizards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the effects in this movie range from marvelous costumes to beautifully rendered scenes of the ships sinking . 	the effects in this movie range from marvelous costumes to beautifully rendered scenes of the ships sinking .	3	-1	 the[0] effects[0] in[0] this[0] movie[0] range[0] from[0] marvelous[0] costumes[0] to[0] beautifully[2] rendered[0] scenes[0] of[0] the[0] ships[0] sinking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in some respects you cannot tell that the effects are there , you simply think that what you see is what happened or what is happening ( if your imagination is good ) . 	in some respects you cannot tell that the effects are there , you simply think that what you see is what happened or what is happening ( if your imagination is good ) .	2	-1	 in[0] some[0] respects[2][-1 LastWordBoosterStrength] you[0] cannot[0] tell[0] that[0] the[0] effects[0] are[0] there[0] you[0] simply[0] think[0] that[0] what[0] you[0] see[0] is[0] what[0] happened[0] or[0] what[0] is[0] happening[0] if[0] your[0] imagination[0] is[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the technical wizardry done in this movie is just spectacular and actually getting new footage from the wreck of the titanic is unique . 	the technical wizardry done in this movie is just spectacular and actually getting new footage from the wreck of the titanic is unique .	1	-2	 the[0] technical[0] wizardry[0] done[0] in[0] this[0] movie[0] is[0] just[0] spectacular[0] and[0] actually[0] getting[0] new[0] footage[0] from[0] the[0] wreck[-1] of[0] the[0] titanic[0] is[0] unique[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie will leave you amazed at the effects , and that is a feat since there is no monsters or aliens in this movie , just humans and an oversized ship . 	the movie will leave you amazed at the effects , and that is a feat since there is no monsters or aliens in this movie , just humans and an oversized ship .	3	-1	 the[0] movie[0] will[0] leave[0] you[0] amazed[2] at[0] the[0] effects[0] and[0] that[0] is[0] a[0] feat[0] since[0] there[0] is[0] no[0] monsters[0] or[0] aliens[0] in[0] this[0] movie[0] just[0] humans[0] and[0] an[0] oversized[0] ship[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie will amaze you and it will pull on your emotions , the theater that i went to had a few people leaving with tears in their eyes . 	the movie will amaze you and it will pull on your emotions , the theater that i went to had a few people leaving with tears in their eyes .	3	-4	 the[0] movie[0] will[0] amaze[2] you[0] and[0] it[0] will[0] pull[0] on[0] your[0] emotions[0] the[0] theater[0] that[0] i[0] went[0] to[0] had[0] a[0] few[0] people[0] leaving[0] with[0] tears[-3] in[0] their[0] eyes[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
now that is not a feat accomplished by most movies , now the fact that the tragedy actually occurred is brought home with something of a punch , i wont spoil the ending and say what happens regardless it is an interesting movie from beginning to the very end . 	now that is not a feat accomplished by most movies , now the fact that the tragedy actually occurred is brought home with something of a punch , i wont spoil the ending and say what happens regardless it is an interesting movie from beginning to the very end .	2	-3	 now[0] that[0] is[0] not[0] a[0] feat[0] accomplished[1] by[0] most[0] movies[0] now[0] the[0] fact[0] that[0] the[0] tragedy[-2] actually[0] occurred[0] is[0] brought[0] home[0] with[0] something[0] of[0] a[0] punch[-1] i[0] wont[0] spoil[-1][NegatedDueToPreviousWord] the[0] ending[0] and[0] say[0] what[0] happens[0] regardless[-1] it[0] is[0] an[0] interesting[1] movie[0] from[0] beginning[0] to[0] the[0] very[0] end[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
