i know what i would do with $4 . 4 million if i found it in a previously undiscovered airplane crash site , especially if i were with jacob and lou . 	Translation	Positive	Negative	EmotionRationale
 ( huh ? ) 	 ( huh ?<br> )	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , in any event , that is the situation hank ( paxton ) finds himself in . 	well , in any event , that is the situation hank ( paxton ) finds himself in .	1	-1	 well[0] in[0] any[0] event[0] that[0] is[0] the[0] situation[0] hank[0] paxton[0] finds[0] himself[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he and his dim-witted brother jacob ( thorton ) and tubby friend lou ( brent briscoe ) come upon a large bag of cash inside a plane wreck . 	he and his dim-witted brother jacob ( thorton ) and tubby friend lou ( brent briscoe ) come upon a large bag of cash inside a plane wreck .	2	-2	 he[0] and[0] his[0] dim[-1] witted[0] brother[0] jacob[0] thorton[0] and[0] tubby[0] friend[1] lou[0] brent[0] briscoe[0] come[0] upon[0] a[0] large[0] bag[0] of[0] cash[0] inside[0] a[0] plane[0] wreck[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
against his better judgement , hank decides to go along with the idea of keeping it rather than going to the authorities . 	against his better judgement , hank decides to go along with the idea of keeping it rather than going to the authorities .	1	-2	 against[-1] his[0] better[0] judgement[0] hank[0] decides[0] to[0] go[0] along[0] with[0] the[0] idea[0] of[0] keeping[0] it[0] rather[0] than[0] going[0] to[0] the[0] authorities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the film is a question of who is going to die to keep this a secret , and is it worth it ? 	the rest of the film is a question of who is going to die to keep this a secret , and is it worth it ?	1	-1	 the[0] rest[0] of[0] the[0] film[0] is[0] a[0] question[0] of[0] who[0] is[0] going[0] to[0] die[0] to[0] keep[0] this[0] a[0] secret[0] and[0] is[0] it[0] worth[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a simple wish lies along the lines of very bad things , clay pigeons and even fargo , and is kind of wrapped all into one little dark bundle . 	a simple wish lies along the lines of very bad things , clay pigeons and even fargo , and is kind of wrapped all into one little dark bundle .	2	-3	 a[0] simple[0] wish[0] lies[-2] along[0] the[0] lines[0] of[0] very[0] bad[-1][-1 LastWordBoosterStrength] things[0] clay[0] pigeons[0] and[0] even[0] fargo[0] and[0] is[0] kind[1] of[0] wrapped[0] all[0] into[0] one[0] little[0] dark[0] bundle[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
oh , and its much better than any of those . 	oh , and its much better than any of those .	1	-1	 oh[0] and[0] its[0] much[0] better[0] than[0] any[0] of[0] those[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sam raimi took a departure from his normal freak-show horror-monkey films and made this stylish and intriguing picture . 	sam raimi took a departure from his normal freak-show horror-monkey films and made this stylish and intriguing picture .	1	-4	 sam[0] raimi[0] took[0] a[0] departure[0] from[0] his[0] normal[0] freak[-1] show[0] horror[-3] monkey[0] films[0] and[0] made[0] this[0] stylish[0] and[0] intriguing[0] picture[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he really lets the audience sit back and watch the events unfold rather than force them down our throats as many directors prefer to do . 	he really lets the audience sit back and watch the events unfold rather than force them down our throats as many directors prefer to do .	1	-2	 he[0] really[0] lets[0] the[0] audience[0] sit[0] back[0] and[0] watch[0] the[0] events[0] unfold[0] rather[0] than[0] force[-1] them[0] down[0] our[0] throats[0] as[0] many[0] directors[0] prefer[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think raimi knew he had a winner on his hands and decided to direct the picture on a natural flowing course . 	i think raimi knew he had a winner on his hands and decided to direct the picture on a natural flowing course .	2	-1	 i[0] think[0] raimi[0] knew[0] he[0] had[0] a[0] winner[1] on[0] his[0] hands[0] and[0] decided[0] to[0] direct[0] the[0] picture[0] on[0] a[0] natural[0] flowing[0] course[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the film's components can be linked to a recurring theme in terrence malick's the thin red line . 	one of the film's components can be linked to a recurring theme in terrence malick's the thin red line .	1	-1	 one[0] of[0] the[0] film's[0] components[0] can[0] be[0] linked[0] to[0] a[0] recurring[0] theme[0] in[0] terrence[0] malick's[0] the[0] thin[0] red[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in malick's three hour bore-a-thon , he makes an interesting attempt to link mother earth to his war story . 	in malick's three hour bore-a-thon , he makes an interesting attempt to link mother earth to his war story .	2	-3	 in[0] malick's[0] three[0] hour[0] bore[-1] a[0] thon[0] he[0] makes[0] an[0] interesting[1] attempt[0] to[0] link[0] mother[0] earth[0] to[0] his[0] war[-2] story[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it seemed nothing more than an occasional pretty cut to a field of flowing grass , a small bird , or a flowing body of water . 	it seemed nothing more than an occasional pretty cut to a field of flowing grass , a small bird , or a flowing body of water .	3	-1	 it[0] seemed[0] nothing[0] more[0] than[0] an[0] occasional[0] pretty[2] cut[0] to[0] a[0] field[0] of[0] flowing[0] grass[0] a[0] small[0] bird[0] or[0] a[0] flowing[0] body[0] of[0] water[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sure , there were obvious metaphorical connections , but there was no subtlty to his efforts . 	sure , there were obvious metaphorical connections , but there was no subtlty to his efforts .	1	-1	 sure[0] there[0] were[0] obvious[0] metaphorical[0] connections[0] but[0] there[0] was[0] no[0] subtlty[0] to[0] his[0] efforts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
raimi does a fine job of tying in a fox in a chicken coop and birds of prey to signify the future of the characters . 	raimi does a fine job of tying in a fox in a chicken coop and birds of prey to signify the future of the characters .	3	-1	 raimi[0] does[0] a[0] fine[2] job[0] of[0] tying[0] in[0] a[0] fox[0] in[0] a[0] chicken[0] coop[0] and[0] birds[0] of[0] prey[0] to[0] signify[0] the[0] future[0] of[0] the[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i think most viewers may miss the comparison , but it is a very intriguing ingredient in the film . 	i think most viewers may miss the comparison , but it is a very intriguing ingredient in the film .	2	-1	 i[0] think[0] most[0] viewers[0] may[0] miss[-1][--1 LastWordBoosterStrength] the[0] comparison[0] but[0] it[0] is[0] a[0] very[0] intriguing[0] ingredient[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-1 max of sentences]]]
and then there's billy bob thorton , who is proof that the independent film industry is vital to the life blood of hollywood . 	and then there's billy bob thorton , who is proof that the independent film industry is vital to the life blood of hollywood .	1	-1	 and[0] then[0] there's[0] billy[0] bob[0] thorton[0] who[0] is[0] proof[0] that[0] the[0] independent[0] film[0] industry[0] is[0] vital[0] to[0] the[0] life[0] blood[0] of[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if it can continute to produce people like thorton , hollywood will be ok . 	if it can continute to produce people like thorton , hollywood will be ok .	2	-1	 if[0] it[0] can[0] continute[0] to[0] produce[0] people[0] like[1] thorton[0] hollywood[0] will[0] be[0] ok[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he gives a fantastic and devastatingly deep performance here . 	he gives a fantastic and devastatingly deep performance here .	3	-5	 he[0] gives[0] a[0] fantastic[2] and[0] devastatingly[-4] deep[0] performance[0] here[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
it is not as engrossing as his carl childers character in slingblade , but is is just as complex , if not more so . 	it is not as engrossing as his carl childers character in slingblade , but is is just as complex , if not more so .	1	-1	 it[0] is[0] not[0] as[0] engrossing[0] as[0] his[0] carl[0] childers[0] character[0] in[0] slingblade[0] but[0] is[0] is[0] just[0] as[0] complex[0] if[0] not[0] more[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jacob is slow and simple , and yet we so often see him deep in thought . 	jacob is slow and simple , and yet we so often see him deep in thought .	1	-1	 jacob[0] is[0] slow[0] and[0] simple[0] and[0] yet[0] we[0] so[0] often[0] see[0] him[0] deep[0] in[0] thought[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
