i remember seeing the trailer of the black cauldron on the pinocchio video . 	Translation	Positive	Negative	EmotionRationale
it really scared me , and i didn't want to go see it . 	it really scared me , and i didn't want to go see it .	1	-5	 it[0] really[0] scared[-3][-1 LastWordBoosterStrength] me[0] and[0] i[0] didn't[0] want[0] to[0] go[0] see[0] it[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
however , after i heard about how wonderful it was , i wanted to see it . 	however , after i heard about how wonderful it was , i wanted to see it .	3	-1	 however[0] after[0] i[0] heard[0] about[0] how[0] wonderful[2] it[0] was[0] i[0] wanted[0] to[0] see[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i didn't get a chance to do so , until now . 	i didn't get a chance to do so , until now .	1	-1	 i[0] didn't[0] get[0] a[0] chance[0] to[0] do[0] so[0] until[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film , disney's 25th animated feature , opens with a menacing shot of a great black cauldron unshrouded by mist as a narrator begins to tell the tale : a long time ago in the land of prydain , there was a king so evil , that his spirit was captured in the cauldron . 	the film , disney's 25th animated feature , opens with a menacing shot of a great black cauldron unshrouded by mist as a narrator begins to tell the tale : a long time ago in the land of prydain , there was a king so evil , that his spirit was captured in the cauldron .	3	-3	 the[0] film[0] disney's[0] 25th[0] animated[0] feature[0] opens[0] with[0] a[0] menacing[0] shot[-1] of[0] a[0] great[2] black[0] cauldron[0] unshrouded[0] by[0] mist[0] as[0] a[0] narrator[0] begins[0] to[0] tell[0] the[0] tale[0] a[0] long[0] time[0] ago[0] in[0] the[0] land[0] of[0] prydain[-1] there[0] was[0] a[0] king[0] so[0] evil[-2] that[0] his[0] spirit[0] was[0] captured[-1] in[0] the[0] cauldron[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it has been hidden for centuries , and whoever possesses it will have the power to conjure up an army of deathless warriors , and with them rule the world ? and destroy it . 	it has been hidden for centuries , and whoever possesses it will have the power to conjure up an army of deathless warriors , and with them rule the world ?<br> and destroy it .	1	-3	 it[0] has[0] been[0] hidden[0] for[0] centuries[0] and[0] whoever[0] possesses[0] it[0] will[0] have[0] the[0] power[0] to[0] conjure[0] up[0] an[0] army[0] of[0] deathless[-2] warriors[0] and[0] with[0] them[0] rule[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]] and[0] destroy[-2] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then , we meet a farmer-wizard , dallben , and his young apprentice , taran . 	then , we meet a farmer-wizard , dallben , and his young apprentice , taran .	1	-1	 then[0] we[0] meet[0] a[0] farmer[0] wizard[0] dallben[0] and[0] his[0] young[0] apprentice[0] taran[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taran dreams of being a warrior instead of being a  pig-keeper' ( they have a pig named hen-wen ) . 	taran dreams of being a warrior instead of being a  pig-keeper' ( they have a pig named hen-wen ) .	1	-1	 taran[0] dreams[0] of[0] being[0] a[0] warrior[0] instead[0] of[0] being[0] a[0] pig[0] keeper'[0] they[0] have[0] a[0] pig[0] named[0] hen[0] wen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , as he gives hen wen a nice warm bath , the pig goes crazy , and dallben then realizes , after watching hen wen's thoughts through a bucket of water , that taran must hide hen wen in the forest . 	one day , as he gives hen wen a nice warm bath , the pig goes crazy , and dallben then realizes , after watching hen wen's thoughts through a bucket of water , that taran must hide hen wen in the forest .	2	-2	 one[0] day[0] as[0] he[0] gives[0] hen[0] wen[0] a[0] nice[1] warm[0] bath[0] the[0] pig[0] goes[0] crazy[-1] and[0] dallben[0] then[0] realizes[0] after[0] watching[0] hen[0] wen's[0] thoughts[0] through[0] a[0] bucket[0] of[0] water[0] that[0] taran[0] must[0] hide[0] hen[0] wen[0] in[0] the[0] forest[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an evil ruler known as the horned king is searching for the black cauldron , and only hen wen has the power to show its location . 	an evil ruler known as the horned king is searching for the black cauldron , and only hen wen has the power to show its location .	1	-3	 an[0] evil[-2] ruler[0] known[0] as[0] the[0] horned[0] king[0] is[0] searching[0] for[0] the[0] black[0] cauldron[0] and[0] only[0] hen[0] wen[0] has[0] the[0] power[0] to[0] show[0] its[0] location[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taran leads hen wen into the forest , but of course , he loses her , and tries to go find her . 	taran leads hen wen into the forest , but of course , he loses her , and tries to go find her .	1	-2	 taran[0] leads[0] hen[0] wen[0] into[0] the[0] forest[0] but[0] of[0] course[0] he[0] loses[-1] her[0] and[0] tries[0] to[0] go[0] find[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
