one never quite knows what one is going to get with a mamet film . 	Translation	Positive	Negative	EmotionRationale
his american buffalo is a set-bound piece that has very little plot . 	his american buffalo is a set-bound piece that has very little plot .	1	-1	 his[0] american[0] buffalo[0] is[0] a[0] set[0] bound[0] piece[0] that[0] has[0] very[0] little[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes he will tell a story that really moves . 	sometimes he will tell a story that really moves .	1	-1	 sometimes[0] he[0] will[0] tell[0] a[0] story[0] that[0] really[0] moves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heist is mamet doing his most entertaining work . 	heist is mamet doing his most entertaining work .	1	-1	 heist[0] is[0] mamet[0] doing[0] his[0] most[0] entertaining[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike his the spanish prisoner , there are no lapses in credibility . 	unlike his the spanish prisoner , there are no lapses in credibility .	1	-2	 unlike[0] his[0] the[0] spanish[0] prisoner[-1] there[0] are[0] no[0] lapses[0] in[0] credibility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heist is probably the best mamet thriller since house of games . 	heist is probably the best mamet thriller since house of games .	2	-1	 heist[0] is[0] probably[0] the[0] best[1] mamet[0] thriller[1] since[0] house[0] of[0] games[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is the kind of plot with which you are never sure who will double-cross whom , and frequently it is mamet double-crossing the viewer . 	it is the kind of plot with which you are never sure who will double-cross whom , and frequently it is mamet double-crossing the viewer .	2	-2	 it[0] is[0] the[0] kind[1] of[0] plot[0] with[0] which[0] you[0] are[0] never[0] sure[0] who[0] will[0] double[0] cross[-1] whom[0] and[0] frequently[0] it[0] is[0] mamet[0] double[0] crossing[0] the[0] viewer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
watching the film's team getting around security the viewer is frequently asking himself either " what the heck are they doing ? " 	watching the film's team getting around security the viewer is frequently asking himself either " what the heck are they doing ?<br> "	2	-1	 watching[0] the[0] film's[0] team[0] getting[0] around[0] security[1] the[0] viewer[0] is[0] frequently[0] asking[0] himself[0] either[0] what[0] the[0] heck[0] are[0] they[0] doing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or " why didn't anybody think of that before ? " 	or " why didn't anybody think of that before ?<br> "	1	-1	 or[0] why[0] didn't[0] anybody[0] think[0] of[0] that[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
appropriately enough heist opens with a very clever jewelry store job . 	appropriately enough heist opens with a very clever jewelry store job .	1	-1	 appropriately[0] enough[0] heist[0] opens[0] with[0] a[0] very[0] clever[0] jewelry[0] store[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is so clever that one wonders if mamet really thinks up all these ideas himself or if he has help from professional magician and con expert ricky jay , now a regular actor in mamet films . 	it is so clever that one wonders if mamet really thinks up all these ideas himself or if he has help from professional magician and con expert ricky jay , now a regular actor in mamet films .	1	-1	 it[0] is[0] so[0] clever[0] that[0] one[0] wonders[0] if[0] mamet[0] really[0] thinks[0] up[0] all[0] these[0] ideas[0] himself[0] or[0] if[0] he[0] has[0] help[0] from[0] professional[0] magician[0] and[0] con[0] expert[0] ricky[0] jay[0] now[0] a[0] regular[0] actor[0] in[0] mamet[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a robbery that works like a well-oiled machine . 	this is a robbery that works like a well-oiled machine .	2	-2	 this[0] is[0] a[0] robbery[-1] that[0] works[0] like[1] a[0] well[0] oiled[0] machine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is just one problem and it is enough to get joe moore ( played by gene hackman ) filmed on a security camera . 	there is just one problem and it is enough to get joe more ( played by gene hackman ) filmed on a security camera .	2	-2	 there[0] is[0] just[0] one[0] problem[-1] and[0] it[0] is[0] enough[0] to[0] get[0] joe[0] moore/more[0] played[0] by[0] gene[0] hackman[0] filmed[0] on[0] a[0] security[1] camera[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now joe has to get out of the business . 	now joe has to get out of the business .	1	-1	 now[0] joe[0] has[0] to[0] get[0] out[0] of[0] the[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was coming time anyway . 	it was coming time anyway .	1	-1	 it[0] was[0] coming[0] time[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe's team including bobby blane ( delroy lindo ) , fran moor ( rebecca pidgeon ) , and pinky pincus ( ricky jay ) is going to split up and go separate ways . 	joe's team including bobby blane ( delroy lindo ) , fran moor ( rebecca pidgeon ) , and pinky pincus ( ricky jay ) is going to split up and go separate ways .	1	-1	 joe's[0] team[0] including[0] bobby[0] blane[0] delroy[0] lindo[0] fran[0] moor[0] rebecca[0] pidgeon[0] and[0] pinky[0] pincus[0] ricky[0] jay[0] is[0] going[0] to[0] split[0] up[0] and[0] go[0] separate[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but crime boss bergman ( danny devito ) is pulling the strings and he says that joe and his people have to manage one more robbery . 	but crime boss bergman ( danny devito ) is pulling the strings and he says that joe and his people have to manage one more robbery .	1	-2	 but[0] crime[-1] boss[0] bergman[0] danny[0] devito[0] is[0] pulling[0] the[0] strings[0] and[0] he[0] says[0] that[0] joe[0] and[0] his[0] people[0] have[0] to[0] manage[0] one[0] more[0] robbery[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and he has to take along a young kid , the short- fused jimmy silk ( sam rockwell ) . 	and he has to take along a young kid , the short- fused jimmy silk ( sam rockwell ) .	1	-1	 and[0] he[0] has[0] to[0] take[0] along[0] a[0] young[0] kid[0] the[0] short[0] fused[0] jimmy[0] silk[0] sam[0] rockwell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
immediately it is obvious that there is more going on than meets the eye . 	immediately it is obvious that there is more going on than meets the eye .	1	-1	 immediately[0] it[0] is[0] obvious[0] that[0] there[0] is[0] more[0] going[0] on[0] than[0] meets[0] the[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of what distinguishes heist is mamet's dialog . 	much of what distinguishes heist is mamet's dialog .	1	-1	 much[0] of[0] what[0] distinguishes[0] heist[0] is[0] mamet's[0] dialog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remarkably it serves a double purpose . 	remarkably it serves a double purpose .	1	-1	 remarkably[0] it[0] serves[0] a[0] double[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the robbery team sounds at once very professional and at the same time it has mamet's special feel for dialog . 	the robbery team sounds at once very professional and at the same time it has mamet's special feel for dialog .	2	-2	 the[0] robbery[-1] team[0] sounds[0] at[0] once[0] very[0] professional[0] and[0] at[0] the[0] same[0] time[0] it[0] has[0] mamet's[0] special[1] feel[0] for[0] dialog[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hackman has lines like " everybody needs money . 	hackman has lines like " everybody needs money .	2	-1	 hackman[0] has[0] lines[0] like[1] everybody[0] needs[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's why they call it money . " 	that's why they call it money .<br> "	1	-1	 that's[0] why[0] they[0] call[0] it[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mamet's timing is perfect in the direction but terrible in the production . 	mamet's timing is perfect in the direction but terrible in the production .	2	-4	 mamet's[0] timing[0] is[0] perfect[1] in[0] the[0] direction[0] but[0] terrible[-3] in[0] the[0] production[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the plot is coincidentally a lot like the plot of the recent the score , which is , in fact , a very similar story . 	the plot is coincidentally a lot like the plot of the recent the score , which is , in fact , a very similar story .	2	-1	 the[0] plot[0] is[0] coincidentally[0] a[0] lot[0] like[1] the[0] plot[0] of[0] the[0] recent[0] the[0] score[0] which[0] is[0] in[0] fact[0] a[0] very[0] similar[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both are good films , perhaps for some of the same reasons . 	both are good films , perhaps for some of the same reasons .	2	-1	 both[0] are[0] good[1] films[0] perhaps[0] for[0] some[0] of[0] the[0] same[0] reasons[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but at least on a high level they are much the same story . 	but at least on a high level they are much the same story .	1	-1	 but[0] at[0] least[0] on[0] a[0] high[0] level[0] they[0] are[0] much[0] the[0] same[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other problem with the timing of heist is that it involves airport security and clever ways to get around them . 	the other problem with the timing of heist is that it involves airport security and clever ways to get around them .	2	-2	 the[0] other[0] problem[-1] with[0] the[0] timing[0] of[0] heist[0] is[0] that[0] it[0] involves[0] airport[0] security[1] and[0] clever[0] ways[0] to[0] get[0] around[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i saw the film at the toronto international film festival on september 12 , 2001 . 	i saw the film at the toronto international film festival on september 12 , 2001 .	1	-1	 i[0] saw[0] the[0] film[0] at[0] the[0] toronto[0] international[0] film[0] festival[0] on[0] september[0] 12[0] 2001[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that made the subject matter just a little too timely . 	that made the subject matter just a little too timely .	1	-1	 that[0] made[0] the[0] subject[0] matter[0] just[0] a[0] little[0] too[0] timely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my understanding is that the release will be delayed . 	my understanding is that the release will be delayed .	1	-1	 my[0] understanding[0] is[0] that[0] the[0] release[0] will[0] be[0] delayed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my biggest problem with the film is that rebecca pidgeon's acting at times seems very poor . 	my biggest problem with the film is that rebecca pidgeon's acting at times seems very poor .	1	-3	 my[0] biggest[0] problem[-1] with[0] the[0] film[0] is[0] that[0] rebecca[0] pidgeon's[0] acting[0] at[0] times[0] seems[0] very[0] poor[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is some kind of mamet trademark i do not understand to have women talk without inflection , as if they are just reading the words for the first time . 	it is some kind of mamet trademark i do not understand to have women talk without inflection , as if they are just reading the words for the first time .	1	-1	 it[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] mamet[0] trademark[0] i[0] do[0] not[0] understand[0] to[0] have[0] women[0] talk[0] without[0] inflection[0] as[0] if[0] they[0] are[0] just[0] reading[0] the[0] words[0] for[0] the[0] first[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an irritation and distracts us from what is otherwise a very good thriller . 	it is an irritation and distracts us from what is otherwise a very good thriller .	3	-3	 it[0] is[0] an[0] irritation[-2] and[0] distracts[-1] us[0] from[0] what[0] is[0] otherwise[0] a[0] very[0] good[1][1 LastWordBoosterStrength] thriller[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it is one i rate an 8 on the 0 to 10 scale and a high  2 on the -4 to  4 scale . 	it is one i rate an 8 on the 0 to 10 scale and a high  2 on the -4 to  4 scale .	1	-1	 it[0] is[0] one[0] i[0] rate[0] an[0] 8[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] high[0] 2[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
