 " jaws " is a rare film that grabs your attention before it shows you a single image on screen . 	Translation	Positive	Negative	EmotionRationale
the movie opens with blackness , and only distant , alien-like underwater sounds . 	the movie opens with blackness , and only distant , alien-like underwater sounds .	2	-2	 the[0] movie[0] opens[0] with[0] blackness[0] and[0] only[0] distant[0] alien[-1] like[1] underwater[0] sounds[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then it comes , the first ominous bars of composer john williams' now infamous score . 	then it comes , the first ominous bars of composer john williams' now infamous score .	1	-3	 then[0] it[0] comes[0] the[0] first[0] ominous[-2] bars[0] of[0] composer[0] john[0] williams'[0] now[0] infamous[-1] score[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dah-dum . 	dah-dum .	1	-1	 dah[0] dum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly . 	from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly .	3	-2	 from[0] there[0] director[0] steven[0] spielberg[0] wastes[-1] no[0] time[0] taking[0] us[0] into[0] the[0] water[0] on[0] a[0] midnight[0] swim[0] with[0] a[0] beautiful[2] girl[0] that[0] turns[0] deadly[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
right away he lets us know how vulnerable we all are floating in the ocean , and once " jaws " has attacked , it never relinquishes its grip . 	right away he lets us know how vulnerable we all are floating in the ocean , and once " jaws " has attacked , it never relinquishes its grip .	1	-3	 right[0] away[0] he[0] lets[0] us[0] know[0] how[0] vulnerable[-2] we[0] all[0] are[0] floating[0] in[0] the[0] ocean[0] and[0] once[0] jaws[0] has[0] attacked[-2] it[0] never[0] relinquishes[0] its[0] grip[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps what is most outstanding about " jaws " is how spielberg builds the movie . 	perhaps what is most outstanding about " jaws " is how spielberg builds the movie .	3	-1	 perhaps[0] what[0] is[0] most[0] outstanding[2] about[0] jaws[0] is[0] how[0] spielberg[0] builds[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he works it like a theatrical production , with a first act and a second act . 	he works it like a theatrical production , with a first act and a second act .	2	-1	 he[0] works[0] it[0] like[1] a[0] theatrical[0] production[0] with[0] a[0] first[0] act[0] and[0] a[0] second[0] act[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act . 	unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act .	3	-2	 unlike[0] so[0] many[0] modern[0] filmmakers[0] he[0] has[0] a[0] great[2] deal[0] of[0] restraint[0] and[0] refuses[-1] to[0] show[0] us[0] the[0] shark[-1] until[0] the[0] middle[0] of[0] the[0] second[0] act[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music . 	until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music .	1	-1	 until[0] then[0] he[0] merely[0] suggests[0] its[0] presence[0] with[0] creepy[0] subjective[0] underwater[0] shots[0] and[0] williams'[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying . 	he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying .	2	-4	 he's[0] building[0] the[0] tension[-2] bit[0] by[0] bit[0] so[0] when[0] it[0] comes[0] time[0] for[0] the[0] climax[0] the[0] shark's[0] arrival[0] is[0] truly[1] terrifying[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he doesn't let us get bored with the imagery . 	he doesn't let us get bored with the imagery .	1	-2	 he[0] doesn't[0] let[0] us[0] get[0] bored[-1] with[0] the[0] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years . 	the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years .	1	-4	 the[0] first[0] act[0] opens[0] with[0] police[0] chief[0] martin[0] brody[0] roy[0] scheider[0] a[0] new[0] york[0] cop[0] who[0] has[0] taken[0] an[0] easy[0] peaceful[0] job[0] running[0] the[0] police[0] station[0] on[0] amity[0] island[0] a[0] fictitious[0] new[0] england[0] resort[0] town[0] where[0] there[0] hasn't[0] been[0] a[0] murder[-3] or[0] a[0] gun[-1] fired[-2] in[0] 25[0] years[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money . 	the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money .	3	-4	 the[0] island[0] is[0] shaken[-1] up[0] by[0] several[0] vicious[-3] great[2] white[0] shark[-1] attacks[-2] right[0] before[0] the[0] fourth[0] of[0] july[0] and[0] the[0] mayor[0] larry[0] vaughn[0] murray[0] hamilton[0] doesn't[0] want[0] to[0] shut[0] down[0] the[0] beaches[0] because[0] the[0] island[0] is[0] reliant[0] on[0] summer[0] tourist[0] money[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute . 	brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute .	1	-2	 brody[0] is[0] joined[0] by[0] matt[0] hooper[0] richard[0] dreyfuss[0] a[0] young[0] ambitious[0] shark[-1] expert[0] from[0] the[0] marine[0] institute[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( " it's a perfect engine , an eating machine " ) make it that much more terrifying . 	hooper is as fascinated by the shark as he is determined to help brody stop it - his knowledge about the exact workings of the shark ( " it's a perfect engine , an eating machine " ) make it that much more terrifying .	2	-4	 hooper[0] is[0] as[0] fascinated[0] by[0] the[0] shark[-1] as[0] he[0] is[0] determined[0] to[0] help[0] brody[0] stop[0] it[0] his[0] knowledge[0] about[0] the[0] exact[0] workings[0] of[0] the[0] shark[-1] it's[0] a[0] perfect[1] engine[0] an[0] eating[0] machine[0] make[0] it[0] that[0] much[0] more[0] terrifying[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark . 	when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark .	1	-2	 when[0] vaughn[0] finally[0] relents[0] hooper[0] and[0] brody[0] join[0] a[0] crusty[0] old[0] shark[-1] killer[-1] named[0] quint[0] robert[0] shaw[0] on[0] his[0] decrepit[0] boat[0] the[0] orca[0] to[0] search[0] for[0] the[0] shark[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
