on seeing the outrageous previews for bulworth one wonders what plot could possibly allow beatty get away with making those statements ( in case you missed it , warren beatty plays a politician on the campaign trail . 	Translation	Positive	Negative	EmotionRationale
he says to a black congregation " . . . if you can't cut down on malt liquor and chicken wings and get behind someone other than a running back who stabs his wife , you're never gonna get rid of me . " ) 	he says to a black congregation " .<br> .<br> .<br> if you can't cut down on malt liquor and chicken wings and get behind someone other than a running back who stabs his wife , you're never gonna get rid of me .<br> " )	1	-2	 he[0] says[0] to[0] a[0] black[0] congregation[0] [[Sentence=-1,1=word max, 1-5]] if[0] you[0] can't[0] cut[0] down[0] on[0] malt[0] liquor[0] and[0] chicken[0] wings[0] and[0] get[0] behind[0] someone[0] other[0] than[0] a[0] running[0] back[0] who[0] stabs[-1] his[0] wife[0] you're[0] never[0] gonna[0] get[0] rid[-1] of[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , there is such a plot , and it works very well in this comedy . 	well , there is such a plot , and it works very well in this comedy .	1	-1	 well[0] there[0] is[0] such[0] a[0] plot[0] and[0] it[0] works[0] very[0] well[0] in[0] this[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beatty plays jay billington bulworth , a long-time democratic senator from california . 	beatty plays jay billington bulworth , a long-time democratic senator from california .	2	-1	 beatty[0] plays[1] jay[0] billington[0] bulworth[0] a[0] long[0] time[0] democratic[0] senator[0] from[0] california[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie opens on a painfully repetitious montage of bulworth's latest commercials condemning affirmative action . 	the movie opens on a painfully repetitious montage of bulworth's latest commercials condemning affirmative action .	1	-4	 the[0] movie[0] opens[0] on[0] a[0] painfully[-3] repetitious[0] montage[0] of[0] bulworth's[0] latest[0] commercials[0] condemning[-1] affirmative[0] action[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the montage is ironically intercut with pictures of martin luther king and bulworth in his youth working with jack kennedy . 	the montage is ironically intercut with pictures of martin luther king and bulworth in his youth working with jack kennedy .	1	-2	 the[0] montage[0] is[0] ironically[-1] intercut[0] with[0] pictures[0] of[0] martin[0] luther[0] king[0] and[0] bulworth[0] in[0] his[0] youth[0] working[0] with[0] jack[0] kennedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when we finally lay eyes on bulworth he is morosely weeping in front of his tv , having gone without food or sleep for days . 	when we finally lay eyes on bulworth he is morosely weeping in front of his tv , having gone without food or sleep for days .	1	-3	 when[0] we[0] finally[0] lay[0] eyes[0] on[0] bulworth[0] he[0] is[0] morosely[0] weeping[-2] in[0] front[0] of[0] his[0] tv[0] having[0] gone[0] without[0] food[0] or[0] sleep[0] for[0] days[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his campaign is entering the final weekend before the primaries but his depression has sunk in too far for him to care . 	his campaign is entering the final weekend before the primaries but his depression has sunk in too far for him to care .	2	-4	 his[0] campaign[0] is[0] entering[0] the[0] final[0] weekend[0] before[0] the[0] primaries[0] but[0] his[0] depression[-3] has[0] sunk[0] in[0] too[0] far[0] for[0] him[0] to[0] care[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
first he calls a lobbyist from the insurance industry to get a bribe - a  10 million life insurance policy in his daughter's name . 	first he calls a lobbyist from the insurance industry to get a bribe - a  10 million life insurance policy in his daughter's name .	1	-2	 first[0] he[0] calls[0] a[0] lobbyist[0] from[0] the[0] insurance[0] industry[0] to[0] get[0] a[0] bribe[-1] a[0] 10[0] million[0] life[0] insurance[0] policy[0] in[0] his[0] daughter's[0] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then he calls an associate to arrange for his own assassination . 	then he calls an associate to arrange for his own assassination .	1	-3	 then[0] he[0] calls[0] an[0] associate[0] to[0] arrange[0] for[0] his[0] own[0] assassination[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his assistant murphy ( oliver platt ) is oblivious to bulworth's suicidal state and drags him to his speaking engagements . 	his assistant murphy ( oliver platt ) is oblivious to bulworth's suicidal state and drags him to his speaking engagements .	1	-1	 his[0] assistant[0] murphy[0] oliver[0] platt[0] is[0] oblivious[0] to[0] bulworth's[0] suicidal[0] state[0] and[0] drags[0] him[0] to[0] his[0] speaking[0] engagements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bulworth halfheartedly reads his speech at an african-american church , then takes questions from the audience . 	bulworth halfheartedly reads his speech at an african-american church , then takes questions from the audience .	1	-1	 bulworth[0] halfheartedly[0] reads[0] his[0] speech[0] at[0] an[0] african[0] american[0] church[0] then[0] takes[0] questions[0] from[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is hit hard with questions about his voting record . 	he is hit hard with questions about his voting record .	1	-1	 he[0] is[0] hit[0] hard[0] with[0] questions[0] about[0] his[0] voting[0] record[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he had promised money to help rebuild the community after the riots , and it hasn't shown up . 	he had promised money to help rebuild the community after the riots , and it hasn't shown up .	2	-1	 he[0] had[0] promised[1] money[0] to[0] help[0] rebuild[0] the[0] community[0] after[0] the[0] riots[0] and[0] it[0] hasn't[0] shown[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since he's a dead man anyway , he figures he'll answer truthfully : he and bill clinton and newt gingrich came to l . a . for the photo opportunity . 	since he's a dead man anyway , he figures he'll answer truthfully : he and bill clinton and newt gingrich came to l .<br> a .<br> for the photo opportunity .	2	-3	 since[0] he's[0] a[0] dead[-2] man[0] anyway[0] he[0] figures[0] he'll[0] answer[0] truthfully[1] he[0] and[0] bill[0] clinton[0] and[0] newt[0] gingrich[0] came[0] to[0] l[0] [[Sentence=-3,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] for[0] the[0] photo[0] opportunity[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
they made some promises that improved their public image for a while , and then counted on the media and the public to eventually forget about the promises they made . 	they made some promises that improved their public image for a while , and then counted on the media and the public to eventually forget about the promises they made .	2	-1	 they[0] made[0] some[0] promises[1][-1 LastWordBoosterStrength] that[0] improved[1] their[0] public[0] image[0] for[0] a[0] while[0] and[0] then[0] counted[0] on[0] the[0] media[0] and[0] the[0] public[0] to[0] eventually[0] forget[0] about[0] the[0] promises[1] they[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the shock and outrage from the congregation grows , the questions keep coming , and he keeps shooting back honest , if ugly , answers . 	the shock and outrage from the congregation grows , the questions keep coming , and he keeps shooting back honest , if ugly , answers .	1	-3	 the[0] shock[-2] and[0] outrage[-2] from[0] the[0] congregation[0] grows[0] the[0] questions[0] keep[0] coming[0] and[0] he[0] keeps[0] shooting[-1] back[0] honest[0] if[0] ugly[-2] answers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( before i go further , i'd like to make a distinction that the denver post failed to make , and that is that characterizing african-americans as malt-liquor drinking o . j . 	 ( before i go further , i'd like to make a distinction that the denver post failed to make , and that is that characterizing african-americans as malt-liquor drinking o .<br> j .	2	-3	 before[0] i[0] go[0] further[0] i'd[0] like[1] to[0] make[0] a[0] distinction[0] that[0] the[0] denver[0] post[0] failed[-2] to[0] make[0] and[0] that[0] is[0] that[0] characterizing[0] african[0] americans[0] as[0] malt[0] liquor[0] drinking[0] o[0] [[Sentence=-3,2=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
fans is not part of bulworth's " truth . " 	fans is not part of bulworth's " truth .<br> "	2	-1	 fans[0] is[0] not[0] part[0] of[0] bulworth's[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that line is in the trailers but it should not be praised like the other political confessions he makes in the movie . 	that line is in the trailers but it should not be praised like the other political confessions he makes in the movie .	2	-3	 that[0] line[0] is[0] in[0] the[0] trailers[0] but[0] it[0] should[0] not[0] be[0] praised[2][NegatedDueToPreviousWord] like[1] the[0] other[0] political[0] confessions[-1] he[0] makes[0] in[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the critics praise beatty for speaking the truth about politics , this line is not what they're talking about . ) 	when the critics praise beatty for speaking the truth about politics , this line is not what they're talking about .<br> )	3	-1	 when[0] the[0] critics[0] praise[2] beatty[0] for[0] speaking[0] the[0] truth[1] about[0] politics[0] this[0] line[0] is[0] not[0] what[0] they're[0] talking[0] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the experience is liberating . 	the experience is liberating .	1	-1	 the[0] experience[0] is[0] liberating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with nothing left to lose , bulworth is no longer restricted to burping generic platitudes out of both sides of his mouth . 	with nothing left to lose , bulworth is no longer restricted to burping generic platitudes out of both sides of his mouth .	1	-2	 with[0] nothing[0] left[0] to[0] lose[-1] bulworth[0] is[0] no[0] longer[0] restricted[-1] to[0] burping[0] generic[0] platitudes[0] out[0] of[0] both[0] sides[0] of[0] his[0] mouth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he can say whatever he wants because he's going to be dead anyway . 	he can say whatever he wants because he's going to be dead anyway .	1	-3	 he[0] can[0] say[0] whatever[0] he[0] wants[0] because[0] he's[0] going[0] to[0] be[0] dead[-2] anyway[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
