notice : this is a review and analysis of exotica . 	Translation	Positive	Negative	EmotionRationale
the first part of this piece is the review , the second part contains some analysis of the movie which might be construed as spoilers . 	the first part of this piece is the review , the second part contains some analysis of the movie which might be construed as spoilers .	1	-2	 the[0] first[0] part[0] of[0] this[0] piece[0] is[0] the[0] review[0] the[0] second[0] part[0] contains[0] some[0] analysis[0] of[0] the[0] movie[0] which[0] might[0] be[0] construed[0] as[0] spoilers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you have not seen the movie and after reading the first part you intend to do so , then save the second part for the discussion afterwards . 	if you have not seen the movie and after reading the first part you intend to do so , then save the second part for the discussion afterwards .	2	-1	 if[0] you[0] have[0] not[0] seen[0] the[0] movie[0] and[0] after[0] reading[0] the[0] first[0] part[0] you[0] intend[0] to[0] do[0] so[0] then[0] save[1] the[0] second[0] part[0] for[0] the[0] discussion[0] afterwards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
starring : bruce greenwood , mia kirshner , elias kosteas , don mckellar , arsinee khanijian , sarah polley director : atom egoyan screenplay : atom egoyan 	starring : bruce greenwood , mia kirshner , elias kosteas , don mckellar , arsinee khanijian , sarah polley director : atom egoyan screenplay : atom egoyan	1	-1	 starring[0] bruce[0] greenwood[0] mia[0] kirshner[0] elias[0] kosteas[0] don[0] mckellar[0] arsinee[0] khanijian[0] sarah[0] polley[0] director[0] atom[0] egoyan[0] screenplay[0] atom[0] egoyan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exotica is a film that grows on retrospection . 	exotica is a film that grows on retrospection .	1	-1	 exotica[0] is[0] a[0] film[0] that[0] grows[0] on[0] retrospection[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exotica keeps the viewer guessing about the relationship between the various characters in the film . 	exotica keeps the viewer guessing about the relationship between the various characters in the film .	1	-1	 exotica[0] keeps[0] the[0] viewer[0] guessing[0] about[0] the[0] relationship[0] between[0] the[0] various[0] characters[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of the people know each other , but apart from that , there seems to be no other reason why to select such set and follow them in this fictional account . 	all of the people know each other , but apart from that , there seems to be no other reason why to select such set and follow them in this fictional account .	1	-1	 all[0] of[0] the[0] people[0] know[0] each[0] other[0] but[0] apart[0] from[0] that[0] there[0] seems[0] to[0] be[0] no[0] other[0] reason[0] why[0] to[0] select[0] such[0] set[0] and[0] follow[0] them[0] in[0] this[0] fictional[0] account[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director hints for possible solutions , using a multi-line plot , so popular with critics in mystery train , and used to good advantage by quentin tarantino in pulp fiction . 	the director hints for possible solutions , using a multi-line plot , so popular with critics in mystery train , and used to good advantage by quentin tarantino in pulp fiction .	2	-1	 the[0] director[0] hints[0] for[0] possible[0] solutions[0] using[0] a[0] multi[0] line[0] plot[0] so[0] popular[0] with[0] critics[0] in[0] mystery[0] train[0] and[0] used[0] to[0] good[1] advantage[0] by[0] quentin[0] tarantino[0] in[0] pulp[0] fiction[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
exotica reaches a whole new dimension using this technique . 	exotica reaches a whole new dimension using this technique .	1	-1	 exotica[0] reaches[0] a[0] whole[0] new[0] dimension[0] using[0] this[0] technique[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the end it is surprising to see how well the pieces of the puzzle fit together , in spite their apparent unconnectedness and even misleading features . 	at the end it is surprising to see how well the pieces of the puzle fit together , in spite their apparent unconnectedness and even misleading features .	1	-4	 at[0] the[0] end[0] it[0] is[0] surprising[0] to[0] see[0] how[0] well[0] the[0] pieces[0] of[0] the[0] puzzle/puzle[0] fit[0] together[0] in[0] spite[-3] their[0] apparent[0] unconnectedness[0] and[0] even[0] misleading[0] features[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the out-of-chronological-order technique has become ever so popular , perhaps even de rigueur , for biographical films . 	the out-of-chronological-order technique has become ever so popular , perhaps even de rigueur , for biographical films .	1	-1	 the[0] out[0] of[0] chronological[0] order[0] technique[0] has[0] become[0] ever[0] so[0] popular[0] perhaps[0] even[0] de[0] rigueur[0] for[0] biographical[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
similarly , we can now expect to see more movies in the future which will use , to varying extent , converging multiplots . 	similarly , we can now expect to see more movies in the future which will use , to varying extent , converging multiplots .	1	-1	 similarly[0] we[0] can[0] now[0] expect[0] to[0] see[0] more[0] movies[0] in[0] the[0] future[0] which[0] will[0] use[0] to[0] varying[0] extent[0] converging[0] multiplots[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a first glance , once the multi-plot puzzle in exotica is solved , there seems to be little left to look at . 	on a first glance , once the multi-plot puzle in exotica is solved , there seems to be little left to look at .	1	-1	 on[0] a[0] first[0] glance[0] once[0] the[0] multi[0] plot[0] puzzle/puzle[0] in[0] exotica[0] is[0] solved[0] there[0] seems[0] to[0] be[0] little[0] left[0] to[0] look[0] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but perceptive minds which take the time to dig further will be rewarded with interesting views on life or rather , commentaries on views of life . 	but perceptive minds which take the time to dig further will be rewarded with interesting views on life or rather , commentaries on views of life .	2	-1	 but[0] perceptive[0] minds[0] which[0] take[0] the[0] time[0] to[0] dig[0] further[0] will[0] be[0] rewarded[1] with[0] interesting[1] views[0] on[0] life[0] or[0] rather[0] commentaries[0] on[0] views[0] of[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
exotica is very much worth seeing . 	exotica is very much worth seeing .	1	-1	 exotica[0] is[0] very[0] much[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
