alien 3 is the only alien film i have seen in theaters . 	Translation	Positive	Negative	EmotionRationale
i saw it when i was 13 years old , and i must admit that i didn't like it . 	i saw it when i was 13 years old , and i must admit that i didn't like it .	2	-1	 i[0] saw[0] it[0] when[0] i[0] was[0] 13[0] years[0] old[0] and[0] i[0] must[0] admit[0] that[0] i[0] didn't[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , i was expecting aliens again , and i believe this was my fault . 	of course , i was expecting aliens again , and i believe this was my fault .	1	-2	 of[0] course[0] i[0] was[0] expecting[0] aliens[0] again[0] and[0] i[0] believe[0] this[0] was[0] my[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in order to appreciate alien 3 , you need to see aliens , but you also have to wipe away all the expectations from its predecessor . 	in order to appreciate alien 3 , you need to see aliens , but you also have to wipe away all the expectations from its predecessor .	2	-2	 in[0] order[0] to[0] appreciate[1] alien[-1] 3[0] you[0] need[0] to[0] see[0] aliens[0] but[0] you[0] also[0] have[0] to[0] wipe[0] away[0] all[0] the[0] expectations[0] from[0] its[0] predecessor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
james cameron's aliens was an action film , and many people consider it the best in the series . 	james cameron's aliens was an action film , and many people consider it the best in the series .	2	-1	 james[0] cameron's[0] aliens[0] was[0] an[0] action[0] film[0] and[0] many[0] people[0] consider[0] it[0] the[0] best[1] in[0] the[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i am among that group , but alien 3 is an extremely entertaining film , which critics have bashed for its originality . 	i am among that group , but alien 3 is an extremely entertaining film , which critics have bashed for its originality .	1	-2	 i[0] am[0] among[0] that[0] group[0] but[0] alien[-1] 3[0] is[0] an[0] extremely[0] entertaining[0] film[0] which[0] critics[0] have[0] bashed[0] for[0] its[0] originality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many thought the final chase scene went on for too long , and many others thought that the film was too much dialogue and not enough action . 	many thought the final chase scene went on for too long , and many others thought that the film was too much dialogue and not enough action .	1	-2	 many[0] thought[0] the[0] final[0] chase[-1] scene[0] went[0] on[0] for[0] too[0] long[0] and[0] many[0] others[0] thought[0] that[0] the[0] film[0] was[0] too[0] much[0] dialogue[0] and[0] not[0] enough[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both are untrue , because the film has quite a bit of action , and the dialogue was essential and well-written . 	both are untrue , because the film has quite a bit of action , and the dialogue was essential and well-written .	1	-2	 both[0] are[0] untrue[-1] because[0] the[0] film[0] has[0] quite[0] a[0] bit[0] of[0] action[0] and[0] the[0] dialogue[0] was[0] essential[0] and[0] well[0] written[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for the chase sequence , it was long , but not overly long , creating quite a bit of suspense from confusion . 	as for the chase sequence , it was long , but not overly long , creating quite a bit of suspense from confusion .	1	-2	 as[0] for[0] the[0] chase[-1] sequence[0] it[0] was[0] long[0] but[0] not[0] overly[0] long[0] creating[0] quite[0] a[0] bit[0] of[0] suspense[0] from[0] confusion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps watching alien 3 on video helped . 	perhaps watching alien 3 on video helped .	1	-2	 perhaps[0] watching[0] alien[-1] 3[0] on[0] video[0] helped[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the big screen , i was overwhelmed by something i normally didn't see . 	on the big screen , i was overwhelmed by something i normally didn't see .	1	-3	 on[0] the[0] big[0] screen[0] i[0] was[0] overwhelmed[-2] by[0] something[0] i[0] normally[0] didn't[0] see[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was a very dark film , and the language was extremely harsh . 	it was a very dark film , and the language was extremely harsh .	1	-4	 it[0] was[0] a[0] very[0] dark[0] film[0] and[0] the[0] language[0] was[0] extremely[0] harsh[-1][-2 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i had always figured the alien series to rely on smart dialogue instead of moronic profanities . 	i had always figured the alien series to rely on smart dialogue instead of moronic profanities .	2	-3	 i[0] had[0] always[0] figured[0] the[0] alien[-1] series[0] to[0] rely[0] on[0] smart[1] dialogue[0] instead[0] of[0] moronic[-2] profanities[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
