there's more to a quilt than fabric and thread--each patchwork design has its own unique story ( or stories ) to tell . 	Translation	Positive	Negative	EmotionRationale
in how to make an american quilt , the first hollywood release from australian director jocelyn moorhouse ( proof ) , we come to understand how the tales of the seven makers imbue their creation with passion and vitality . 	in how to make an american quilt , the first hollywood release from australian director jocelyn moorhouse ( proof ) , we come to understand how the tales of the seven makers imbue their creation with passion and vitality .	3	-1	 in[0] how[0] to[0] make[0] an[0] american[0] quilt[0] the[0] first[0] hollywood[0] release[0] from[0] australian[0] director[0] jocelyn[0] moorhouse[0] proof[0] we[0] come[0] to[0] understand[0] how[0] the[0] tales[0] of[0] the[0] seven[0] makers[0] imbue[0] their[0] creation[0] with[0] passion[2] and[0] vitality[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
all the sorrows , joys , longings , sufferings , and loves of these women are sewn into their quilt and , as their bittersweet memories are given expression , one young woman applies these lessons of the past to her own uncertain future . 	all the sorrows , joys , longings , sufferings , and loves of these women are sewn into their quilt and , as their bittersweet memories are given expression , one young woman applies these lessons of the past to her own uncertain future .	3	-3	 all[0] the[0] sorrows[-2] joys[2] longings[-2] sufferings[0] and[0] loves[2] of[0] these[0] women[0] are[0] sewn[0] into[0] their[0] quilt[0] and[0] as[0] their[0] bittersweet[0] memories[0] are[0] given[0] expression[0] one[0] young[0] woman[0] applies[0] these[0] lessons[0] of[0] the[0] past[0] to[0] her[0] own[0] uncertain[0] future[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
motion pictures are filled with male bonding rituals ; how to make an american quilt presents a distinctly feminine alternative . 	motion pictures are filled with male bonding rituals ; how to make an american quilt presents a distinctly feminine alternative .	1	-1	 motion[0] pictures[0] are[0] filled[0] with[0] male[0] bonding[0] rituals[0] how[0] to[0] make[0] an[0] american[0] quilt[0] presents[0] a[0] distinctly[0] feminine[0] alternative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the " quilting bee " consists of seven members : sisters gladys ( ann bancroft ) and hy ( ellen burstyn ) ; sophia ( lois smith ) , a woman known for frightening children ; emma ( jean simmons ) , the timid wife of a perpetually unfaithful man ; constance ( kate nelligan ) , who has been having an affair with emma's husband ; anna ( maya angelou ) , the leader of the group ; and marianna ( alfre woodard ) , anna's daughter . 	the " quilting bee " consists of seven members : sisters gladys ( an bancroft ) and hy ( ellen burstyn ) ; sophia ( lois smith ) , a woman known for frightening children ; emma ( jean simmons ) , the timid wife of a perpetually unfaithful man ; constance ( kate nelligan ) , who has been having an affair with emma's husband ; anna ( maya angelou ) , the leader of the group ; and marianna ( alfre woodard ) , anna's daughter .	1	-4	 the[0] quilting[0] bee[0] consists[0] of[0] seven[0] members[0] sisters[0] gladys[0] ann/an[0] bancroft[0] and[0] hy[0] ellen[0] burstyn[0] sophia[0] lois[0] smith[0] a[0] woman[0] known[0] for[0] frightening[-3] children[0] emma[0] jean[0] simmons[0] the[0] timid[-1] wife[0] of[0] a[0] perpetually[0] unfaithful[-1] man[0] constance[0] kate[0] nelligan[0] who[0] has[0] been[0] having[0] an[0] affair[0] with[0] emma's[0] husband[0] anna[0] maya[0] angelou[0] the[0] leader[0] of[0] the[0] group[0] and[0] marianna[0] alfre[0] woodard[0] anna's[0] daughter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the project they're busy with is the wedding quilt for hy's granddaughter , finn ( winona ryder ) , who has just become engaged . 	the project they're busy with is the wedding quilt for hy's granddaughter , fin ( winona ryder ) , who has just become engaged .	1	-1	 the[0] project[0] they're[0] busy[0] with[0] is[0] the[0] wedding[0] quilt[0] for[0] hy's[0] granddaughter[0] finn/fin[0] winona[0] ryder[0] who[0] has[0] just[0] become[0] engaged[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's spending the summer with hy and gladys , and away from her fiance , to decide whether a lifelong commitment is really what she wants , and whether it's better to marry a friend or a lover . 	she's spending the summer with hy and gladys , and away from her fiance , to decide whether a lifelong commitment is really what she wants , and whether it's better to marry a friend or a lover .	4	-1	 she's[0] spending[0] the[0] summer[0] with[0] hy[0] and[0] gladys[0] and[0] away[0] from[0] her[0] fiance[0] to[0] decide[0] whether[0] a[0] lifelong[0] commitment[0] is[0] really[0] what[0] she[0] wants[0] and[0] whether[0] it's[0] better[0] to[0] marry[0] a[0] friend[1] or[0] a[0] lover[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one of the greatest pleasures of how to make an american quilt comes from watching an array of fine performances by an impressive ensemble cast . 	one of the greatest pleasures of how to make an american quilt comes from watching an array of fine performances by an impressive ensemble cast .	4	-1	 one[0] of[0] the[0] greatest[2] pleasures[2][+1 MultiplePositiveWords] of[0] how[0] to[0] make[0] an[0] american[0] quilt[0] comes[0] from[0] watching[0] an[0] array[0] of[0] fine[2] performances[0] by[0] an[0] impressive[1] ensemble[0] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
from winona ryder , ann bancroft , ellen burstyn , and maya angelou to minor players like rip torn , claire danes , and kate capshaw , this film is overflowing with realized talent . 	from winona ryder , an bancroft , ellen burstyn , and maya angelou to minor players like rip torn , claire danes , and kate capshaw , this film is overflowing with realized talent .	2	-2	 from[0] winona[0] ryder[0] ann/an[0] bancroft[0] ellen[0] burstyn[0] and[0] maya[0] angelou[0] to[0] minor[0] players[0] like[1] rip[-1] torn[0] claire[0] danes[0] and[0] kate[0] capshaw[0] this[0] film[0] is[0] overflowing[-1] with[0] realized[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the performances are good enough , in fact , to cover up many of the script's weaknesses . 	the performances are good enough , in fact , to cover up many of the script's weaknesses .	2	-2	 the[0] performances[0] are[0] good[1] enough[0] in[0] fact[0] to[0] cover[0] up[0] many[0] of[0] the[0] script's[0] weaknesses[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
how to make an american quilt is basically an unremarkable , if affecting , tale of love across the generations--a sort of truncated american version of the joy luck club , with a dash of fried green tomatoes added . 	how to make an american quilt is basically an unremarkable , if affecting , tale of love across the generations-a sort of truncated american version of the joy luck club , with a dash of fried green tomatoes added .	4	-1	 how[0] to[0] make[0] an[0] american[0] quilt[0] is[0] basically[0] an[0] unremarkable[0] if[0] affecting[0] tale[0] of[0] love[2] across[0] the[0] generations[0] a[0] sort[0] of[0] truncated[0] american[0] version[0] of[0] the[0] joy[2] luck[2][+1 MultiplePositiveWords] club[0] with[0] a[0] dash[0] of[0] fried[0] green[0] tomatoes[0] added[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
