quentin tarantino seems to have a knack for giving his stars big careers . 	Translation	Positive	Negative	EmotionRationale
after his pulp fiction , many actors began receiving many offers for jobs . 	after his pulp fiction , many actors began receiving many offers for jobs .	1	-1	 after[0] his[0] pulp[0] fiction[0] many[0] actors[0] began[0] receiving[0] many[0] offers[0] for[0] jobs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john travolta made his come-back and is now one of today's most bankable stars . 	john travolta made his come-back and is now one of today's most bankable stars .	1	-1	 john[0] travolta[0] made[0] his[0] come[0] back[0] and[0] is[0] now[0] one[0] of[0] today's[0] most[0] bankable[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bruce willis proved his acting chops and is now considered an actual actor . 	bruce willis proved his acting chops and is now considered an actual actor .	1	-1	 bruce[0] willis[0] proved[0] his[0] acting[0] chops[0] and[0] is[0] now[0] considered[0] an[0] actual[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie brown , on the other hand , boasts quite a well known cast , except for the main lead : pam grier . 	jackie brown , on the other hand , boasts quite a well known cast , except for the main lead : pam grier .	1	-2	 jackie[0] brown[0] on[0] the[0] other[0] hand[0] boasts[-1] quite[0] a[0] well[0] known[0] cast[0] except[0] for[0] the[0] main[0] lead[0] pam[0] grier[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most likely you have heard of her and seen her in films , but she's never really had a breakthrough performance ( her first film was in the roger ebert-written beyond the valley of the dolls ) . 	most likely you have heard of her and seen her in films , but she's never really had a breakthrough performance ( her first film was in the roger ebert-written beyond the valley of the dolls ) .	1	-1	 most[0] likely[0] you[0] have[0] heard[0] of[0] her[0] and[0] seen[0] her[0] in[0] films[0] but[0] she's[0] never[0] really[0] had[0] a[0] breakthrough[0] performance[0] her[0] first[0] film[0] was[0] in[0] the[0] roger[0] ebert[0] written[0] beyond[0] the[0] valley[0] of[0] the[0] dolls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is , until now . 	that is , until now .	1	-1	 that[0] is[0] until[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie brown is a highly anticipated feature film from quentin tarantino , whose last film was the huge hit pulp fiction . 	jackie brown is a highly anticipated feature film from quentin tarantino , whose last film was the huge hit pulp fiction .	1	-1	 jackie[0] brown[0] is[0] a[0] highly[0] anticipated[0] feature[0] film[0] from[0] quentin[0] tarantino[0] whose[0] last[0] film[0] was[0] the[0] huge[0] hit[0] pulp[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after mediocre acting jobs , tarantino returns to what made his name a household one : directing and writing . 	after mediocre acting jobs , tarantino returns to what made his name a household one : directing and writing .	1	-2	 after[0] mediocre[-1] acting[0] jobs[0] tarantino[0] returns[0] to[0] what[0] made[0] his[0] name[0] a[0] household[0] one[0] directing[0] and[0] writing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jackie brown is the result , and it is fantastic entertainment . 	jackie brown is the result , and it is fantastic entertainment .	3	-1	 jackie[0] brown[0] is[0] the[0] result[0] and[0] it[0] is[0] fantastic[2] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite excellent direction from tarantino , the cast steals the film , giving one good performance after another . 	despite excellent direction from tarantino , the cast steals the film , giving one good performance after another .	4	-3	 despite[0] excellent[3] direction[0] from[0] tarantino[0] the[0] cast[0] steals[-2] the[0] film[0] giving[0] one[0] good[1] performance[0] after[0] another[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
