with the release of gattaca , i began to wonder why all science fiction films deal with destructive aliens , or aliens in general . 	Translation	Positive	Negative	EmotionRationale
hollywood has given audiences plenty of thrills with those alien films , but what was usually lacking was a good story . . . 	hollywood has given audiences plenty of thrills with those alien films , but what was usually lacking was a good story .<br> .<br> .	4	-2	 hollywood[0] has[0] given[0] audiences[0] plenty[0] of[0] thrills[3] with[0] those[0] alien[-1] films[0] but[0] what[0] was[0] usually[0] lacking[0] was[0] a[0] good[1] story[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and good characters . . . 	and good characters .<br> .<br> .	2	-1	 and[0] good[1] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and good acting , etc ( contact being the exception ) . 	and good acting , etc ( contact being the exception ) .	2	-1	 and[0] good[1] acting[0] etc[0] contact[0] being[0] the[0] exception[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and for some reason , hollywood has never taken a look at the aliens here on earth . 	and for some reason , hollywood has never taken a look at the aliens here on earth .	1	-1	 and[0] for[0] some[0] reason[0] hollywood[0] has[0] never[0] taken[0] a[0] look[0] at[0] the[0] aliens[0] here[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the closest , that i have seen anyway , was 2001 : a space odyssey , which made mankind an alien race themselves , being dwarfed by the technology which they created . 	the closest , that i have seen anyway , was 2001 : a space odyssey , which made mankind an alien race themselves , being dwarfed by the technology which they created .	1	-2	 the[0] closest[0] that[0] i[0] have[0] seen[0] anyway[0] was[0] 2001[0] a[0] space[0] odyssey[0] which[0] made[0] mankind[0] an[0] alien[-1] race[0] themselves[0] being[0] dwarfed[0] by[0] the[0] technology[0] which[0] they[0] created[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now comes gattaca , another film about technology reigning supreme , except here on our planet . 	now comes gattaca , another film about technology reigning supreme , except here on our planet .	3	-1	 now[0] comes[0] gattaca[0] another[0] film[0] about[0] technology[0] reigning[0] supreme[2] except[0] here[0] on[0] our[0] planet[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the difference between 2001 and this one is simple : gattaca is more frightening . 	the difference between 2001 and this one is simple : gattaca is more frightening .	1	-4	 the[0] difference[0] between[0] 2001[0] and[0] this[0] one[0] is[0] simple[0] gattaca[0] is[0] more[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
most of the concepts of this movie are based on recent discoveries in genetic engineering . 	most of the concepts of this movie are based on recent discoveries in genetic engineering .	1	-1	 most[0] of[0] the[0] concepts[0] of[0] this[0] movie[0] are[0] based[0] on[0] recent[0] discoveries[0] in[0] genetic[0] engineering[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
using this premise , writer/director andrew niccol creates some genuine suspense and thrills . 	using this premise , writer/director andrew niccol creates some genuine suspense and thrills .	4	-1	 using[0] this[0] premise[0] writer/director[0] andrew[0] niccol[0] creates[0] some[0] genuine[0] suspense[0] and[0] thrills[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
unfortunately , due to a lack of advertising , i fear gattaca may fair horribly at the box office . 	unfortunately , due to a lack of advertising , i fear gattaca may fair horribly at the box office .	1	-4	 unfortunately[-1] due[0] to[0] a[0] lack[-1] of[0] advertising[0] i[0] fear[-3] gattaca[0] may[0] fair[0] horribly[-3] at[0] the[0] box[0] office[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
since seeing the film , i have been asking people if they have seen gattaca . 	since seeing the film , i have been asking people if they have seen gattaca .	1	-1	 since[0] seeing[0] the[0] film[0] i[0] have[0] been[0] asking[0] people[0] if[0] they[0] have[0] seen[0] gattaca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lately , however , i have been asking them if they have even heard of gattaca . 	lately , however , i have been asking them if they have even heard of gattaca .	1	-1	 lately[0] however[0] i[0] have[0] been[0] asking[0] them[0] if[0] they[0] have[0] even[0] heard[0] of[0] gattaca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most people don't even realize that it is a film . 	most people don't even realize that it is a film .	1	-1	 most[0] people[0] don't[0] even[0] realize[0] that[0] it[0] is[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite this fact , i surely hope that the audience members who have seen this film will tell their friends about it . 	despite this fact , i surely hope that the audience members who have seen this film will tell their friends about it .	3	-1	 despite[0] this[0] fact[0] i[0] surely[0] hope[2] that[0] the[0] audience[0] members[0] who[0] have[0] seen[0] this[0] film[0] will[0] tell[0] their[0] friends[1] about[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
niccol's film deserves more than what independence day made because it is smarter , better produced , and more realistic . 	niccol's film deserves more than what independence day made because it is smarter , better produced , and more realistic .	2	-1	 niccol's[0] film[0] deserves[0] more[0] than[0] what[0] independence[0] day[0] made[0] because[0] it[0] is[0] smarter[1] better[0] produced[0] and[0] more[0] realistic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gattaca begins in the 21st century . 	gattaca begins in the 21st century .	1	-1	 gattaca[0] begins[0] in[0] the[0] 21st[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
procreating is now done in a petri dish , and genetic engineering is the normal way of doing it . 	procreating is now done in a petri dish , and genetic engineering is the normal way of doing it .	1	-1	 procreating[0] is[0] now[0] done[0] in[0] a[0] petri[0] dish[0] and[0] genetic[0] engineering[0] is[0] the[0] normal[0] way[0] of[0] doing[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
natural child birth is considered old-fashioned . 	natural child birth is considered old-fashioned .	1	-1	 natural[0] child[0] birth[0] is[0] considered[0] old[0] fashioned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are introduced to jerome morrow ( ethan hawke ) , an employee of the gattaca space program . 	we are introduced to jerome morrow ( ethan hawke ) , an employee of the gattaca space program .	1	-1	 we[0] are[0] introduced[0] to[0] jerome[0] morrow[0] ethan[0] hawke[0] an[0] employee[0] of[0] the[0] gattaca[0] space[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
