people who enjoy science fiction are often faced with unpleasant surprises due to the improper labelling of novels , stories , comic books or movies . 	Translation	Positive	Negative	EmotionRationale
often science fiction aficionados find material , previously labelled as science fiction , to be pure fantasy or supernatural horror , or rather simple techno-thriller . 	often science fiction aficionados find material , previously labelled as science fiction , to be pure fantasy or supernatural horror , or rather simple techno-thriller .	2	-4	 often[0] science[0] fiction[0] aficionados[0] find[0] material[0] previously[0] labelled[0] as[0] science[0] fiction[0] to[0] be[0] pure[0] fantasy[0] or[0] supernatural[0] horror[-3] or[0] rather[0] simple[0] techno[0] thriller[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in such cases , mistakes are understandable - genre boundaries are never clearly marked . 	in such cases , mistakes are understandable - genre boundaries are never clearly marked .	1	-2	 in[0] such[0] cases[0] mistakes[-1] are[0] understandable[0] genre[0] boundaries[0] are[0] never[0] clearly[0] marked[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , i believe there are really few cases when a movie labelled as science fiction actually happens to be straight historical epic . 	but , i believe there are really few cases when a movie labelled as science fiction actually happens to be straight historical epic .	1	-1	 but[0] i[0] believe[0] there[0] are[0] really[0] few[0] cases[0] when[0] a[0] movie[0] labelled[0] as[0] science[0] fiction[0] actually[0] happens[0] to[0] be[0] straight[0] historical[0] epic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such thing occurred in former yugoslavia some fifteen years ago , when national distributors gave such treatment to the right stuff , 1983 film directed by philip kaufman . 	such thing occurred in former yugoslavia some fifteen years ago , when national distributors gave such treatment to the right stuff , 1983 film directed by philip kaufman .	1	-1	 such[0] thing[0] occurred[0] in[0] former[0] yugoslavia[0] some[0] fifteen[0] years[0] ago[0] when[0] national[0] distributors[0] gave[0] such[0] treatment[0] to[0] the[0] right[0] stuff[0] 1983[0] film[0] directed[0] by[0] philip[0] kaufman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mistake of the distributors could be explained with the fact that the official poster of the film features men in space suits . 	the mistake of the distributors could be explained with the fact that the official poster of the film features men in space suits .	1	-2	 the[0] mistake[-1] of[0] the[0] distributors[0] could[0] be[0] explained[0] with[0] the[0] fact[0] that[0] the[0] official[0] poster[0] of[0] the[0] film[0] features[0] men[0] in[0] space[0] suits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the right stuff film isn't even fiction . 	but the right stuff film isn't even fiction .	1	-1	 but[0] the[0] right[0] stuff[0] film[0] isn't[0] even[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was based on the non-fiction book by tom wolfe , covering the early years of american space program . 	it was based on the non-fiction book by tom wolfe , covering the early years of american space program .	1	-1	 it[0] was[0] based[0] on[0] the[0] non[0] fiction[0] book[0] by[0] tom[0] wolfe[0] covering[0] the[0] early[0] years[0] of[0] american[0] space[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot of the film begins in 1947 when few people heard of edwards air force base , major test site for experimental planes . 	the plot of the film begins in 1947 when few people heard of edwards air force base , major test site for experimental planes .	1	-2	 the[0] plot[0] of[0] the[0] film[0] begins[0] in[0] 1947[0] when[0] few[0] people[0] heard[0] of[0] edwards[0] air[0] force[-1] base[0] major[0] test[0] site[0] for[0] experimental[0] planes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the major aim of test flights is to determine ability of manned aircraft to reach 1 mach speed and thus break the sound barrier . 	the major aim of test flights is to determine ability of manned aircraft to reach 1 mach speed and thus break the sound barrier .	1	-2	 the[0] major[0] aim[0] of[0] test[0] flights[0] is[0] to[0] determine[0] ability[0] of[0] manned[0] aircraft[0] to[0] reach[0] 1[0] mach[0] speed[0] and[0] thus[0] break[0] the[0] sound[0] barrier[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many pilots tried to achieve that goal and many paid with their lives for such bravado . 	many pilots tried to achieve that goal and many paid with their lives for such bravado .	1	-2	 many[0] pilots[0] tried[0] to[0] achieve[0] that[0] goal[0] and[0] many[0] paid[0] with[0] their[0] lives[0] for[0] such[0] bravado[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but one quiet pilot , chuck eager ( played by sam shaped ) succeeds and thus gives example for whole new generation of test pilots , determined to enter history books by breaking new speed records . 	but one quiet pilot , chuck eager ( played by sam shaped ) succeeds and thus gives example for whole new generation of test pilots , determined to enter history books by breaking new speed records .	3	-1	 but[0] one[0] quiet[0] pilot[0] chuck[0] eager[0] played[0] by[0] sam[0] shaped[0] succeeds[2] and[0] thus[0] gives[0] example[0] for[0] whole[0] new[0] generation[0] of[0] test[0] pilots[0] determined[0] to[0] enter[0] history[0] books[0] by[0] breaking[0] new[0] speed[0] records[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ten years later , soviets have launched " sputnik " marking the beginning of the space age . 	ten years later , soviets have launched " sputnik " marking the beginning of the space age .	1	-1	 ten[0] years[0] later[0] soviets[0] have[0] launched[0] sputnik[0] marking[0] the[0] beginning[0] of[0] the[0] space[0] age[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in order to regain national prestige , us government decides to be the first to send man into space . 	in order to regain national prestige , us government decides to be the first to send man into space .	1	-1	 in[0] order[0] to[0] regain[0] national[0] prestige[0] us[0] government[0] decides[0] to[0] be[0] the[0] first[0] to[0] send[0] man[0] into[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
best air force , navy and marine pilots are recruited into program , but not yeager , because he lacks college education and desired all-american image . 	best air force , navy and marine pilots are recruited into program , but not yeager , because he lacks college education and desired all-american image .	2	-2	 best[1] air[0] force[-1] navy[0] and[0] marine[0] pilots[0] are[0] recruited[0] into[0] program[0] but[0] not[0] yeager[0] because[0] he[0] lacks[0] college[0] education[0] and[0] desired[0] all[0] american[0] image[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in one of critics' polls the right stuff was named as one among top 10 films made in 1980s . 	in one of critics' polls the right stuff was named as one among top 10 films made in 1980s .	1	-1	 in[0] one[0] of[0] critics'[0] polls[0] the[0] right[0] stuff[0] was[0] named[0] as[0] one[0] among[0] top[0] 10[0] films[0] made[0] in[0] 1980s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
