plot : odin is a great high school basketball player . 	Translation	Positive	Negative	EmotionRationale
he's dating a hot girl and the coach loves his ass . 	he's dating a hot girl and the coach loves his ass .	3	-1	 he's[0] dating[0] a[0] hot[0] girl[0] and[0] the[0] coach[0] loves[2] his[0] ass[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , the coach even admits to having fatherly feelings towards him . 	in fact , the coach even admits to having fatherly feelings towards him .	1	-1	 in[0] fact[0] the[0] coach[0] even[0] admits[0] to[0] having[0] fatherly[0] feelings[0] towards[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the coach's real son , hugo , isn't too pleased to hear that . 	unfortunately , the coach's real son , hugo , isn't too pleased to hear that .	1	-2	 unfortunately[-1] the[0] coach's[0] real[0] son[0] hugo[0] isn't[0] too[0] pleased[1][NegatedDueToPreviousWord] to[0] hear[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , he doesn't like hearing about any of odin's triumphs , as they generally supersede his own . 	in fact , he doesn't like hearing about any of odin's triumphs , as they generally supersede his own .	3	-1	 in[0] fact[0] he[0] doesn't[0] like[1] hearing[0] about[0] any[0] of[0] odin's[0] triumphs[2] as[0] they[0] generally[0] supersede[0] his[0] own[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so what does he set out to do ? 	so what does he set out to do ?	1	-1	 so[0] what[0] does[0] he[0] set[0] out[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , let's just say that he starts to mess with people's heads and one thing leads to another thing which leads to . . . well , 	well , let's just say that he starts to mess with people's heads and one thing leads to another thing which leads to .<br> .<br> .<br> well ,	1	-1	 well[0] let's[0] just[0] say[0] that[0] he[0] starts[0] to[0] mess[0] with[0] people's[0] heads[0] and[0] one[0] thing[0] leads[0] to[0] another[0] thing[0] which[0] leads[0] to[0] [[Sentence=-1,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll see . 	you'll see .	1	-1	 you'll[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : a very powerful , thoroughly depressing , well-acted " non-teen " movie starring a bunch of teens . 	critique : a very powerful , thoroughly depressing , well-acted " non-teen " movie starring a bunch of teens .	1	-4	 critique[0] a[0] very[0] powerful[0] thoroughly[0] depressing[-3] well[0] acted[0] non[0] teen[0] movie[0] starring[0] a[0] bunch[0] of[0] teens[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
credit director tim blake nelson for creating a modern day version of this shakespearian classic , set in a realistic high school environment , with the basketball championships as the backdrop and an impending sense of doom as it core . 	credit director tim blake nelson for creating a modern day version of this shakespearian classic , set in a realistic high school environment , with the basketball championships as the backdrop and an impending sense of doom as it core .	1	-2	 credit[0] director[0] tim[0] blake[0] nelson[0] for[0] creating[0] a[0] modern[0] day[0] version[0] of[0] this[0] shakespearian[0] classic[0] set[0] in[0] a[0] realistic[0] high[0] school[0] environment[0] with[0] the[0] basketball[0] championships[0] as[0] the[0] backdrop[0] and[0] an[0] impending[0] sense[0] of[0] doom[-1] as[0] it[0] core[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you also have to give it up to all of the actors in this film , who turn over some very convincing performances , taking you through all of their characters' ups and downs . 	you also have to give it up to all of the actors in this film , who turn over some very convincing performances , taking you through all of their characters' ups and downs .	1	-1	 you[0] also[0] have[0] to[0] give[0] it[0] up[0] to[0] all[0] of[0] the[0] actors[0] in[0] this[0] film[0] who[0] turn[0] over[0] some[0] very[0] convincing[0] performances[0] taking[0] you[0] through[0] all[0] of[0] their[0] characters'[0] ups[0] and[0] downs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
