john cusack is the kind of actor who seems to effortlessly slide into his respective film roles . 	Translation	Positive	Negative	EmotionRationale
so effortlessly that people tend to forget he's there , much in the way people rarely recall many of the great character actors ( anyone who can put the name james rebhorn with that actor's face is invited to treat themselves to a product from one of my sponsors ) . 	so effortlessly that people tend to forget he's there , much in the way people rarely recall many of the great character actors ( anyone who can put the name james rebhorn with that actor's face is invited to treat themselves to a product from one of my sponsors ) .	3	-1	 so[0] effortlessly[0] that[0] people[0] tend[0] to[0] forget[0] he's[0] there[0] much[0] in[0] the[0] way[0] people[0] rarely[0] recall[0] many[0] of[0] the[0] great[2] character[0] actors[0] anyone[0] who[0] can[0] put[0] the[0] name[0] james[0] rebhorn[0] with[0] that[0] actor's[0] face[0] is[0] invited[0] to[0] treat[1] themselves[0] to[0] a[0] product[0] from[0] one[0] of[0] my[0] sponsors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
example : the other day my mother asked me ( the expert , of course ) if there were any movies out worth seeing , never mind that our tastes couldn't be more divergent--- i'll never forget the day she recommended that i go see a night at the roxbury for god sakes , and to be fair she was mightily pissed at me for telling her that go ! 	example : the other day my mother asked me ( the expert , of course ) if there were any movies out worth seeing , never mind that our tastes couldn't be more divergent- i'll never forget the day she recommended that i go see a night at the roxbury for god sakes , and to be fair she was mightily pissed at me for telling her that go !	1	-3	 example[0] the[0] other[0] day[0] my[0] mother[0] asked[0] me[0] the[0] expert[0] of[0] course[0] if[0] there[0] were[0] any[0] movies[0] out[0] worth[0] seeing[0] never[0] mind[0] that[0] our[0] tastes[0] couldn't[0] be[0] more[0] divergent[0] i'll[0] never[0] forget[0] the[0] day[0] she[0] recommended[0] that[0] i[0] go[0] see[0] a[0] night[0] at[0] the[0] roxbury[0] for[0] god[0] sakes[0] and[0] to[0] be[0] fair[0] she[0] was[0] mightily[0] pissed[-2] at[0] me[0] for[0] telling[0] her[0] that[0] go[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
was a lot of fun ( which it is ) , so i didn't see this as anything more than a futile attempt at conversation . 	was a lot of fun ( which it is ) , so i didn't see this as anything more than a futile attempt at conversation .	2	-1	 was[0] a[0] lot[0] of[0] fun[1] which[0] it[0] is[0] so[0] i[0] didn't[0] see[0] this[0] as[0] anything[0] more[0] than[0] a[0] futile[0] attempt[0] at[0] conversation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i muttered , with a little trepidation , that she might enjoy high fidelity . 	i muttered , with a little trepidation , that she might enjoy high fidelity .	2	-1	 i[0] muttered[0] with[0] a[0] little[0] trepidation[0] that[0] she[0] might[0] enjoy[2][-1 LastWordBoosterStrength] high[0] fidelity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she responded with her usual query , " whose in that one ? " 	she responded with her usual query , " whose in that one ?<br> "	1	-1	 she[0] responded[0] with[0] her[0] usual[0] query[0] whose[0] in[0] that[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a question whose answer that seems to immediately conjure up the kind of movie you went to see . 	this is a question whose answer that seems to immediately conjure up the kind of movie you went to see .	2	-1	 this[0] is[0] a[0] question[0] whose[0] answer[0] that[0] seems[0] to[0] immediately[0] conjure[0] up[0] the[0] kind[1] of[0] movie[0] you[0] went[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the reply is julia roberts you probably assume it was something wispy and light , a sylvester stallone movie and you picture a bloodbath with few words and much involuntary bicep flexing , and a woody allen movie means hyper articulate white people ( usually of the jewish faith ) fretting about in some upper east side palace . 	if the reply is julia roberts you probably assume it was something wispy and light , a sylvester stallone movie and you picture a bloodbath with few words and much involuntary bicep flexing , and a woody allen movie means hyper articulate white people ( usually of the jewish faith ) fretting about in some upper east side palace .	2	-3	 if[0] the[0] reply[0] is[0] julia[0] roberts[0] you[0] probably[0] assume[0] it[0] was[0] something[0] wispy[0] and[0] light[0] a[0] sylvester[0] stallone[0] movie[0] and[0] you[0] picture[0] a[0] bloodbath[0] with[0] few[0] words[0] and[0] much[0] involuntary[-1] bicep[0] flexing[0] and[0] a[0] woody[0] allen[0] movie[0] means[0] hyper[0] articulate[0] white[0] people[0] usually[0] of[0] the[0] jewish[0] faith[1] fretting[-2] about[0] in[0] some[0] upper[0] east[0] side[0] palace[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
anyway , when i answered " john cusack " , she replied with a rather stunned " who ? " , as if it was unreasonable for her to know whom i was referring to . 	anyway , when i answered " john cusack " , she replied with a rather stunned " who ?<br> " , as if it was unreasonable for her to know whom i was referring to .	1	-3	 anyway[0] when[0] i[0] answered[0] john[0] cusack[0] she[0] replied[0] with[0] a[0] rather[0] stunned[-1] who[0] [[Sentence=-2,1=word max, 1-5]] as[0] if[0] it[0] was[0] unreasonable[-2] for[0] her[0] to[0] know[0] whom[0] i[0] was[0] referring[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now i know for a fact that my mother has seen several cusack movies , most recently being john malkovich and pushing tin , but i suppose it's understandable that she would not recognize the name , after all , for most , names are tougher than faces . 	now i know for a fact that my mother has seen several cusack movies , most recently being john malkovich and pushing tin , but i suppose it's understandable that she would not recognize the name , after all , for most , names are tougher than faces .	1	-2	 now[0] i[0] know[0] for[0] a[0] fact[0] that[0] my[0] mother[0] has[0] seen[0] several[0] cusack[0] movies[0] most[0] recently[0] being[0] john[0] malkovich[0] and[0] pushing[0] tin[0] but[0] i[0] suppose[0] it's[0] understandable[0] that[0] she[0] would[0] not[0] recognize[0] the[0] name[0] after[0] all[0] for[0] most[0] names[0] are[0] tougher[-1] than[0] faces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i showed her a picture of cusack's mug in the paper hoping for an " oh - him , yes he's quite good " instead i got a " no - i don't know him " . 	i showed her a picture of cusack's mug in the paper hoping for an " oh - him , yes he's quite good " instead i got a " no - i don't know him " .	2	-1	 i[0] showed[0] her[0] a[0] picture[0] of[0] cusack's[0] mug[0] in[0] the[0] paper[0] hoping[1] for[0] an[0] oh[0] him[0] yes[0] he's[0] quite[0] good[1] instead[0] i[0] got[0] a[0] no[0] i[0] don't[0] know[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at this point i was way beyond frustration into a realm of nose hair yanking anger ( yes , filmic ignorance is all it takes to get me into the nose hair pulling zone ) , till i realized something : i doubt that much of america would recognize cusack's relatively bland visage , or even the name which is rather bland compared to the coolness of a brad pitt or tom cruise , one-syllable names that glide off the tongue with the velocity of a speeding car . 	at this point i was way beyond frustration into a realm of nose hair yanking anger ( yes , filmic ignorance is all it takes to get me into the nose hair pulling zone ) , till i realized something : i doubt that much of america would recognize cusack's relatively bland visage , or even the name which is rather bland compared to the coolness of a brad pit or tom cruise , one-syllable names that glide off the tongue with the velocity of a speeding car .	1	-4	 at[0] this[0] point[0] i[0] was[0] way[0] beyond[0] frustration[-2] into[0] a[0] realm[0] of[0] nose[0] hair[0] yanking[0] anger[-3] yes[0] filmic[0] ignorance[-2] is[0] all[0] it[0] takes[0] to[0] get[0] me[0] into[0] the[0] nose[0] hair[0] pulling[0] zone[0] till[0] i[0] realized[0] something[0] i[0] doubt[-1] that[0] much[0] of[0] america[0] would[0] recognize[0] cusack's[0] relatively[0] bland[-1] visage[0] or[0] even[0] the[0] name[0] which[0] is[0] rather[0] bland[-1] compared[0] to[0] the[0] coolness[-1] of[0] a[0] brad[0] pitt/pit[0] or[0] tom[0] cruise[0] one[0] syllable[0] names[0] that[0] glide[0] off[0] the[0] tongue[0] with[0] the[0] velocity[0] of[0] a[0] speeding[0] car[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cu-sack . cu-sack - no , not quite as cool . 	see you-sack .<br> see you-sack - no , not quite as cool .	2	-1	 cu[0] sack[0] [[Sentence=-1,1=word max, 1-5]] cu[0] sack[0] no[0] not[0] quite[0] as[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm sure that twenty years from now cusack will forever be referred to as " the guy from ( add in the cusack film of your choice ) " . 	i'm sure that twenty years from now cusack will forever be referred to as " the guy from ( add in the cusack film of your choice ) " .	1	-1	 i'm[0] sure[0] that[0] twenty[0] years[0] from[0] now[0] cusack[0] will[0] forever[0] be[0] referred[0] to[0] as[0] the[0] guy[0] from[0] add[0] in[0] the[0] cusack[0] film[0] of[0] your[0] choice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's not a brand name , and his movies usually aren't big moneymakers , but in his own unassuming way he's kind of a genius . 	he's not a brand name , and his movies usually aren't big moneymakers , but in his own unassuming way he's kind of a genius .	2	-1	 he's[0] not[0] a[0] brand[0] name[0] and[0] his[0] movies[0] usually[0] aren't[0] big[0] moneymakers[0] but[0] in[0] his[0] own[0] unassuming[0] way[0] he's[0] kind[1] of[0] a[0] genius[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
