oliver stone's latest feature is the last one standing in the long line of biographies of american presidents . 	Translation	Positive	Negative	EmotionRationale
it's a three-hour long saga about the life of one of the most hated and misunderstood leaders of the 20th century . 	it's a three-hour long saga about the life of one of the most hated and misunderstood leaders of the 20th century .	1	-4	 it's[0] a[0] three[0] hour[0] long[0] saga[-1] about[0] the[0] life[0] of[0] one[0] of[0] the[0] most[0] hated[-3] and[0] misunderstood[-1] leaders[0] of[0] the[0] 20th[0] century[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
stone doesn't hold back anything as he digs deep inside politics and legal maneuvers of the white house . 	stone doesn't hold back anything as he digs deep inside politics and legal maneuvers of the white house .	1	-1	 stone[0] doesn't[0] hold[0] back[0] anything[0] as[0] he[0] digs[0] deep[0] inside[0] politics[0] and[0] legal[0] maneuvers[0] of[0] the[0] white[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director holds nixon responsible for everything he has done . 	the director holds nixon responsible for everything he has done .	1	-1	 the[0] director[0] holds[0] nixon[0] responsible[0] for[0] everything[0] he[0] has[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the same time he creates a very human character , a brilliant and tortured man that is caught in the dirty game of politics , which is here pictured as a wild animal . 	at the same time he creates a very human character , a brilliant and tortured man that is caught in the dirty game of politics , which is here pictured as a wild animal .	2	-4	 at[0] the[0] same[0] time[0] he[0] creates[0] a[0] very[0] human[0] character[0] a[0] brilliant[1] and[0] tortured[-3] man[0] that[0] is[0] caught[0] in[0] the[0] dirty[-1] game[0] of[0] politics[0] which[0] is[0] here[0] pictured[0] as[0] a[0] wild[0] animal[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he is simply trying to tame it . 	he is simply trying to tame it .	1	-1	 he[0] is[0] simply[0] trying[0] to[0] tame[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the occasional switch to the raging sky and the clouds swiftly fleeing over the white house as events run ahead of the president's ability to control them . 	but the occasional switch to the raging sky and the clouds swiftly fleeing over the white house as events run ahead of the president's ability to control them .	1	-4	 but[0] the[0] occasional[0] switch[0] to[0] the[0] raging[-3] sky[0] and[0] the[0] clouds[0] swiftly[0] fleeing[-1] over[0] the[0] white[0] house[0] as[0] events[0] run[0] ahead[0] of[0] the[0] president's[0] ability[0] to[0] control[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
stone doesn't in any way apologize for nixon . 	stone doesn't in any way apologize for nixon .	1	-1	 stone[0] doesn't[0] in[0] any[0] way[0] apologize[0] for[0] nixon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he blames not only nixon's own character flaws but also the imperial presidency itself , the system that , once set in motion , behaves with a mindlessness of its own . 	he blames not only nixon's own character flaws but also the imperial presidency itself , the system that , once set in motion , behaves with a mindlessness of its own .	1	-2	 he[0] blames[-1] not[0] only[0] nixon's[0] own[0] character[0] flaws[0] but[0] also[0] the[0] imperial[0] presidency[0] itself[0] the[0] system[0] that[0] once[0] set[0] in[0] motion[0] behaves[0] with[0] a[0] mindlessness[0] of[0] its[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " nixon " is a modern shakespeare story - a saga about a ruler destroyed by his fatal flaws . 	 " nixon " is a modern shakespeare story - a saga about a ruler destroyed by his fatal flaws .	1	-3	 nixon[0] is[0] a[0] modern[0] shakespeare[0] story[0] a[0] saga[-1] about[0] a[0] ruler[0] destroyed[-2] by[0] his[0] fatal[-2] flaws[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's something almost majestic about the process : as nixon goes down in this film , there is no gloating , but a watery sigh , as of a great ship sinking . 	there's something almost majestic about the process : as nixon goes down in this film , there is no gloating , but a watery sigh , as of a great ship sinking .	3	-2	 there's[0] something[0] almost[0] majestic[0] about[0] the[0] process[0] as[0] nixon[0] goes[0] down[0] in[0] this[0] film[0] there[0] is[0] no[0] gloating[-1] but[0] a[0] watery[0] sigh[0] as[0] of[0] a[0] great[2] ship[0] sinking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
