nosferatu the vampyre ( germany 1979 ) 	Translation	Positive	Negative	EmotionRationale
a film review by mike watson copyright 1999 mike watson 	a film review by mike watson copyright 199 mike watson	1	-1	 a[0] film[0] review[0] by[0] mike[0] watson[0] copyright[0] 1999/199[0] mike[0] watson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this extraordinary re-telling of bram stoker's " dracula " by german filmmaker werner herzog deserves the most prominent of places in cinematic vampire lore . 	this extraordinary re-telling of bram stoker's " dracula " by german filmmaker werner herzog deserves the most prominent of places in cinematic vampire lore .	1	-2	 this[0] extraordinary[0] re[0] telling[0] of[0] bram[0] stoker's[0] dracula[0] by[0] german[-1] filmmaker[0] werner[0] herzog[0] deserves[0] the[0] most[0] prominent[0] of[0] places[0] in[0] cinematic[0] vampire[0] lore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
inspired by f . w . murnau's 1922 silent film of the same name , herzog's film is a work of exquisite bleakness , an oddly touching tragedy with a beautiful and uniquely haunting quality that lingers long afterwards . 	inspired by f .<br> w .<br> murnau's 1922 silent film of the same name , herzog's film is a work of exquisite bleakness , an oddly touching tragedy with a beautiful and uniquely haunting quality that lingers long afterwards .	3	-3	 inspired[2] by[0] f[0] [[Sentence=-1,3=word max, 1-5]] w[0] [[Sentence=-1,1=word max, 1-5]] murnau's[0] 1922[0] silent[0] film[0] of[0] the[0] same[0] name[0] herzog's[0] film[0] is[0] a[0] work[0] of[0] exquisite[0] bleakness[0] an[0] oddly[0] touching[0] tragedy[-2] with[0] a[0] beautiful[2] and[0] uniquely[0] haunting[0] quality[0] that[0] lingers[0] long[0] afterwards[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the original full-length english and german language versions of nosferatu have at last received a video release by u . s . distributor anchor bay entertainment , and in gorgeous widescreen prints . 	the original full-length english and german language versions of nosferatu have at last received a video release by you .<br> s .<br> distributor anchor bay entertainment , and in gorgeous widescreen prints .	3	-2	 the[0] original[0] full[0] length[0] english[0] and[0] german[-1] language[0] versions[0] of[0] nosferatu[0] have[0] at[0] last[0] received[0] a[0] video[0] release[0] by[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] distributor[0] anchor[0] bay[0] entertainment[0] and[0] in[0] gorgeous[2] widescreen[0] prints[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
until now only a shortened english language version of the film was available on video , and only in europe . 	until now only a shortened english language version of the film was available on video , and only in europe .	1	-1	 until[0] now[0] only[0] a[0] shortened[0] english[0] language[0] version[0] of[0] the[0] film[0] was[0] available[0] on[0] video[0] and[0] only[0] in[0] europe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both of these re-releases restore the film to its full length , but viewers should still be wary of the english version due to its often stilted dialogue . 	both of these re-releases restore the film to its full length , but viewers should still be wary of the english version due to its often stilted dialogue .	1	-2	 both[0] of[0] these[0] re[0] releases[0] restore[0] the[0] film[0] to[0] its[0] full[0] length[0] but[0] viewers[0] should[0] still[0] be[0] wary[-1] of[0] the[0] english[0] version[0] due[0] to[0] its[0] often[0] stilted[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently the english dialogue coach herzog had on the set during filming was incompetent , and some of the voices also seem to be dubbed . 	apparently the english dialogue coach herzog had on the set during filming was incompetent , and some of the voices also seem to be dubbed .	1	-3	 apparently[0] the[0] english[0] dialogue[0] coach[0] herzog[0] had[0] on[0] the[0] set[0] during[0] filming[0] was[0] incompetent[-2] and[0] some[0] of[0] the[0] voices[0] also[0] seem[0] to[0] be[0] dubbed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the german version with english subtitles remains the definitive one . 	the german version with english subtitles remains the definitive one .	1	-2	 the[0] german[-1] version[0] with[0] english[0] subtitles[0] remains[0] the[0] definitive[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everyone knows the story of dracula . 	everyone knows the story of dracula .	1	-1	 everyone[0] knows[0] the[0] story[0] of[0] dracula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or do they ? 	or do they ?	1	-1	 or[0] do[0] they[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
