wild things is a suspenseful thriller starring matt dillon , denise richards , and neve campbell that deals with all the issues ; sex , love , murder , and betrayal . 	Translation	Positive	Negative	EmotionRationale
the setting of the film is a town named blue bay . 	the setting of the film is a town named blue bay .	1	-1	 the[0] setting[0] of[0] the[0] film[0] is[0] a[0] town[0] named[0] blue[0] bay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it consists of many swamps and slums and , on the other hand , rich estates owned by the town's different benefactors . 	it consists of many swamps and slums and , on the other hand , rich estates owned by the town's different benefactors .	1	-1	 it[0] consists[0] of[0] many[0] swamps[0] and[0] slums[0] and[0] on[0] the[0] other[0] hand[0] rich[0] estates[0] owned[0] by[0] the[0] town's[0] different[0] benefactors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens just before the beginning of a senior seminar at the town's ritzy , expensive high school . 	the film opens just before the beginning of a senior seminar at the town's ritzy , expensive high school .	1	-2	 the[0] film[0] opens[0] just[0] before[0] the[0] beginning[0] of[0] a[0] senior[0] seminar[0] at[0] the[0] town's[0] ritzy[0] expensive[-1] high[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is here that we meet all of the core characters . 	it is here that we meet all of the core characters .	1	-1	 it[0] is[0] here[0] that[0] we[0] meet[0] all[0] of[0] the[0] core[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's guidance counselor sam lombardo , police officers ray duquette and gloria perez , dark mysterious senior suzie toller , and the popular head cheerleader kelly van ryan . 	there's guidance counselor sam lombardo , police officers ray duquette and gloria perez , dark mysterious senior suzie toller , and the popular head cheerleader kelly van ryan .	2	-1	 there's[0] guidance[0] counselor[0] sam[0] lombardo[0] police[0] officers[0] ray[0] duquette[0] and[0] gloria[1] perez[0] dark[0] mysterious[0] senior[0] suzie[0] toller[0] and[0] the[0] popular[0] head[0] cheerleader[0] kelly[0] van[0] ryan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we first see that all of the senior girls are smitten with the handsome guidance counselor , but none more than kelly . 	we first see that all of the senior girls are smitten with the handsome guidance counselor , but none more than kelly .	2	-1	 we[0] first[0] see[0] that[0] all[0] of[0] the[0] senior[0] girls[0] are[0] smitten[0] with[0] the[0] handsome[1] guidance[0] counselor[0] but[0] none[0] more[0] than[0] kelly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throughout the first portion of the film we see how far kelly will go to get sam until she accuses him of rape . 	throughout the first portion of the film we see how far kelly will go to get sam until she accuses him of rape .	1	-4	 throughout[0] the[0] first[0] portion[0] of[0] the[0] film[0] we[0] see[0] how[0] far[0] kelly[0] will[0] go[0] to[0] get[0] sam[0] until[0] she[0] accuses[-1] him[0] of[0] rape[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
shortly after , suzie , too , confesses that sam raped her as well . 	shortly after , suzie , too , confesses that sam raped her as well .	1	-4	 shortly[0] after[0] suzie[0] too[0] confesses[-1] that[0] sam[0] raped[-3] her[0] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this pushes kelly's sex craving mother , sandra , to stop at nothing until sam is convicted . 	this pushes kelly's sex craving mother , sandra , to stop at nothing until sam is convicted .	1	-2	 this[0] pushes[0] kelly's[0] sex[0] craving[0] mother[0] sandra[0] to[0] stop[0] at[0] nothing[0] until[0] sam[0] is[0] convicted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during the trial , kelly gives a teary confession of how sam raped her . 	during the trial , kelly gives a teary confession of how sam raped her .	1	-4	 during[0] the[0] trial[0] kelly[0] gives[0] a[0] teary[0] confession[-1] of[0] how[0] sam[0] raped[-3] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , it is later revealed by suzie that sam never raped either of the girls , it was all a vengeful plan against the guidance counselor . 	however , it is later revealed by suzie that sam never raped either of the girls , it was all a vengeful plan against the guidance counselor .	4	-2	 however[0] it[0] is[0] later[0] revealed[0] by[0] suzie[0] that[0] sam[0] never[0] raped[-3][NegatedDueToPreviousWord] either[0] of[0] the[0] girls[0] it[0] was[0] all[0] a[0] vengeful[0] plan[0] against[-1] the[0] guidance[0] counselor[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
after sam is cleared , kelly's mother pays sam a very substantial amount of cash in order for him not to sue her . 	after sam is cleared , kelly's mother pays sam a very substantial amount of cash in order for him not to sue her .	1	-1	 after[0] sam[0] is[0] cleared[0] kelly's[0] mother[0] pays[0] sam[0] a[0] very[0] substantial[0] amount[0] of[0] cash[0] in[0] order[0] for[0] him[0] not[0] to[0] sue[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is then revealed that sam , kelly , and suzie were all in on it together . 	it is then revealed that sam , kelly , and suzie were all in on it together .	1	-1	 it[0] is[0] then[0] revealed[0] that[0] sam[0] kelly[0] and[0] suzie[0] were[0] all[0] in[0] on[0] it[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is here that the film starts to reveal just who is being honest with each other and who has their own hidden agenda . 	it is here that the film starts to reveal just who is being honest with each other and who has their own hidden agenda .	1	-1	 it[0] is[0] here[0] that[0] the[0] film[0] starts[0] to[0] reveal[0] just[0] who[0] is[0] being[0] honest[0] with[0] each[0] other[0] and[0] who[0] has[0] their[0] own[0] hidden[0] agenda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matt dillon stars as sam lombardo . 	matt dillon stars as sam lombardo .	1	-1	 matt[0] dillon[0] stars[0] as[0] sam[0] lombardo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
