the idea at the center of the devil's advocate , which is , thus far , one of the three or four best films of 1997 , is that no matter what decision is made , evil will triumph -- god is a trickster , satan is a humanist -- " the last humanist " . 	Translation	Positive	Negative	EmotionRationale
he appears in many guises , and seduces many men and women -- in his own words , " vanity -- by far my favorite sin " . 	he appears in many guises , and seduces many men and women - in his own words , " vanity - by far my favorite sin " .	2	-2	 he[0] appears[0] in[0] many[0] guises[0] and[0] seduces[0] many[0] men[0] and[0] women[0] in[0] his[0] own[0] words[0] vanity[-1] by[0] far[0] my[0] favorite[1] sin[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
al pacino plays this role with relish , and gets to chew some delectable lines ( " lemme givya a piece o' inside wisdom on god . . . " , " i have a million names . . . " ) , as john milton -- the devil . 	al pacino plays this role with relish , and gets to chew some delectable lines ( " lemme givya a piece o' inside wisdom on god .<br> .<br> .<br> " , " i have a million names .<br> .<br> .<br> " ) , as john milton - the devil .	2	-2	 al[0] pacino[0] plays[1] this[0] role[0] with[0] relish[0] and[0] gets[0] to[0] chew[0] some[0] delectable[2][-1 LastWordBoosterStrength] lines[0] lemme[0] givya[0] a[0] piece[0] o'[0] inside[0] wisdom[0] on[0] god[0] [[Sentence=-1,2=word max, 1-5]] i[0] have[0] a[0] million[0] names[0] [[Sentence=-1,1=word max, 1-5]] as[0] john[0] milton[0] the[0] devil[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
the main idea -- that he can appear as anyone , in any form ( in this case , a buisness man ) , harkens mainly back to terry gilliam's the time bandits . 	the main idea - that he can appear as anyone , in any form ( in this case , a buisness man ) , harkens mainly back to terry gilliam's the time bandits .	1	-2	 the[0] main[0] idea[0] that[0] he[0] can[0] appear[0] as[0] anyone[0] in[0] any[0] form[0] in[0] this[0] case[0] a[0] buisness[0] man[0] harkens[0] mainly[0] back[0] to[0] terry[0] gilliam's[0] the[0] time[0] bandits[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the film , is something else , something original . 	but the film , is something else , something original .	1	-1	 but[0] the[0] film[0] is[0] something[0] else[0] something[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of what makes it so very good , is that it never takes itself too seriously -- it dabbles with morality , vanity , death , and child abuse , but doesn't try to become any profound study of power . 	part of what makes it so very good , is that it never takes itself too seriously - it dabbles with morality , vanity , death , and child abuse , but doesn't try to become any profound study of power .	3	-4	 part[0] of[0] what[0] makes[0] it[0] so[0] very[0] good[1][1 LastWordBoosterStrength] is[0] that[0] it[0] never[0] takes[0] itself[0] too[0] seriously[0] it[0] dabbles[0] with[0] morality[0] vanity[-1] death[-2] and[0] child[0] abuse[-3] but[0] doesn't[0] try[0] to[0] become[0] any[0] profound[0] study[0] of[0] power[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is a marvelous confection -- cocky , funny , thought provoking . 	this is a marvelous confection - cocky , funny , thought provoking .	2	-2	 this[0] is[0] a[0] marvelous[0] confection[0] cocky[-1] funny[1] thought[0] provoking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is also entertaining . 	it is also entertaining .	1	-1	 it[0] is[0] also[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no way you could possibly predict the ending -- it pulls back upon itself , drawing purely out of the mind's eye . 	there is no way you could possibly predict the ending - it pulls back upon itself , drawing purely out of the mind's eye .	1	-1	 there[0] is[0] no[0] way[0] you[0] could[0] possibly[0] predict[0] the[0] ending[0] it[0] pulls[0] back[0] upon[0] itself[0] drawing[0] purely[0] out[0] of[0] the[0] mind's[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the final shot is more creative , more daring , more challenging , then anything in cinema since the white sock in the coen's fargo . 	the final shot is more creative , more daring , more challenging , then anything in cinema since the white sock in the coen's fargo .	1	-2	 the[0] final[0] shot[-1] is[0] more[0] creative[0] more[0] daring[0] more[0] challenging[0] then[0] anything[0] in[0] cinema[0] since[0] the[0] white[0] sock[0] in[0] the[0] coen's[0] fargo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the central themes are fascinating ( sometimes reminiscent of james' the turn of the screw , and oates' accursed inhabitants of the house of bly ) , and the product that is built around it really wows . 	the central themes are fascinating ( sometimes reminiscent of james' the turn of the screw , and oates' accursed inhabitants of the house of bly ) , and the product that is built around it really wows .	4	-2	 the[0] central[0] themes[0] are[0] fascinating[0] sometimes[0] reminiscent[0] of[0] james'[0] the[0] turn[0] of[0] the[0] screw[0] and[0] oates'[0] accursed[-1] inhabitants[0] of[0] the[0] house[0] of[0] bly[0] and[0] the[0] product[0] that[0] is[0] built[0] around[0] it[0] really[0] wows[2][1 LastWordBoosterStrength] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
its nice to know that things like this are still being made . 	its nice to know that things like this are still being made .	2	-1	 its[0] nice[1] to[0] know[0] that[0] things[0] like[1] this[0] are[0] still[0] being[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
