in intolerance , d . w . griffith told four different historical stories at the same time , cutting from one to the other . 	Translation	Positive	Negative	EmotionRationale
each of the stories builds to a fast-paced climax . 	each of the stories builds to a fast-paced climax .	1	-1	 each[0] of[0] the[0] stories[0] builds[0] to[0] a[0] fast[0] paced[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in magnolia , paul thomas anderson tells several stories each just tangentially connected to the others . 	in magnolia , paul thomas anderson tells several stories each just tangentially connected to the others .	1	-1	 in[0] magnolia[0] paul[0] thomas[0] anderson[0] tells[0] several[0] stories[0] each[0] just[0] tangentially[0] connected[0] to[0] the[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet the stories and where they are going are all independent . 	yet the stories and where they are going are all independent .	1	-1	 yet[0] the[0] stories[0] and[0] where[0] they[0] are[0] going[0] are[0] all[0] independent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is strange about these stories is that they are all synchronized . 	what is strange about these stories is that they are all synchronized .	1	-1	 what[0] is[0] strange[0] about[0] these[0] stories[0] is[0] that[0] they[0] are[0] all[0] synchronized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each story builds to a tense moment ( or what appears to be intended to be a tense moment ) but then lets the tension dissolve . 	each story builds to a tense moment ( or what appears to be intended to be a tense moment ) but then lets the tension dissolve .	1	-3	 each[0] story[0] builds[0] to[0] a[0] tense[-2] moment[0] or[0] what[0] appears[0] to[0] be[0] intended[0] to[0] be[0] a[0] tense[-2] moment[0] but[0] then[0] lets[0] the[0] tension[-2] dissolve[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while the tension dissipates one character starts singing a song and in each plotline the major characters sing along , even though they are not in the same scene . 	while the tension dissipates one character starts singing a song and in each plotline the major characters sing along , even though they are not in the same scene .	1	-3	 while[0] the[0] tension[-2] dissipates[0] one[0] character[0] starts[0] singing[0] a[0] song[0] and[0] in[0] each[0] plotline[0] the[0] major[0] characters[0] sing[0] along[0] even[0] though[0] they[0] are[0] not[0] in[0] the[0] same[0] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then toward the end the stories each build to a tense moment again . 	then toward the end the stories each build to a tense moment again .	1	-3	 then[0] toward[0] the[0] end[0] the[0] stories[0] each[0] build[0] to[0] a[0] tense[-2] moment[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is almost as if the characters are somehow psychically linked . 	it is almost as if the characters are somehow psychically linked .	1	-1	 it[0] is[0] almost[0] as[0] if[0] the[0] characters[0] are[0] somehow[0] psychically[0] linked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this creates some strange effects . 	this creates some strange effects .	1	-1	 this[0] creates[0] some[0] strange[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stories are about empty desperate people with dysfunctional relationships . 	the stories are about empty desperate people with dysfunctional relationships .	1	-3	 the[0] stories[0] are[0] about[0] empty[0] desperate[-2] people[0] with[0] dysfunctional[0] relationships[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the strands have varying degrees of bizarre content . 	the strands have varying degrees of bizarre content .	1	-2	 the[0] strands[0] have[0] varying[0] degrees[0] of[0] bizarre[-1] content[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we have the story of a dying man earl partridge ( jason robards ) wanting to get in touch with his son and make amends . 	we have the story of a dying man earl partridge ( jason robards ) wanting to get in touch with his son and make amends .	1	-2	 we[0] have[0] the[0] story[0] of[0] a[0] dying[-1] man[0] earl[0] partridge[0] jason[0] robards[0] wanting[0] to[0] get[0] in[0] touch[0] with[0] his[0] son[0] and[0] make[0] amends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
phil parma ( philip seymour hoffman ) is his nurse who is frantic to help partridge achieve his final goal . 	phil parma ( philip seymour hoffman ) is his nurse who is frantic to help partridge achieve his final goal .	1	-2	 phil[0] parma[0] philip[0] seymour[0] hoffman[0] is[0] his[0] nurse[0] who[0] is[0] frantic[-1] to[0] help[0] partridge[0] achieve[0] his[0] final[0] goal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
partridge's young wife linda ( julianne moore ) is getting more and more anxious as partridge dies , but for an unsuspected reason . 	partridge's young wife linda ( julianne more ) is getting more and more anxious as partridge dies , but for an unsuspected reason .	1	-3	 partridge's[0] young[0] wife[0] linda[0] julianne[0] moore/more[0] is[0] getting[0] more[0] and[0] more[0] anxious[-2] as[0] partridge[0] dies[0] but[0] for[0] an[0] unsuspected[0] reason[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
frank mackey ( tom cruise ) runs the kinds of self-help seminar that businesses like so much , but he aims his at teaching disaffected men how to be real shit-heels in dealing with women in an angry backlash to women's lib . 	frank mackey ( tom cruise ) runs the kinds of self-help seminar that businesses like so much , but he aims his at teaching disaffected men how to be real shit-heels in dealing with women in an angry backlash to women's lib .	2	-4	 frank[0] mackey[0] tom[0] cruise[0] runs[0] the[0] kinds[0] of[0] self[0] help[0] seminar[0] that[0] businesses[0] like[1] so[0] much[0] but[0] he[0] aims[0] his[0] at[0] teaching[0] disaffected[0] men[0] how[0] to[0] be[0] real[0] shit[-1] heels[0] in[0] dealing[0] with[0] women[0] in[0] an[0] angry[-3] backlash[0] to[0] women's[0] lib[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
