there's something about ben stiller that makes him a popular choice among casting directors these days . 	Translation	Positive	Negative	EmotionRationale
stiller currently has three projects in circulation , and what other actor can lay claim to that ? 	stiller currently has three projects in circulation , and what other actor can lay claim to that ?	1	-1	 stiller[0] currently[0] has[0] three[0] projects[0] in[0] circulation[0] and[0] what[0] other[0] actor[0] can[0] lay[0] claim[0] to[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's in " there's something about mary , " which i * still * haven't seen . 	he's in " there's something about mary , " which i * still * haven't seen .	1	-1	 he's[0] in[0] there's[0] something[0] about[0] mary[0] which[0] i[0] still[0] haven't[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he's in the acerbic " your friends & neighbors , " playing a talkative , sexually-frustrated drama coach called jerri . 	and he's in the acerbic " your friends & neighbors , " playing a talkative , sexually-frustrated drama coach called jerri .	2	-3	 and[0] he's[0] in[0] the[0] acerbic[0] your[0] friends[1] &[0] neighbors[0] playing[1] a[0] talkative[0] sexually[0] frustrated[-2] drama[0] coach[0] called[0] jerri[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
now there's " permanent midnight , " in which stiller plays another jerry , this one a heroin-addicted television writer , last name stahl . 	now there's " permanent midnight , " in which stiller plays another jerry , this one a heroin-addicted television writer , last name stahl .	3	-2	 now[0] there's[0] permanent[0] midnight[0] in[0] which[0] stiller[0] plays[1] another[0] jerry[0] this[0] one[0] a[0] heroin[2] addicted[-1] television[0] writer[0] last[0] name[0] stahl[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's also something about this industry that pushes bankable stars like stiller into doing drug-addiction pictures the minute they've proved themselves commercially . 	there's also something about this industry that pushes bankable stars like stiller into doing drug-addiction pictures the minute they've proved themselves commercially .	2	-2	 there's[0] also[0] something[0] about[0] this[0] industry[0] that[0] pushes[0] bankable[0] stars[0] like[1] stiller[0] into[0] doing[0] drug[0] addiction[-1] pictures[0] the[0] minute[0] they've[0] proved[0] themselves[0] commercially[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ewan mcgregor springs to mind who , after successful turns in " emma " and " brassed off , " received greater respect and admiration for his mind-blowing realization as renton in danny boyle's transatlantic junk-fest , " trainspotting . " 	ewan mcgregor springs to mind who , after successful turns in " emma " and " brassed off , " received greater respect and admiration for his mind-blowing realization as renton in danny boyle's transatlantic junk-fest , " trainspotting .<br> "	4	-2	 ewan[0] mcgregor[0] springs[0] to[0] mind[0] who[0] after[0] successful[2] turns[0] in[0] emma[0] and[0] brassed[0] off[0] received[0] greater[2] respect[2][+1 MultiplePositiveWords] and[0] admiration[2] for[0] his[0] mind[0] blowing[0] realization[0] as[0] renton[0] in[0] danny[0] boyle's[0] transatlantic[0] junk[-1] fest[0] trainspotting[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the philosophy appears to be a simple one : if you want 'em to be taken seriously , make 'em do drugs . 	the philosophy appears to be a simple one : if you want 'em to be taken seriously , make 'em do drugs .	1	-1	 the[0] philosophy[0] appears[0] to[0] be[0] a[0] simple[0] one[0] if[0] you[0] want[0] 'em[0] to[0] be[0] taken[0] seriously[0] make[0] 'em[0] do[0] drugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " permanent midnight " is based on the true life experiences of jerry stahl , a successful hollywood writer who , in the mid-eighties , had a  5 , 000-a-week job churning out plotlines for disposable tv sitcoms and a  6 , 000-a-week heroin habit . 	 " permanent midnight " is based on the true life experiences of jerry stahl , a successful hollywood writer who , in the mid-eighties , had a  5 , 00-a-week job churning out plotlines for disposable tv sitcoms and a  6 , 00-a-week heroin habit .	3	-1	 permanent[0] midnight[0] is[0] based[0] on[0] the[0] true[1] life[0] experiences[0] of[0] jerry[0] stahl[0] a[0] successful[2] hollywood[0] writer[0] who[0] in[0] the[0] mid[0] eighties[0] had[0] a[0] 5[0] 000/00[0] a[0] week[0] job[0] churning[0] out[0] plotlines[0] for[0] disposable[0] tv[0] sitcoms[0] and[0] a[0] 6[0] 000/00[0] a[0] week[0] heroin[2] habit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a habit , in stahl's own words , " the size of utah . " 	a habit , in stahl's own words , " the size of utah .<br> "	1	-1	 a[0] habit[0] in[0] stahl's[0] own[0] words[0] the[0] size[0] of[0] utah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as stahl , stiller contributes a commanding performance . 	as stahl , stiller contributes a commanding performance .	1	-1	 as[0] stahl[0] stiller[0] contributes[0] a[0] commanding[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike " trainspotting , " which was successful in having it both ways by chronicling both the highs and the lows of heroin abuse , " permanent midnight " instead focuses on the concept of drug addiction as maintenance . 	unlike " trainspotting , " which was successful in having it both ways by chronicling both the highs and the lows of heroin abuse , " permanent midnight " instead focuses on the concept of drug addiction as maintenance .	3	-4	 unlike[0] trainspotting[0] which[0] was[0] successful[2] in[0] having[0] it[0] both[0] ways[0] by[0] chronicling[0] both[0] the[0] highs[0] and[0] the[0] lows[-1] of[0] heroin[2] abuse[-3] permanent[0] midnight[0] instead[0] focuses[0] on[0] the[0] concept[0] of[0] drug[0] addiction[-1] as[0] maintenance[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
one of the earliest observations in the film is a casual reference to " naked lunch " author william s . burroughs who , when asked why he shoots up first thing in the morning responds , " so i can shave . " 	one of the earliest observations in the film is a casual reference to " naked lunch " author william s .<br> burroughs who , when asked why he shoots up first thing in the morning responds , " so i can shave .<br> "	1	-2	 one[0] of[0] the[0] earliest[0] observations[0] in[0] the[0] film[0] is[0] a[0] casual[0] reference[0] to[0] naked[0] lunch[0] author[0] william[0] s[0] [[Sentence=-1,1=word max, 1-5]] burroughs[0] who[0] when[0] asked[0] why[0] he[0] shoots[-1] up[0] first[0] thing[0] in[0] the[0] morning[0] responds[0] so[0] i[0] can[0] shave[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stahl rarely appears to be puncturing veins for the thrill of it all in " permanent midnight " ; it's so he can talk to his mother on the phone , show up for work on time , even pay his bills . 	stahl rarely appears to be puncturing veins for the thrill of it all in " permanent midnight " ; it's so he can talk to his mother on the phone , show up for work on time , even pay his bills .	4	-1	 stahl[0] rarely[0] appears[0] to[0] be[0] puncturing[0] veins[0] for[0] the[0] thrill[3] of[0] it[0] all[0] in[0] permanent[0] midnight[0] it's[0] so[0] he[0] can[0] talk[0] to[0] his[0] mother[0] on[0] the[0] phone[0] show[0] up[0] for[0] work[0] on[0] time[0] even[0] pay[0] his[0] bills[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
while the film itself occasionally wobbles around along with stahl , the writing ( adapted from stahl's autobiography by director david veloz ) is controlled and pointed . 	while the film itself occasionally wobbles around along with stahl , the writing ( adapted from stahl's autobiography by director david veloz ) is controlled and pointed .	1	-1	 while[0] the[0] film[0] itself[0] occasionally[0] wobbles[0] around[0] along[0] with[0] stahl[0] the[0] writing[0] adapted[0] from[0] stahl's[0] autobiography[0] by[0] director[0] david[0] veloz[0] is[0] controlled[0] and[0] pointed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
