the makers of jurassic park & the director of speed conjure up a storm ! 	Translation	Positive	Negative	EmotionRationale
 ( reviewed at eng wah's new jubilee cineplex at ang mo kio ) 	 ( reviewed at eng wah's new jubilee cineplex at ang mo kio )	1	-1	 reviewed[0] at[0] eng[0] wah's[0] new[0] jubilee[0] cineplex[0] at[0] ang[0] mo[0] kio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " unlike earthquakes , their fury is precise . 	 " unlike earthquakes , their fury is precise .	1	-4	 unlike[0] earthquakes[0] their[0] fury[-3] is[0] precise[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unlike hurricanes , their reach is unlimited . 	unlike hurricanes , their reach is unlimited .	1	-1	 unlike[0] hurricanes[0] their[0] reach[0] is[0] unlimited[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike fires , there is no way to combat them . 	unlike fires , there is no way to combat them .	1	-2	 unlike[0] fires[0] there[0] is[0] no[0] way[0] to[0] combat[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unlike floods , their terror is sudden . " 	unlike floods , their terror is sudden .<br> "	1	-2	 unlike[0] floods[0] their[0] terror[-1] is[0] sudden[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
- excerpt from twister production notes 	- excerpt from twister production notes	1	-1	 excerpt[0] from[0] twister[0] production[0] notes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sure many of us living in this part of the world have never seen tornadoes ( or twisters ) before . 	i'm sure many of us living in this part of the world have never seen tornadoes ( or twisters ) before .	1	-1	 i'm[0] sure[0] many[0] of[0] us[0] living[0] in[0] this[0] part[0] of[0] the[0] world[0] have[0] never[0] seen[0] tornadoes[0] or[0] twisters[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i for one , have only seen the devastating effects and footage of tornadoes from news reports on tv and personally , i feel tornado-caused destruction comes no where near the destruction caused by hurricanes and earthquakes . . . . . . . . that is until i saw twister . 	i for one , have only seen the devastating effects and footage of tornadoes from news reports on tv and personally , i feel tornado-caused destruction comes no where near the destruction caused by hurricanes and earthquakes .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> that is until i saw twister .	1	-5	 i[0] for[0] one[0] have[0] only[0] seen[0] the[0] devastating[-4] effects[0] and[0] footage[0] of[0] tornadoes[0] from[0] news[0] reports[0] on[0] tv[0] and[0] personally[0] i[0] feel[0] tornado[0] caused[0] destruction[-1] comes[0] no[0] where[0] near[0] the[0] destruction[-1] caused[0] by[0] hurricanes[0] and[0] earthquakes[0] [[Sentence=-5,1=word max, 1-5]] that[0] is[0] until[0] i[0] saw[0] twister[0] [[Sentence=-1,1=word max, 1-5]][[[1,-5 max of sentences]]]
the destruction caused by twisters may be precise ( not widespread but it moves very fast and its path of destruction is unpredictable . 	the destruction caused by twisters may be precise ( not widespread but it moves very fast and its path of destruction is unpredictable .	1	-2	 the[0] destruction[-1] caused[0] by[0] twisters[0] may[0] be[0] precise[0] not[0] widespread[0] but[0] it[0] moves[0] very[0] fast[0] and[0] its[0] path[0] of[0] destruction[-1] is[0] unpredictable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it will suck in cars , houses , livestock , etc . . . . . 	it will suck in cars , houses , livestock , etc .<br> .<br> .<br> .<br> .	1	-2	 it[0] will[0] suck[-1] in[0] cars[0] houses[0] livestock[0] etc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
