all great things come to an end , and the dot-com era embodies that perfectly . 	Translation	Positive	Negative	EmotionRationale
beneath a mound of bankruptcy paperwork lies the remains of a former dot-com darling , the company kozmo . com , 	beneath a mound of bankruptcy paperwork lies the remains of a former dot-com darling , the company kozmo .<br> com ,	3	-3	 beneath[0] a[0] mound[0] of[0] bankruptcy[-2] paperwork[0] lies[-2] the[0] remains[0] of[0] a[0] former[0] dot[0] com[0] darling[2] the[0] company[0] kozmo[0] [[Sentence=-3,3=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
an online convenience store stocked with ice cream , porn videos , and other basic necessities of a urban dweller , all hand-delivered by couriers within an hour . 	an online convenience store stocked with ice cream , porn videos , and other basic necessities of a urban dweller , all hand-delivered by couriers within an hour .	1	-1	 an[0] online[0] convenience[0] store[0] stocked[0] with[0] ice[0] cream[0] porn[0] videos[0] and[0] other[0] basic[0] necessities[0] of[0] a[0] urban[0] dweller[0] all[0] hand[0] delivered[0] by[0] couriers[0] within[0] an[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
designed in 1997 by two college roommates -- joseph parks , a 27 year old goldman sachs banker , and yong kang - kozmo flamed out in three short years , raising more than  280 million in venture capital funding and from partnerships with such bigwigs as starbucks and amazon . com . 	designed in 1997 by two college roommates - joseph parks , a 27 year old goldman sachs banker , and yong kang - kozmo flamed out in three short years , raising more than  280 million in venture capital funding and from partnerships with such bigwigs as starbucks and amazon .<br> com .	1	-3	 designed[0] in[0] 1997[0] by[0] two[0] college[0] roommates[0] joseph[0] parks[0] a[0] 27[0] year[0] old[0] goldman[0] sachs[0] banker[0] and[0] yong[0] kang[0] kozmo[0] flamed[-2] out[0] in[0] three[0] short[0] years[0] raising[0] more[0] than[0] 280[0] million[0] in[0] venture[0] capital[0] funding[0] and[0] from[0] partnerships[0] with[0] such[0] bigwigs[0] as[0] starbucks[0] and[0] amazon[0] [[Sentence=-3,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
by december 1999 , the company boasted 4 , 000 employees in 11 cities , its barking ceo park attracting all kinds of media attention . 	by december 199 , the company boasted 4 , 00 employees in 11 cities , its barking ceo park attracting all kinds of media attention .	2	-2	 by[0] december[0] 1999/199[0] the[0] company[0] boasted[-1] 4[0] 000/00[0] employees[0] in[0] 11[0] cities[0] its[0] barking[0] ceo[0] park[0] attracting[1] all[0] kinds[0] of[0] media[0] attention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the company was set for an ipo in may 2000 . . . 	the company was set for an ipo in may 200 .<br> .<br> .	1	-1	 the[0] company[0] was[0] set[0] for[0] an[0] ipo[0] in[0] may[0] 2000/200[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until april 14 , 2000 , the day the stock market took its first big dive , ending the internet era . 	until april 14 , 200 , the day the stock market took its first big dive , ending the internet era .	1	-1	 until[0] april[0] 14[0] 2000/200[0] the[0] day[0] the[0] stock[0] market[0] took[0] its[0] first[0] big[0] dive[0] ending[0] the[0] internet[0] era[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by april 13 , 2001 , kozmo was out of money and ceased operations . 	by april 13 , 2001 , kozmo was out of money and ceased operations .	1	-1	 by[0] april[0] 13[0] 2001[0] kozmo[0] was[0] out[0] of[0] money[0] and[0] ceased[0] operations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike the earlier , similar documentary startup . com , which chronicled the rise and fall of another dot-com , govworks , e-dreams focuses both on its original founders , especially park , and on the common folks that ran the day-to-day operations . 	unlike the earlier , similar documentary startup .<br> com , which chronicled the rise and fall of another dot-com , govworks , e-dreams focuses both on its original founders , especially park , and on the common folks that ran the day-to-day operations .	1	-1	 unlike[0] the[0] earlier[0] similar[0] documentary[0] startup[0] [[Sentence=-1,1=word max, 1-5]] com[0] which[0] chronicled[0] the[0] rise[0] and[0] fall[0] of[0] another[0] dot[0] com[0] govworks[0] e[0] dreams[0] focuses[0] both[0] on[0] its[0] original[0] founders[0] especially[0] park[0] and[0] on[0] the[0] common[0] folks[0] that[0] ran[0] the[0] day[0] to[0] day[0] operations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the contrast is amazing , showing how a cult persona can convince anyone that any idea is the next big thing . 	the contrast is amazing , showing how a cult persona can convince anyone that any idea is the next big thing .	3	-1	 the[0] contrast[0] is[0] amazing[2] showing[0] how[0] a[0] cult[0] persona[0] can[0] convince[0] anyone[0] that[0] any[0] idea[0] is[0] the[0] next[0] big[0] thing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's director , wonsuk chin ( too tired to die ) , expertly juxtaposes upper management company meetings with on-the-spot interviews with the bike messengers , general managers , and floor staff that kept kozmo humming . 	the film's director , wonsuk chin ( too tired to die ) , expertly juxtaposes upper management company meetings with on-the-spot interviews with the bike messengers , general managers , and floor staff that kept kozmo humming .	1	-2	 the[0] film's[0] director[0] wonsuk[0] chin[0] too[0] tired[-1] to[0] die[0] expertly[0] juxtaposes[0] upper[0] management[0] company[0] meetings[0] with[0] on[0] the[0] spot[0] interviews[0] with[0] the[0] bike[0] messengers[0] general[0] managers[0] and[0] floor[0] staff[0] that[0] kept[0] kozmo[0] humming[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
