i don't box with kid gloves . 	Translation	Positive	Negative	EmotionRationale
i don't play nice , i'm not a nice guy , and i never , ever , go easy on a film . 	i don't play nice , i'm not a nice guy , and i never , ever , go easy on a film .	1	-2	 i[0] don't[0] play[0] nice[1][NegatedDueToPreviousWord] i'm[0] not[0] a[0] nice[1][NegatedDueToPreviousWord] guy[0] and[0] i[0] never[0] ever[0] go[0] easy[0] on[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i consider it to be a breech of some sort of code of ethics for a movie critic . 	i consider it to be a breech of some sort of code of ethics for a movie critic .	1	-2	 i[0] consider[0] it[0] to[0] be[0] a[0] breech[0] of[0] some[0] sort[0] of[0] code[0] of[0] ethics[0] for[0] a[0] movie[0] critic[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , i do some favors , and these often come in the form of points that i hand to certain groups due to the artistic bravery . 	however , i do some favors , and these often come in the form of points that i hand to certain groups due to the artistic bravery .	3	-1	 however[0] i[0] do[0] some[0] favors[1][-1 LastWordBoosterStrength] and[0] these[0] often[0] come[0] in[0] the[0] form[0] of[0] points[0] that[0] i[0] hand[0] to[0] certain[0] groups[0] due[0] to[0] the[0] artistic[0] bravery[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rigormortis , the production company that has been my prime example of how money does not need to motivate filmmaking , gets several of these points each time . 	rigormortis , the production company that has been my prime example of how money does not need to motivate filmmaking , gets several of these points each time .	1	-1	 rigormortis[0] the[0] production[0] company[0] that[0] has[0] been[0] my[0] prime[0] example[0] of[0] how[0] money[0] does[0] not[0] need[0] to[0] motivate[0] filmmaking[0] gets[0] several[0] of[0] these[0] points[0] each[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i still , however , will not go easy on them . 	i still , however , will not go easy on them .	1	-1	 i[0] still[0] however[0] will[0] not[0] go[0] easy[0] on[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they recently sent me a vhs copy of their down with america trilogy ( which begins , quite wittily , with a disclaimer that they are not trying to undermine america with the making of this film . ) and i decided to spend an hour of my day watching it . 	they recently sent me a vhs copy of their down with america trilogy ( which begins , quite wittily , with a disclaimer that they are not trying to undermine america with the making of this film .<br> ) and i decided to spend an hour of my day watching it .	1	-2	 they[0] recently[0] sent[0] me[0] a[0] vhs[0] copy[0] of[0] their[0] down[0] with[0] america[0] trilogy[0] which[0] begins[0] quite[0] wittily[0] with[0] a[0] disclaimer[-1] that[0] they[0] are[0] not[0] trying[0] to[0] undermine[-1] america[0] with[0] the[0] making[0] of[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]] and[0] i[0] decided[0] to[0] spend[0] an[0] hour[0] of[0] my[0] day[0] watching[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the famous lines of many martyrs , i have no regrets . 	in the famous lines of many martyrs , i have no regrets .	1	-2	 in[0] the[0] famous[0] lines[0] of[0] many[0] martyrs[-1] i[0] have[0] no[0] regrets[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , i do have some regrets , but that is not the point in the previous sentence . 	well , i do have some regrets , but that is not the point in the previous sentence .	1	-1	 well[0] i[0] do[0] have[0] some[0] regrets[-1][--1 LastWordBoosterStrength] but[0] that[0] is[0] not[0] the[0] point[0] in[0] the[0] previous[0] sentence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the point of it was that down with america was a film that , from a critical standpoint , did not entirely disappoint me . 	the point of it was that down with america was a film that , from a critical standpoint , did not entirely disappoint me .	2	-2	 the[0] point[0] of[0] it[0] was[0] that[0] down[0] with[0] america[0] was[0] a[0] film[0] that[0] from[0] a[0] critical[-1] standpoint[0] did[0] not[0] entirely[0] disappoint[-1][NegatedDueToPreviousWord] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sure , the risky use of vhs instead of super 8mm or 16mm was a pain , and the natural light was one of the most annoying things about public access films , but the movie itself was fairly enjoyable . 	sure , the risky use of vhs instead of super 8m or 16m was a pain , and the natural light was one of the most annoying things about public access films , but the movie itself was fairly enjoyable .	3	-4	 sure[0] the[0] risky[-1] use[0] of[0] vhs[0] instead[0] of[0] super[2] 8mm/8m[0] or[0] 16mm/16m[0] was[0] a[0] pain[-3] and[0] the[0] natural[0] light[0] was[0] one[0] of[0] the[0] most[0] annoying[-2] things[0] about[0] public[0] access[0] films[0] but[0] the[0] movie[0] itself[0] was[0] fairly[0] enjoyable[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
