waiting at the train station near the beginning of fury , joe says : `after all , we're human . ' 	Translation	Positive	Negative	EmotionRationale
in the context of events to transpire , joe's line is prophetic , foreshadowing the internal conflict of the protagonist in the latter half of the film . 	in the context of events to transpire , joe's line is prophetic , foreshadowing the internal conflict of the protagonist in the latter half of the film .	1	-2	 in[0] the[0] context[0] of[0] events[0] to[0] transpire[0] joe's[0] line[0] is[0] prophetic[0] foreshadowing[0] the[0] internal[0] conflict[-1] of[0] the[0] protagonist[0] in[0] the[0] latter[0] half[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
does being human necessarily imply humane behavior ? 	does being human necessarily imply humane behavior ?	1	-1	 does[0] being[0] human[0] necessarily[0] imply[0] humane[0] behavior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through the baseness of human character exemplified in the formation of a mob , fritz lang prompts the viewer to consider whether our inclination towards impulsiveness supersedes our civility . 	through the baseness of human character exemplified in the formation of a mob , fritz lang prompts the viewer to consider whether our inclination towards impulsiveness supersedes our civility .	1	-1	 through[0] the[0] baseness[0] of[0] human[0] character[0] exemplified[0] in[0] the[0] formation[0] of[0] a[0] mob[0] fritz[0] lang[0] prompts[0] the[0] viewer[0] to[0] consider[0] whether[0] our[0] inclination[0] towards[0] impulsiveness[0] supersedes[0] our[0] civility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
expressing his abhorrence towards the rise of nazism in his homeland , lang takes great care in creating a sense of discomfort during the scenes of mob hysteria . 	expressing his abhorrence towards the rise of nazism in his homeland , lang takes great care in creating a sense of discomfort during the scenes of mob hysteria .	3	-4	 expressing[0] his[0] abhorrence[-3] towards[0] the[0] rise[0] of[0] nazism[-1] in[0] his[0] homeland[0] lang[0] takes[0] great[2] care[1] in[0] creating[0] a[0] sense[0] of[0] discomfort[-1] during[0] the[0] scenes[0] of[0] mob[0] hysteria[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in the scene prefacing the lynching , the mob achieves critical mass at the bar . 	in the scene prefacing the lynching , the mob achieves critical mass at the bar .	1	-2	 in[0] the[0] scene[0] prefacing[0] the[0] lynching[0] the[0] mob[0] achieves[0] critical[-1] mass[0] at[0] the[0] bar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
deputy meyers is brought in as an exalted informant , but when he is unable to augment the mob's myth of joe , he is quickly renounced from his position as town gossip . 	deputy meyers is brought in as an exalted informant , but when he is unable to augment the mob's myth of joe , he is quickly renounced from his position as town gossip .	1	-2	 deputy[0] meyers[0] is[0] brought[0] in[0] as[0] an[0] exalted[0] informant[0] but[0] when[0] he[0] is[0] unable[0] to[0] augment[0] the[0] mob's[0] myth[0] of[0] joe[0] he[0] is[0] quickly[0] renounced[-1] from[0] his[0] position[0] as[0] town[0] gossip[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see in a shot where two bar patrons are arguing that the deputy looks around nervously at the growing monster and then carefully slips out of the bar . 	we see in a shot where two bar patrons are arguing that the deputy looks around nervously at the growing monster and then carefully slips out of the bar .	1	-3	 we[0] see[0] in[0] a[0] shot[-1] where[0] two[0] bar[0] patrons[0] are[0] arguing[-1] that[0] the[0] deputy[0] looks[0] around[0] nervously[-2] at[0] the[0] growing[0] monster[-1] and[0] then[0] carefully[0] slips[0] out[0] of[0] the[0] bar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what is quietly horrifying is the realization by both the audience and the deputy that the crowd no longer exists within the confines of reason and has succumbed to what the barber referred to as impulse . 	what is quietly horrifying is the realization by both the audience and the deputy that the crowd no longer exists within the confines of reason and has succumbed to what the barber referred to as impulse .	1	-4	 what[0] is[0] quietly[0] horrifying[-3] is[0] the[0] realization[0] by[0] both[0] the[0] audience[0] and[0] the[0] deputy[0] that[0] the[0] crowd[0] no[0] longer[0] exists[0] within[0] the[0] confines[0] of[0] reason[0] and[0] has[0] succumbed[-1] to[0] what[0] the[0] barber[0] referred[0] to[0] as[0] impulse[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what once was excitement to the deputy has turned into fear with the realization that he is now powerless . 	what once was excitement to the deputy has turned into fear with the realization that he is now powerless .	3	-4	 what[0] once[0] was[0] excitement[2] to[0] the[0] deputy[0] has[0] turned[0] into[0] fear[-3] with[0] the[0] realization[0] that[0] he[0] is[0] now[0] powerless[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
to the audience , the deputy's quiet exit concurs with their own sinking feeling of uneasiness as the mob's delirium crescendos . 	to the audience , the deputy's quiet exit concurs with their own sinking feeling of uneasiness as the mob's delirium crescendos .	1	-2	 to[0] the[0] audience[0] the[0] deputy's[0] quiet[0] exit[-1] concurs[0] with[0] their[0] own[0] sinking[0] feeling[0] of[0] uneasiness[-1] as[0] the[0] mob's[0] delirium[-1] crescendos[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
