the question isn't why has grease been reissued . 	Translation	Positive	Negative	EmotionRationale
the answer to that one is easy : to celebrate the movie's 20th anniversary and to make more bucks for paramount's coffers because john travolta is once again a hot commodity . 	the answer to that one is easy : to celebrate the movie's 20th anniversary and to make more bucks for paramount's coffers because john travolta is once again a hot commodity .	2	-1	 the[0] answer[0] to[0] that[0] one[0] is[0] easy[0] to[0] celebrate[1] the[0] movie's[0] 20th[0] anniversary[0] and[0] to[0] make[0] more[0] bucks[0] for[0] paramount's[0] coffers[0] because[0] john[0] travolta[0] is[0] once[0] again[0] a[0] hot[0] commodity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , the question that ought to be asked is : should grease be reissued ? 	no , the question that ought to be asked is : should grease be reissued ?	1	-1	 no[0] the[0] question[0] that[0] ought[0] to[0] be[0] asked[0] is[0] should[0] grease[0] be[0] reissued[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer is not an easy one . 	the answer is not an easy one .	1	-1	 the[0] answer[0] is[0] not[0] an[0] easy[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grease is a fun movie , an entertaining fantasy of the '50s , embodying all the cliches of that era . 	grease is a fun movie , an entertaining fantasy of the '50s , embodying all the cliches of that era .	2	-1	 grease[0] is[0] a[0] fun[1] movie[0] an[0] entertaining[0] fantasy[0] of[0] the[0] '50s[0] embodying[0] all[0] the[0] cliches[0] of[0] that[0] era[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music is lively and the dance numbers , choreographed by patricia birch , are energetic and high-spirited . 	the music is lively and the dance numbers , choreographed by patricia birch , are energetic and high-spirited .	2	-3	 the[0] music[0] is[0] lively[1] and[0] the[0] dance[0] numbers[0] choreographed[-2] by[0] patricia[0] birch[0] are[0] energetic[0] and[0] high[0] spirited[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
travolta was at his pinnacle as a sexual icon , cool , but non-threatening . 	travolta was at his pinnacle as a sexual icon , cool , but non-threatening .	2	-3	 travolta[0] was[0] at[0] his[0] pinnacle[0] as[0] a[0] sexual[0] icon[0] cool[1] but[0] non[0] threatening[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but grease didn't break any new cinematic ground . 	but grease didn't break any new cinematic ground .	1	-1	 but[0] grease[0] didn't[0] break[0] any[0] new[0] cinematic[0] ground[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was not a milestone in movie history such as citizen kane or easy rider . 	it was not a milestone in movie history such as citizen kane or easy rider .	1	-1	 it[0] was[0] not[0] a[0] milestone[0] in[0] movie[0] history[0] such[0] as[0] citizen[0] kane[0] or[0] easy[0] rider[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what grease is - or has become - is the highest-grossing musical in film history . 	what grease is - or has become - is the highest-grossing musical in film history .	1	-2	 what[0] grease[0] is[0] or[0] has[0] become[0] is[0] the[0] highest[0] grossing[-1] musical[0] in[0] film[0] history[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok , let's not be a spoilsport . 	ok , let's not be a spoilsport .	1	-2	 ok[0] let's[0] not[0] be[0] a[0] spoilsport[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grease is a fun and entertaining movie , even though it stretches credulity to see such performers as travolta , olivia newton-john , taxi's jeff conaway and the multi-talented stockard channing try to act like high schoolers . 	grease is a fun and entertaining movie , even though it stretches credulity to see such performers as travolta , olivia newton-john , taxi's jeff conaway and the multi-talented stockard channing try to act like high schoolers .	2	-2	 grease[0] is[0] a[0] fun[1] and[0] entertaining[0] movie[0] even[0] though[0] it[0] stretches[0] credulity[0] to[0] see[0] such[0] performers[0] as[0] travolta[0] olivia[0] newton[0] john[0] taxi's[-1] jeff[0] conaway[0] and[0] the[0] multi[0] talented[1] stockard[0] channing[0] try[0] to[0] act[0] like[1] high[0] schoolers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's nostalgic to recall how good a dancer travolta was , and it's sad to think of what could have been had not a few missteps sidetracked his career . 	it's nostalgic to recall how good a dancer travolta was , and it's sad to think of what could have been had not a few missteps sidetracked his career .	2	-4	 it's[0] nostalgic[0] to[0] recall[0] how[0] good[1] a[0] dancer[0] travolta[0] was[0] and[0] it's[0] sad[-3] to[0] think[0] of[0] what[0] could[0] have[0] been[0] had[0] not[0] a[0] few[0] missteps[0] sidetracked[0] his[0] career[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he could have become a musical comedy star in the tradition of gene kelly . 	he could have become a musical comedy star in the tradition of gene kelly .	1	-1	 he[0] could[0] have[0] become[0] a[0] musical[0] comedy[0] star[0] in[0] the[0] tradition[0] of[0] gene[0] kelly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematically , the musical comedy has basically gone the way of the dinosaur . 	cinematically , the musical comedy has basically gone the way of the dinosaur .	1	-1	 cinematically[0] the[0] musical[0] comedy[0] has[0] basically[0] gone[0] the[0] way[0] of[0] the[0] dinosaur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
between grease and 1996's evita . , you can probably count the number of movie musicals on one hand . 	between grease and 1996's evita .<br> , you can probably count the number of movie musicals on one hand .	1	-1	 between[0] grease[0] and[0] 1996's[0] evita[0] [[Sentence=-1,1=word max, 1-5]] you[0] can[0] probably[0] count[0] the[0] number[0] of[0] movie[0] musicals[0] on[0] one[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two reasons have contributed to the demise of the genre : the first is that movie audiences have become more sophisticated , no , make that cynical and jaded . 	two reasons have contributed to the demise of the genre : the first is that movie audiences have become more sophisticated , no , make that cynical and jaded .	1	-3	 two[0] reasons[0] have[0] contributed[0] to[0] the[0] demise[-1] of[0] the[0] genre[0] the[0] first[0] is[0] that[0] movie[0] audiences[0] have[0] become[0] more[0] sophisticated[0] no[0] make[0] that[0] cynical[-1] and[0] jaded[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
today , if a character began to dance and sing with no orchestra in sight , he or she would probably be hooted off the screen . 	today , if a character began to dance and sing with no orchestra in sight , he or she would probably be hooted off the screen .	1	-1	 today[0] if[0] a[0] character[0] began[0] to[0] dance[0] and[0] sing[0] with[0] no[0] orchestra[0] in[0] sight[0] he[0] or[0] she[0] would[0] probably[0] be[0] hooted[0] off[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
today's audiences lack the innocence , that belief in movie magic that is required for a musical to succeed . 	today's audiences lack the innocence , that belief in movie magic that is required for a musical to succeed .	3	-2	 today's[0] audiences[0] lack[-1] the[0] innocence[1] that[0] belief[0] in[0] movie[0] magic[0] that[0] is[0] required[0] for[0] a[0] musical[0] to[0] succeed[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
