hedwig and the angry inch ( 2001 ) john cameron mitchell , miriam shor , stephen trask , michael pitt , theodore liscinski , michael aronov , andrea martin , maurice dean wint , ben mayer-goodman . 	Translation	Positive	Negative	EmotionRationale
animation by emily hubley . 	animation by emily hubley .	1	-1	 animation[0] by[0] emily[0] hubley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
adapted from the stage play by john cameron mitchell and stephen trask . 	adapted from the stage play by john cameron mitchell and stephen trask .	1	-1	 adapted[0] from[0] the[0] stage[0] play[0] by[0] john[0] cameron[0] mitchell[0] and[0] stephen[0] trask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
music and lyrics by stephn trask . 	music and lyrics by stephn trask .	1	-1	 music[0] and[0] lyrics[0] by[0] stephn[0] trask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
written and directed by john cameron mitchell . 	written and directed by john cameron mitchell .	1	-1	 written[0] and[0] directed[0] by[0] john[0] cameron[0] mitchell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
91 minutes . 	91 minutes .	1	-1	 91[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r , stars ) 	rated are , stars )	1	-1	 rated[0] r[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
had " hedwig and the angry inch " came out in the '70s , right after david bowie's " ziggy stardust , " it likely would now be regarded as one of the most popular rock musicals of all time . 	had " hedwig and the angry inch " came out in the '70s , right after david bowie's " ziggy stardust , " it likely would now be regarded as one of the most popular rock musicals of all time .	2	-4	 had[0] hedwig[0] and[0] the[0] angry[-3] inch[0] came[0] out[0] in[0] the[0] '70s[0] right[0] after[0] david[0] bowie's[0] ziggy[0] stardust[0] it[0] likely[0] would[0] now[0] be[0] regarded[0] as[0] one[0] of[0] the[0] most[0] popular[0] rock[1] musicals[0] of[0] all[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
released in the 500 channel , sensory overload world of 2001 , however , the big screen adaptation of the acclaimed off-broadway musical must do battle with countless other productions clamoring for attention . 	released in the 500 channel , sensory overload world of 2001 , however , the big screen adaptation of the acclaimed off-broadway musical must do battle with countless other productions clamoring for attention .	1	-2	 released[0] in[0] the[0] 500[0] channel[0] sensory[0] overload[0] world[0] of[0] 2001[0] however[0] the[0] big[0] screen[0] adaptation[0] of[0] the[0] acclaimed[0] off[0] broadway[0] musical[0] must[0] do[0] battle[-1] with[0] countless[0] other[0] productions[0] clamoring[0] for[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i almost missed it . 	i almost missed it .	1	-2	 i[0] almost[0] missed[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every august , the major studios try to squeeze the last few dollars out of summer moviegoers by dumping all of their shakier offerings on the marketplace at once . 	every august , the major studios try to squeeze the last few dollars out of summer moviegoers by dumping all of their shakier offerings on the marketplace at once .	1	-2	 every[0] august[0] the[0] major[0] studios[0] try[0] to[0] squeeze[0] the[0] last[0] few[0] dollars[0] out[0] of[0] summer[0] moviegoers[0] by[0] dumping[-1] all[0] of[0] their[0] shakier[-1] offerings[0] on[0] the[0] marketplace[0] at[0] once[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
