kadosh means sacred in hebrew . 	Translation	Positive	Negative	EmotionRationale
amos gitai's fictional work , after spending most of his career doing documentaries , is a grim story about a failed hasidic marriage , even though the marriage is a loving one . 	amos gitai's fictional work , after spending most of his career doing documentaries , is a grim story about a failed hasidic marriage , even though the marriage is a loving one .	4	-3	 amos[0] gitai's[0] fictional[0] work[0] after[0] spending[0] most[0] of[0] his[0] career[0] doing[0] documentaries[0] is[0] a[0] grim[-2] story[0] about[0] a[0] failed[-2] hasidic[0] marriage[0] even[0] though[0] the[0] marriage[0] is[0] a[0] loving[3] one[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the marriage will symbolize the clash of cultures in modern israel between the native israeli's modern viewpoint toward religion and the political savvy hasidic's intolerable one , as both groups are vying for control of the secular government . 	the marriage will symbolize the clash of cultures in modern israel between the native israeli's modern viewpoint toward religion and the political savy hasidic's intolerable one , as both groups are vying for control of the secular government .	1	-4	 the[0] marriage[0] will[0] symbolize[0] the[0] clash[-1] of[0] cultures[0] in[0] modern[0] israel[0] between[0] the[0] native[0] israeli's[0] modern[0] viewpoint[0] toward[0] religion[0] and[0] the[0] political[0] savvy/savy[0] hasidic's[0] intolerable[-3] one[0] as[0] both[0] groups[0] are[0] vying[0] for[0] control[0] of[0] the[0] secular[0] government[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
gitai ( devarim/yom yom ) is a labor party leftist , who believes that if the rigid hasidic ever got control of the government , it would sound the death knell of israel . 	gitai ( devarim/yom yom ) is a labor party leftist , who believes that if the rigid hasidic ever got control of the government , it would sound the death knell of israel .	1	-3	 gitai[0] devarim/yom[0] yom[0] is[0] a[0] labor[0] party[0] leftist[0] who[0] believes[0] that[0] if[0] the[0] rigid[-1] hasidic[0] ever[0] got[0] control[0] of[0] the[0] government[0] it[0] would[0] sound[0] the[0] death[-2] knell[0] of[0] israel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the emphasis of the film is on how the ultra-orthodox jews of that sect live by the letter of the torah in everything they do and how they subjugate the women to accept their vision of god's law from only the male's view . 	the emphasis of the film is on how the ultra-orthodox jews of that sect live by the letter of the torah in everything they do and how they subjugate the women to accept their vision of god's law from only the male's view .	1	-2	 the[0] emphasis[0] of[0] the[0] film[0] is[0] on[0] how[0] the[0] ultra[0] orthodox[0] jews[0] of[0] that[0] sect[0] live[0] by[0] the[0] letter[0] of[0] the[0] torah[0] in[0] everything[0] they[0] do[0] and[0] how[0] they[0] subjugate[-1] the[0] women[0] to[0] accept[0] their[0] vision[0] of[0] god's[0] law[0] from[0] only[0] the[0] male's[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that if they ever got control of the country , their intolerant attitude would subjugate the country the same way the women are . 	that if they ever got control of the country , their intolerant attitude would subjugate the country the same way the women are .	1	-1	 that[0] if[0] they[0] ever[0] got[0] control[0] of[0] the[0] country[0] their[0] intolerant[0] attitude[0] would[0] subjugate[-1][--1 LastWordBoosterStrength] the[0] country[0] the[0] same[0] way[0] the[0] women[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story takes place in jerusalem's jewish quarters called mea shearim , where we are taken down sinewy back streets with placards pasted on the walls , and into the crowded apartments and prayer rooms where the protagonists live out their idea of the proper jewish life , which is much different than the way most jews live in israel . 	the story takes place in jerusalem's jewish quarters called mea shearim , where we are taken down sinewy back streets with placards pasted on the walls , and into the crowded apartments and prayer rooms where the protagonists live out their idea of the proper jewish life , which is much different than the way most jews live in israel .	1	-1	 the[0] story[0] takes[0] place[0] in[0] jerusalem's[0] jewish[0] quarters[0] called[0] mea[0] shearim[0] where[0] we[0] are[0] taken[0] down[0] sinewy[0] back[0] streets[0] with[0] placards[0] pasted[0] on[0] the[0] walls[0] and[0] into[0] the[0] crowded[0] apartments[0] and[0] prayer[0] rooms[0] where[0] the[0] protagonists[0] live[0] out[0] their[0] idea[0] of[0] the[0] proper[0] jewish[0] life[0] which[0] is[0] much[0] different[0] than[0] the[0] way[0] most[0] jews[0] live[0] in[0] israel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a controversial film , in that the women are unhappy and the male attitudes are to such an extreme patriarchal ones , that the film is bound to anger most viewers , no matter their belief . 	this is a controversial film , in that the women are unhappy and the male attitudes are to such an extreme patriarchal ones , that the film is bound to anger most viewers , no matter their belief .	1	-4	 this[0] is[0] a[0] controversial[-1] film[0] in[0] that[0] the[0] women[0] are[0] unhappy[-2] and[0] the[0] male[0] attitudes[0] are[0] to[0] such[0] an[0] extreme[0] patriarchal[0] ones[0] that[0] the[0] film[0] is[0] bound[0] to[0] anger[-3] most[0] viewers[0] no[0] matter[0] their[0] belief[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is a slow-moving , meticulous film , that grabs hold of you by the collar and never lets go . 	it is a slow-moving , meticulous film , that grabs hold of you by the collar and never lets go .	1	-2	 it[0] is[0] a[0] slow[0] moving[0] meticulous[0] film[0] that[0] grabs[-1] hold[0] of[0] you[0] by[0] the[0] collar[0] and[0] never[0] lets[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the force of what is seen , though filmed in an objective manner , never taking a cheap shot at the hasidim , is nevertheless bound to leave questions about the nature of such a practice of strict observance . 	the force of what is seen , though filmed in an objective manner , never taking a cheap shot at the hasidim , is nevertheless bound to leave questions about the nature of such a practice of strict observance .	1	-2	 the[0] force[-1] of[0] what[0] is[0] seen[0] though[0] filmed[0] in[0] an[0] objective[0] manner[0] never[0] taking[0] a[0] cheap[-1] shot[-1] at[0] the[0] hasidim[0] is[0] nevertheless[0] bound[0] to[0] leave[0] questions[0] about[0] the[0] nature[0] of[0] such[0] a[0] practice[0] of[0] strict[-1] observance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is meant to be critical of such a rigid people , as it implies how they kill the spirit of everything they touch and with their extreme phobic attitudes , it makes it impossible for them to unite the country when they can't at present live in harmony with their own people , and it would be even more impossible to imagine them living with their arab neighbors in peace . 	the film is meant to be critical of such a rigid people , as it implies how they kill the spirit of everything they touch and with their extreme phobic attitudes , it makes it impossible for them to unite the country when they can't at present live in harmony with their own people , and it would be even more impossible to imagine them living with their arab neighbors in peace .	2	-3	 the[0] film[0] is[0] meant[0] to[0] be[0] critical[-1] of[0] such[0] a[0] rigid[-1] people[0] as[0] it[0] implies[0] how[0] they[0] kill[-1] the[0] spirit[0] of[0] everything[0] they[0] touch[0] and[0] with[0] their[0] extreme[0] phobic[-2] attitudes[0] it[0] makes[0] it[0] impossible[0] for[0] them[0] to[0] unite[0] the[0] country[0] when[0] they[0] can't[0] at[0] present[0] live[0] in[0] harmony[1] with[0] their[0] own[0] people[0] and[0] it[0] would[0] be[0] even[0] more[0] impossible[0] to[0] imagine[0] them[0] living[0] with[0] their[0] arab[0] neighbors[0] in[0] peace[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
