earth is a harsh , unconsoling drama about the time when india gained independence from britain and the ensuing turmoil that engulfed the subcontinent . 	Translation	Positive	Negative	EmotionRationale
people who supposedly loved the same land and the same god found themselves in bitter conflict , as the country divided into factions fighting in the streets : indian and pakistani ; muslim , hindu , sikh , parsee . 	people who supposedly loved the same land and the same god found themselves in bitter conflict , as the country divided into factions fighting in the streets : indian and pakistani ; muslim , hindu , sikh , parse .	4	-3	 people[0] who[0] supposedly[0] loved[3] the[0] same[0] land[0] and[0] the[0] same[0] god[0] found[0] themselves[0] in[0] bitter[-1] conflict[-1] as[0] the[0] country[0] divided[0] into[0] factions[0] fighting[-2] in[0] the[0] streets[0] indian[0] and[0] pakistani[0] muslim[0] hindu[0] sikh[0] parsee/parse[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the story takes place in lahore , which was indian before partition , and pakistani afterward , regardless of what its citizens might call themselves . 	the story takes place in lahore , which was indian before partition , and pakistani afterward , regardless of what its citizens might call themselves .	1	-2	 the[0] story[0] takes[0] place[0] in[0] lahore[0] which[0] was[0] indian[0] before[0] partition[-1] and[0] pakistani[0] afterward[0] regardless[-1] of[0] what[0] its[0] citizens[0] might[0] call[0] themselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action is seen through the eyes of lenny ( maaia sethna ) , a young parsee girl , but it is really about her nanny , shanta . 	the action is seen through the eyes of lenny ( maia sethna ) , a young parse girl , but it is really about her nanny , shanta .	1	-1	 the[0] action[0] is[0] seen[0] through[0] the[0] eyes[0] of[0] lenny[0] maaia/maia[0] sethna[0] a[0] young[0] parsee/parse[0] girl[0] but[0] it[0] is[0] really[0] about[0] her[0] nanny[0] shanta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shanta has a small circle of male admirers . 	shanta has a small circle of male admirers .	3	-1	 shanta[0] has[0] a[0] small[0] circle[0] of[0] male[0] admirers[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
two of the men are suitors : hasan ( rahul khanna ) , a hindu , and dil navaz ( aamir khan ) , a muslim . 	two of the men are suitors : hasan ( rahul khanna ) , a hindu , and dil navaz ( amir khan ) , a muslim .	1	-1	 two[0] of[0] the[0] men[0] are[0] suitors[0] hasan[0] rahul[0] khanna[0] a[0] hindu[0] and[0] dil[0] navaz[0] aamir/amir[0] khan[0] a[0] muslim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the others--sikh , hindu , muslim--are older ; some are married ; but all appreciate shanta , who is played by the stirringly beautiful nandita das . 	the others-sikh , hindu , muslim-are older ; some are married ; but all appreciate shanta , who is played by the stirringly beautiful nandita das .	3	-1	 the[0] others[0] sikh[0] hindu[0] muslim[0] are[0] older[0] some[0] are[0] married[0] but[0] all[0] appreciate[1] shanta[0] who[0] is[0] played[0] by[0] the[0] stirringly[0] beautiful[2] nandita[0] das[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( she also starred in deepa mehta's previous film , fire , the first part of a thematic trilogy which will conclude with water . ) 	 ( she also starred in deepa mehta's previous film , fire , the first part of a thematic trilogy which will conclude with water .<br> )	1	-1	 she[0] also[0] starred[0] in[0] deepa[0] mehta's[0] previous[0] film[0] fire[0] the[0] first[0] part[0] of[0] a[0] thematic[0] trilogy[0] which[0] will[0] conclude[0] with[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in an early scene , the men are sitting in a park talking with shanta and lenny ; political tension in the country is growing as the day of independence nears . 	in an early scene , the men are sitting in a park talking with shanta and lenny ; political tension in the country is growing as the day of independence nears .	1	-3	 in[0] an[0] early[0] scene[0] the[0] men[0] are[0] sitting[0] in[0] a[0] park[0] talking[0] with[0] shanta[0] and[0] lenny[0] political[0] tension[-2] in[0] the[0] country[0] is[0] growing[0] as[0] the[0] day[0] of[0] independence[0] nears[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one of the men remarks , jokingly , that their little group is probably one of the last places in the city where the different religions can still get along . 	one of the men remarks , jokingly , that their little group is probably one of the last places in the city where the different religions can still get along .	1	-1	 one[0] of[0] the[0] men[0] remarks[0] jokingly[0] that[0] their[0] little[0] group[0] is[0] probably[0] one[0] of[0] the[0] last[0] places[0] in[0] the[0] city[0] where[0] the[0] different[0] religions[0] can[0] still[0] get[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is wrong : the men make barbed little comments to each other , spoken like jokes , but with an undercurrent of fanaticism . 	he is wrong : the men make barbed little comments to each other , spoken like jokes , but with an undercurrent of fanaticism .	2	-2	 he[0] is[0] wrong[-1] the[0] men[0] make[0] barbed[0] little[0] comments[0] to[0] each[0] other[0] spoken[0] like[1] jokes[1] but[0] with[0] an[0] undercurrent[0] of[0] fanaticism[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
