i rented " brokedown palace " last night blind , having heard nothing about it beforehand , and i enjoyed it immensely despite some flaws . 	Translation	Positive	Negative	EmotionRationale
for anyone wishing to have the same experience i would suggest reserving judgement of the movie until viewing it in its entirety . 	for anyone wishing to have the same experience i would suggest reserving judgement of the movie until viewing it in its entirety .	1	-1	 for[0] anyone[0] wishing[0] to[0] have[0] the[0] same[0] experience[0] i[0] would[0] suggest[0] reserving[0] judgement[0] of[0] the[0] movie[0] until[0] viewing[0] it[0] in[0] its[0] entirety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is no easy task . 	that is no easy task .	1	-1	 that[0] is[0] no[0] easy[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
superficially , it bears an unfortunate ( and not necessarily unintended ) resemblance to several other movies , notably " return to paradise " and " midnight express . " 	superficially , it bears an unfortunate ( and not necessarily unintended ) resemblance to several other movies , notably " return to paradise " and " midnight express .<br> "	4	-2	 superficially[-1] it[0] bears[0] an[0] unfortunate[-1] and[0] not[0] necessarily[0] unintended[0] resemblance[0] to[0] several[0] other[0] movies[0] notably[0] return[0] to[0] paradise[3] and[0] midnight[0] express[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as a result nearly every review of " brokedown palace " i subsequently read became hopelessly entangled in making the obvious comparisons . 	as a result nearly every review of " brokedown palace " i subsequently read became hopelessly entangled in making the obvious comparisons .	1	-4	 as[0] a[0] result[0] nearly[0] every[0] review[0] of[0] brokedown[-1] palace[0] i[0] subsequently[0] read[0] became[0] hopelessly[-3] entangled[-1] in[0] making[0] the[0] obvious[0] comparisons[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the consequence was nearly universal condemnation , which is a shame as this is a fine film . 	the consequence was nearly universal condemnation , which is a shame as this is a fine film .	3	-3	 the[0] consequence[0] was[0] nearly[0] universal[0] condemnation[-1] which[0] is[0] a[0] shame[-2] as[0] this[0] is[0] a[0] fine[2] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for those who have yet to view the movie , let me say that it is not an attempt to portray the nightmarish reality of the third world criminal justice system ( as was " midnight express " ) nor completely the moral dilemma and examination of the meaning of friendship and humanity that was the heart of " return to paradise . " 	for those who have yet to view the movie , let me say that it is not an attempt to portray the nightmarish reality of the third world criminal justice system ( as was " midnight express " ) nor completely the moral dilemma and examination of the meaning of friendship and humanity that was the heart of " return to paradise .<br> "	4	-2	 for[0] those[0] who[0] have[0] yet[0] to[0] view[0] the[0] movie[0] let[0] me[0] say[0] that[0] it[0] is[0] not[0] an[0] attempt[0] to[0] portray[0] the[0] nightmarish[0] reality[0] of[0] the[0] third[0] world[0] criminal[-1] justice[0] system[0] as[0] was[0] midnight[0] express[0] nor[0] completely[0] the[0] moral[0] dilemma[-1] and[0] examination[0] of[0] the[0] meaning[0] of[0] friendship[1] and[0] humanity[0] that[0] was[0] the[0] heart[0] of[0] return[0] to[0] paradise[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in my view , if this film is to be compared to any other source it would have to be joseph conrad's acclaimed novel , " lord jim . " 	in my view , if this film is to be compared to any other source it would have to be joseph conrad's acclaimed novel , " lord jim .<br> "	1	-2	 in[0] my[0] view[0] if[0] this[0] film[0] is[0] to[0] be[0] compared[0] to[0] any[0] other[0] source[-1] it[0] would[0] have[0] to[0] be[0] joseph[0] conrad's[0] acclaimed[0] novel[0] lord[0] jim[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
problematically , the basic storyline seems more than familiar : two american teenage girls on vacation are sentenced to spend most of their lives in a thai prison for drug smuggling in an obvious set-up involving a suave con-man , a shadowy criminal conspiracy and a corrupt third world " justice " system . 	problematically , the basic storyline seems more than familiar : two american teenage girls on vacation are sentenced to spend most of their lives in a thai prison for drug smuggling in an obvious set-up involving a suave con-man , a shadowy criminal conspiracy and a corrupt third world " justice " system .	1	-3	 problematically[-1] the[0] basic[0] storyline[0] seems[0] more[0] than[0] familiar[0] two[0] american[0] teenage[0] girls[0] on[0] vacation[0] are[0] sentenced[0] to[0] spend[0] most[0] of[0] their[0] lives[0] in[0] a[0] thai[0] prison[-1] for[0] drug[0] smuggling[-1] in[0] an[0] obvious[0] set[0] up[0] involving[0] a[0] suave[0] con[0] man[0] a[0] shadowy[0] criminal[-1] conspiracy[-1] and[0] a[0] corrupt[-2] third[0] world[0] justice[0] system[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the girls are alice ( claire danes ) and darlene ( kate beckinsale ) . 	the girls are alice ( claire danes ) and darlene ( kate beckinsale ) .	1	-1	 the[0] girls[0] are[0] alice[0] claire[0] danes[0] and[0] darlene[0] kate[0] beckinsale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're life-long buddies who planned a high-school graduation trip to hawaii , and then secretly changed their destination to the more exotic thailand without telling their parents . 	they're life-long buddies who planned a high-school graduation trip to hawai , and then secretly changed their destination to the more exotic thailand without telling their parents .	1	-1	 they're[0] life[0] long[0] buddies[0] who[0] planned[0] a[0] high[0] school[0] graduation[0] trip[0] to[0] hawaii/hawai[0] and[0] then[0] secretly[0] changed[0] their[0] destination[0] to[0] the[0] more[0] exotic[0] thailand[0] without[0] telling[0] their[0] parents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
