melvin van peebles' " sweet sweetback's baadasssss song " was a watershed moment in the history of american cinema and the black movement . 	Translation	Positive	Negative	EmotionRationale
it was released less than a decade after the civil rights movement had begun and almost twenty years before the rodney king incident . 	it was released less than a decade after the civil rights movement had begun and almost twenty years before the rodney king incident .	1	-1	 it[0] was[0] released[0] less[0] than[0] a[0] decade[0] after[0] the[0] civil[0] rights[0] movement[0] had[0] begun[0] and[0] almost[0] twenty[0] years[0] before[0] the[0] rodney[0] king[0] incident[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its violent and highly sexualized revenge tale of a macho black hustler fighting back against white oppression and winning was something that had never been seen on an american movie screen before . 	its violent and highly sexualized revenge tale of a macho black hustler fighting back against white oppression and winning was something that had never been seen on an american movie screen before .	2	-3	 its[0] violent[-2] and[0] highly[0] sexualized[0] revenge[-1] tale[0] of[0] a[0] macho[0] black[0] hustler[-1] fighting[-2] back[0] against[-1] white[0] oppression[-2] and[0] winning[1] was[0] something[0] that[0] had[0] never[0] been[0] seen[0] on[0] an[0] american[0] movie[0] screen[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in style , content , and how it was conceived and produced , " sweet sweetback " was a cinematic revolution , whether or not one agrees with its subject matter . 	in style , content , and how it was conceived and produced , " sweet sweetback " was a cinematic revolution , whether or not one agrees with its subject matter .	2	-2	 in[0] style[0] content[0] and[0] how[0] it[0] was[0] conceived[0] and[0] produced[0] sweet[1] sweetback[0] was[0] a[0] cinematic[0] revolution[-1] whether[0] or[0] not[0] one[0] agrees[0] with[0] its[0] subject[0] matter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
van peebles , a black american who first gained recognition by writing novels in france , built " sweet sweetback " from the ground up almost entirely by himself . 	van peebles , a black american who first gained recognition by writing novels in france , built " sweet sweetback " from the ground up almost entirely by himself .	2	-1	 van[0] peebles[0] a[0] black[0] american[0] who[0] first[0] gained[0] recognition[0] by[0] writing[0] novels[0] in[0] france[0] built[0] sweet[1] sweetback[0] from[0] the[0] ground[0] up[0] almost[0] entirely[0] by[0] himself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
because no studio would dare fund such a film , he was forced to raise all the money himself . 	because no studio would dare fund such a film , he was forced to raise all the money himself .	1	-1	 because[0] no[0] studio[0] would[0] dare[0] fund[0] such[0] a[0] film[0] he[0] was[0] forced[0] to[0] raise[0] all[0] the[0] money[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie ended up costing about  500 , 000 , part of which was put up by none other than bill cosby . 	the movie ended up costing about  500 , 00 , part of which was put up by none other than bill cosby .	1	-1	 the[0] movie[0] ended[0] up[0] costing[0] about[0] 500[0] 000/00[0] part[0] of[0] which[0] was[0] put[0] up[0] by[0] none[0] other[0] than[0] bill[0] cosby[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van peebles cut costs by hiring non-union labor and taking on most of the film's responsibilities himself . 	van peebles cut costs by hiring non-union labor and taking on most of the film's responsibilities himself .	1	-1	 van[0] peebles[0] cut[0] costs[0] by[0] hiring[0] non[0] union[0] labor[0] and[0] taking[0] on[0] most[0] of[0] the[0] film's[0] responsibilities[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he wrote the script , scored the music , edited and directed the film , as well as starred in the central role . 	he wrote the script , scored the music , edited and directed the film , as well as starred in the central role .	1	-1	 he[0] wrote[0] the[0] script[0] scored[0] the[0] music[0] edited[0] and[0] directed[0] the[0] film[0] as[0] well[0] as[0] starred[0] in[0] the[0] central[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was also a brilliant entrepreneur who always found a way to make an extra buck . 	he was also a brilliant entrepreneur who always found a way to make an extra buck .	2	-1	 he[0] was[0] also[0] a[0] brilliant[1] entrepreneur[0] who[0] always[0] found[0] a[0] way[0] to[0] make[0] an[0] extra[0] buck[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for instance , when the mppa slapped the film with a dreaded x-rating , van peebles not only threatened to bring a lawsuit against jack valenti and the mpaa , but he also developed a little marketing scheme : he coined the phrases " rated x by an all-white jury , " which he put on the movie posters to help advertise the film . 	for instance , when the mppa slapped the film with a dreaded x-rating , van peebles not only threatened to bring a lawsuit against jack valenti and the mpa , but he also developed a little marketing scheme : he coined the phrases " rated x by an all-white jury , " which he put on the movie posters to help advertise the film .	3	-4	 for[0] instance[0] when[0] the[0] mppa[0] slapped[-1] the[0] film[0] with[0] a[0] dreaded[-3] x[1] rating[0] van[0] peebles[0] not[0] only[0] threatened[-2][NegatedDueToPreviousWord] to[0] bring[0] a[0] lawsuit[-1] against[-1] jack[0] valenti[0] and[0] the[0] mpaa/mpa[0] but[0] he[0] also[0] developed[0] a[0] little[0] marketing[0] scheme[0] he[0] coined[0] the[0] phrases[0] rated[0] x[1] by[0] an[0] all[0] white[0] jury[0] which[0] he[0] put[0] on[0] the[0] movie[0] posters[0] to[0] help[0] advertise[0] the[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he also printed the phrase on tee-shirts which he had no problem selling . 	he also printed the phrase on tee-shirts which he had no problem selling .	1	-2	 he[0] also[0] printed[0] the[0] phrase[0] on[0] tee[0] shirts[0] which[0] he[0] had[0] no[0] problem[-1] selling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the storyline in " sweet sweetback " is deceptively simple . 	the storyline in " sweet sweetback " is deceptively simple .	2	-2	 the[0] storyline[0] in[0] sweet[1] sweetback[0] is[0] deceptively[-1] simple[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it takes place in los angeles , and van peebles stars as the title character , a tough male hustler of few words who grew up in a brothel , and makes money by doing what he does best : having sex . 	it takes place in los angeles , and van peebles stars as the title character , a tough male hustler of few words who grew up in a brothel , and makes money by doing what he does best : having sex .	2	-2	 it[0] takes[0] place[0] in[0] los[0] angeles[0] and[0] van[0] peebles[0] stars[0] as[0] the[0] title[0] character[0] a[0] tough[-1] male[0] hustler[-1] of[0] few[0] words[0] who[0] grew[0] up[0] in[0] a[0] brothel[0] and[0] makes[0] money[0] by[0] doing[0] what[0] he[0] does[0] best[1] having[0] sex[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one day , he agrees to go with a couple of amiable white cops down to the station to make it look like they're bringing in suspects on a politically-charged case involving murder . 	one day , he agrees to go with a couple of amiable white cops down to the station to make it look like they're bringing in suspects on a politically-charged case involving murder .	3	-4	 one[0] day[0] he[0] agrees[0] to[0] go[0] with[0] a[0] couple[0] of[0] amiable[2] white[0] cops[0] down[0] to[0] the[0] station[0] to[0] make[0] it[0] look[0] like[1] they're[0] bringing[0] in[0] suspects[0] on[0] a[0] politically[0] charged[-1] case[0] involving[0] murder[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , on the way to the station the cops arrest a young black revolutionary named mu-mu ( hubert scales ) , who they proceed to beat viciously . 	however , on the way to the station the cops arrest a young black revolutionary named mu-mu ( hubert scales ) , who they proceed to beat viciously .	1	-4	 however[0] on[0] the[0] way[0] to[0] the[0] station[0] the[0] cops[0] arrest[0] a[0] young[0] black[0] revolutionary[-1] named[0] mu[0] mu[0] hubert[0] scales[0] who[0] they[0] proceed[0] to[0] beat[0] viciously[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
acting out of complete impulse rather than political motivation , sweetback fights back and beats the cops to the brink of death . 	acting out of complete impulse rather than political motivation , sweetback fights back and beats the cops to the brink of death .	1	-3	 acting[0] out[0] of[0] complete[0] impulse[0] rather[0] than[0] political[0] motivation[0] sweetback[0] fights[-2] back[0] and[0] beats[0] the[0] cops[0] to[0] the[0] brink[0] of[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the rest of the film follows sweetback as he evades the cops on his way to eventual escape in mexico . 	the rest of the film follows sweetback as he evades the cops on his way to eventual escape in mexico .	1	-2	 the[0] rest[0] of[0] the[0] film[0] follows[0] sweetback[0] as[0] he[0] evades[-1] the[0] cops[0] on[0] his[0] way[0] to[0] eventual[0] escape[0] in[0] mexico[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although the repetition of watching sweetback run gets a little old by the end of the film , this plot allows van peebles' camera to roam the darker side of l . a . - the ghettos , alleys , and back-street whorehouses that other films had always overlooked . 	although the repetition of watching sweetback run gets a little old by the end of the film , this plot allows van peebles' camera to roam the darker side of l .<br> a .<br> - the ghettos , alleys , and back-street whorehouses that other films had always overlooked .	1	-3	 although[0] the[0] repetition[0] of[0] watching[0] sweetback[0] run[0] gets[0] a[0] little[0] old[0] by[0] the[0] end[0] of[0] the[0] film[0] this[0] plot[0] allows[0] van[0] peebles'[0] camera[0] to[0] roam[0] the[0] darker[0] side[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] the[0] ghettos[0] alleys[0] and[0] back[0] street[0] whorehouses[-2] that[0] other[0] films[0] had[0] always[0] overlooked[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
