weir is well-respected in hollywood for turning scripts with difficult subject-matter into deceptively simple , powerful films , the mosquito coast ( utopia ) and fearless ( post-traumatic stress disorder ) among them . 	Translation	Positive	Negative	EmotionRationale
in the truman show , weir essentially breathes life into the now-tired concept of media-manipulation by tackling the material from the inside-out . 	in the truman show , weir essentially breathes life into the now-tired concept of media-manipulation by tackling the material from the inside-out .	1	-2	 in[0] the[0] truman[0] show[0] weir[0] essentially[0] breathes[0] life[0] into[0] the[0] now[0] tired[-1] concept[0] of[0] media[0] manipulation[-1] by[0] tackling[0] the[0] material[0] from[0] the[0] inside[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it certainly helps that he has an underrated performer in top-form playing the title character , truman burbank . 	it certainly helps that he has an underrated performer in top-form playing the title character , truman burbank .	2	-1	 it[0] certainly[0] helps[0] that[0] he[0] has[0] an[0] underrated[0] performer[0] in[0] top[0] form[0] playing[1] the[0] title[0] character[0] truman[0] burbank[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by now you must be aware of the premise : unbeknownst to him , truman ( carrey ) is the star of his own tv series , a 24-7 peep-show in which he is surrounded by actors and placed in loosely scripted situations ; people around the world tune in for the voyeuristic thrill of his genuine reactions to fictitious stimulants . 	by now you must be aware of the premise : unbeknownst to him , truman ( carrey ) is the star of his own tv series , a 24-7 peep-show in which he is surrounded by actors and placed in loosely scripted situations ; people around the world tune in for the voyeuristic thrill of his genuine reactions to fictitious stimulants .	4	-1	 by[0] now[0] you[0] must[0] be[0] aware[0] of[0] the[0] premise[0] unbeknownst[0] to[0] him[0] truman[0] carrey[0] is[0] the[0] star[0] of[0] his[0] own[0] tv[0] series[0] a[0] 24[0] -7[0] peep[0] show[0] in[0] which[0] he[0] is[0] surrounded[0] by[0] actors[0] and[0] placed[0] in[0] loosely[0] scripted[0] situations[0] people[0] around[0] the[0] world[0] tune[0] in[0] for[0] the[0] voyeuristic[0] thrill[3] of[0] his[0] genuine[0] reactions[0] to[0] fictitious[0] stimulants[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 seahaven' , his hometown , and the show itself , are the brainchild of christof ( harris ) , who presides over his creation in the base of a fake moon , directing over 500 cameras and hundreds of actors and extras . 	 seahaven' , his hometown , and the show itself , are the brainchild of christof ( harris ) , who presides over his creation in the base of a fake moon , directing over 500 cameras and hundreds of actors and extras .	1	-2	 seahaven'[0] his[0] hometown[0] and[0] the[0] show[0] itself[0] are[0] the[0] brainchild[0] of[0] christof[0] harris[0] who[0] presides[0] over[0] his[0] creation[0] in[0] the[0] base[0] of[0] a[0] fake[-1] moon[0] directing[0] over[0] 500[0] cameras[0] and[0] hundreds[0] of[0] actors[0] and[0] extras[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for 30 years , truman suspects nothing- we accept the reality we're given , ' poses christof-but a desire to break free of the sunny town and visit a long lost love in  fiji' ( mcelhone , who was actually an actress fired by christof for trying to break the confidentiality agreement ) overwhelms him . 	for 30 years , truman suspects nothing- we accept the reality we're given , ' poses christof-but a desire to break free of the sunny town and visit a long lost love in  fiji' ( mcelhone , who was actually an actress fired by christof for trying to break the confidentiality agreement ) overwhelms him .	3	-3	 for[0] 30[0] years[0] truman[0] suspects[0] nothing[0] we[0] accept[0] the[0] reality[0] we're[0] given[0] '[0] poses[0] christof[0] but[0] a[0] desire[0] to[0] break[0] free[0] of[0] the[0] sunny[1] town[0] and[0] visit[0] a[0] long[0] lost[0] love[2] in[0] fiji'[0] mcelhone[0] who[0] was[0] actually[0] an[0] actress[0] fired[-2] by[0] christof[0] for[0] trying[0] to[0] break[0] the[0] confidentiality[0] agreement[0] overwhelms[-2] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
thus , christof and his team suddenly find themselves working twice as hard to keep the veneer of seahaven intact , lest truman discover the world outside and put an end to the highly-rated program . 	thus , christof and his team suddenly find themselves working twice as hard to keep the veneer of seahaven intact , lest truman discover the world outside and put an end to the highly-rated program .	1	-1	 thus[0] christof[0] and[0] his[0] team[0] suddenly[0] find[0] themselves[0] working[0] twice[0] as[0] hard[0] to[0] keep[0] the[0] veneer[0] of[0] seahaven[0] intact[0] lest[0] truman[0] discover[0] the[0] world[0] outside[0] and[0] put[0] an[0] end[0] to[0] the[0] highly[0] rated[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a few broad strokes , weir creates a convincing second-reality , and he has the good sense not to bring christof into the picture until almost three-quarters through . 	in a few broad strokes , weir creates a convincing second-reality , and he has the good sense not to bring christof into the picture until almost three-quarters through .	2	-1	 in[0] a[0] few[0] broad[0] strokes[0] weir[0] creates[0] a[0] convincing[0] second[0] reality[0] and[0] he[0] has[0] the[0] good[1] sense[0] not[0] to[0] bring[0] christof[0] into[0] the[0] picture[0] until[0] almost[0] three[0] quarters[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this allows us to comprehend and accept truman's world before we contextualize it . 	this allows us to comprehend and accept truman's world before we contextualize it .	1	-1	 this[0] allows[0] us[0] to[0] comprehend[0] and[0] accept[0] truman's[0] world[0] before[0] we[0] contextualize[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all his madness , christof has shown the world a place without violence and hardship , and demonstrated that a human being can function well within it . 	for all his madness , christof has shown the world a place without violence and hardship , and demonstrated that a human being can function well within it .	1	-4	 for[0] all[0] his[0] madness[-1] christof[0] has[0] shown[0] the[0] world[0] a[0] place[0] without[0] violence[-3] and[0] hardship[-1] and[0] demonstrated[0] that[0] a[0] human[0] being[0] can[0] function[0] well[0] within[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
truman is an inspiration to his audience because he grew up to be , well , so darn nice ; like a sibling ( or , perhaps more appropriately , a caged animal in an interactive zoo ) , they want to see him succeed . 	truman is an inspiration to his audience because he grew up to be , well , so darn nice ; like a sibling ( or , perhaps more appropriately , a caged animal in an interactive zoo ) , they want to see him succeed .	3	-2	 truman[0] is[0] an[0] inspiration[2] to[0] his[0] audience[0] because[0] he[0] grew[0] up[0] to[0] be[0] well[0] so[0] darn[-1] nice[1] like[1] a[0] sibling[0] or[0] perhaps[0] more[0] appropriately[0] a[0] caged[0] animal[0] in[0] an[0] interactive[0] zoo[0] they[0] want[0] to[0] see[0] him[0] succeed[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
