 " through a spyglass , i could see everything . " 	Translation	Positive	Negative	EmotionRationale
king louis xvi was beheaded on january 21 , 1793 , but instead of visualizing this act of regicide , legendary auteur eric rohmer's the lady and the duke observes from afar . 	king louis xvi was beheaded on january 21 , 1793 , but instead of visualizing this act of regicide , legendary auteur eric rohmer's the lady and the duke observes from afar .	1	-5	 king[0] louis[0] xvi[0] was[0] beheaded[-4] on[0] january[0] 21[0] 1793[0] but[0] instead[0] of[0] visualizing[0] this[0] act[0] of[0] regicide[0] legendary[0] auteur[0] eric[0] rohmer's[0] the[0] lady[0] and[0] the[0] duke[0] observes[0] from[0] afar[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
consider it a view to a kill made abstract . 	consider it a view to a kill made abstract .	1	-2	 consider[0] it[0] a[0] view[0] to[0] a[0] kill[-1] made[0] abstract[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a proper british ( yes , british ) gentlewoman , grace elliott ( lucy russell ) , and her loyal maidservant gaze from a lofty terrace in meudon at the glistening city of paris , where raucous crowds seem tinier than ants . 	a proper british ( yes , british ) gentlewoman , grace elliott ( lucy russell ) , and her loyal maidservant gaze from a lofty terrace in meudon at the glistening city of paris , where raucous crowds seem tinier than ants .	3	-1	 a[0] proper[0] british[0] yes[0] british[0] gentlewoman[0] grace[2] elliott[0] lucy[0] russell[0] and[0] her[0] loyal[1] maidservant[0] gaze[0] from[0] a[0] lofty[0] terrace[0] in[0] meudon[0] at[0] the[0] glistening[0] city[0] of[0] paris[0] where[0] raucous[0] crowds[0] seem[0] tinier[0] than[0] ants[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the maid narrates what little she sees of the execution through her telescope ( often muttering , " i don't know , " ) as the sound of cheering patriots and revolutionaries echoes through the air . 	the maid narrates what little she sees of the execution through her telescope ( often muttering , " i don't know , " ) as the sound of cheering patriots and revolutionaries echoes through the air .	3	-2	 the[0] maid[0] narrates[0] what[0] little[0] she[0] sees[0] of[0] the[0] execution[0] through[0] her[0] telescope[0] often[0] muttering[0] i[0] don't[0] know[0] as[0] the[0] sound[0] of[0] cheering[2] patriots[0] and[0] revolutionaries[-1] echoes[0] through[0] the[0] air[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what we don't see might not be able to hurt us . 	what we don't see might not be able to hurt us .	1	-3	 what[0] we[0] don't[0] see[0] might[0] not[0] be[0] able[0] to[0] hurt[-2] us[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
just close your eyes and think of england . 	just close your eyes and think of england .	1	-1	 just[0] close[0] your[0] eyes[0] and[0] think[0] of[0] england[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during times of revolution , the aristocracy may feel a false sense of calm in their parlor halls , discussing tumultuous events over glasses of sherry until the walls cave in on them . 	during times of revolution , the aristocracy may feel a false sense of calm in their parlor halls , discussing tumultuous events over glasses of sherry until the walls cave in on them .	2	-2	 during[0] times[0] of[0] revolution[-1] the[0] aristocracy[0] may[0] feel[0] a[0] false[0] sense[0] of[0] calm[1] in[0] their[0] parlor[0] halls[0] discussing[0] tumultuous[0] events[0] over[0] glasses[0] of[0] sherry[0] until[0] the[0] walls[0] cave[0] in[0] on[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
adapted from elliott's memoirs , journal of my life during the french revolution , rohmer's latest artistic tour-de-force may seem far removed from his domestic comedies ( tales of the four seasons , etc . ) , a period film set during the most violent changes in french history . 	adapted from elliott's memoirs , journal of my life during the french revolution , rohmer's latest artistic tour-de-force may seem far removed from his domestic comedies ( tales of the four seasons , etc .<br> ) , a period film set during the most violent changes in french history .	1	-3	 adapted[0] from[0] elliott's[0] memoirs[0] journal[0] of[0] my[0] life[0] during[0] the[0] french[0] revolution[-1] rohmer's[0] latest[0] artistic[0] tour[0] de[0] force[-1] may[0] seem[0] far[0] removed[0] from[0] his[0] domestic[0] comedies[0] tales[0] of[0] the[0] four[0] seasons[0] etc[0] [[Sentence=-2,1=word max, 1-5]] a[0] period[0] film[0] set[0] during[0] the[0] most[0] violent[-2] changes[0] in[0] french[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
resisting the temptation for grand-scale theatrics , much of the lady and the duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes . 	resisting the temptation for grand-scale theatrics , much of the lady and the duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes .	2	-2	 resisting[0] the[0] temptation[-1] for[0] grand[1] scale[0] theatrics[0] much[0] of[0] the[0] lady[0] and[0] the[0] duke[0] is[0] about[0] quiet[0] decisive[0] moments[0] between[0] members[0] of[0] the[0] cultural[0] elite[0] as[0] they[0] determine[0] how[0] to[0] proceed[0] as[0] the[0] world[0] implodes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
grace elliott makes for an unlikely protagonist : a headstrong , snobbish blueblood , one unprepared for the machinations of history that sweep her along . 	grace elliott makes for an unlikely protagonist : a headstrong , snobbish blueblood , one unprepared for the machinations of history that sweep her along .	3	-3	 grace[2] elliott[0] makes[0] for[0] an[0] unlikely[0] protagonist[0] a[0] headstrong[0] snobbish[-2] blueblood[0] one[0] unprepared[0] for[0] the[0] machinations[0] of[0] history[0] that[0] sweep[0] her[0] along[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a foreigner who accepts the french king as her own , grace's life seems defined by fancy attire and lively political debate with her former lover , the king's hot-blooded cousin , prince philipe , duke of orleans ( jean-claude dreyfus ) . 	a foreigner who accepts the french king as her own , grace's life seems defined by fancy attire and lively political debate with her former lover , the king's hot-blooded cousin , prince philipe , duke of orleans ( jean-claude dreyfus ) .	4	-1	 a[0] foreigner[0] who[0] accepts[0] the[0] french[0] king[0] as[0] her[0] own[0] grace's[0] life[0] seems[0] defined[0] by[0] fancy[0] attire[0] and[0] lively[1] political[0] debate[0] with[0] her[0] former[0] lover[3] the[0] king's[0] hot[0] blooded[0] cousin[0] prince[0] philipe[0] duke[0] of[0] orleans[0] jean[0] claude[0] dreyfus[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
