city of angels is the kind of love story that i enjoy the most : thought-provoking , moving , and completely unsentimental . 	Translation	Positive	Negative	EmotionRationale
i find it interesting that this film has been released the same day as my giant , which is a film that is undone completely by its wretched sentimentality . 	i find it interesting that this film has been released the same day as my giant , which is a film that is undone completely by its wretched sentimentality .	3	-3	 i[0] find[0] it[0] interesting[1] that[0] this[0] film[0] has[0] been[0] released[0] the[0] same[0] day[0] as[0] my[0] giant[0] which[0] is[0] a[0] film[0] that[0] is[0] undone[-1] completely[0] by[0] its[0] wretched[-2] sentimentality[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
city of angels is a wonderful film , enhanced by interesting and well-rounded characters and some of the most immersive imagery of the last couple of years . 	city of angels is a wonderful film , enhanced by interesting and well-rounded characters and some of the most immersive imagery of the last couple of years .	3	-1	 city[0] of[0] angels[0] is[0] a[0] wonderful[2] film[0] enhanced[0] by[0] interesting[1] and[0] well[0] rounded[0] characters[0] and[0] some[0] of[0] the[0] most[0] immersive[0] imagery[0] of[0] the[0] last[0] couple[0] of[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a love story that takes the familiar angel themes and makes them new and necessary to the story , and avoids most of the cliches we're so used to seeing in films like this . 	it's a love story that takes the familiar angel themes and makes them new and necessary to the story , and avoids most of the cliches we're so used to seeing in films like this .	3	-2	 it's[0] a[0] love[2] story[0] that[0] takes[0] the[0] familiar[0] angel[0] themes[0] and[0] makes[0] them[0] new[0] and[0] necessary[0] to[0] the[0] story[0] and[0] avoids[-1] most[0] of[0] the[0] cliches[0] we're[0] so[0] used[0] to[0] seeing[0] in[0] films[0] like[1] this[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
city of angels is an apparently loose remake of wim wenders' 1988 film wings of desire . 	city of angels is an apparently loose remake of wim wenders' 1988 film wings of desire .	1	-1	 city[0] of[0] angels[0] is[0] an[0] apparently[0] loose[0] remake[0] of[0] wim[0] wenders'[0] 1988[0] film[0] wings[0] of[0] desire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have yet to see wings of desire , so i am , unfortunately , unable to make a comparison of the two . 	i have yet to see wings of desire , so i am , unfortunately , unable to make a comparison of the two .	1	-2	 i[0] have[0] yet[0] to[0] see[0] wings[0] of[0] desire[0] so[0] i[0] am[0] unfortunately[-1] unable[0] to[0] make[0] a[0] comparison[0] of[0] the[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have heard , however , that city of angels is dissimilar from the original in numerous ways , which makes me glad that this film isn't a rip-off of its source material . 	i have heard , however , that city of angels is dissimilar from the original in numerous ways , which makes me glad that this film isn't a rip-off of its source material .	2	-2	 i[0] have[0] heard[0] however[0] that[0] city[0] of[0] angels[0] is[0] dissimilar[0] from[0] the[0] original[0] in[0] numerous[0] ways[0] which[0] makes[0] me[0] glad[1] that[0] this[0] film[0] isn't[0] a[0] rip[-1][NegatedDueToPreviousWord] off[0] of[0] its[0] source[-1] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nicolas cage stars as seth , an angel who , like all of his angel counterparts , is present to lead the dying to heaven ( or somewhere just like it ) . 	nicolas cage stars as seth , an angel who , like all of his angel counterparts , is present to lead the dying to heaven ( or somewhere just like it ) .	2	-2	 nicolas[0] cage[0] stars[0] as[0] seth[0] an[0] angel[0] who[0] like[1] all[0] of[0] his[0] angel[0] counterparts[0] is[0] present[0] to[0] lead[0] the[0] dying[-1] to[0] heaven[1] or[0] somewhere[0] just[0] like[1][-1 LastWordBoosterStrength] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one day , he is forced to take the life of a patient of dr . maggie rice ( meg ryan ) , and his attention is called to her . 	one day , he is forced to take the life of a patient of dr .<br> maggie rice ( meg ryan ) , and his attention is called to her .	1	-1	 one[0] day[0] he[0] is[0] forced[0] to[0] take[0] the[0] life[0] of[0] a[0] patient[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]] maggie[0] rice[0] meg[0] ryan[0] and[0] his[0] attention[0] is[0] called[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the angels can make themselves seen to humans , but they can't experience any of the senses ( most importantly , touch ) . 	the angels can make themselves seen to humans , but they can't experience any of the senses ( most importantly , touch ) .	1	-1	 the[0] angels[0] can[0] make[0] themselves[0] seen[0] to[0] humans[0] but[0] they[0] can't[0] experience[0] any[0] of[0] the[0] senses[0] most[0] importantly[0] touch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he shows himself to maggie , and she falls for him , unaware that he is slightly unavailable because of his apparition status . 	he shows himself to maggie , and she falls for him , unaware that he is slightly unavailable because of his apparition status .	1	-1	 he[0] shows[0] himself[0] to[0] maggie[0] and[0] she[0] falls[0] for[0] him[0] unaware[0] that[0] he[0] is[0] slightly[0] unavailable[0] because[0] of[0] his[0] apparition[0] status[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seth wants to become human so he can feel her . 	seth wants to become human so he can feel her .	1	-1	 seth[0] wants[0] to[0] become[0] human[0] so[0] he[0] can[0] feel[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's when he meets nathaniel messinger ( dennis franz ) , " former celestial messenger and recent addition to the human race . " 	that's when he meets nathaniel messinger ( dennis franz ) , " former celestial messenger and recent addition to the human race .<br> "	1	-1	 that's[0] when[0] he[0] meets[0] nathaniel[0] messinger[0] dennis[0] franz[0] former[0] celestial[0] messenger[0] and[0] recent[0] addition[0] to[0] the[0] human[0] race[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( as a side note , i found messinger to be the most fascinating character , for i can only imagine how incredibly liberating it must be to live knowing what lies beyond death . ) 	 ( as a side note , i found messinger to be the most fascinating character , for i can only imagine how incredibly liberating it must be to live knowing what lies beyond death .<br> )	1	-3	 as[0] a[0] side[0] note[0] i[0] found[0] messinger[0] to[0] be[0] the[0] most[0] fascinating[0] character[0] for[0] i[0] can[0] only[0] imagine[0] how[0] incredibly[0] liberating[0] it[0] must[0] be[0] to[0] live[0] knowing[0] what[0] lies[-2] beyond[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
messinger explains to seth that it is possible for angels to become human . 	messinger explains to seth that it is possible for angels to become human .	1	-1	 messinger[0] explains[0] to[0] seth[0] that[0] it[0] is[0] possible[0] for[0] angels[0] to[0] become[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seth manages to convince maggie that he is an angel ( i know , it sounds ridiculous , but the scene in which she finds out is exceptionally well-done ) ; after much deliberation , she tells him that she could only be with a man who can feel . 	seth manages to convince maggie that he is an angel ( i know , it sounds ridiculous , but the scene in which she finds out is exceptionally well-done ) ; after much deliberation , she tells him that she could only be with a man who can feel .	1	-3	 seth[0] manages[0] to[0] convince[0] maggie[0] that[0] he[0] is[0] an[0] angel[0] i[0] know[0] it[0] sounds[0] ridiculous[-2] but[0] the[0] scene[0] in[0] which[0] she[0] finds[0] out[0] is[0] exceptionally[0] well[0] done[0] after[0] much[0] deliberation[0] she[0] tells[0] him[0] that[0] she[0] could[0] only[0] be[0] with[0] a[0] man[0] who[0] can[0] feel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this , of course , is when seth decides to take the plunge ( literally ) from a building ; when he wakes up from the fall , he is human , and happy to feel what it's like to have a split lip and blood oozing from his forehead . 	this , of course , is when seth decides to take the plunge ( literally ) from a building ; when he wakes up from the fall , he is human , and happy to feel what it's like to have a split lip and blood oozing from his forehead .	2	-1	 this[0] of[0] course[0] is[0] when[0] seth[0] decides[0] to[0] take[0] the[0] plunge[0] literally[0] from[0] a[0] building[0] when[0] he[0] wakes[0] up[0] from[0] the[0] fall[0] he[0] is[0] human[0] and[0] happy[1] to[0] feel[0] what[0] it's[0] like[1] to[0] have[0] a[0] split[0] lip[0] and[0] blood[0] oozing[0] from[0] his[0] forehead[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since i love this film so much , i'll make a minor note that it certainly isn't perfect . 	since i love this film so much , i'll make a minor note that it certainly isn't perfect .	3	-2	 since[0] i[0] love[2] this[0] film[0] so[0] much[0] i'll[0] make[0] a[0] minor[0] note[0] that[0] it[0] certainly[0] isn't[0] perfect[1][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
although it is original and mesmerizing , it does fall prey to a few of the cliches of the genre . 	although it is original and mesmerizing , it does fall prey to a few of the cliches of the genre .	1	-1	 although[0] it[0] is[0] original[0] and[0] mesmerizing[0] it[0] does[0] fall[0] prey[0] to[0] a[0] few[0] of[0] the[0] cliches[0] of[0] the[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plotting of the story by writer dawn steel is rather formulaic ( though the details are what make the story excellent , and steel has done a great job with them ) . 	the plotting of the story by writer dawn steel is rather formulaic ( though the details are what make the story excellent , and steel has done a great job with them ) .	4	-1	 the[0] plotting[0] of[0] the[0] story[0] by[0] writer[0] dawn[0] steel[0] is[0] rather[0] formulaic[0] though[0] the[0] details[0] are[0] what[0] make[0] the[0] story[0] excellent[3] and[0] steel[0] has[0] done[0] a[0] great[2] job[0] with[0] them[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the ending , too , could have been more powerful and less predictable . 	the ending , too , could have been more powerful and less predictable .	1	-1	 the[0] ending[0] too[0] could[0] have[0] been[0] more[0] powerful[0] and[0] less[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these elements are minor , though , and barely detracted from my overall enjoyment of city of angels . 	these elements are minor , though , and barely detracted from my overall enjoyment of city of angels .	3	-2	 these[0] elements[0] are[0] minor[0] though[0] and[0] barely[0] detracted[-1] from[0] my[0] overall[0] enjoyment[2] of[0] city[0] of[0] angels[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the acting is superb from everyone involved . 	the acting is superb from everyone involved .	1	-1	 the[0] acting[0] is[0] superb[0] from[0] everyone[0] involved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is perhaps my second-favorite performance from cage ( my favorite being the rock ) . 	this is perhaps my second-favorite performance from cage ( my favorite being the rock ) .	2	-1	 this[0] is[0] perhaps[0] my[0] second[0] favorite[1] performance[0] from[0] cage[0] my[0] favorite[1] being[0] the[0] rock[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's quiet and pensive , and his eyes are engaging when he speaks his softly-toned words . 	he's quiet and pensive , and his eyes are engaging when he speaks his softly-toned words .	1	-1	 he's[0] quiet[0] and[0] pensive[0] and[0] his[0] eyes[0] are[0] engaging[0] when[0] he[0] speaks[0] his[0] softly[0] toned[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
