i can hear the question already . 	Translation	Positive	Negative	EmotionRationale
what on earth do these two movies have in common ? 	what on earth do these two movies have in common ?	1	-1	 what[0] on[0] earth[0] do[0] these[0] two[0] movies[0] have[0] in[0] common[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to most people , not a lot , except that both are by renowned directors . 	to most people , not a lot , except that both are by renowned directors .	1	-1	 to[0] most[0] people[0] not[0] a[0] lot[0] except[0] that[0] both[0] are[0] by[0] renowned[0] directors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i saw them , however , both movies have flawed romantic scripts wrapped in distinctive packaging of lavish visuals musical numbers . 	as i saw them , however , both movies have flawed romantic scripts wrapped in distinctive packaging of lavish visuals musical numbers .	4	-1	 as[0] i[0] saw[0] them[0] however[0] both[0] movies[0] have[0] flawed[0] romantic[3] scripts[0] wrapped[0] in[0] distinctive[0] packaging[0] of[0] lavish[0] visuals[0] musical[0] numbers[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but oh , how differently the packages affect their films . 	but oh , how differently the packages affect their films .	1	-1	 but[0] oh[0] how[0] differently[0] the[0] packages[0] affect[0] their[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while " everyone's " production numbers make an otherwise ordinary woody tale something special , jane campion's imaginative visuals only serve to emphasize how pompous and uninvolving laura jones' script is . 	while " everyone's " production numbers make an otherwise ordinary woody tale something special , jane campion's imaginative visuals only serve to emphasize how pompous and uninvolving laura jones' script is .	2	-2	 while[0] everyone's[0] production[0] numbers[0] make[0] an[0] otherwise[0] ordinary[0] woody[0] tale[0] something[0] special[1] jane[0] campion's[0] imaginative[1] visuals[0] only[0] serve[0] to[0] emphasize[0] how[0] pompous[-1] and[0] uninvolving[0] laura[0] jones'[0] script[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i left " everyone says i love you " not remembering a lot about who loved whom , but its infectious happiness put a grin on my face . 	i left " everyone says i love you " not remembering a lot about who loved whom , but its infectious happiness put a grin on my face .	4	-2	 i[0] left[0] everyone[0] says[0] i[0] love[2] you[0] not[0] remembering[0] a[0] lot[0] about[0] who[0] loved[3] whom[0] but[0] its[0] infectious[-1] happiness[2] put[0] a[0] grin[1] on[0] my[0] face[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i left " the portrait of a lady " not remembering a lot about who loved whom , and i could have cared less . 	i left " the portrait of a lady " not remembering a lot about who loved whom , and i could have cared less .	4	-1	 i[0] left[0] the[0] portrait[0] of[0] a[0] lady[0] not[0] remembering[0] a[0] lot[0] about[0] who[0] loved[3] whom[0] and[0] i[0] could[0] have[0] cared[1] less[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " everyone " features nothing allen hasn't done before storywise . 	 " everyone " features nothing allen hasn't done before storywise .	1	-1	 everyone[0] features[0] nothing[0] allen[0] hasn't[0] done[0] before[0] storywise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody is again desperately in love with a beautiful woman ( roberts ) , and against the odds they manage to click for awhile before allen is left wondering what went wrong--again . 	woody is again desperately in love with a beautiful woman ( roberts ) , and against the odds they manage to click for awhile before allen is left wondering what went wrong-again .	3	-3	 woody[0] is[0] again[0] desperately[-2] in[0] love[2] with[0] a[0] beautiful[2] woman[0] roberts[0] and[0] against[-1] the[0] odds[0] they[0] manage[0] to[0] click[0] for[0] awhile[0] before[0] allen[0] is[0] left[0] wondering[0] what[0] went[0] wrong[-1] again[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
similar situations happen to his family and friends . 	similar situations happen to his family and friends .	2	-1	 similar[0] situations[0] happen[0] to[0] his[0] family[0] and[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
