veteran actor clint eastwood has never looked as grizzled as he does in true crime , his latest directorial effort . 	Translation	Positive	Negative	EmotionRationale
when steve everett ( his newest character ) gets angry at someone , he glares them down with those famous dirty harry eyes , furrows his brow and frowns like a grizzly bear who's just lost his cubs . 	when steve everett ( his newest character ) gets angry at someone , he glares them down with those famous dirty harry eyes , furrows his brow and frowns like a grizly bear who's just lost his cubs .	2	-4	 when[0] steve[0] everett[0] his[0] newest[0] character[0] gets[0] angry[-3] at[0] someone[0] he[0] glares[-1] them[0] down[0] with[0] those[0] famous[0] dirty[-1] harry[0] eyes[0] furrows[0] his[0] brow[0] and[0] frowns[-1] like[1] a[0] grizzly/grizly[0] bear[0] who's[0] just[0] lost[0] his[0] cubs[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
eastwood has played some particularly despicable characters in his time , but everett could just take the cake . 	eastwood has played some particularly despicable characters in his time , but everett could just take the cake .	1	-4	 eastwood[0] has[0] played[0] some[0] particularly[0] despicable[-3] characters[0] in[0] his[0] time[0] but[0] everett[0] could[0] just[0] take[0] the[0] cake[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he gets my vote , at least , partly because  ev' is a drunken affair-a-week womanizer who has many relationship problems , very few of which are with his wife ( diane venora ) . 	he gets my vote , at least , partly because  ev' is a drunken affair-a-week womanizer who has many relationship problems , very few of which are with his wife ( diane venora ) .	1	-2	 he[0] gets[0] my[0] vote[0] at[0] least[0] partly[0] because[0] ev'[0] is[0] a[0] drunken[-1] affair[0] a[0] week[0] womanizer[0] who[0] has[0] many[0] relationship[0] problems[-1] very[0] few[0] of[0] which[0] are[0] with[0] his[0] wife[0] diane[0] venora[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when his colleague at the oakland tribune is in an ugly car wreck and dies , everett must take over for her at a vital interview session . 	when his colleague at the oakland tribune is in an ugly car wreck and dies , everett must take over for her at a vital interview session .	1	-3	 when[0] his[0] colleague[0] at[0] the[0] oakland[0] tribune[0] is[0] in[0] an[0] ugly[-2] car[0] wreck[-1] and[0] dies[0] everett[0] must[0] take[0] over[0] for[0] her[0] at[0] a[0] vital[0] interview[0] session[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the interview is with frank beacham ( isaiah washington ) , a death-row inmate set to die at midnight for the murder of a pregnant convenience store clerk . 	the interview is with frank beacham ( isaiah washington ) , a death-row inmate set to die at midnight for the murder of a pregnant convenience store clerk .	1	-4	 the[0] interview[0] is[0] with[0] frank[0] beacham[0] isaiah[0] washington[0] a[0] death[-2] row[0] inmate[0] set[0] to[0] die[0] at[0] midnight[0] for[0] the[0] murder[-3] of[0] a[0] pregnant[0] convenience[0] store[0] clerk[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
eastwood furrows his brow . 	eastwood furrows his brow .	1	-1	 eastwood[0] furrows[0] his[0] brow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as everett gradually finds information , he realizes that beacham could very well be innocent . 	as everett gradually finds information , he realizes that beacham could very well be innocent .	2	-1	 as[0] everett[0] gradually[0] finds[0] information[0] he[0] realizes[0] that[0] beacham[0] could[0] very[0] well[0] be[0] innocent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he interviews a key witness ( michael jeter ) , who claims that he burst in the door at pocum's foods because his car had overheated , only to see beacham standing over the dead woman's body , blood on his suspenders , gun in hand . 	he interviews a key witness ( michael jeter ) , who claims that he burst in the door at pocum's foods because his car had overheated , only to see beacham standing over the dead woman's body , blood on his suspenders , gun in hand .	1	-3	 he[0] interviews[0] a[0] key[0] witness[0] michael[0] jeter[0] who[0] claims[0] that[0] he[0] burst[0] in[0] the[0] door[0] at[0] pocum's[0] foods[0] because[0] his[0] car[0] had[0] overheated[0] only[0] to[0] see[0] beacham[0] standing[0] over[0] the[0] dead[-2] woman's[0] body[0] blood[0] on[0] his[0] suspenders[0] gun[-1] in[0] hand[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but everett protests : how could he have seen the gun , which was lowered by his side , with the potato chip rack in front of him ? 	but everett protests : how could he have seen the gun , which was lowered by his side , with the potato chip rack in front of him ?	1	-2	 but[0] everett[0] protests[-1] how[0] could[0] he[0] have[0] seen[0] the[0] gun[-1] which[0] was[0] lowered[0] by[0] his[0] side[0] with[0] the[0] potato[0] chip[0] rack[0] in[0] front[0] of[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jeter doesn't know what he's talking about . 	jeter doesn't know what he's talking about .	1	-1	 jeter[0] doesn't[0] know[0] what[0] he's[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
