bill condon's " gods and monsters " is a fascinating look into the last days in the life of gay director james whale ( ian mckellan ) , who made the horror classics " frankenstein " and " bride of frankenstein . " 	Translation	Positive	Negative	EmotionRationale
since i was unfamiliar of whale prior to viewing the film , there is no way to know how accurate the film is , but i suspect that much of it only came from whale's inner fantasies and hallucinations . 	since i was unfamiliar of whale prior to viewing the film , there is no way to know how accurate the film is , but i suspect that much of it only came from whale's inner fantasies and hallucinations .	1	-2	 since[0] i[0] was[0] unfamiliar[-1] of[0] whale[0] prior[0] to[0] viewing[0] the[0] film[0] there[0] is[0] no[0] way[0] to[0] know[0] how[0] accurate[0] the[0] film[0] is[0] but[0] i[0] suspect[-1] that[0] much[0] of[0] it[0] only[0] came[0] from[0] whale's[0] inner[0] fantasies[0] and[0] hallucinations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whale , who fought in wwi and then went on to become known for his work on horror pictures , decided fifteen years before his death at age 67 to quit filmmaking once a homosexual scandal broke out involving him . 	whale , who fought in wwi and then went on to become known for his work on horror pictures , decided fifteen years before his death at age 67 to quit filmmaking once a homosexual scandal broke out involving him .	1	-4	 whale[0] who[0] fought[-2] in[0] wwi[0] and[0] then[0] went[0] on[0] to[0] become[0] known[0] for[0] his[0] work[0] on[0] horror[-3] pictures[0] decided[0] fifteen[0] years[0] before[0] his[0] death[-2] at[0] age[0] 67[0] to[0] quit[-1] filmmaking[0] once[0] a[0] homosexual[0] scandal[-2] broke[-1] out[0] involving[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as the film tells it , during the end of his life , whale , at his large home in l . a . , became infatuated with the tall , handsome , and much younger man , clayton boone ( brendan fraser ) , who was working as the gardener at his home . 	as the film tells it , during the end of his life , whale , at his large home in l .<br> a .<br> , became infatuated with the tall , handsome , and much younger man , clayton bone ( brendan fraser ) , who was working as the gardener at his home .	2	-1	 as[0] the[0] film[0] tells[0] it[0] during[0] the[0] end[0] of[0] his[0] life[0] whale[0] at[0] his[0] large[0] home[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] became[0] infatuated[0] with[0] the[0] tall[0] handsome[1] and[0] much[0] younger[0] man[0] clayton[0] boone/bone[0] brendan[0] fraser[0] who[0] was[0] working[0] as[0] the[0] gardener[0] at[0] his[0] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
james whale , we learn quickly was , what many people refer to him as in the film , " a dirty old man . " 	james whale , we learn quickly was , what many people refer to him as in the film , " a dirty old man .<br> "	1	-2	 james[0] whale[0] we[0] learn[0] quickly[0] was[0] what[0] many[0] people[0] refer[0] to[0] him[0] as[0] in[0] the[0] film[0] a[0] dirty[-1] old[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in one of the opening scenes , a young film enthusiast visits whale's home to interview him and whale agrees , on one condition : for every question he answers , the young man must take off an article of clothing . 	in one of the opening scenes , a young film enthusiast visits whale's home to interview him and whale agrees , on one condition : for every question he answers , the young man must take off an article of clothing .	3	-1	 in[0] one[0] of[0] the[0] opening[0] scenes[0] a[0] young[0] film[0] enthusiast[2] visits[0] whale's[0] home[0] to[0] interview[0] him[0] and[0] whale[0] agrees[0] on[0] one[0] condition[0] for[0] every[0] question[0] he[0] answers[0] the[0] young[0] man[0] must[0] take[0] off[0] an[0] article[0] of[0] clothing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
because of this episode , we know exactly what it is whale wants when he asks clayton to pose for him for a painting , later making the excuse that his bright , white shirt is disracting only so he will take it off . 	because of this episode , we know exactly what it is whale wants when he asks clayton to pose for him for a painting , later making the excuse that his bright , white shirt is disracting only so he will take it off .	1	-1	 because[0] of[0] this[0] episode[0] we[0] know[0] exactly[0] what[0] it[0] is[0] whale[0] wants[0] when[0] he[0] asks[0] clayton[0] to[0] pose[0] for[0] him[0] for[0] a[0] painting[0] later[0] making[0] the[0] excuse[0] that[0] his[0] bright[0] white[0] shirt[0] is[0] disracting[0] only[0] so[0] he[0] will[0] take[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clayon agrees , and doesn't really think much of this , much to the warnings of his friends , becoming more and more intrigued in the stories whale tells him about his past . 	clayon agrees , and doesn't really think much of this , much to the warnings of his friends , becoming more and more intrigued in the stories whale tells him about his past .	2	-1	 clayon[0] agrees[0] and[0] doesn't[0] really[0] think[0] much[0] of[0] this[0] much[0] to[0] the[0] warnings[0] of[0] his[0] friends[1] becoming[0] more[0] and[0] more[0] intrigued[0] in[0] the[0] stories[0] whale[0] tells[0] him[0] about[0] his[0] past[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
certainly , the relationship between whale and boone is headed for a downfall , since whale starts to grow a deep love for this young man , even though boone is not gay , and whale himself realizes he is nearing the conclusion to his life , as he begins to seldom suffer mild strokes and moments of true catharsis . 	certainly , the relationship between whale and bone is headed for a downfall , since whale starts to grow a deep love for this young man , even though bone is not gay , and whale himself realizes he is nearing the conclusion to his life , as he begins to seldom suffer mild strokes and moments of true catharsis .	3	-4	 certainly[0] the[0] relationship[0] between[0] whale[0] and[0] boone/bone[0] is[0] headed[0] for[0] a[0] downfall[-1] since[0] whale[0] starts[0] to[0] grow[0] a[0] deep[0] love[2] for[0] this[0] young[0] man[0] even[0] though[0] boone/bone[0] is[0] not[0] gay[-1][NegatedDueToPreviousWord] and[0] whale[0] himself[0] realizes[0] he[0] is[0] nearing[0] the[0] conclusion[0] to[0] his[0] life[0] as[0] he[0] begins[0] to[0] seldom[0] suffer[-3] mild[0] strokes[0] and[0] moments[0] of[0] true[1] catharsis[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " gods and monsters " is an intimate and seemingly respectful portrait of a director who was forced to become somewhat of an outcast , due to his sexual preference , and never got the recognition he would have liked , since he longed to be referred to as a " motion picture director , " rather than a " horror director . " 	 " gods and monsters " is an intimate and seemingly respectful portrait of a director who was forced to become somewhat of an outcast , due to his sexual preference , and never got the recognition he would have liked , since he longed to be referred to as a " motion picture director , " rather than a " horror director .<br> "	3	-4	 gods[0] and[0] monsters[0] is[0] an[0] intimate[0] and[0] seemingly[0] respectful[2] portrait[0] of[0] a[0] director[0] who[0] was[0] forced[0] to[0] become[0] somewhat[0] of[0] an[0] outcast[-1] due[0] to[0] his[0] sexual[0] preference[0] and[0] never[0] got[0] the[0] recognition[0] he[0] would[0] have[0] liked[2] since[0] he[0] longed[0] to[0] be[0] referred[0] to[0] as[0] a[0] motion[0] picture[0] director[0] rather[0] than[0] a[0] horror[-3] director[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and in one heartbreaking scene , he attends a party with boone being his guest , held by director george cuckor , and finds that many of the other attendees do not recognize him anymore . 	and in one heartbreaking scene , he attends a party with bone being his guest , held by director george cuckor , and finds that many of the other attendees do not recognize him anymore .	1	-4	 and[0] in[0] one[0] heartbreaking[-3] scene[0] he[0] attends[0] a[0] party[0] with[0] boone/bone[0] being[0] his[0] guest[0] held[0] by[0] director[0] george[0] cuckor[0] and[0] finds[0] that[0] many[0] of[0] the[0] other[0] attendees[0] do[0] not[0] recognize[0] him[0] anymore[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is evident that whale's first love in his life was making movies , and when his career ultimately fell apart , so did his passion in life . 	it is evident that whale's first love in his life was making movies , and when his career ultimately fell apart , so did his passion in life .	3	-1	 it[0] is[0] evident[0] that[0] whale's[0] first[0] love[2] in[0] his[0] life[0] was[0] making[0] movies[0] and[0] when[0] his[0] career[0] ultimately[0] fell[0] apart[0] so[0] did[0] his[0] passion[2] in[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as played brilliantly by ian mckellen , james whale comes off as a sad , but dignified man , and a person who was not afraid to stand out from others , just as long as he knew he was being true to himself . 	as played brilliantly by ian mckellen , james whale comes off as a sad , but dignified man , and a person who was not afraid to stand out from others , just as long as he knew he was being true to himself .	4	-4	 as[0] played[0] brilliantly[1] by[0] ian[0] mckellen[0] james[0] whale[0] comes[0] off[0] as[0] a[0] sad[-3] but[0] dignified[1] man[0] and[0] a[0] person[0] who[0] was[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] stand[0] out[0] from[0] others[0] just[0] as[0] long[0] as[0] he[0] knew[0] he[0] was[0] being[0] true[1] to[0] himself[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
he never hid the fact that he was gay , however , even if it meant threatening his filmmaking profession , and it was this unblinking honesty that made him a great person . 	he never hid the fact that he was gay , however , even if it meant threatening his filmmaking profession , and it was this unblinking honesty that made him a great person .	3	-3	 he[0] never[0] hid[0] the[0] fact[0] that[0] he[0] was[0] gay[-1] however[0] even[0] if[0] it[0] meant[0] threatening[-2] his[0] filmmaking[0] profession[0] and[0] it[0] was[0] this[0] unblinking[0] honesty[1] that[0] made[0] him[0] a[0] great[2] person[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
through the complicated relationship that develops between whale and boone , boone , of course , only things of whale as a possible friend or someone he can talk to , while it means so much more to whale , who sees boone as sort of his salvation in life . 	through the complicated relationship that develops between whale and bone , bone , of course , only things of whale as a possible friend or someone he can talk to , while it means so much more to whale , who sees bone as sort of his salvation in life .	2	-2	 through[0] the[0] complicated[-1] relationship[0] that[0] develops[0] between[0] whale[0] and[0] boone/bone[0] boone/bone[0] of[0] course[0] only[0] things[0] of[0] whale[0] as[0] a[0] possible[0] friend[1] or[0] someone[0] he[0] can[0] talk[0] to[0] while[0] it[0] means[0] so[0] much[0] more[0] to[0] whale[0] who[0] sees[0] boone/bone[0] as[0] sort[0] of[0] his[0] salvation[0] in[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although boone is only in a dead-end job as a gardener of people's homes , whale views him as the ideal man , not only one that is good-looking , even though it is this attraction that first begins his feelings , but one that will actually listen to him . 	although bone is only in a dead-end job as a gardener of people's homes , whale views him as the ideal man , not only one that is good-looking , even though it is this attraction that first begins his feelings , but one that will actually listen to him .	2	-3	 although[0] boone/bone[0] is[0] only[0] in[0] a[0] dead[-2] end[0] job[0] as[0] a[0] gardener[0] of[0] people's[0] homes[0] whale[0] views[0] him[0] as[0] the[0] ideal[0] man[0] not[0] only[0] one[0] that[0] is[0] good[1] looking[0] even[0] though[0] it[0] is[0] this[0] attraction[1] that[0] first[0] begins[0] his[0] feelings[0] but[0] one[0] that[0] will[0] actually[0] listen[0] to[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
