one of the most popular subplots in the entire science fiction genre is time travel . 	Translation	Positive	Negative	EmotionRationale
that concept , although many purists doubt its scientific credentials , spawned many interesting novels , comic books and films in the last century . 	that concept , although many purists doubt its scientific credentials , spawned many interesting novels , comic books and films in the last century .	2	-2	 that[0] concept[0] although[0] many[0] purists[0] doubt[-1] its[0] scientific[0] credentials[0] spawned[0] many[0] interesting[1] novels[0] comic[0] books[0] and[0] films[0] in[0] the[0] last[0] century[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , the big grand-daddy of time travels , h . g . wells' novel the time machine , wasn't written with the intention to speculate about that concept or its consequences . 	however , the big grand-daddy of time travels , h .<br> grin� .<br> wells' novel the time machine , wasn't written with the intention to speculate about that concept or its consequences .	2	-1	 however[0] the[0] big[0] grand[1] daddy[0] of[0] time[0] travels[0] h[0] [[Sentence=-1,2=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] wells'[0] novel[0] the[0] time[0] machine[0] wasn't[0] written[0] with[0] the[0] intention[0] to[0] speculate[0] about[0] that[0] concept[0] or[0] its[0] consequences[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the author , h . g . wells merely used it as a convenient way to express his socialist views and condemn the great social gap between the rich , idle capitalist class and impoverished labour . 	the author , h .<br> grin� .<br> wells merely used it as a convenient way to express his socialist views and condemn the great social gap between the rich , idle capitalist class and impoverished labour .	3	-2	 the[0] author[0] h[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] wells[0] merely[0] used[0] it[0] as[0] a[0] convenient[0] way[0] to[0] express[0] his[0] socialist[0] views[0] and[0] condemn[-1] the[0] great[2] social[0] gap[0] between[0] the[0] rich[0] idle[0] capitalist[0] class[0] and[0] impoverished[0] labour[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
whatever intentions wells had , the future generations of readers were less impressed by his political messages . 	whatever intentions wells had , the future generations of readers were less impressed by his political messages .	2	-1	 whatever[0] intentions[0] wells[0] had[0] the[0] future[0] generations[0] of[0] readers[0] were[0] less[0] impressed[1] by[0] his[0] political[0] messages[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead they were fascinated by the idea that the strange new worlds could be explored without traveling trough space . 	instead they were fascinated by the idea that the strange new worlds could be explored without traveling trough space .	1	-1	 instead[0] they[0] were[0] fascinated[0] by[0] the[0] idea[0] that[0] the[0] strange[0] new[0] worlds[0] could[0] be[0] explored[0] without[0] traveling[0] trough[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the novel became one of great classics of science fiction genre and it natural for filmmakers to use it as inspiration . 	the novel became one of great classics of science fiction genre and it natural for filmmakers to use it as inspiration .	3	-1	 the[0] novel[0] became[0] one[0] of[0] great[2] classics[0] of[0] science[0] fiction[0] genre[0] and[0] it[0] natural[0] for[0] filmmakers[0] to[0] use[0] it[0] as[0] inspiration[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
first of them was george pal , who in 1960 directed film which would , through the years , become genre classic of its own . 	first of them was george pal , who in 1960 directed film which would , through the years , become genre classic of its own .	1	-1	 first[0] of[0] them[0] was[0] george[0] pal[0] who[0] in[0] 1960[0] directed[0] film[0] which[0] would[0] through[0] the[0] years[0] become[0] genre[0] classic[0] of[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot revolves about george ( rod taylor ) , victorian scientist who discovered the way to travel through the fourth dimension - time . 	the plot revolves about george ( rod taylor ) , victorian scientist who discovered the way to travel through the fourth dimension - time .	1	-1	 the[0] plot[0] revolves[0] about[0] george[0] rod[0] taylor[0] victorian[0] scientist[0] who[0] discovered[0] the[0] way[0] to[0] travel[0] through[0] the[0] fourth[0] dimension[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the eve of the new 20th century , george gathers his friends in order to present them his invention - machine that would enable him to travel through time . 	at the eve of the new 20th century , george gathers his friends in order to present them his invention - machine that would enable him to travel through time .	2	-1	 at[0] the[0] eve[0] of[0] the[0] new[0] 20th[0] century[0] george[0] gathers[0] his[0] friends[1] in[0] order[0] to[0] present[0] them[0] his[0] invention[0] machine[0] that[0] would[0] enable[0] him[0] to[0] travel[0] through[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they are skeptical , but that doesn't prevent george from carrying out his plan and traveling into the future . 	they are skeptical , but that doesn't prevent george from carrying out his plan and traveling into the future .	1	-2	 they[0] are[0] skeptical[-1] but[0] that[0] doesn't[0] prevent[0] george[0] from[0] carrying[0] out[0] his[0] plan[0] and[0] traveling[0] into[0] the[0] future[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first , he travels slowly , seeing london as it changes through the years and three world wars . 	at first , he travels slowly , seeing london as it changes through the years and three world wars .	1	-3	 at[0] first[0] he[0] travels[0] slowly[0] seeing[0] london[0] as[0] it[0] changes[0] through[0] the[0] years[0] and[0] three[0] world[0] wars[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
finally , after witnessing world war three , he travels far into the future , hoping that he would cease to witness wars and senseless destructions . 	finally , after witnessing world war three , he travels far into the future , hoping that he would cease to witness wars and senseless destructions .	2	-3	 finally[0] after[0] witnessing[0] world[0] war[-2] three[0] he[0] travels[0] far[0] into[0] the[0] future[0] hoping[1] that[0] he[0] would[0] cease[0] to[0] witness[0] wars[-2] and[0] senseless[-1] destructions[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when he finally reaches year 802 , 701 ad , at first glance , new world looks like utopia - humanity consists of young , beautiful , but idle eloi , people who are fed , clothed and taken care of by unseen machines . 	when he finally reaches year 802 , 701 ad , at first glance , new world looks like utopia - humanity consists of young , beautiful , but idle eloi , people who are fed , clothed and taken care of by unseen machines .	3	-1	 when[0] he[0] finally[0] reaches[0] year[0] 802[0] 701[0] ad[0] at[0] first[0] glance[0] new[0] world[0] looks[0] like[1] utopia[0] humanity[0] consists[0] of[0] young[0] beautiful[2] but[0] idle[0] eloi[0] people[0] who[0] are[0] fed[0] clothed[0] and[0] taken[0] care[1] of[0] by[0] unseen[0] machines[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
