the cryptic teaser trailer has been unspooling in moviehouses for quite sometime now : " it mu5t be found . " 	Translation	Positive	Negative	EmotionRationale
so what , exactly , is the fifth element ? 	so what , exactly , is the fifth element ?	1	-1	 so[0] what[0] exactly[0] is[0] the[0] fifth[0] element[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after seeing luc besson's ambitious , much-shrouded-in-secrecy science fiction fantasy , i could not help but be let down by the actual answer , which is not nearly as exciting nor clever as one would think . 	after seeing luc besson's ambitious , much-shrouded-in-secrecy science fiction fantasy , i could not help but be let down by the actual answer , which is not nearly as exciting nor clever as one would think .	3	-2	 after[0] seeing[0] luc[0] besson's[0] ambitious[0] much[0] shrouded[-1] in[0] secrecy[0] science[0] fiction[0] fantasy[0] i[0] could[0] not[0] help[0] but[0] be[0] let[0] down[0] by[0] the[0] actual[0] answer[0] which[0] is[0] not[0] nearly[0] as[0] exciting[2] nor[0] clever[0] as[0] one[0] would[0] think[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but what is far from a letdown is the film as a whole , a wildly imaginative feast for the senses that does what all the best science fiction films do--create a universe unlike any other presented on the silver screen . 	but what is far from a letdown is the film as a whole , a wildly imaginative feast for the senses that does what all the best science fiction films do-create a universe unlike any other presented on the silver screen .	2	-1	 but[0] what[0] is[0] far[0] from[0] a[0] letdown[0] is[0] the[0] film[0] as[0] a[0] whole[0] a[0] wildly[0] imaginative[1] feast[0] for[0] the[0] senses[0] that[0] does[0] what[0] all[0] the[0] best[1] science[0] fiction[0] films[0] do[0] create[0] a[0] universe[0] unlike[0] any[0] other[0] presented[0] on[0] the[0] silver[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the biggest irony of the fifth element is that the one thing that has been kept under such tight wraps--the actual storyline--is the most conventional , dismayingly so , element ( pun intended ) of the film . 	the biggest irony of the fifth element is that the one thing that has been kept under such tight wraps-the actual storyline-is the most conventional , dismayingly so , element ( pun intended ) of the film .	1	-3	 the[0] biggest[0] irony[-1] of[0] the[0] fifth[0] element[0] is[0] that[0] the[0] one[0] thing[0] that[0] has[0] been[0] kept[0] under[0] such[0] tight[0] wraps[0] the[0] actual[0] storyline[0] is[0] the[0] most[0] conventional[0] dismayingly[-2] so[0] element[0] pun[0] intended[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
speaking in the vaguest possible terms , the basics of the plot are as follows : in the year 2259 , a great force of evil threatens to consume the earth , and only the four elements--earth , wind , fire , and water--united with a fifth element can stop it . 	speaking in the vaguest possible terms , the basics of the plot are as follows : in the year 2259 , a great force of evil threatens to consume the earth , and only the four elements-earth , wind , fire , and water-united with a fifth element can stop it .	3	-4	 speaking[0] in[0] the[0] vaguest[-1] possible[0] terms[0] the[0] basics[0] of[0] the[0] plot[0] are[0] as[0] follows[0] in[0] the[0] year[0] 2259[0] a[0] great[2] force[-1] of[0] evil[-2] threatens[-2][-1 MultiplePositiveWords] to[0] consume[0] the[0] earth[0] and[0] only[0] the[0] four[0] elements[0] earth[0] wind[0] fire[0] and[0] water[0] united[0] with[0] a[0] fifth[0] element[0] can[0] stop[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
figuring into all of this are new york cabbie korben dallas ( bruce willis ) ; a shady , southern-drawling entrepreneur by the name of zorg ( the hilariously hammy gary oldman , picking up where he left off in besson's the professional ) ; a priest ( ian holm ) ; and a mysterious creature named leeloo ( milla jovovich ) . 	figuring into all of this are new york cabbie korben dallas ( bruce willis ) ; a shady , southern-drawling entrepreneur by the name of zorg ( the hilariously hammy gary oldman , picking up where he left off in besson's the professional ) ; a priest ( ian holm ) ; and a mysterious creature named leeloo ( milla jovovich ) .	3	-2	 figuring[0] into[0] all[0] of[0] this[0] are[0] new[0] york[0] cabbie[0] korben[0] dallas[0] bruce[0] willis[0] a[0] shady[-1] southern[0] drawling[0] entrepreneur[0] by[0] the[0] name[0] of[0] zorg[0] the[0] hilariously[2] hammy[0] gary[0] oldman[0] picking[0] up[0] where[0] he[0] left[0] off[0] in[0] besson's[0] the[0] professional[0] a[0] priest[0] ian[0] holm[0] and[0] a[0] mysterious[0] creature[0] named[0] leeloo[0] milla[0] jovovich[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all of the pieces come together in a tidy and somewhat underwhelming--and unsurprising--fashion , but there is no denying that this basic story holds some intrinsic interest . 	all of the pieces come together in a tidy and somewhat underwhelming-and unsurprising-fashion , but there is no denying that this basic story holds some intrinsic interest .	2	-1	 all[0] of[0] the[0] pieces[0] come[0] together[0] in[0] a[0] tidy[0] and[0] somewhat[0] underwhelming[0] and[0] unsurprising[0] fashion[0] but[0] there[0] is[0] no[0] denying[0] that[0] this[0] basic[0] story[0] holds[0] some[0] intrinsic[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what remains interesting and exciting , however , after brief glimpses is the fascinating world besson has created with production designer dan weil , director of photography thierry arbogast , visual effects supervisor mark stetson , and the crew at digital domain . 	what remains interesting and exciting , however , after brief glimpses is the fascinating world besson has created with production designer dan weil , director of photography thierry arbogast , visual effects supervisor mark stetson , and the crew at digital domain .	3	-1	 what[0] remains[0] interesting[1] and[0] exciting[2] however[0] after[0] brief[0] glimpses[0] is[0] the[0] fascinating[0] world[0] besson[0] has[0] created[0] with[0] production[0] designer[0] dan[0] weil[0] director[0] of[0] photography[0] thierry[0] arbogast[0] visual[0] effects[0] supervisor[0] mark[0] stetson[0] and[0] the[0] crew[0] at[0] digital[0] domain[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the look is absolutely mesmerizing right from the opening moments to the last . 	the look is absolutely mesmerizing right from the opening moments to the last .	1	-1	 the[0] look[0] is[0] absolutely[0] mesmerizing[0] right[0] from[0] the[0] opening[0] moments[0] to[0] the[0] last[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the frenzied cityscape of new york , with its vibrant day-glo colors , tall buildings penetrating high into the clouds , and the swarm of cars , cabs , and other vehicles flying through labyrinthian skyways , is absolutely breathtaking to behold , especially in a wild car chase sequence early on in the film . 	the frenzied cityscape of new york , with its vibrant day-glo colors , tall buildings penetrating high into the clouds , and the swarm of cars , cabs , and other vehicles flying through labyrinthian skyways , is absolutely breathtaking to behold , especially in a wild car chase sequence early on in the film .	1	-2	 the[0] frenzied[0] cityscape[0] of[0] new[0] york[0] with[0] its[0] vibrant[0] day[0] glo[0] colors[0] tall[0] buildings[0] penetrating[0] high[0] into[0] the[0] clouds[0] and[0] the[0] swarm[0] of[0] cars[0] cabs[0] and[0] other[0] vehicles[0] flying[0] through[0] labyrinthian[0] skyways[0] is[0] absolutely[0] breathtaking[0] to[0] behold[0] especially[0] in[0] a[0] wild[0] car[0] chase[-1] sequence[0] early[0] on[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
