note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on december 20 , 1996 , amidst all the year-end oscar bait releases from the major studios , miramax's genre label dimension films quietly released a sly little ensemble slasher flick titled scream . 	on december 20 , 1996 , amidst all the year-end oscar bait releases from the major studios , miramax's genre label dimension films quietly released a sly little ensemble slasher flick titled scream .	1	-4	 on[0] december[0] 20[0] 1996[0] amidst[0] all[0] the[0] year[0] end[0] oscar[0] bait[-1] releases[0] from[0] the[0] major[0] studios[0] miramax's[0] genre[0] label[0] dimension[0] films[0] quietly[0] released[0] a[0] sly[-1] little[0] ensemble[0] slasher[-1] flick[0] titled[0] scream[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although the teen horror market had been given up for all-but-dead in recent years , the film shocked industry observers by scoring consistently high box office returns , eventually topping  100 million domestic and becoming one of the most successful films of its type in history , while delighting audiences by finally presenting a set of knowing slasher flick protagonists who were aware of the all the standard cliches associated with the genre . 	although the teen horror market had been given up for all-but-dead in recent years , the film shocked industry observers by scoring consistently high box office returns , eventually topping  100 million domestic and becoming one of the most successful films of its type in history , while delighting audiences by finally presenting a set of knowing slasher flick protagonists who were aware of the all the standard cliches associated with the genre .	3	-4	 although[0] the[0] teen[0] horror[-3] market[0] had[0] been[0] given[0] up[0] for[0] all[0] but[0] dead[-2] in[0] recent[0] years[0] the[0] film[0] shocked[-2] industry[0] observers[0] by[0] scoring[0] consistently[0] high[0] box[0] office[0] returns[0] eventually[0] topping[0] 100[0] million[0] domestic[0] and[0] becoming[0] one[0] of[0] the[0] most[0] successful[2] films[0] of[0] its[0] type[0] in[0] history[0] while[0] delighting[2] audiences[0] by[0] finally[0] presenting[0] a[0] set[0] of[0] knowing[0] slasher[-1] flick[0] protagonists[0] who[0] were[0] aware[0] of[0] the[0] all[0] the[0] standard[0] cliches[0] associated[0] with[0] the[0] genre[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the sleeper success of scream sent shockwaves through the industry -- suddenly , everybody was looking for hip , inexpensive fright films that might be able to reap similar fortunes . 	the sleeper success of scream sent shockwaves through the industry - suddenly , everybody was looking for hip , inexpensive fright films that might be able to reap similar fortunes .	3	-4	 the[0] sleeper[0] success[2] of[0] scream[-3] sent[0] shockwaves[-2] through[0] the[0] industry[0] suddenly[0] everybody[0] was[0] looking[0] for[0] hip[0] inexpensive[0] fright[-3] films[0] that[0] might[0] be[0] able[0] to[0] reap[0] similar[0] fortunes[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the strategy of casting young tv stars to draw the youth demographic was given a boost . 	the strategy of casting young tv stars to draw the youth demographic was given a boost .	1	-1	 the[0] strategy[0] of[0] casting[0] young[0] tv[0] stars[0] to[0] draw[0] the[0] youth[0] demographic[0] was[0] given[0] a[0] boost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scream director wes craven , previously best known as the creator of new line's a nightmare on elm street film series , was thrust back into the limelight . 	scream director wes craven , previously best known as the creator of new line's a nightmare on elm street film series , was thrust back into the limelight .	2	-4	 scream[-3] director[0] wes[0] craven[-1] previously[0] best[1] known[0] as[0] the[0] creator[0] of[0] new[0] line's[0] a[0] nightmare[-2] on[0] elm[0] street[0] film[0] series[0] was[0] thrust[0] back[0] into[0] the[0] limelight[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and scream's rookie scribe , kevin williamson , burst onto the film scene in stunning fashion . 	and scream's rookie scribe , kevin williamson , burst onto the film scene in stunning fashion .	1	-4	 and[0] scream's[-3] rookie[0] scribe[0] kevin[0] williamson[0] burst[0] onto[0] the[0] film[0] scene[0] in[0] stunning[0] fashion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's hard to understate this last point . 	it's hard to understate this last point .	1	-1	 it's[0] hard[0] to[0] understate[0] this[0] last[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . williamson has , based upon his produced screenplays as of this writing ( scream , i know what you did last summer from october 1997 , and now scream 2 ) , enjoyed a meteoric rise to fame , quickly become the most well-known screenwriter amongst the entertainment weekly-reading , box office figure-watching youth culture since -- well , since that quentin tarantino guy ( whom , it is said , has also achieved some renown as a director ) . 	mr .<br> williamson has , based upon his produced screenplays as of this writing ( scream , i know what you did last summer from october 1997 , and now scream 2 ) , enjoyed a meteoric rise to fame , quickly become the most well-known screenwriter amongst the entertainment weekly-reading , box office figure-watching youth culture since - well , since that quentin tarantino guy ( whom , it is said , has also achieved some renown as a director ) .	3	-4	 mr[0] [[Sentence=-1,1=word max, 1-5]] williamson[0] has[0] based[0] upon[0] his[0] produced[0] screenplays[0] as[0] of[0] this[0] writing[0] scream[-3] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] from[0] october[0] 1997[0] and[0] now[0] scream[-3] 2[0] enjoyed[2] a[0] meteoric[0] rise[0] to[0] fame[0] quickly[0] become[0] the[0] most[0] well[0] known[0] screenwriter[0] amongst[0] the[0] entertainment[0] weekly[0] reading[0] box[0] office[0] figure[0] watching[0] youth[0] culture[0] since[0] well[0] since[0] that[0] quentin[0] tarantino[0] guy[0] whom[0] it[0] is[0] said[0] has[0] also[0] achieved[0] some[0] renown[0] as[0] a[0] director[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
indeed , in a singularly freakish oddity , it is the screenwriter , mr . williamson , and not the director that has been receiving the lion's share of acclaim for the success of scream , and the print advertisements for scream 2's theatrical release are similarly indicative of his increasing prominence : while the traditional " a film by wes craven " drapes the film's title in the ads , right below it ( in equal sized font , yet ) reads " written by kevin williamson " , an affirmation of the screenwriter's contribution to the project which may be unprecedented . 	indeed , in a singularly freakish oddity , it is the screenwriter , mr .<br> williamson , and not the director that has been receiving the lion's share of acclaim for the success of scream , and the print advertisements for scream 2's theatrical release are similarly indicative of his increasing prominence : while the traditional " a film by wes craven " drapes the film's title in the ads , right below it ( in equal sized font , yet ) reads " written by kevin williamson " , an affirmation of the screenwriter's contribution to the project which may be unprecedented .	3	-4	 indeed[0] in[0] a[0] singularly[0] freakish[-1] oddity[-1] it[0] is[0] the[0] screenwriter[0] mr[0] [[Sentence=-2,1=word max, 1-5]] williamson[0] and[0] not[0] the[0] director[0] that[0] has[0] been[0] receiving[0] the[0] lion's[0] share[0] of[0] acclaim[0] for[0] the[0] success[2] of[0] scream[-3] and[0] the[0] print[0] advertisements[0] for[0] scream[-3] 2's[0] theatrical[0] release[0] are[0] similarly[0] indicative[0] of[0] his[0] increasing[0] prominence[0] while[0] the[0] traditional[0] a[0] film[0] by[0] wes[0] craven[-1] drapes[0] the[0] film's[0] title[0] in[0] the[0] ads[0] right[0] below[0] it[0] in[0] equal[0] sized[0] font[0] yet[0] reads[0] written[0] by[0] kevin[0] williamson[0] an[0] affirmation[0] of[0] the[0] screenwriter's[0] contribution[0] to[0] the[0] project[0] which[0] may[0] be[0] unprecedented[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
