the last steve martin film i saw , the spanish prisoner , was a very different approach for the comic actor . 	Translation	Positive	Negative	EmotionRationale
as a millionaire leading a massive conspiracy in order to rob " a process " from a clueless businessman , martin's character did it all for money . 	as a millionaire leading a massive conspiracy in order to rob " a process " from a clueless businessman , martin's character did it all for money .	1	-2	 as[0] a[0] millionaire[0] leading[0] a[0] massive[0] conspiracy[-1] in[0] order[0] to[0] rob[0] a[0] process[0] from[0] a[0] clueless[0] businessman[0] martin's[0] character[0] did[0] it[0] all[0] for[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his most recent movie , bowfinger , martin plays yet another con man except this time he does it to succeed in the film industry . 	in his most recent movie , bowfinger , martin plays yet another con man except this time he does it to succeed in the film industry .	3	-1	 in[0] his[0] most[0] recent[0] movie[0] bowfinger[0] martin[0] plays[1] yet[0] another[0] con[0] man[0] except[0] this[0] time[0] he[0] does[0] it[0] to[0] succeed[2] in[0] the[0] film[0] industry[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he wants to direct a successful picture that will force people to remember his name , that will make him more popular at the parties , and , most importantly , that will cause fed ex to deliver important business packages to his front door . 	he wants to direct a successful picture that will force people to remember his name , that will make him more popular at the parties , and , most importantly , that will cause fed ex to deliver important business packages to his front door .	3	-2	 he[0] wants[0] to[0] direct[0] a[0] successful[2] picture[0] that[0] will[0] force[-1] people[0] to[0] remember[0] his[0] name[0] that[0] will[0] make[0] him[0] more[0] popular[0] at[0] the[0] parties[0] and[0] most[0] importantly[0] that[0] will[0] cause[0] fed[0] ex[0] to[0] deliver[0] important[0] business[0] packages[0] to[0] his[0] front[0] door[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
playing the title role , martin is once again the good guy ; the one we cheer for to complete his low budget action movie . 	playing the title role , martin is once again the good guy ; the one we cheer for to complete his low budget action movie .	2	-2	 playing[1] the[0] title[0] role[0] martin[0] is[0] once[0] again[0] the[0] good[1] guy[0] the[0] one[0] we[0] cheer[1] for[0] to[0] complete[0] his[0] low[-1] budget[0] action[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this con man is very likeable for some reason , even though he is doing the same exact thing as the malicious jimmy del from the spanish prisoner . 	this con man is very likeable for some reason , even though he is doing the same exact thing as the malicious jimmy del from the spanish prisoner .	4	-4	 this[0] con[0] man[0] is[0] very[0] likeable[2][1 LastWordBoosterStrength] for[0] some[0] reason[0] even[0] though[0] he[0] is[0] doing[0] the[0] same[0] exact[0] thing[0] as[0] the[0] malicious[-3] jimmy[0] del[0] from[0] the[0] spanish[0] prisoner[-1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
maybe the message is that , in hollywood , to win over the trust and friendship of others , you have to be a little evil . 	maybe the message is that , in hollywood , to win over the trust and friendship of others , you have to be a little evil .	2	-3	 maybe[0] the[0] message[0] is[0] that[0] in[0] hollywood[0] to[0] win[0] over[0] the[0] trust[1] and[0] friendship[1] of[0] others[0] you[0] have[0] to[0] be[0] a[0] little[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bowfinger is a very clever comedy with great performances from its two stars . 	bowfinger is a very clever comedy with great performances from its two stars .	3	-1	 bowfinger[0] is[0] a[0] very[0] clever[0] comedy[0] with[0] great[2] performances[0] from[0] its[0] two[0] stars[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
martin , who also wrote the screenplay , is perfect as a jerk with a conscience and eddie murphy does his best " peter sellers " in two different , but equally hilarious , roles ; one as a big time move star and the other as his nerdy , burger king employee brother . 	martin , who also wrote the screenplay , is perfect as a jerk with a conscience and eddie murphy does his best " peter sellers " in two different , but equally hilarious , roles ; one as a big time move star and the other as his nerdy , burger king employee brother .	3	-3	 martin[0] who[0] also[0] wrote[0] the[0] screenplay[0] is[0] perfect[1] as[0] a[0] jerk[-2] with[0] a[0] conscience[0] and[0] eddie[0] murphy[0] does[0] his[0] best[1] peter[0] sellers[0] in[0] two[0] different[0] but[0] equally[0] hilarious[2] roles[0] one[0] as[0] a[0] big[0] time[0] move[0] star[0] and[0] the[0] other[0] as[0] his[0] nerdy[-2] burger[0] king[0] employee[0] brother[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the story follows aging and failing director/producer bobby bowfinger as he makes one last attempt to become a respected member of his field by creating a b-action movie called chubby rain . 	the story follows aging and failing director/producer bobby bowfinger as he makes one last attempt to become a respected member of his field by creating a b-action movie called chubby rain .	3	-3	 the[0] story[0] follows[0] aging[0] and[0] failing[-2] director/producer[0] bobby[0] bowfinger[0] as[0] he[0] makes[0] one[0] last[0] attempt[0] to[0] become[0] a[0] respected[2] member[0] of[0] his[0] field[0] by[0] creating[0] a[0] b[0] action[0] movie[0] called[0] chubby[0] rain[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in order to attract actors and crew members , bowfinger promises them that hot shot actor kit ramsey will star in the movie . 	in order to attract actors and crew members , bowfinger promises them that hot shot actor kit ramsey will star in the movie .	2	-2	 in[0] order[0] to[0] attract[1] actors[0] and[0] crew[0] members[0] bowfinger[0] promises[1] them[0] that[0] hot[0] shot[-1] actor[0] kit[0] ramsey[0] will[0] star[0] in[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
