-- comedy , rated pg , runs about 1 : 40 -- starring : john goodman , kathy moriarty , and a bunch of teenagers -- directed by joe dante and written by charles hass -- 	Translation	Positive	Negative	EmotionRationale
summary : lawrence woolsley ( john goodman ) brings his new horror film mant ! 	summary : lawrence woolsley ( john goodman ) brings his new horror film mant !	1	-4	 summary[0] lawrence[0] woolsley[0] john[0] goodman[0] brings[0] his[0] new[0] horror[-3] film[0] mant[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to premiere in key west during the height of the cuban missile crisis . 	to premiere in key west during the height of the cuban missile crisis .	1	-3	 to[0] premiere[0] in[0] key[0] west[0] during[0] the[0] height[0] of[0] the[0] cuban[0] missile[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he hopes to capitalize on the tense moment by providing an escape for the town . 	he hopes to capitalize on the tense moment by providing an escape for the town .	2	-3	 he[0] hopes[1] to[0] capitalize[0] on[0] the[0] tense[-2] moment[0] by[0] providing[0] an[0] escape[0] for[0] the[0] town[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we see most of the events through the stories of four teenagers and how life affects them . 	we see most of the events through the stories of four teenagers and how life affects them .	1	-1	 we[0] see[0] most[0] of[0] the[0] events[0] through[0] the[0] stories[0] of[0] four[0] teenagers[0] and[0] how[0] life[0] affects[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quick and easy review : i really enjoyed matinee . 	quick and easy review : i really enjoyed matinee .	4	-1	 quick[0] and[0] easy[0] review[0] i[0] really[0] enjoyed[2][1 LastWordBoosterStrength] matinee[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the mixture of comedy and tension blended nicely . 	the mixture of comedy and tension blended nicely .	2	-3	 the[0] mixture[0] of[0] comedy[0] and[0] tension[-2] blended[0] nicely[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unlike many comedies this film tries , and succeeds , in getting past the stage of doing anything for a laugh . 	unlike many comedies this film tries , and succeeds , in getting past the stage of doing anything for a laugh .	3	-1	 unlike[0] many[0] comedies[0] this[0] film[0] tries[0] and[0] succeeds[2] in[0] getting[0] past[0] the[0] stage[0] of[0] doing[0] anything[0] for[0] a[0] laugh[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the makers of the film also cared about telling an intelligent story . 	the makers of the film also cared about telling an intelligent story .	2	-1	 the[0] makers[0] of[0] the[0] film[0] also[0] cared[1] about[0] telling[0] an[0] intelligent[1] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the performances of all the principals are right on the mark , particularly john goodman as the schlock master . 	the performances of all the principals are right on the mark , particularly john goodman as the schlock master .	1	-1	 the[0] performances[0] of[0] all[0] the[0] principals[0] are[0] right[0] on[0] the[0] mark[0] particularly[0] john[0] goodman[0] as[0] the[0] schlock[0] master[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so i would definitely recommend this film to anyone looking for a light hearted , yet interesting way to spend a couple of hours . 	so i would definitely recommend this film to anyone looking for a light hearted , yet interesting way to spend a couple of hours .	2	-1	 so[0] i[0] would[0] definitely[0] recommend[0] this[0] film[0] to[0] anyone[0] looking[0] for[0] a[0] light[0] hearted[0] yet[0] interesting[1] way[0] to[0] spend[0] a[0] couple[0] of[0] hours[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
longer , more detailed review : [beware of spoilers] 	longer , more detailed review : [beware of spoilers]	1	-2	 longer[0] more[0] detailed[0] review[0] [beware[0] of[0] spoilers][-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the primary reason i enjoyed this film was , that while being a comedy , the film also had an intelligent story to tell . 	the primary reason i enjoyed this film was , that while being a comedy , the film also had an intelligent story to tell .	3	-1	 the[0] primary[0] reason[0] i[0] enjoyed[2] this[0] film[0] was[0] that[0] while[0] being[0] a[0] comedy[0] the[0] film[0] also[0] had[0] an[0] intelligent[1] story[0] to[0] tell[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
too many comedies today subscribe to the the notion that a comedy need only make you laugh . 	too many comedies today subscribe to the the notion that a comedy need only make you laugh .	2	-1	 too[0] many[0] comedies[0] today[0] subscribe[0] to[0] the[0] the[0] notion[0] that[0] a[0] comedy[0] need[0] only[0] make[0] you[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you watch the movie , laugh a lot , leave the theatre and take nothing with you . 	you watch the movie , laugh a lot , leave the theatre and take nothing with you .	2	-1	 you[0] watch[0] the[0] movie[0] laugh[1] a[0] lot[0] leave[0] the[0] theatre[0] and[0] take[0] nothing[0] with[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
matinee is not like that . 	matinee is not like that .	1	-2	 matinee[0] is[0] not[0] like[1][NegatedDueToPreviousWord] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
