being the self-proclaimed professional film critic that i am , i am somewhat embarrassed to admit that i had not seen lawrence of arabia ( coming soon to dvd ) until only recently . 	Translation	Positive	Negative	EmotionRationale
after all , it's considered by just about everyone to be the masterpiece epic of director david lean , who also directed films such as bridge on the river kwai , and doctor zhivago . 	after all , it's considered by just about everyone to be the masterpiece epic of director david lean , who also directed films such as bridge on the river kwai , and doctor zhivago .	1	-1	 after[0] all[0] it's[0] considered[0] by[0] just[0] about[0] everyone[0] to[0] be[0] the[0] masterpiece[0] epic[0] of[0] director[0] david[0] lean[0] who[0] also[0] directed[0] films[0] such[0] as[0] bridge[0] on[0] the[0] river[0] kwai[0] and[0] doctor[0] zhivago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so one day , a friend of mine loaned me a copy of the video and i sat down and watched it . 	so one day , a friend of mine loaned me a copy of the video and i sat down and watched it .	2	-1	 so[0] one[0] day[0] a[0] friend[1] of[0] mine[0] loaned[0] me[0] a[0] copy[0] of[0] the[0] video[0] and[0] i[0] sat[0] down[0] and[0] watched[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was initially skeptical that something made almost 40 years ago would be able to keep my attention for the butt-numbing 3 1/2 hours of its duration . 	i was initially skeptical that something made almost 40 years ago would be able to keep my attention for the butt-numbing 3 1/2 hours of its duration .	1	-2	 i[0] was[0] initially[0] skeptical[-1] that[0] something[0] made[0] almost[0] 40[0] years[0] ago[0] would[0] be[0] able[0] to[0] keep[0] my[0] attention[0] for[0] the[0] butt[0] numbing[-1] 3[0] 1/2[0] hours[0] of[0] its[0] duration[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but now i fully understand why this has become the film that other epic films are judged against -- the winner of seven academy awards in 1963 for best picture , director , editing , cinematography , art direction , music , and sound . 	but now i fully understand why this has become the film that other epic films are judged against - the winner of seven academy awards in 1963 for best picture , director , editing , cinematography , art direction , music , and sound .	2	-2	 but[0] now[0] i[0] fully[0] understand[0] why[0] this[0] has[0] become[0] the[0] film[0] that[0] other[0] epic[0] films[0] are[0] judged[0] against[-1] the[0] winner[1] of[0] seven[0] academy[0] awards[0] in[0] 1963[0] for[0] best[1] picture[0] director[0] editing[0] cinematography[0] art[0] direction[0] music[0] and[0] sound[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after watching the film again , i am convinced that it is simply one of the finest works of cinematic genius to ever illuminate the big screen . 	after watching the film again , i am convinced that it is simply one of the finest works of cinematic genius to ever illuminate the big screen .	1	-1	 after[0] watching[0] the[0] film[0] again[0] i[0] am[0] convinced[0] that[0] it[0] is[0] simply[0] one[0] of[0] the[0] finest[0] works[0] of[0] cinematic[0] genius[0] to[0] ever[0] illuminate[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on the autobiographical writing of british officer t . e . 	based on the autobiographical writing of british officer t .<br> e .	1	-1	 based[0] on[0] the[0] autobiographical[0] writing[0] of[0] british[0] officer[0] t[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lawrence during world war i , lawrence of arabia depicts lawrence ( played by then-unknown actor peter o'toole ) as a lieutenant lacking any sort of military discipline whatsoever . 	lawrence during world war i , lawrence of arabia depicts lawrence ( played by then-unknown actor peter o'toole ) as a lieutenant lacking any sort of military discipline whatsoever .	1	-3	 lawrence[0] during[0] world[0] war[-2] i[0] lawrence[0] of[0] arabia[0] depicts[0] lawrence[0] played[0] by[0] then[0] unknown[0] actor[0] peter[0] o'toole[0] as[0] a[0] lieutenant[0] lacking[0] any[0] sort[0] of[0] military[0] discipline[0] whatsoever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bored with his assignment of coloring maps for the british army in a dimly lit headquarters building , lawrence jumps at the opportunity to be re-assigned as an observer for an arabian prince fighting against the turkish army . 	bored with his assignment of coloring maps for the british army in a dimly lit headquarters building , lawrence jumps at the opportunity to be re-assigned as an observer for an arabian prince fighting against the turkish army .	1	-3	 bored[-1] with[0] his[0] assignment[0] of[0] coloring[0] maps[0] for[0] the[0] british[0] army[0] in[0] a[0] dimly[0] lit[0] headquarters[0] building[0] lawrence[0] jumps[0] at[0] the[0] opportunity[0] to[0] be[0] re[0] assigned[0] as[0] an[0] observer[0] for[0] an[0] arabian[0] prince[0] fighting[-2] against[-1] the[0] turkish[0] army[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lawrence quickly sees just how caring and great these desert dwelling people can be and ends up rallying the various tribes together to fight the turks and help the british turn the tide of world war i . 	lawrence quickly sees just how caring and great these desert dwelling people can be and ends up rallying the various tribes together to fight the turks and help the british turn the tide of world war i .	3	-3	 lawrence[0] quickly[0] sees[0] just[0] how[0] caring[2] and[0] great[2] these[0] desert[0] dwelling[0] people[0] can[0] be[0] and[0] ends[0] up[0] rallying[0] the[0] various[0] tribes[0] together[0] to[0] fight[-2] the[0] turks[0] and[0] help[0] the[0] british[0] turn[0] the[0] tide[0] of[0] world[0] war[-2] i[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
shot in panavision's famed super 70mm format , the film beautifully illustrates the definition of the word epic . 	shot in panavision's famed super 70m format , the film beautifully illustrates the definition of the word epic .	3	-2	 shot[-1] in[0] panavision's[0] famed[0] super[2] 70mm/70m[0] format[0] the[0] film[0] beautifully[2] illustrates[0] the[0] definition[0] of[0] the[0] word[0] epic[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
