review : ghost dog : the way of the samurai ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
cast : forest whitaker , henry silva , cliff gorman , john tormey , gene riffini , victor argo , tricia vessey , isaach de bankole' , camille winbush director : jim jarmusch writer : jim jarmusch 	cast : forest whitaker , henry silva , cliff gorman , john tormey , gene riffini , victor argo , tricia vessey , isach de bankole' , camille winbush director : jim jarmusch writer : jim jarmusch	1	-1	 cast[0] forest[0] whitaker[0] henry[0] silva[0] cliff[0] gorman[0] john[0] tormey[0] gene[0] riffini[0] victor[0] argo[0] tricia[0] vessey[0] isaach/isach[0] de[0] bankole'[0] camille[0] winbush[0] director[0] jim[0] jarmusch[0] writer[0] jim[0] jarmusch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rating : good shot ( stars ) 	rating : good shot ( stars )	2	-2	 rating[0] good[1] shot[-1] stars[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
languid , yet pointed and focused , ghost dog : the way of the samurai sublimely savages our cultural fascination with the mafia and the sleek , ultra-cool , cinematic image of the hitman . 	languid , yet pointed and focused , ghost dog : the way of the samurai sublimely savages our cultural fascination with the mafia and the sleek , ultra-cool , cinematic image of the hitman .	2	-3	 languid[0] yet[0] pointed[0] and[0] focused[0] ghost[0] dog[0] the[0] way[0] of[0] the[0] samurai[0] sublimely[0] savages[-2] our[0] cultural[0] fascination[0] with[0] the[0] mafia[0] and[0] the[0] sleek[0] ultra[0] cool[1] cinematic[0] image[0] of[0] the[0] hitman[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
juxtaposing the samurai's honor code of feudal japan against the tradition bound modus operandi of the american/italian mafia , it ceaselessly chips away with a sculptor's precision at the archaic foundations of both as they lumber , dinosaur-like , to function in the modern era . 	juxtaposing the samurai's honor code of feudal japan against the tradition bound modus operandi of the american/italian mafia , it ceaselessly chips away with a sculptor's precision at the archaic foundations of both as they lumber , dinosaur-like , to function in the modern era .	2	-3	 juxtaposing[0] the[0] samurai's[0] honor[0] code[0] of[0] feudal[-2] japan[0] against[-1] the[0] tradition[0] bound[0] modus[0] operandi[0] of[0] the[0] american/italian[0] mafia[0] it[0] ceaselessly[0] chips[0] away[0] with[0] a[0] sculptor's[0] precision[0] at[0] the[0] archaic[0] foundations[0] of[0] both[0] as[0] they[0] lumber[0] dinosaur[0] like[1] to[0] function[0] in[0] the[0] modern[0] era[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director jarmusch gleefully plays the iconoclast , ripping into mafioso precepts with splashes of acidic wit . 	director jarmusch gleefully plays the iconoclast , ripping into mafioso precepts with splashes of acidic wit .	2	-1	 director[0] jarmusch[0] gleefully[0] plays[1] the[0] iconoclast[0] ripping[0] into[0] mafioso[0] precepts[0] with[0] splashes[0] of[0] acidic[0] wit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
using a palate of bleached colors , jarmusch lugubriously maintains a tone of desolation that belies the many sparks of laugh out loud humor punctuating the film . 	using a palate of bleached colors , jarmusch lugubriously maintains a tone of desolation that belies the many sparks of laugh out loud humor punctuating the film .	3	-2	 using[0] a[0] palate[0] of[0] bleached[0] colors[0] jarmusch[0] lugubriously[0] maintains[0] a[0] tone[0] of[0] desolation[-1] that[0] belies[0] the[0] many[0] sparks[0] of[0] laugh[1] out[0] loud[0] humor[2] punctuating[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he doesn't cater to audience expectations of hyper-colorized , stylized violence and gunplay where no one dies . 	he doesn't cater to audience expectations of hyper-colorized , stylized violence and gunplay where no one dies .	1	-4	 he[0] doesn't[0] cater[0] to[0] audience[0] expectations[0] of[0] hyper[0] colorized[0] stylized[0] violence[-3] and[0] gunplay[-1] where[0] no[0] one[0] dies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the action is presented in flat , brutal codas . 	the action is presented in flat , brutal codas .	1	-3	 the[0] action[0] is[0] presented[0] in[0] flat[0] brutal[-2] codas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bullets have permanence . 	bullets have permanence .	1	-2	 bullets[-1] have[0] permanence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
death has consequences . 	death has consequences .	1	-3	 death[-2] has[0] consequences[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
