apparently , director tony kaye had a major battle with new line regarding his new film , american history x . i don't know the details of the fight , but it seems that he is not happy with the final product , and nearly removed his name from the credits altogether . 	Translation	Positive	Negative	EmotionRationale
i've heard about this kind of thing happening before , and it makes me wonder how much input a studio has over the films they produce . 	i've heard about this kind of thing happening before , and it makes me wonder how much input a studio has over the films they produce .	2	-1	 i've[0] heard[0] about[0] this[0] kind[1] of[0] thing[0] happening[0] before[0] and[0] it[0] makes[0] me[0] wonder[0] how[0] much[0] input[0] a[0] studio[0] has[0] over[0] the[0] films[0] they[0] produce[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it is , i found american history x to be an extremely good film , not just because of tony kaye's focused look at the touchy subject of racism , but because of a powerful , charismatic performance from edward norton . 	as it is , i found american history x to be an extremely good film , not just because of tony kaye's focused look at the touchy subject of racism , but because of a powerful , charismatic performance from edward norton .	4	-2	 as[0] it[0] is[0] i[0] found[0] american[0] history[0] x[1] to[0] be[0] an[0] extremely[0] good[1][2 LastWordBoosterStrength] film[0] not[0] just[0] because[0] of[0] tony[0] kaye's[0] focused[0] look[0] at[0] the[0] touchy[-1] subject[0] of[0] racism[-1] but[0] because[0] of[0] a[0] powerful[0] charismatic[0] performance[0] from[0] edward[0] norton[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's hard to believe that it has only been two years since norton's fantastic role in primal fear , but , here he is now , starring in his own film and making himself a star . 	it's hard to believe that it has only been two years since norton's fantastic role in primal fear , but , here he is now , starring in his own film and making himself a star .	3	-4	 it's[0] hard[0] to[0] believe[0] that[0] it[0] has[0] only[0] been[0] two[0] years[0] since[0] norton's[0] fantastic[2] role[0] in[0] primal[0] fear[-3] but[0] here[0] he[0] is[0] now[0] starring[0] in[0] his[0] own[0] film[0] and[0] making[0] himself[0] a[0] star[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
norton is one of those performers who becomes his character , and his work in american history x is one of the very best performances this year . 	norton is one of those performers who becomes his character , and his work in american history x is one of the very best performances this year .	3	-1	 norton[0] is[0] one[0] of[0] those[0] performers[0] who[0] becomes[0] his[0] character[0] and[0] his[0] work[0] in[0] american[0] history[0] x[1] is[0] one[0] of[0] the[0] very[0] best[1][1 LastWordBoosterStrength] performances[0] this[0] year[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he plays a young man named derek vinyard , a skinhead living in venice beach with his brother , danny ( edward furlong ) , mother ( beverly d'angelo ) , and sister , davin ( jennifer lien ) . 	he plays a young man named derek vinyard , a skinhead living in venice beach with his brother , danny ( edward furlong ) , mother ( beverly d'angelo ) , and sister , davin ( jennifer lien ) .	2	-1	 he[0] plays[1] a[0] young[0] man[0] named[0] derek[0] vinyard[0] a[0] skinhead[0] living[0] in[0] venice[0] beach[0] with[0] his[0] brother[0] danny[0] edward[0] furlong[0] mother[0] beverly[0] d'angelo[0] and[0] sister[0] davin[0] jennifer[0] lien[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film opens with a flashback , in which derek brutally kills two black men vandalizing his car . 	the film opens with a flashback , in which derek brutally kills two black men vandalizing his car .	1	-3	 the[0] film[0] opens[0] with[0] a[0] flashback[0] in[0] which[0] derek[0] brutally[-2] kills[0] two[0] black[0] men[0] vandalizing[0] his[0] car[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we find out that this lands him in prison , and the film from that point is seen through the eyes of danny . 	we find out that this lands him in prison , and the film from that point is seen through the eyes of danny .	1	-2	 we[0] find[0] out[0] that[0] this[0] lands[0] him[0] in[0] prison[-1] and[0] the[0] film[0] from[0] that[0] point[0] is[0] seen[0] through[0] the[0] eyes[0] of[0] danny[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the present-time of the film , danny is in high school , and eager to follow the footsteps of his brother . 	in the present-time of the film , danny is in high school , and eager to follow the footsteps of his brother .	1	-1	 in[0] the[0] present[0] time[0] of[0] the[0] film[0] danny[0] is[0] in[0] high[0] school[0] and[0] eager[0] to[0] follow[0] the[0] footsteps[0] of[0] his[0] brother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of the film is told in flashback , and we see the path that leads to derek's adoption of white supremacy . 	much of the film is told in flashback , and we see the path that leads to derek's adoption of white supremacy .	3	-1	 much[0] of[0] the[0] film[0] is[0] told[0] in[0] flashback[0] and[0] we[0] see[0] the[0] path[0] that[0] leads[0] to[0] derek's[0] adoption[0] of[0] white[0] supremacy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when derek is released , having served three years in prison , he finds that his brother is now a full-blown skinhead ; derek , however , has given up the violence , and tries to get his brother to understand why racism and the violence that comes with it are bad things . 	when derek is released , having served three years in prison , he finds that his brother is now a full-blown skinhead ; derek , however , has given up the violence , and tries to get his brother to understand why racism and the violence that comes with it are bad things .	1	-4	 when[0] derek[0] is[0] released[0] having[0] served[0] three[0] years[0] in[0] prison[-1] he[0] finds[0] that[0] his[0] brother[0] is[0] now[0] a[0] full[0] blown[0] skinhead[0] derek[0] however[0] has[0] given[0] up[0] the[0] violence[-3] and[0] tries[0] to[0] get[0] his[0] brother[0] to[0] understand[0] why[0] racism[-1] and[0] the[0] violence[-3] that[0] comes[0] with[0] it[0] are[0] bad[-1] things[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what makes this all interesting is that these two young men are not stupid , thoughtless people -- they are intelligent and articulate , and voice their beliefs in disturbingly straightforward terms . 	what makes this all interesting is that these two young men are not stupid , thoughtless people - they are intelligent and articulate , and voice their beliefs in disturbingly straightforward terms .	2	-2	 what[0] makes[0] this[0] all[0] interesting[1] is[0] that[0] these[0] two[0] young[0] men[0] are[0] not[0] stupid[-1][NegatedDueToPreviousWord] thoughtless[-1][NegatedDueToPreviousWord] people[0] they[0] are[0] intelligent[1] and[0] articulate[0] and[0] voice[0] their[0] beliefs[0] in[0] disturbingly[-1] straightforward[0] terms[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's hard to make a controversial movie and not preach , but kaye has found the right note for his material . 	it's hard to make a controversial movie and not preach , but kaye has found the right note for his material .	1	-2	 it's[0] hard[0] to[0] make[0] a[0] controversial[-1] movie[0] and[0] not[0] preach[0] but[0] kaye[0] has[0] found[0] the[0] right[0] note[0] for[0] his[0] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because american history x is a mainstream film , there has to be a redemption phase for our main character -- some people may think that this is the only way to make him sympathetic . 	because american history x is a mainstream film , there has to be a redemption phase for our main character - some people may think that this is the only way to make him sympathetic .	2	-1	 because[0] american[0] history[0] x[1] is[0] a[0] mainstream[0] film[0] there[0] has[0] to[0] be[0] a[0] redemption[0] phase[0] for[0] our[0] main[0] character[0] some[0] people[0] may[0] think[0] that[0] this[0] is[0] the[0] only[0] way[0] to[0] make[0] him[0] sympathetic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i partially disagree with this , because , although i do not advocate racism in any way , it's interesting the way kaye presents derek -- he is a loud , obnoxious man , but he's also very smart . 	i partially disagree with this , because , although i do not advocate racism in any way , it's interesting the way kaye presents derek - he is a loud , obnoxious man , but he's also very smart .	3	-3	 i[0] partially[0] disagree[-1] with[0] this[0] because[0] although[0] i[0] do[0] not[0] advocate[0] racism[-1][NegatedDueToPreviousWord] in[0] any[0] way[0] it's[0] interesting[1] the[0] way[0] kaye[0] presents[0] derek[0] he[0] is[0] a[0] loud[0] obnoxious[-2] man[0] but[0] he's[0] also[0] very[0] smart[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the reasons for why he becomes a skinhead are believable -- his father was arbitrarily killed by a group of black men . 	the reasons for why he becomes a skinhead are believable - his father was arbitrarily killed by a group of black men .	1	-4	 the[0] reasons[0] for[0] why[0] he[0] becomes[0] a[0] skinhead[0] are[0] believable[0] his[0] father[0] was[0] arbitrarily[0] killed[-3] by[0] a[0] group[0] of[0] black[0] men[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's clear that he's passionate about his beliefs , and that he's not just a punk looking for an excuse to beat people up . 	it's clear that he's passionate about his beliefs , and that he's not just a punk looking for an excuse to beat people up .	3	-1	 it's[0] clear[0] that[0] he's[0] passionate[2] about[0] his[0] beliefs[0] and[0] that[0] he's[0] not[0] just[0] a[0] punk[0] looking[0] for[0] an[0] excuse[0] to[0] beat[0] people[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , it helps that kaye has an actor as talented as norton to play this part . 	of course , it helps that kaye has an actor as talented as norton to play this part .	2	-1	 of[0] course[0] it[0] helps[0] that[0] kaye[0] has[0] an[0] actor[0] as[0] talented[1] as[0] norton[0] to[0] play[0] this[0] part[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's astonishing how frightening norton looks with a shaved head and a swastika on his chest . 	it's astonishing how frightening norton looks with a shaved head and a swastika on his chest .	1	-4	 it's[0] astonishing[0] how[0] frightening[-3] norton[0] looks[0] with[0] a[0] shaved[0] head[0] and[0] a[0] swastika[0] on[0] his[0] chest[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in addition to getting the look just right , he's perfect for this role -- derek requires intelligence , depth , and a whole lot of shouting , and norton does it all with ease . 	in addition to getting the look just right , he's perfect for this role - derek requires intelligence , depth , and a whole lot of shouting , and norton does it all with ease .	2	-1	 in[0] addition[0] to[0] getting[0] the[0] look[0] just[0] right[0] he's[0] perfect[1] for[0] this[0] role[0] derek[0] requires[0] intelligence[0] depth[0] and[0] a[0] whole[0] lot[0] of[0] shouting[0] and[0] norton[0] does[0] it[0] all[0] with[0] ease[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even when he's at his meanest , derek has a likable quality to him , and that's a gutsy approach when telling a story about a skinhead . 	even when he's at his meanest , derek has a likable quality to him , and that's a gutsy approach when telling a story about a skinhead .	1	-1	 even[0] when[0] he's[0] at[0] his[0] meanest[0] derek[0] has[0] a[0] likable[0] quality[0] to[0] him[0] and[0] that's[0] a[0] gutsy[0] approach[0] when[0] telling[0] a[0] story[0] about[0] a[0] skinhead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
