as with his other stateside releases , jackie chan's latest chopsocky vehicle , mr . nice guy , is contrived , blockheaded , and lacking in narrative logic . 	Translation	Positive	Negative	EmotionRationale
but also like those other films , it is a highly enjoyable ride . 	but also like those other films , it is a highly enjoyable ride .	3	-1	 but[0] also[0] like[1] those[0] other[0] films[0] it[0] is[0] a[0] highly[0] enjoyable[2] ride[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
once again , chan's screenwriters ( here edward tang and fibe ma ) have taken the easy way out and named their star's character simply jackie , with no last name . 	once again , chan's screenwriters ( here edward tang and fibe ma ) have taken the easy way out and named their star's character simply jackie , with no last name .	1	-1	 once[0] again[0] chan's[0] screenwriters[0] here[0] edward[0] tang[0] and[0] fibe[0] ma[0] have[0] taken[0] the[0] easy[0] way[0] out[0] and[0] named[0] their[0] star's[0] character[0] simply[0] jackie[0] with[0] no[0] last[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this jackie is a world-class chef who co-hosts a popular cooking show on australian television . 	this jackie is a world-class chef who co-hosts a popular cooking show on australian television .	1	-1	 this[0] jackie[0] is[0] a[0] world[0] class[0] chef[0] who[0] co[0] hosts[0] a[0] popular[0] cooking[0] show[0] on[0] australian[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , jackie also happens to be a talented martial artist , and these skills come in handy when he becomes involved in an ambitious reporter's ( gabrielle fitzpatrick ) expose of a drug dealing ring . 	of course , jackie also happens to be a talented martial artist , and these skills come in handy when he becomes involved in an ambitious reporter's ( gabrielle fitzpatrick ) expose of a drug dealing ring .	2	-2	 of[0] course[0] jackie[0] also[0] happens[0] to[0] be[0] a[0] talented[1] martial[0] artist[0] and[0] these[0] skills[0] come[0] in[0] handy[0] when[0] he[0] becomes[0] involved[0] in[0] an[0] ambitious[0] reporter's[0] gabrielle[0] fitzpatrick[0] expose[-1] of[0] a[0] drug[0] dealing[0] ring[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
other plot details , involving a videotape and a biker gang , are irrelevant ; in fact , as is the case with most chan films , the plot itself is just about irrelevant . 	other plot details , involving a videotape and a biker gang , are irrelevant ; in fact , as is the case with most chan films , the plot itself is just about irrelevant .	1	-1	 other[0] plot[0] details[0] involving[0] a[0] videotape[0] and[0] a[0] biker[0] gang[0] are[0] irrelevant[0] in[0] fact[0] as[0] is[0] the[0] case[0] with[0] most[0] chan[0] films[0] the[0] plot[0] itself[0] is[0] just[0] about[0] irrelevant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sole purpose of mr . nice guy's existence are chan's comic fight scenes , and those here do not disappoint . 	the sole purpose of mr .<br> nice guy's existence are chan's comic fight scenes , and those here do not disappoint .	2	-3	 the[0] sole[0] purpose[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] nice[1] guy's[0] existence[0] are[0] chan's[0] comic[0] fight[-2] scenes[0] and[0] those[0] here[0] do[0] not[0] disappoint[-1][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director samo hung ( who has a cameo role ) , a longtime collaborator of chan's , does not waste any time putting chan in action , diving head-on into a wild chase/fight/shootout after a brief cooking show prologue . 	director samo hung ( who has a cameo role ) , a longtime collaborator of chan's , does not waste any time putting chan in action , diving head-on into a wild chase/fight/shootout after a brief cooking show prologue .	2	-2	 director[0] samo[0] hung[0] who[0] has[0] a[0] cameo[0] role[0] a[0] longtime[0] collaborator[0] of[0] chan's[0] does[0] not[0] waste[-1][NegatedDueToPreviousWord] any[0] time[0] putting[0] chan[0] in[0] action[0] diving[1] head[0] on[0] into[0] a[0] wild[0] chase/fight/shootout[-1] after[0] a[0] brief[0] cooking[0] show[0] prologue[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
other impressive set pieces follow , most notably a chase in a mall , which directly leads to some frenzied , if cliched ( can you say fruit cart ? ) , business involving a runaway carriage ; and an extended late-film sequence at a construction site , in which a hilarious pursuit through a maze of blue doors culminates in some exciting fights involving boards , cement mixers , and a deadly buzzsaw . 	other impressive set pieces follow , most notably a chase in a mall , which directly leads to some frenzied , if cliched ( can you say fruit cart ?<br> ) , business involving a runaway carriage ; and an extended late-film sequence at a construction site , in which a hilarious pursuit through a maze of blue doors culminates in some exciting fights involving boards , cement mixers , and a deadly buzsaw .	3	-3	 other[0] impressive[1] set[0] pieces[0] follow[0] most[0] notably[0] a[0] chase[-1] in[0] a[0] mall[0] which[0] directly[0] leads[0] to[0] some[0] frenzied[0] if[0] cliched[0] can[0] you[0] say[0] fruit[0] cart[0] [[Sentence=-2,2=word max, 1-5]] business[0] involving[0] a[0] runaway[-1] carriage[0] and[0] an[0] extended[0] late[0] film[0] sequence[0] at[0] a[0] construction[0] site[0] in[0] which[0] a[0] hilarious[2] pursuit[0] through[0] a[0] maze[0] of[0] blue[0] doors[0] culminates[0] in[0] some[0] exciting[2][-1 LastWordBoosterStrength] fights[-2] involving[0] boards[0] cement[0] mixers[0] and[0] a[0] deadly[-1] buzzsaw/buzsaw[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
none of the action sequences in mr . nice guy are as spectacular as supercop's thrilling helicopter-train finale or rumble in the bronx's daring leap between two buildings ; nor is anything as inventive as the ladder fight or air tunnel climax in first strike and operation condor , respectively . 	none of the action sequences in mr .<br> nice guy are as spectacular as supercop's thrilling helicopter-train finale or rumble in the bronx's daring leap between two buildings ; nor is anything as inventive as the ladder fight or air tunnel climax in first strike and operation condor , respectively .	4	-3	 none[0] of[0] the[0] action[0] sequences[0] in[0] mr[0] [[Sentence=-1,1=word max, 1-5]] nice[1] guy[0] are[0] as[0] spectacular[0] as[0] supercop's[0] thrilling[3] helicopter[0] train[0] finale[0] or[0] rumble[0] in[0] the[0] bronx's[0] daring[0] leap[0] between[0] two[0] buildings[0] nor[0] is[0] anything[0] as[0] inventive[0] as[0] the[0] ladder[0] fight[-2] or[0] air[0] tunnel[0] climax[0] in[0] first[0] strike[-1] and[0] operation[0] condor[0] respectively[2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
but the action delivers , even if the energy peters out before the film's end ( the finale , as spectacular as it is , is a letdown for fans of chan's athletic prowess ) . 	but the action delivers , even if the energy peters out before the film's end ( the finale , as spectacular as it is , is a letdown for fans of chan's athletic prowess ) .	1	-1	 but[0] the[0] action[0] delivers[0] even[0] if[0] the[0] energy[0] peters[0] out[0] before[0] the[0] film's[0] end[0] the[0] finale[0] as[0] spectacular[0] as[0] it[0] is[0] is[0] a[0] letdown[0] for[0] fans[0] of[0] chan's[0] athletic[0] prowess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
