 " he's back , and it's about time . " 	Translation	Positive	Negative	EmotionRationale
was the motto for this television series pilot ( i call it a pilot , i don't care what fox network says ) revival of the cult classic british tv show , doctor who , that spawned no series , which means there are no smart network execs out there ( not exactly news to a lot of people , i know ) . 	was the motto for this television series pilot ( i call it a pilot , i don't care what fox network says ) revival of the cult classic british tv show , doctor who , that spawned no series , which means there are no smart network execs out there ( not exactly news to a lot of people , i know ) .	2	-2	 was[0] the[0] motto[0] for[0] this[0] television[0] series[0] pilot[0] i[0] call[0] it[0] a[0] pilot[0] i[0] don't[0] care[1][NegatedDueToPreviousWord] what[0] fox[0] network[0] says[0] revival[0] of[0] the[0] cult[0] classic[0] british[0] tv[0] show[0] doctor[0] who[0] that[0] spawned[0] no[0] series[0] which[0] means[0] there[0] are[0] no[0] smart[1] network[0] execs[0] out[0] there[0] not[0] exactly[0] news[0] to[0] a[0] lot[0] of[0] people[0] i[0] know[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the motto was well chosen . 	the motto was well chosen .	1	-1	 the[0] motto[0] was[0] well[0] chosen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the series was simple , it was about this time lord scientist called the doctor with thirteen lives who traveled around in a type forty spaceship called a tardis outsmarting all kind of alien baddies , including the evil daleks , and the master , who appears in this feature , played very badly by eric roberts . 	the series was simple , it was about this time lord scientist called the doctor with thirteen lives who traveled around in a type forty spaceship called a tardis outsmarting all kind of alien baddies , including the evil daleks , and the master , who appears in this feature , played very badly by eric roberts .	2	-3	 the[0] series[0] was[0] simple[0] it[0] was[0] about[0] this[0] time[0] lord[0] scientist[0] called[0] the[0] doctor[0] with[0] thirteen[0] lives[0] who[0] traveled[0] around[0] in[0] a[0] type[0] forty[0] spaceship[0] called[0] a[0] tardis[0] outsmarting[0] all[0] kind[1] of[0] alien[-1] baddies[0] including[0] the[0] evil[-2] daleks[0] and[0] the[0] master[0] who[0] appears[0] in[0] this[0] feature[0] played[0] very[0] badly[-1][-1 LastWordBoosterStrength] by[0] eric[0] roberts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as good as this revival was , there is something missing from it to make sure it was really doctor who . 	as good as this revival was , there is something missing from it to make sure it was really doctor who .	2	-1	 as[0] good[1] as[0] this[0] revival[0] was[0] there[0] is[0] something[0] missing[0] from[0] it[0] to[0] make[0] sure[0] it[0] was[0] really[0] doctor[0] who[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
is it the acting ? 	is it the acting ?	1	-1	 is[0] it[0] the[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hell , no ! 	hell , no !	1	-2	 hell[-1] no[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
paul mcgann is just as good as any of the other seven guys who've played the doctor ( including his predecessor and off-screen friend sylvester mccoy , who appears once more for the regeneration scene ) . 	paul mcgan is just as good as any of the other seven guys who've played the doctor ( including his predecessor and off-screen friend sylvester mccoy , who appears once more for the regeneration scene ) .	2	-1	 paul[0] mcgann/mcgan[0] is[0] just[0] as[0] good[1] as[0] any[0] of[0] the[0] other[0] seven[0] guys[0] who've[0] played[0] the[0] doctor[0] including[0] his[0] predecessor[0] and[0] off[0] screen[0] friend[1] sylvester[0] mccoy[0] who[0] appears[0] once[0] more[0] for[0] the[0] regeneration[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he looks right for the role , is a brilliant actor , and slips effortlessly into the role , the way my two favorites jon pertwee and tom baker would . 	he looks right for the role , is a brilliant actor , and slips effortlessly into the role , the way my two favorites jon pertwee and tom baker would .	2	-1	 he[0] looks[0] right[0] for[0] the[0] role[0] is[0] a[0] brilliant[1] actor[0] and[0] slips[0] effortlessly[0] into[0] the[0] role[0] the[0] way[0] my[0] two[0] favorites[1] jon[0] pertwee[0] and[0] tom[0] baker[0] would[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
daphne ashbrook brings class to her role as dr . grace holloway , the doctor's first companion that he kisses on screen , she is not your typical female companion who screams , and spends her free time making coffee for the doctor , she is a tough , spunky american , and ashbrook shows this well . 	daphne ashbrook brings class to her role as dr .<br> grace holloway , the doctor's first companion that he kisses on screen , she is not your typical female companion who screams , and spends her free time making coffee for the doctor , she is a tough , spunky american , and ashbrook shows this well .	3	-4	 daphne[0] ashbrook[0] brings[0] class[0] to[0] her[0] role[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] grace[2] holloway[0] the[0] doctor's[0] first[0] companion[0] that[0] he[0] kisses[2] on[0] screen[0] she[0] is[0] not[0] your[0] typical[0] female[0] companion[0] who[0] screams[-3] and[0] spends[0] her[0] free[0] time[0] making[0] coffee[0] for[0] the[0] doctor[0] she[0] is[0] a[0] tough[-1] spunky[0] american[0] and[0] ashbrook[0] shows[0] this[0] well[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
young yee jee tso shows promise as chang lee , and i've seen him in other stuff in which he usually plays the punk kid who dies at the end ( this film included ) , which , imho , wastes his talent . 	young ye jee tso shows promise as chang lee , and i've seen him in other stuff in which he usually plays the punk kid who dies at the end ( this film included ) , which , imho , wastes his talent .	2	-2	 young[0] yee/ye[0] jee[0] tso[0] shows[0] promise[1] as[0] chang[0] lee[0] and[0] i've[0] seen[0] him[0] in[0] other[0] stuff[0] in[0] which[0] he[0] usually[0] plays[1] the[0] punk[0] kid[0] who[0] dies[0] at[0] the[0] end[0] this[0] film[0] included[0] which[0] imho[0] wastes[-1] his[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only problem with the acting is eric roberts . 	the only problem with the acting is eric roberts .	1	-2	 the[0] only[0] problem[-1] with[0] the[0] acting[0] is[0] eric[0] roberts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one time he had to say to mcgann's doctor , " i always dress for the occasion . " 	one time he had to say to mcgann's doctor , " i always dress for the occasion .<br> "	1	-1	 one[0] time[0] he[0] had[0] to[0] say[0] to[0] mcgann's[0] doctor[0] i[0] always[0] dress[0] for[0] the[0] occasion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
