in the wake of the smashing success of " rumble in the bronx , " it's looking more and more likely that more jackie chan films will see american release . 	Translation	Positive	Negative	EmotionRationale
rumor has it that one of these films will be drunken master ii . 	rumor has it that one of these films will be drunken master i .	1	-2	 rumor[-1] has[0] it[0] that[0] one[0] of[0] these[0] films[0] will[0] be[0] drunken[-1] master[0] ii/i[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the version i have is a copy from the laserdisc ; it's widescreen and bilingually-subtitled , as are most hong kong films these days . 	the version i have is a copy from the laserdisc ; it's widescreen and bilingually-subtitled , as are most hong kong films these days .	1	-1	 the[0] version[0] i[0] have[0] is[0] a[0] copy[0] from[0] the[0] laserdisc[0] it's[0] widescreen[0] and[0] bilingually[0] subtitled[0] as[0] are[0] most[0] hong[0] kong[0] films[0] these[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
availability over here in the united states is very limited ; these films must either be purchased via pirates or sought out from asian distributors such as tai seng . 	availability over here in the united states is very limited ; these films must either be purchased via pirates or sought out from asian distributors such as tai seng .	1	-1	 availability[0] over[0] here[0] in[0] the[0] united[0] states[0] is[0] very[0] limited[0] these[0] films[0] must[0] either[0] be[0] purchased[0] via[0] pirates[0] or[0] sought[0] out[0] from[0] asian[0] distributors[0] such[0] as[0] tai[0] seng[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the subtitling on the copy i have is slightly hard to read ; the letters are white and a bit small . 	the subtitling on the copy i have is slightly hard to read ; the letters are white and a bit small .	1	-1	 the[0] subtitling[0] on[0] the[0] copy[0] i[0] have[0] is[0] slightly[0] hard[0] to[0] read[0] the[0] letters[0] are[0] white[0] and[0] a[0] bit[0] small[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the american release will almost certainly be dubbed , this review is of the subtitled version , so please keep that in mind if you're reading this review to help you decide whether to go out and see it . 	although the american release will almost certainly be dubbed , this review is of the subtitled version , so please keep that in mind if you're reading this review to help you decide whether to go out and see it .	2	-1	 although[0] the[0] american[0] release[0] will[0] almost[0] certainly[0] be[0] dubbed[0] this[0] review[0] is[0] of[0] the[0] subtitled[0] version[0] so[0] please[1] keep[0] that[0] in[0] mind[0] if[0] you're[0] reading[0] this[0] review[0] to[0] help[0] you[0] decide[0] whether[0] to[0] go[0] out[0] and[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to be fair , i must admit that i've never been very fond of " period-piece " martial arts movies--the ones set in some nebulous china of the distant or not so distant past . 	to be fair , i must admit that i've never been very fond of " period-piece " martial arts movies-the ones set in some nebulous china of the distant or not so distant past .	1	-4	 to[0] be[0] fair[0] i[0] must[0] admit[0] that[0] i've[0] never[0] been[0] very[0] fond[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] of[0] period[0] piece[0] martial[0] arts[0] movies[0] the[0] ones[0] set[0] in[0] some[0] nebulous[-1][--1 LastWordBoosterStrength] china[0] of[0] the[0] distant[0] or[0] not[0] so[0] distant[0] past[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
perhaps it's because most of those i've seen were filmed on inferior stock , with either butchered dubbing or all-but-illegible subtitling , or perhaps it's because their plots all tend to be very similar to each other and , in many cases , all but nonexistant . 	perhaps it's because most of those i've seen were filmed on inferior stock , with either butchered dubbing or all-but-illegible subtitling , or perhaps it's because their plots all tend to be very similar to each other and , in many cases , all but nonexistant .	1	-2	 perhaps[0] it's[0] because[0] most[0] of[0] those[0] i've[0] seen[0] were[0] filmed[0] on[0] inferior[-1] stock[0] with[0] either[0] butchered[0] dubbing[0] or[0] all[0] but[0] illegible[0] subtitling[0] or[0] perhaps[0] it's[0] because[0] their[0] plots[0] all[0] tend[0] to[0] be[0] very[0] similar[0] to[0] each[0] other[0] and[0] in[0] many[0] cases[0] all[0] but[0] nonexistant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , many of them get so wrapped up in their subplots that they seem to forget their main plot entirely until only a few minutes before the end . 	in fact , many of them get so wrapped up in their subplots that they seem to forget their main plot entirely until only a few minutes before the end .	1	-1	 in[0] fact[0] many[0] of[0] them[0] get[0] so[0] wrapped[0] up[0] in[0] their[0] subplots[0] that[0] they[0] seem[0] to[0] forget[0] their[0] main[0] plot[0] entirely[0] until[0] only[0] a[0] few[0] minutes[0] before[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , for that matter , it might be because the jackie chan films with more modern settings ( armour of god , rumble in the bronx , etc . ) tend to have more spectacular stunts , often involving large motor vehicles and large explosions , whereas period pieces simply have the martial arts . 	or , for that matter , it might be because the jackie chan films with more modern settings ( armour of god , rumble in the bronx , etc .<br> ) tend to have more spectacular stunts , often involving large motor vehicles and large explosions , whereas period pieces simply have the martial arts .	1	-2	 or[0] for[0] that[0] matter[0] it[0] might[0] be[0] because[0] the[0] jackie[0] chan[0] films[0] with[0] more[0] modern[0] settings[0] armour[0] of[0] god[0] rumble[0] in[0] the[0] bronx[0] etc[0] [[Sentence=-1,1=word max, 1-5]] tend[0] to[0] have[0] more[0] spectacular[0] stunts[0] often[0] involving[0] large[0] motor[0] vehicles[0] and[0] large[0] explosions[-1] whereas[0] period[0] pieces[0] simply[0] have[0] the[0] martial[0] arts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having said that , i must now turn right around and say that drunken master ii is a remarkable exception to all or most of the above , is one of the better martial arts films i've seen , and i quite enjoyed it . 	having said that , i must now turn right around and say that drunken master i is a remarkable exception to all or most of the above , is one of the better martial arts films i've seen , and i quite enjoyed it .	3	-2	 having[0] said[0] that[0] i[0] must[0] now[0] turn[0] right[0] around[0] and[0] say[0] that[0] drunken[-1] master[0] ii/i[0] is[0] a[0] remarkable[0] exception[0] to[0] all[0] or[0] most[0] of[0] the[0] above[0] is[0] one[0] of[0] the[0] better[0] martial[0] arts[0] films[0] i've[0] seen[0] and[0] i[0] quite[0] enjoyed[2] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
surprised ? 	surprised ?	1	-1	 surprised[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , so was i . 	well , so was i .	1	-1	 well[0] so[0] was[0] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drunken master ii is about a young man named wong fei-hong ( played by jackie chan ) who is a master of the drunken boxing style of kung fu . 	drunken master i is about a young man named wong fei-hong ( played by jackie chan ) who is a master of the drunken boxing style of kung fu .	1	-2	 drunken[-1] master[0] ii/i[0] is[0] about[0] a[0] young[0] man[0] named[0] wong[0] fei[0] hong[0] played[0] by[0] jackie[0] chan[0] who[0] is[0] a[0] master[0] of[0] the[0] drunken[-1] boxing[0] style[0] of[0] kung[0] fu[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where he learned this style is uncertain , as his father , wong kei-ying ( ti lung ) is steadfast in his opposition to fei-hong's practicing it rather than some more normal style of kung fu . 	where he learned this style is uncertain , as his father , wong kei-ying ( ti lung ) is steadfast in his opposition to fei-hong's practicing it rather than some more normal style of kung fu .	1	-2	 where[0] he[0] learned[0] this[0] style[0] is[0] uncertain[0] as[0] his[0] father[0] wong[0] kei[0] ying[0] ti[0] lung[0] is[0] steadfast[0] in[0] his[0] opposition[-1] to[0] fei[0] hong's[0] practicing[0] it[0] rather[0] than[0] some[0] more[0] normal[0] style[0] of[0] kung[0] fu[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently , fei-hong is some sort of figure from chinese folklore , rather like paul bunyan is for americans , but i've heard very little about this , and could quite well be wrong , so i'll leave analysis of that to the people who know it better . 	apparently , fei-hong is some sort of figure from chinese folklore , rather like paul bunyan is for americans , but i've heard very little about this , and could quite well be wrong , so i'll leave analysis of that to the people who know it better .	2	-2	 apparently[0] fei[0] hong[0] is[0] some[0] sort[0] of[0] figure[0] from[0] chinese[0] folklore[0] rather[0] like[1] paul[0] bunyan[0] is[0] for[0] americans[0] but[0] i've[0] heard[0] very[0] little[0] about[0] this[0] and[0] could[0] quite[0] well[0] be[0] wrong[-1] so[0] i'll[0] leave[0] analysis[0] of[0] that[0] to[0] the[0] people[0] who[0] know[0] it[0] better[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of my friends points out that the character of wong fei-hong is also featured in the " once upon a time in china " movies , but i have not yet seen those . 	one of my friends points out that the character of wong fei-hong is also featured in the " once upon a time in china " movies , but i have not yet seen those .	2	-1	 one[0] of[0] my[0] friends[1] points[0] out[0] that[0] the[0] character[0] of[0] wong[0] fei[0] hong[0] is[0] also[0] featured[0] in[0] the[0] once[0] upon[0] a[0] time[0] in[0] china[0] movies[0] but[0] i[0] have[0] not[0] yet[0] seen[0] those[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot of drunken master ii is somewhat hazy , as are the plots to many such films , but if you're watching a jackie chan film , odds are you aren't expecting something on the order of " war and peace " . 	the plot of drunken master i is somewhat hazy , as are the plots to many such films , but if you're watching a jackie chan film , odds are you aren't expecting something on the order of " war and peace " .	1	-3	 the[0] plot[0] of[0] drunken[-1] master[0] ii/i[0] is[0] somewhat[0] hazy[-1] as[0] are[0] the[0] plots[0] to[0] many[0] such[0] films[0] but[0] if[0] you're[0] watching[0] a[0] jackie[0] chan[0] film[0] odds[0] are[0] you[0] aren't[0] expecting[0] something[0] on[0] the[0] order[0] of[0] war[-2] and[0] peace[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
