not since attending an ingmar bergman retrospective a few years ago have i seen a film as uncompromising in its portrayal of emotional truth as secrets & lies . 	Translation	Positive	Negative	EmotionRationale
like bergman , director mike leigh is interested in probing his characters' inner depths through hypernaturally blunt confrontations . 	like bergman , director mike leigh is interested in probing his characters' inner depths through hypernaturally blunt confrontations .	2	-3	 like[1] bergman[0] director[0] mike[0] leigh[0] is[0] interested[1] in[0] probing[0] his[0] characters'[0] inner[0] depths[0] through[0] hypernaturally[0] blunt[-1] confrontations[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also like bergman , leigh engages in frequent closeups of his characters' ravished and wracked faces . 	also like bergman , leigh engages in frequent closeups of his characters' ravished and wracked faces .	2	-1	 also[0] like[1] bergman[0] leigh[0] engages[0] in[0] frequent[0] closeups[0] of[0] his[0] characters'[0] ravished[0] and[0] wracked[0] faces[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the prominent mournfulness of a cello on the soundtrack recalls bergman's own use of a bach cello suite in an earlier film . 	and the prominent mournfulness of a cello on the soundtrack recalls bergman's own use of a bach cello suite in an earlier film .	1	-3	 and[0] the[0] prominent[0] mournfulness[-2] of[0] a[0] cello[0] on[0] the[0] soundtrack[0] recalls[0] bergman's[0] own[0] use[0] of[0] a[0] bach[0] cello[0] suite[0] in[0] an[0] earlier[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all that is missing is a discussion of god . 	all that is missing is a discussion of god .	1	-1	 all[0] that[0] is[0] missing[0] is[0] a[0] discussion[0] of[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is not to say that secrets & lies is nothing more than an homage to the swedish master . 	which is not to say that secrets & lies is nothing more than an homage to the swedish master .	1	-3	 which[0] is[0] not[0] to[0] say[0] that[0] secrets[0] &[0] lies[-2] is[0] nothing[0] more[0] than[0] an[0] homage[0] to[0] the[0] swedish[0] master[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , it is quite possible leigh had no such intentions in mind . 	in fact , it is quite possible leigh had no such intentions in mind .	1	-1	 in[0] fact[0] it[0] is[0] quite[0] possible[0] leigh[0] had[0] no[0] such[0] intentions[0] in[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nonetheless , what we get is so far removed from the average moviegoing experience -- even from the reason we go to the movies in the first place -- that it takes some effort to adjust to the film's rhythms . 	nonetheless , what we get is so far removed from the average moviegoing experience - even from the reason we go to the movies in the first place - that it takes some effort to adjust to the film's rhythms .	1	-1	 nonetheless[0] what[0] we[0] get[0] is[0] so[0] far[0] removed[0] from[0] the[0] average[0] moviegoing[0] experience[0] even[0] from[0] the[0] reason[0] we[0] go[0] to[0] the[0] movies[0] in[0] the[0] first[0] place[0] that[0] it[0] takes[0] some[0] effort[0] to[0] adjust[0] to[0] the[0] film's[0] rhythms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once the adjustment is made , however , there are great rewards . 	once the adjustment is made , however , there are great rewards .	3	-1	 once[0] the[0] adjustment[0] is[0] made[0] however[0] there[0] are[0] great[2] rewards[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one such is the chance to see life on the screen as it really is . 	one such is the chance to see life on the screen as it really is .	1	-1	 one[0] such[0] is[0] the[0] chance[0] to[0] see[0] life[0] on[0] the[0] screen[0] as[0] it[0] really[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though leigh may have adopted some of bergman's stylistic touches , most obviously in an early scene of terse cross-cutting during a married couple's strained conversation , as well as in that somewhat obtrusive score , the overall feeling of the film is that it eschews any " style " at all . 	though leigh may have adopted some of bergman's stylistic touches , most obviously in an early scene of terse cross-cutting during a married couple's strained conversation , as well as in that somewhat obtrusive score , the overall feeling of the film is that it eschews any " style " at all .	1	-2	 though[0] leigh[0] may[0] have[0] adopted[0] some[0] of[0] bergman's[0] stylistic[0] touches[0] most[0] obviously[0] in[0] an[0] early[0] scene[0] of[0] terse[0] cross[-1] cutting[0] during[0] a[0] married[0] couple's[0] strained[-1] conversation[0] as[0] well[0] as[0] in[0] that[0] somewhat[0] obtrusive[0] score[0] the[0] overall[0] feeling[0] of[0] the[0] film[0] is[0] that[0] it[0] eschews[0] any[0] style[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whereas bergman uses artifice as a tool to expose reality , leigh makes the camera a mere observer , almost as in a pbs documentary . 	whereas bergman uses artifice as a tool to expose reality , leigh makes the camera a mere observer , almost as in a pbs documentary .	1	-2	 whereas[0] bergman[0] uses[0] artifice[0] as[0] a[0] tool[0] to[0] expose[-1] reality[0] leigh[0] makes[0] the[0] camera[0] a[0] mere[0] observer[0] almost[0] as[0] in[0] a[0] pbs[0] documentary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the effect of this is to focus all of your attention on the actors . 	the effect of this is to focus all of your attention on the actors .	1	-1	 the[0] effect[0] of[0] this[0] is[0] to[0] focus[0] all[0] of[0] your[0] attention[0] on[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a tribute to everyone involved that , despite such scrutiny , only infrequently are we aware that anyone * is * acting . 	it is a tribute to everyone involved that , despite such scrutiny , only infrequently are we aware that anyone * is * acting .	1	-1	 it[0] is[0] a[0] tribute[0] to[0] everyone[0] involved[0] that[0] despite[0] such[0] scrutiny[0] only[0] infrequently[0] are[0] we[0] aware[0] that[0] anyone[0] is[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much has been made of brenda blethyn's performance , and rightly so , but it is only when you remind yourself that you are watching a fiction that you realize how good she is . 	much has been made of brenda blethyn's performance , and rightly so , but it is only when you remind yourself that you are watching a fiction that you realize how good she is .	2	-1	 much[0] has[0] been[0] made[0] of[0] brenda[0] blethyn's[0] performance[0] and[0] rightly[0] so[0] but[0] it[0] is[0] only[0] when[0] you[0] remind[0] yourself[0] that[0] you[0] are[0] watching[0] a[0] fiction[0] that[0] you[0] realize[0] how[0] good[1] she[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are a few missteps . 	there are a few missteps .	1	-1	 there[0] are[0] a[0] few[0] missteps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for one , except for one scene ( tragicomic , as it happens ) , there is scant humor in the film . 	for one , except for one scene ( tragicomic , as it happens ) , there is scant humor in the film .	3	-1	 for[0] one[0] except[0] for[0] one[0] scene[0] tragicomic[0] as[0] it[0] happens[0] there[0] is[0] scant[0] humor[2] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this leads to a certain monotonous tone throughout . 	this leads to a certain monotonous tone throughout .	1	-2	 this[0] leads[0] to[0] a[0] certain[0] monotonous[-1] tone[0] throughout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and occasionally ( as with bergman ) the bluntness of the situations can seem forced . 	and occasionally ( as with bergman ) the bluntness of the situations can seem forced .	1	-2	 and[0] occasionally[0] as[0] with[0] bergman[0] the[0] bluntness[-1] of[0] the[0] situations[0] can[0] seem[0] forced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for all that , this longish film manages to keep hold of your attention . 	for all that , this longish film manages to keep hold of your attention .	1	-1	 for[0] all[0] that[0] this[0] longish[0] film[0] manages[0] to[0] keep[0] hold[0] of[0] your[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is unfortunate that the audience for secrets & lies will most likely be limited to an intellectual elite , for there is nothing inherently intellectual about this film . 	it is unfortunate that the audience for secrets & lies will most likely be limited to an intellectual elite , for there is nothing inherently intellectual about this film .	1	-3	 it[0] is[0] unfortunate[-1] that[0] the[0] audience[0] for[0] secrets[0] &[0] lies[-2] will[0] most[0] likely[0] be[0] limited[0] to[0] an[0] intellectual[0] elite[0] for[0] there[0] is[0] nothing[0] inherently[0] intellectual[0] about[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , it might easily resonate more strongly for millions of working class filmgoers who will likely never see it . 	in fact , it might easily resonate more strongly for millions of working class filmgoers who will likely never see it .	1	-1	 in[0] fact[0] it[0] might[0] easily[0] resonate[0] more[0] strongly[0] for[0] millions[0] of[0] working[0] class[0] filmgoers[0] who[0] will[0] likely[0] never[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is even a sweet but significant irony in the film's unspoken take on race relations , something an american audience at least would do well to observe . 	there is even a sweet but significant irony in the film's unspoken take on race relations , something an american audience at least would do well to observe .	2	-2	 there[0] is[0] even[0] a[0] sweet[1] but[0] significant[0] irony[-1] in[0] the[0] film's[0] unspoken[0] take[0] on[0] race[0] relations[0] something[0] an[0] american[0] audience[0] at[0] least[0] would[0] do[0] well[0] to[0] observe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nonetheless , secrets & lies is not for the faint of heart . 	nonetheless , secrets & lies is not for the faint of heart .	1	-3	 nonetheless[0] secrets[0] &[0] lies[-2] is[0] not[0] for[0] the[0] faint[-1] of[0] heart[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
