with the success of the surprise hit alien , directed by ridley scott , a sequel was inevitable . 	Translation	Positive	Negative	EmotionRationale
in fact , after watching the first film , a sequel was wanted , particularly by this reviewer . 	in fact , after watching the first film , a sequel was wanted , particularly by this reviewer .	1	-1	 in[0] fact[0] after[0] watching[0] the[0] first[0] film[0] a[0] sequel[0] was[0] wanted[0] particularly[0] by[0] this[0] reviewer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
handing over the director's chair to recent box office gem james cameron , who had only made two films previous to this one ( pirahna ii , a surprisingly dull film , and terminator , making cameron a household name ) , the alien series got a face-lift of immense proportions . 	handing over the director's chair to recent box office gem james cameron , who had only made two films previous to this one ( pirahna i , a surprisingly dull film , and terminator , making cameron a household name ) , the alien series got a face-lift of immense proportions .	1	-2	 handing[0] over[0] the[0] director's[0] chair[0] to[0] recent[0] box[0] office[0] gem[0] james[0] cameron[0] who[0] had[0] only[0] made[0] two[0] films[0] previous[0] to[0] this[0] one[0] pirahna[0] ii/i[0] a[0] surprisingly[0] dull[-1] film[0] and[0] terminator[0] making[0] cameron[0] a[0] household[0] name[0] the[0] alien[-1] series[0] got[0] a[0] face[0] lift[0] of[0] immense[0] proportions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of being a suspense/science fiction film , cameron alters the series and changing it into an action picture . 	instead of being a suspense/science fiction film , cameron alters the series and changing it into an action picture .	1	-1	 instead[0] of[0] being[0] a[0] suspense/science[0] fiction[0] film[0] cameron[0] alters[0] the[0] series[0] and[0] changing[0] it[0] into[0] an[0] action[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what results is one of the most terrifying films ever created . 	what results is one of the most terrifying films ever created .	1	-4	 what[0] results[0] is[0] one[0] of[0] the[0] most[0] terrifying[-3] films[0] ever[0] created[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a film like aliens comes along only once in a while , and when it does , audiences are usually unprepared for it . 	a film like aliens comes along only once in a while , and when it does , audiences are usually unprepared for it .	2	-1	 a[0] film[0] like[1] aliens[0] comes[0] along[0] only[0] once[0] in[0] a[0] while[0] and[0] when[0] it[0] does[0] audiences[0] are[0] usually[0] unprepared[0] for[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i never saw this movie in theaters , but i wish i could have . 	i never saw this movie in theaters , but i wish i could have .	1	-1	 i[0] never[0] saw[0] this[0] movie[0] in[0] theaters[0] but[0] i[0] wish[0] i[0] could[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the terror and fright must have been unimaginable , most likely with audiences members literally shrieking in fear . 	the terror and fright must have been unimaginable , most likely with audiences members literally shrieking in fear .	1	-4	 the[0] terror[-1] and[0] fright[-3] must[0] have[0] been[0] unimaginable[0] most[0] likely[0] with[0] audiences[0] members[0] literally[0] shrieking[-1] in[0] fear[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
aliens is an action film unlike any i have ever seen . 	aliens is an action film unlike any i have ever seen .	1	-1	 aliens[0] is[0] an[0] action[0] film[0] unlike[0] any[0] i[0] have[0] ever[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a science fiction plot , cameron gives aliens added testosterone , pumping up the action and fire power from the original film . 	with a science fiction plot , cameron gives aliens added testosterone , pumping up the action and fire power from the original film .	1	-1	 with[0] a[0] science[0] fiction[0] plot[0] cameron[0] gives[0] aliens[0] added[0] testosterone[0] pumping[0] up[0] the[0] action[0] and[0] fire[0] power[0] from[0] the[0] original[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , aliens is one of those few sequels which tops the original . 	in fact , aliens is one of those few sequels which tops the original .	1	-1	 in[0] fact[0] aliens[0] is[0] one[0] of[0] those[0] few[0] sequels[0] which[0] tops[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps what makes the alien series so impressive is the hero--or heroine , as the case may be . 	perhaps what makes the alien series so impressive is the hero-or heroine , as the case may be .	3	-2	 perhaps[0] what[0] makes[0] the[0] alien[-1] series[0] so[0] impressive[1] is[0] the[0] hero[2] or[0] heroine[2] as[0] the[0] case[0] may[0] be[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
never have we had a more sympathetic hero in an action film , and never have i seen such an impressive acting job done by the main character . 	never have we had a more sympathetic hero in an action film , and never have i seen such an impressive acting job done by the main character .	3	-1	 never[0] have[0] we[0] had[0] a[0] more[0] sympathetic[0] hero[2] in[0] an[0] action[0] film[0] and[0] never[0] have[0] i[0] seen[0] such[0] an[0] impressive[1] acting[0] job[0] done[0] by[0] the[0] main[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sigourney weaver is possibly the only actress who could play this character and make her realistic enough for us to care about . 	sigourney weaver is possibly the only actress who could play this character and make her realistic enough for us to care about .	2	-1	 sigourney[0] weaver[0] is[0] possibly[0] the[0] only[0] actress[0] who[0] could[0] play[0] this[0] character[0] and[0] make[0] her[0] realistic[0] enough[0] for[0] us[0] to[0] care[1] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
placing a woman in these situations would sometimes seem unusual , but because of weaver's presence , a woman is the only suitable hero . 	placing a woman in these situations would sometimes seem unusual , but because of weaver's presence , a woman is the only suitable hero .	3	-1	 placing[0] a[0] woman[0] in[0] these[0] situations[0] would[0] sometimes[0] seem[0] unusual[0] but[0] because[0] of[0] weaver's[0] presence[0] a[0] woman[0] is[0] the[0] only[0] suitable[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
