 " when will the devil take me ? " he asks rhetorically in lulling voice over . 	Translation	Positive	Negative	EmotionRationale
the spoiled title character of _onegin_ ( pronounced oh-negg-in ) is waiting on death to relieve him after a lifetime of rapacious behaviour . 	the spoiled title character of _onegin_ ( pronounced oh-negg-in ) is waiting on death to relieve him after a lifetime of rapacious behaviour .	2	-3	 the[0] spoiled[-1] title[0] character[0] of[0] _onegin_[0] pronounced[0] oh[0] negg[0] in[0] is[0] waiting[0] on[0] death[-2] to[0] relieve[1] him[0] after[0] a[0] lifetime[0] of[0] rapacious[0] behaviour[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
martha fiennes' debut feature is ( quite literally ) filmed poetry ( it's based on an epic russian poem by alexander pushkin ) , a profound study of regret , of how we confuse shame with guilt . 	martha fiennes' debut feature is ( quite literally ) filmed poetry ( it's based on an epic russian poem by alexander pushkin ) , a profound study of regret , of how we confuse shame with guilt .	1	-4	 martha[0] fiennes'[0] debut[0] feature[0] is[0] quite[0] literally[0] filmed[0] poetry[0] it's[0] based[0] on[0] an[0] epic[0] russian[0] poem[0] by[0] alexander[0] pushkin[0] a[0] profound[0] study[0] of[0] regret[-1] of[0] how[0] we[0] confuse[-1] shame[-2] with[0] guilt[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when we first meet eugene onegin ( ralph , acting for his sister ; another brother , magnus , composed the score ) , a philandering aristocrat from st . petersburg , he has just inherited his uncle's estate . 	when we first meet eugene onegin ( ralph , acting for his sister ; another brother , magnus , composed the score ) , a philandering aristocrat from st .<br> petersburg , he has just inherited his uncle's estate .	1	-1	 when[0] we[0] first[0] meet[0] eugene[0] onegin[0] ralph[0] acting[0] for[0] his[0] sister[0] another[0] brother[0] magnus[0] composed[0] the[0] score[0] a[0] philandering[0] aristocrat[0] from[0] st[0] [[Sentence=-1,1=word max, 1-5]] petersburg[0] he[0] has[0] just[0] inherited[0] his[0] uncle's[0] estate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with plans to sell it , onegin pays a summer visit to the manor , which is located in an underpopulated russian countryside , and not long into the trip he meets a neighbouring family of blue bloods . 	with plans to sell it , onegin pays a summer visit to the manor , which is located in an underpopulated russian countryside , and not long into the trip he meets a neighbouring family of blue bloods .	1	-1	 with[0] plans[0] to[0] sell[0] it[0] onegin[0] pays[0] a[0] summer[0] visit[0] to[0] the[0] manor[0] which[0] is[0] located[0] in[0] an[0] underpopulated[0] russian[0] countryside[0] and[0] not[0] long[0] into[0] the[0] trip[0] he[0] meets[0] a[0] neighbouring[0] family[0] of[0] blue[0] bloods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
smitten with olga larina ( headey ) , he befriends olga's fianc ? , vladimir lensky ( stephens ) , while olga's sister , tatyana ( tyler ) , romanticizing his flippant attitude ( he's a nineteenth bad boy ) , falls for onegin . 	smitten with olga larina ( headey ) , he befriends olga's fianc ?<br> , vladimir lensky ( stephens ) , while olga's sister , tatyana ( tyler ) , romanticizing his flippant attitude ( he's a nineteenth bad boy ) , falls for onegin .	4	-2	 smitten[0] with[0] olga[0] larina[0] headey[0] he[0] befriends[0] olga's[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] vladimir[0] lensky[0] stephens[0] while[0] olga's[0] sister[0] tatyana[0] tyler[0] romanticizing[3] his[0] flippant[0] attitude[0] he's[0] a[0] nineteenth[0] bad[-1] boy[0] falls[0] for[0] onegin[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in one sweaty , inky torrent of passion , tatyana writes him a love letter . 	in one sweaty , inky torrent of passion , tatyana writes him a love letter .	3	-1	 in[0] one[0] sweaty[0] inky[0] torrent[0] of[0] passion[2] tatyana[0] writes[0] him[0] a[0] love[2] letter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is at least intrigued by the note but rejects her affections , it is implied , because he can . 	he is at least intrigued by the note but rejects her affections , it is implied , because he can .	3	-2	 he[0] is[0] at[0] least[0] intrigued[0] by[0] the[0] note[0] but[0] rejects[-1] her[0] affections[2] it[0] is[0] implied[0] because[0] he[0] can[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
soon after , tragedy strikes , and onegin makes himself scarce . 	soon after , tragedy strikes , and onegin makes himself scarce .	1	-3	 soon[0] after[0] tragedy[-2] strikes[0] and[0] onegin[0] makes[0] himself[0] scarce[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when we catch up with him , six years later , he has just returned to st . petersburg , where at a grand ball he discovers that an old friend ( donovan ) has married a more womanly and wordly tatyana . 	when we catch up with him , six years later , he has just returned to st .<br> petersburg , where at a grand ball he discovers that an old friend ( donovan ) has married a more womanly and wordly tatyana .	2	-1	 when[0] we[0] catch[0] up[0] with[0] him[0] six[0] years[0] later[0] he[0] has[0] just[0] returned[0] to[0] st[0] [[Sentence=-1,1=word max, 1-5]] petersburg[0] where[0] at[0] a[0] grand[1] ball[0] he[0] discovers[0] that[0] an[0] old[0] friend[1] donovan[0] has[0] married[0] a[0] more[0] womanly[0] and[0] wordly[0] tatyana[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this time , onegin finds her irresistable . 	this time , onegin finds her irresistable .	1	-1	 this[0] time[0] onegin[0] finds[0] her[0] irresistable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is most amazing about ralph fiennes' performance is his subtle physical transformation from dashing snob to miserly grouch . 	what is most amazing about ralph fiennes' performance is his subtle physical transformation from dashing snob to miserly grouch .	3	-3	 what[0] is[0] most[0] amazing[2] about[0] ralph[0] fiennes'[0] performance[0] is[0] his[0] subtle[0] physical[0] transformation[0] from[0] dashing[0] snob[-2] to[0] miserly[-2] grouch[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
overwhelmed by a top hat , the onegin who pines for tatyana seems smaller in stature than the one who brushed her off , an ebeneezer scrooge trapped in christmas past . 	overwhelmed by a top hat , the onegin who pines for tatyana seems smaller in stature than the one who brushed her off , an ebeneezer scrooge trapped in christmas past .	1	-3	 overwhelmed[-2] by[0] a[0] top[0] hat[0] the[0] onegin[0] who[0] pines[0] for[0] tatyana[0] seems[0] smaller[0] in[0] stature[0] than[0] the[0] one[0] who[0] brushed[0] her[0] off[0] an[0] ebeneezer[0] scrooge[0] trapped[0] in[0] christmas[0] past[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the actor has been constricted playing heroes for too long now-there's room to breathe in a role that's made up of shades of gray like " onegin " . 	the actor has been constricted playing heroes for too long now-there's room to breathe in a role that's made up of shades of gray like " onegin " .	3	-1	 the[0] actor[0] has[0] been[0] constricted[0] playing[1] heroes[2] for[0] too[0] long[0] now[0] there's[0] room[0] to[0] breathe[0] in[0] a[0] role[0] that's[0] made[0] up[0] of[0] shades[0] of[0] gray[0] like[1] onegin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
