known as the most successful , highest-grossing romantic comedy in history , director garry marshall apparently struck gold with " pretty woman , " which opened quietly during the summer of 1990 but , thanks to positive word-of-mouth , was able to reach upwards of $175-million in theaters alone . 	Translation	Positive	Negative	EmotionRationale
the question of why it worked so well lies directly with the film's two charismatic stars , richard gere and julia roberts , since the story itself is none too original or even believable . 	the question of why it worked so well lies directly with the film's two charismatic stars , richard gere and julia roberts , since the story itself is none too original or even believable .	1	-3	 the[0] question[0] of[0] why[0] it[0] worked[0] so[0] well[0] lies[-2] directly[0] with[0] the[0] film's[0] two[0] charismatic[0] stars[0] richard[0] gere[0] and[0] julia[0] roberts[0] since[0] the[0] story[0] itself[0] is[0] none[0] too[0] original[0] or[0] even[0] believable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the other winning element that makes " pretty woman " so entertaining is its genuine sweetness and innocence , which is rarely as palpable in today's films as it is here . 	the other winning element that makes " pretty woman " so entertaining is its genuine sweetness and innocence , which is rarely as palpable in today's films as it is here .	3	-1	 the[0] other[0] winning[1] element[0] that[0] makes[0] pretty[2] woman[0] so[0] entertaining[0] is[0] its[0] genuine[0] sweetness[2] and[0] innocence[1] which[0] is[0] rarely[0] as[0] palpable[0] in[0] today's[0] films[0] as[0] it[0] is[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
edward lewis ( richard gere ) is a suave , extremely wealthy business mogul who , at the start of the picture , breaks up with his girlfriend over the phone after a nasty argument , and abruptly takes his friend's car and gets lost on hollywood boulevard while trying to find his hotel . 	edward lewis ( richard gere ) is a suave , extremely wealthy business mogul who , at the start of the picture , breaks up with his girlfriend over the phone after a nasty argument , and abruptly takes his friend's car and gets lost on hollywood boulevard while trying to find his hotel .	2	-3	 edward[0] lewis[0] richard[0] gere[0] is[0] a[0] suave[0] extremely[0] wealthy[0] business[0] mogul[0] who[0] at[0] the[0] start[0] of[0] the[0] picture[0] breaks[0] up[0] with[0] his[0] girlfriend[0] over[0] the[0] phone[0] after[0] a[0] nasty[-2] argument[-1] and[0] abruptly[0] takes[0] his[0] friend's[1] car[0] and[0] gets[0] lost[0] on[0] hollywood[0] boulevard[0] while[0] trying[0] to[0] find[0] his[0] hotel[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
stopping the car along the street , he asks a woman , obviously a prostitute , for directions . 	stopping the car along the street , he asks a woman , obviously a prostitute , for directions .	1	-1	 stopping[0] the[0] car[0] along[0] the[0] street[0] he[0] asks[0] a[0] woman[0] obviously[0] a[0] prostitute[0] for[0] directions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
agreeing to get in his car and show him for ten bucks , edward ultimately accepts , they strike up a conversation , and before long she has been asked up to his penthouse room on the top floor . 	agreeing to get in his car and show him for ten bucks , edward ultimately accepts , they strike up a conversation , and before long she has been asked up to his penthouse room on the top floor .	1	-2	 agreeing[0] to[0] get[0] in[0] his[0] car[0] and[0] show[0] him[0] for[0] ten[0] bucks[0] edward[0] ultimately[0] accepts[0] they[0] strike[-1] up[0] a[0] conversation[0] and[0] before[0] long[0] she[0] has[0] been[0] asked[0] up[0] to[0] his[0] penthouse[0] room[0] on[0] the[0] top[0] floor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this meeting does not lead to sex , however , as edward confides that he'd rather just have someone to talk to , and offers her  300 to spend the night . 	this meeting does not lead to sex , however , as edward confides that he'd rather just have someone to talk to , and offers her  300 to spend the night .	1	-1	 this[0] meeting[0] does[0] not[0] lead[0] to[0] sex[0] however[0] as[0] edward[0] confides[0] that[0] he'd[0] rather[0] just[0] have[0] someone[0] to[0] talk[0] to[0] and[0] offers[0] her[0] 300[0] to[0] spend[0] the[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just as well , since the hooker , named vivian , is a beautiful , generally upbeat young woman who is the type of person that can lend an understanding ear . 	just as well , since the hooker , named vivian , is a beautiful , generally upbeat young woman who is the type of person that can lend an understanding ear .	3	-1	 just[0] as[0] well[0] since[0] the[0] hooker[0] named[0] vivian[0] is[0] a[0] beautiful[2] generally[0] upbeat[1] young[0] woman[0] who[0] is[0] the[0] type[0] of[0] person[0] that[0] can[0] lend[0] an[0] understanding[0] ear[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the meeting between these two completely opposite people does not end the next morning as planned , when edward finally offers to pay vivian three-thousand dollars if she will stay with him for six days and nights while he is in the area , keeping him company and acting as his companion to business dinners and get-togethers . 	the meeting between these two completely opposite people does not end the next morning as planned , when edward finally offers to pay vivian three-thousand dollars if she will stay with him for six days and nights while he is in the area , keeping him company and acting as his companion to business dinners and get-togethers .	1	-1	 the[0] meeting[0] between[0] these[0] two[0] completely[0] opposite[0] people[0] does[0] not[0] end[0] the[0] next[0] morning[0] as[0] planned[0] when[0] edward[0] finally[0] offers[0] to[0] pay[0] vivian[0] three[0] thousand[0] dollars[0] if[0] she[0] will[0] stay[0] with[0] him[0] for[0] six[0] days[0] and[0] nights[0] while[0] he[0] is[0] in[0] the[0] area[0] keeping[0] him[0] company[0] and[0] acting[0] as[0] his[0] companion[0] to[0] business[0] dinners[0] and[0] get[0] togethers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since vivian firmly tells edward at the beginning that she will do anything with him except kiss him on the lips , which always leads to unwanted intimacy when dealing with her customers , the obligatory rule of the genre says that by the third act , edward and vivian will finally , truly , kiss . 	since vivian firmly tells edward at the beginning that she will do anything with him except kiss him on the lips , which always leads to unwanted intimacy when dealing with her customers , the obligatory rule of the genre says that by the third act , edward and vivian will finally , truly , kiss .	3	-1	 since[0] vivian[0] firmly[0] tells[0] edward[0] at[0] the[0] beginning[0] that[0] she[0] will[0] do[0] anything[0] with[0] him[0] except[0] kiss[2] him[0] on[0] the[0] lips[0] which[0] always[0] leads[0] to[0] unwanted[0] intimacy[0] when[0] dealing[0] with[0] her[0] customers[0] the[0] obligatory[0] rule[0] of[0] the[0] genre[0] says[0] that[0] by[0] the[0] third[0] act[0] edward[0] and[0] vivian[0] will[0] finally[0] truly[1] kiss[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
allegedly planned as a grim , downbeat drama until garry marshall came on board as director , " pretty woman " has been transformed in all senses of the word into a classic fairy tale , a la " cinderella . " 	allegedly planned as a grim , downbeat drama until garry marshal came on board as director , " pretty woman " has been transformed in all senses of the word into a classic fairy tale , a la " cinderella .<br> "	3	-3	 allegedly[-1] planned[0] as[0] a[0] grim[-2] downbeat[0] drama[0] until[0] garry[0] marshall/marshal[0] came[0] on[0] board[0] as[0] director[0] pretty[2] woman[0] has[0] been[0] transformed[0] in[0] all[0] senses[0] of[0] the[0] word[0] into[0] a[0] classic[0] fairy[0] tale[0] a[0] la[0] cinderella[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
