curdled is a deliciously dark and witty black comedy , but its humour won't appeal to everyone . 	Translation	Positive	Negative	EmotionRationale
to be specific , let me give you an example . 	to be specific , let me give you an example .	1	-1	 to[0] be[0] specific[0] let[0] me[0] give[0] you[0] an[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do you know in pulp fiction where jules and vincent go on brain detail after marvin and his head accidentally get separated ? 	do you know in pulp fiction where jules and vincent go on brain detail after marvin and his head accidentally get separated ?	1	-2	 do[0] you[0] know[0] in[0] pulp[0] fiction[0] where[0] jules[0] and[0] vincent[0] go[0] on[0] brain[0] detail[0] after[0] marvin[0] and[0] his[0] head[0] accidentally[-1] get[0] separated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you thought that was completely tasteless and unfunny , don't see curdled . 	if you thought that was completely tasteless and unfunny , don't see curdled .	1	-1	 if[0] you[0] thought[0] that[0] was[0] completely[0] tasteless[0] and[0] unfunny[0] don't[0] see[0] curdled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , if you found that sequence to be pretty funny , you have the sense of humour that curdled is aimed at . 	on the other hand , if you found that sequence to be pretty funny , you have the sense of humour that curdled is aimed at .	3	-1	 on[0] the[0] other[0] hand[0] if[0] you[0] found[0] that[0] sequence[0] to[0] be[0] pretty[2] funny[1] you[0] have[0] the[0] sense[0] of[0] humour[2] that[0] curdled[0] is[0] aimed[0] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
our film's heroine , gabriela , played by angela jones , is a woman obssessively curious about murder and serial killers ; she even keeps a scrapbook of news articles . 	our film's heroine , gabriela , played by angela jones , is a woman obsessively curious about murder and serial killers ; she even keeps a scrapbook of news articles .	3	-4	 our[0] film's[0] heroine[2] gabriela[0] played[0] by[0] angela[0] jones[0] is[0] a[0] woman[0] obssessively/obsessively[-2] curious[0] about[0] murder[-3] and[0] serial[0] killers[0] she[0] even[0] keeps[0] a[0] scrapbook[0] of[0] news[0] articles[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
luckily for her , miami is being plagued by a serial killer rampage - her scrapbook is getting pretty big . 	luckily for her , miami is being plagued by a serial killer rampage - her scrapbook is getting pretty big .	3	-2	 luckily[2] for[0] her[0] miami[0] is[0] being[0] plagued[-1] by[0] a[0] serial[0] killer[-1] rampage[0] her[0] scrapbook[0] is[0] getting[0] pretty[2] big[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the killer's nickname in the press is the blue blood killer , because he preys on older rich socialite women , and he's played by william baldwin ( this is not a spoiler ) . 	the killer's nickname in the press is the blue blood killer , because he preys on older rich socialite women , and he's played by william baldwin ( this is not a spoiler ) .	2	-2	 the[0] killer's[0] nickname[0] in[0] the[0] press[0] is[0] the[0] blue[0] blood[0] killer[-1] because[0] he[0] preys[0] on[0] older[0] rich[0] socialite[0] women[0] and[0] he's[0] played[0] by[0] william[0] baldwin[0] this[0] is[0] not[0] a[0] spoiler[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one particularly striking m . o . 	one particularly striking m .<br> o .	1	-1	 one[0] particularly[0] striking[0] m[0] [[Sentence=-1,1=word max, 1-5]] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the blue blood killer is his propensity to decapitate his victims . 	on the blue blood killer is his propensity to decapitate his victims .	1	-3	 on[0] the[0] blue[0] blood[0] killer[-1] is[0] his[0] propensity[0] to[0] decapitate[0] his[0] victims[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gabriela is watching television one day when she spots an advertisement for a firm whose line of work is perfectly attuned to her interests . 	gabriela is watching television one day when she spots an advertisement for a firm whose line of work is perfectly attuned to her interests .	2	-1	 gabriela[0] is[0] watching[0] television[0] one[0] day[0] when[0] she[0] spots[0] an[0] advertisement[0] for[0] a[0] firm[0] whose[0] line[0] of[0] work[0] is[0] perfectly[1] attuned[0] to[0] her[0] interests[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
