because the press screening of " planet of the apes " was one day past last issue's deadline , i was afforded the opportunity to see the film a second time , listen to audience reactions and read a heap of reviews before writing this piece . 	Translation	Positive	Negative	EmotionRationale
the chief complaints of those who disliked the futuristic adventure appear to be that the movie focused on visuals instead of substance , that the story was thin , that mark wahlberg's character was colorless and that the surprise ending sucked . 	the chief complaints of those who disliked the futuristic adventure appear to be that the movie focused on visuals instead of substance , that the story was thin , that mark wahlberg's character was colorless and that the surprise ending sucked .	1	-3	 the[0] chief[0] complaints[-1] of[0] those[0] who[0] disliked[-2] the[0] futuristic[0] adventure[0] appear[0] to[0] be[0] that[0] the[0] movie[0] focused[0] on[0] visuals[0] instead[0] of[0] substance[0] that[0] the[0] story[0] was[0] thin[0] that[0] mark[0] wahlberg's[0] character[0] was[0] colorless[0] and[0] that[0] the[0] surprise[0] ending[0] sucked[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to those people i would like to say ? what the hell did you expect ? 	to those people i would like to say ?<br> what the hell did you expect ?	1	-2	 to[0] those[0] people[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] say[0] [[Sentence=-1,1=word max, 1-5]] what[0] the[0] hell[-1] did[0] you[0] expect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a tim burton movie , boys and girls . 	this is a tim burton movie , boys and girls .	1	-1	 this[0] is[0] a[0] tim[0] burton[0] movie[0] boys[0] and[0] girls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tim burton movies have great art direction and thin , clunky stories . 	tim burton movies have great art direction and thin , clunky stories .	3	-1	 tim[0] burton[0] movies[0] have[0] great[2] art[0] direction[0] and[0] thin[0] clunky[0] stories[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for the blissfully nasty , disjointed and underrated " mars attacks ! " 	for the blissfully nasty , disjointed and underrated " mars attacks !<br> "	1	-3	 for[0] the[0] blissfully[0] nasty[-2] disjointed[0] and[0] underrated[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( jonathan rosenbaum of the chicago reader and i were two of the only critics in america to praise the movie ) burton reportedly tossed vintage " mars attacks ! " 	 ( jonathan rosenbaum of the chicago reader and i were two of the only critics in america to praise the movie ) burton reportedly tossed vintage " mars attacks !<br> "	3	-3	 jonathan[0] rosenbaum[0] of[0] the[0] chicago[0] reader[0] and[0] i[0] were[0] two[0] of[0] the[0] only[0] critics[0] in[0] america[0] to[0] praise[2] the[0] movie[0] burton[0] reportedly[0] tossed[0] vintage[0] mars[0] attacks[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
trading cards onto the floor and based his story on the ones that landed face up . 	trading cards onto the floor and based his story on the ones that landed face up .	1	-1	 trading[0] cards[0] onto[0] the[0] floor[0] and[0] based[0] his[0] story[0] on[0] the[0] ones[0] that[0] landed[0] face[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
burton's re-imagining of the 1968 story of an astronaut that lands on a planet where apes rule men looks great . 	burton's re-imagining of the 1968 story of an astronaut that lands on a planet where apes rule men looks great .	3	-1	 burton's[0] re[0] imagining[0] of[0] the[0] 1968[0] story[0] of[0] an[0] astronaut[0] that[0] lands[0] on[0] a[0] planet[0] where[0] apes[0] rule[0] men[0] looks[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the apes , courtesy of make-up magician rick baker , are dazzling and ape city is a wonder to behold . 	the apes , courtesy of make-up magician rick baker , are dazling and ape city is a wonder to behold .	1	-1	 the[0] apes[0] courtesy[0] of[0] make[0] up[0] magician[0] rick[0] baker[0] are[0] dazzling/dazling[0] and[0] ape[0] city[0] is[0] a[0] wonder[0] to[0] behold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like astronaut leo davidson ( wahlberg ) , the film hits the ground running , whisking viewers through a head-spinning series of solid one-liners and engaging vignettes and establishing a sense of thrust that carries us through the more traditional fight scenes that come later . 	like astronaut leo davidson ( wahlberg ) , the film hits the ground running , whisking viewers through a head-spinning series of solid one-liners and engaging vignettes and establishing a sense of thrust that carries us through the more traditional fight scenes that come later .	2	-3	 like[1] astronaut[0] leo[0] davidson[0] wahlberg[0] the[0] film[0] hits[0] the[0] ground[0] running[0] whisking[0] viewers[0] through[0] a[0] head[0] spinning[0] series[0] of[0] solid[0] one[0] liners[0] and[0] engaging[0] vignettes[0] and[0] establishing[0] a[0] sense[0] of[0] thrust[0] that[0] carries[0] us[0] through[0] the[0] more[0] traditional[0] fight[-2] scenes[0] that[0] come[0] later[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as for wahlberg , consider what burton does with his character . 	as for wahlberg , consider what burton does with his character .	1	-1	 as[0] for[0] wahlberg[0] consider[0] what[0] burton[0] does[0] with[0] his[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from his start as a filmmaker , burton has shown his fascination with colorful misfits ( pee-wee herman , the joker , ed wood , the ack-acking martians , etc . ) and lack of interest in standard issue heroes . 	from his start as a filmmaker , burton has shown his fascination with colorful misfits ( pee-wee herman , the joker , ed wood , the ack-acking martians , etc .<br> ) and lack of interest in standard issue heroes .	3	-2	 from[0] his[0] start[0] as[0] a[0] filmmaker[0] burton[0] has[0] shown[0] his[0] fascination[0] with[0] colorful[0] misfits[0] pee[0] wee[-1] herman[0] the[0] joker[1] ed[0] wood[0] the[0] ack[0] acking[0] martians[0] etc[0] [[Sentence=-2,2=word max, 1-5]] and[0] lack[-1] of[0] interest[1] in[0] standard[0] issue[0] heroes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so leo davidson spends most of the movie getting the living shit kicked out of him before the biggest guilt trip in history is dropped on his shoulders . 	so leo davidson spends most of the movie getting the living shit kicked out of him before the biggest guilt trip in history is dropped on his shoulders .	1	-4	 so[0] leo[0] davidson[0] spends[0] most[0] of[0] the[0] movie[0] getting[0] the[0] living[0] shit[-1] kicked[-1] out[0] of[0] him[0] before[0] the[0] biggest[0] guilt[-3] trip[0] in[0] history[0] is[0] dropped[0] on[0] his[0] shoulders[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as for lack of color , remember , leo only launches into space to get his monkey back . 	as for lack of color , remember , leo only launches into space to get his monkey back .	1	-2	 as[0] for[0] lack[-1] of[0] color[0] remember[0] leo[0] only[0] launches[0] into[0] space[0] to[0] get[0] his[0] monkey[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he doesn't want to lead humanity and he isn't looking for romance from a pretty , but dull human ( estella warren ) or a dynamic ape ( helena bonham carter , terrific as an equal-rights activist ) . 	he doesn't want to lead humanity and he isn't looking for romance from a pretty , but dull human ( estella warren ) or a dynamic ape ( helena bonham carter , terrific as an equal-rights activist ) .	4	-2	 he[0] doesn't[0] want[0] to[0] lead[0] humanity[0] and[0] he[0] isn't[0] looking[0] for[0] romance[3] from[0] a[0] pretty[2] but[0] dull[-1] human[0] estella[0] warren[0] or[0] a[0] dynamic[1] ape[0] helena[0] bonham[0] carter[0] terrific[3] as[0] an[0] equal[0] rights[0] activist[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as a man who just wants out , wahlberg is focused , subtle and sly . 	as a man who just wants out , wahlberg is focused , subtle and sly .	1	-2	 as[0] a[0] man[0] who[0] just[0] wants[0] out[0] wahlberg[0] is[0] focused[0] subtle[0] and[0] sly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the surprise ending provides the requisite shock ( and some more dandy visuals , particularly of the approaching authority figures ) , but admittedly isn't nearly as satisfying as the one in the original . 	the surprise ending provides the requisite shock ( and some more dandy visuals , particularly of the approaching authority figures ) , but admittedly isn't nearly as satisfying as the one in the original .	2	-3	 the[0] surprise[0] ending[0] provides[0] the[0] requisite[0] shock[-2] and[0] some[0] more[0] dandy[0] visuals[0] particularly[0] of[0] the[0] approaching[0] authority[0] figures[0] but[0] admittedly[0] isn't[0] nearly[0] as[0] satisfying[1] as[0] the[0] one[0] in[0] the[0] original[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for the original ending to work , we only had to make one simple connection , for this one , we have to write a whole new screenplay . 	for the original ending to work , we only had to make one simple connection , for this one , we have to write a whole new screenplay .	1	-1	 for[0] the[0] original[0] ending[0] to[0] work[0] we[0] only[0] had[0] to[0] make[0] one[0] simple[0] connection[0] for[0] this[0] one[0] we[0] have[0] to[0] write[0] a[0] whole[0] new[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the 1968 " apes " boasted a handful of great scenes , cool looking monkeys , a deliciously hammy performance by charlton heston ( who appears uncredited here as an aged chimp on his deathbed , re-delivering a classic line ) and a killer ending . 	the 1968 " apes " boasted a handful of great scenes , cool looking monkeys , a deliciously hammy performance by charlton heston ( who appears uncredited here as an aged chimp on his deathbed , re-delivering a classic line ) and a killer ending .	3	-3	 the[0] 1968[0] apes[0] boasted[-1] a[0] handful[0] of[0] great[2] scenes[0] cool[1] looking[0] monkeys[0] a[0] deliciously[2] hammy[0] performance[0] by[0] charlton[0] heston[0] who[0] appears[0] uncredited[0] here[0] as[0] an[0] aged[0] chimp[0] on[0] his[0] deathbed[-2] re[0] delivering[0] a[0] classic[0] line[0] and[0] a[0] killer[-1] ending[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
