i've noticed something lately that i've never thought of before . 	Translation	Positive	Negative	EmotionRationale
pseudo- substance - hollywood faking deep meanings in their films . 	pseudo- substance - hollywood faking deep meanings in their films .	1	-1	 pseudo[0] substance[0] hollywood[0] faking[0] deep[0] meanings[0] in[0] their[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
have you ever seen a movie that you really enjoyed , then when you look back , you realize there was something missing ? 	have you ever seen a movie that you really enjoyed , then when you look back , you realize there was something missing ?	4	-1	 have[0] you[0] ever[0] seen[0] a[0] movie[0] that[0] you[0] really[0] enjoyed[2][1 LastWordBoosterStrength] then[0] when[0] you[0] look[0] back[0] you[0] realize[0] there[0] was[0] something[0] missing[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
more and more , filmmakers seem to be putting out well rehearsed , melodramatic films that evoke strong connotations of being a great film , but if you step aside and reflect on your movie going experience , you may just discover nothing more than elegantly presented fluff . 	more and more , filmmakers seem to be putting out well rehearsed , melodramatic films that evoke strong connotations of being a great film , but if you step aside and reflect on your movie going experience , you may just discover nothing more than elegantly presented fluff .	3	-2	 more[0] and[0] more[0] filmmakers[0] seem[0] to[0] be[0] putting[0] out[0] well[0] rehearsed[0] melodramatic[-1] films[0] that[0] evoke[0] strong[0] connotations[0] of[0] being[0] a[0] great[2] film[0] but[0] if[0] you[0] step[0] aside[0] and[0] reflect[0] on[0] your[0] movie[0] going[0] experience[0] you[0] may[0] just[0] discover[0] nothing[0] more[0] than[0] elegantly[1] presented[0] fluff[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm not trying to say city of angels is that bad . 	i'm not trying to say city of angels is that bad .	1	-2	 i'm[0] not[0] trying[0] to[0] say[0] city[0] of[0] angels[0] is[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it had a lot going for it , but somewhere along the way , it faltered . 	it had a lot going for it , but somewhere along the way , it faltered .	1	-2	 it[0] had[0] a[0] lot[0] going[0] for[0] it[0] but[0] somewhere[0] along[0] the[0] way[0] it[0] faltered[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
somehow , underneath the seemingly poetic beauty of it all , there was a gigantic hole somebody covered with iridescent performances and glossy cinematography . 	somehow , underneath the seemingly poetic beauty of it all , there was a gigantic hole somebody covered with iridescent performances and glossy cinematography .	3	-1	 somehow[0] underneath[0] the[0] seemingly[0] poetic[0] beauty[2] of[0] it[0] all[0] there[0] was[0] a[0] gigantic[0] hole[0] somebody[0] covered[0] with[0] iridescent[0] performances[0] and[0] glossy[0] cinematography[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the predictable ending that shattered our hopes ( even though we saw it coming ) only added to the disappointment . 	the predictable ending that shattered our hopes ( even though we saw it coming ) only added to the disappointment .	2	-2	 the[0] predictable[0] ending[0] that[0] shattered[0] our[0] hopes[1] even[0] though[0] we[0] saw[0] it[0] coming[0] only[0] added[0] to[0] the[0] disappointment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but for over an hour , city of angels is well worth the time . 	but for over an hour , city of angels is well worth the time .	1	-1	 but[0] for[0] over[0] an[0] hour[0] city[0] of[0] angels[0] is[0] well[0] worth[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nicolas cage is seth , a guardian angel who , like hundreds ( likely thousands or even millions ) of other angels , spends eternity watching over the citizens of mortality ; humans never aware of how much celestial intervention occurs in their life . 	nicolas cage is seth , a guardian angel who , like hundreds ( likely thousands or even millions ) of other angels , spends eternity watching over the citizens of mortality ; humans never aware of how much celestial intervention occurs in their life .	2	-1	 nicolas[0] cage[0] is[0] seth[0] a[0] guardian[0] angel[0] who[0] like[1] hundreds[0] likely[0] thousands[0] or[0] even[0] millions[0] of[0] other[0] angels[0] spends[0] eternity[0] watching[0] over[0] the[0] citizens[0] of[0] mortality[0] humans[0] never[0] aware[0] of[0] how[0] much[0] celestial[0] intervention[0] occurs[0] in[0] their[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meg ryan , in her most subdued performance yet , plays maggie , a doctor who begins to ponder exactly who it is we're fighting against when we fight to keep someone alive . 	meg ryan , in her most subdued performance yet , plays maggie , a doctor who begins to ponder exactly who it is we're fighting against when we fight to keep someone alive .	2	-3	 meg[0] ryan[0] in[0] her[0] most[0] subdued[0] performance[0] yet[0] plays[1] maggie[0] a[0] doctor[0] who[0] begins[0] to[0] ponder[0] exactly[0] who[0] it[0] is[0] we're[0] fighting[-2] against[-1] when[0] we[0] fight[-2] to[0] keep[0] someone[0] alive[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after losing a patient on the surgery table , these questions envelope maggie , and seth , the angel who was there to oversee the patient's transition into the afterlife , is immediately captivated by the doctor . 	after losing a patient on the surgery table , these questions envelope maggie , and seth , the angel who was there to oversee the patient's transition into the afterlife , is immediately captivated by the doctor .	1	-3	 after[0] losing[-2] a[0] patient[0] on[0] the[0] surgery[0] table[0] these[0] questions[0] envelope[0] maggie[0] and[0] seth[0] the[0] angel[0] who[0] was[0] there[0] to[0] oversee[0] the[0] patient's[0] transition[0] into[0] the[0] afterlife[0] is[0] immediately[0] captivated[0] by[0] the[0] doctor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he begins following and observing maggie , falling more and more in love with her everyday . 	he begins following and observing maggie , falling more and more in love with her everyday .	3	-1	 he[0] begins[0] following[0] and[0] observing[0] maggie[0] falling[0] more[0] and[0] more[0] in[0] love[2] with[0] her[0] everyday[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
angels , who we quickly learn are not and never were humans , can not experience human sensations such as taste and touch , but they do have the ability to make themselves seen to anyone they desire . 	angels , who we quickly learn are not and never were humans , can not experience human sensations such as taste and touch , but they do have the ability to make themselves seen to anyone they desire .	1	-1	 angels[0] who[0] we[0] quickly[0] learn[0] are[0] not[0] and[0] never[0] were[0] humans[0] can[0] not[0] experience[0] human[0] sensations[0] such[0] as[0] taste[0] and[0] touch[0] but[0] they[0] do[0] have[0] the[0] ability[0] to[0] make[0] themselves[0] seen[0] to[0] anyone[0] they[0] desire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seth's adoration is too much to resist , and eventually he does appear to maggie , quite regularly , although such a thing seems taboo among the angelic community . 	seth's adoration is too much to resist , and eventually he does appear to maggie , quite regularly , although such a thing seems taboo among the angelic community .	4	-2	 seth's[0] adoration[3] is[0] too[0] much[0] to[0] resist[0] and[0] eventually[0] he[0] does[0] appear[0] to[0] maggie[0] quite[0] regularly[0] although[0] such[0] a[0] thing[0] seems[0] taboo[-1] among[0] the[0] angelic[1] community[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the angels are interestingly presented , all of them dressed in black and more reminiscent of hitmen than traditional glowing white entities , but it's a nice touch that never seems like a mere attempt at uniqueness . 	the angels are interestingly presented , all of them dressed in black and more reminiscent of hitmen than traditional glowing white entities , but it's a nice touch that never seems like a mere attempt at uniqueness .	2	-2	 the[0] angels[0] are[0] interestingly[1] presented[0] all[0] of[0] them[0] dressed[0] in[0] black[0] and[0] more[0] reminiscent[0] of[0] hitmen[0] than[0] traditional[0] glowing[0] white[0] entities[0] but[0] it's[0] a[0] nice[1] touch[0] that[0] never[0] seems[0] like[1][NegatedDueToPreviousWord] a[0] mere[0] attempt[0] at[0] uniqueness[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
