the postman delivers but not first class 	Translation	Positive	Negative	EmotionRationale
the postman a film review by michael redman copyright 1997 by michael redman 	the postman a film review by michael redman copyright 1997 by michael redman	1	-1	 the[0] postman[0] a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 1997[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[warning : my opinion of this film is definitely in the minority of reviewers perhaps because it hits so many of my cinematic buttons : post-apocalypse stories , hope in a desperate situation , grassroots uprisings and kevin costner . 	[warning : my opinion of this film is definitely in the minority of reviewers perhaps because it hits so many of my cinematic buttons : post-apocalypse stories , hope in a desperate situation , grassroots uprisings and kevin costner .	3	-3	 [warning[0] my[0] opinion[0] of[0] this[0] film[0] is[0] definitely[0] in[0] the[0] minority[0] of[0] reviewers[0] perhaps[0] because[0] it[0] hits[0] so[0] many[0] of[0] my[0] cinematic[0] buttons[0] post[0] apocalypse[0] stories[0] hope[2] in[0] a[0] desperate[-2] situation[0] grassroots[0] uprisings[-1] and[0] kevin[0] costner[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even worse , i thought that " waterworld " was watchable . 	even worse , i thought that " waterworld " was watchable .	1	-3	 even[0] worse[-2] i[0] thought[0] that[0] waterworld[0] was[0] watchable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
read the following with those particular grains of salt . ] 	read the following with those particular grains of salt .<br> ]	1	-1	 read[0] the[0] following[0] with[0] those[0] particular[0] grains[0] of[0] salt[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the year 2013 and things have fallen apart . 	it's the year 2013 and things have fallen apart .	1	-1	 it's[0] the[0] year[0] 2013[0] and[0] things[0] have[0] fallen[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
due to a world war in the late nineties , the resulting three-year winter and a devastating plague , life in the former united states has been reduced to isolated primitive fiefdoms . 	due to a world war in the late nineties , the resulting three-year winter and a devastating plague , life in the former united states has been reduced to isolated primitive fiefdoms .	1	-5	 due[0] to[0] a[0] world[0] war[-2] in[0] the[0] late[0] nineties[0] the[0] resulting[0] three[0] year[0] winter[0] and[0] a[0] devastating[-4] plague[-1] life[0] in[0] the[0] former[0] united[0] states[0] has[0] been[0] reduced[0] to[0] isolated[-1] primitive[0] fiefdoms[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
although this is the future , it looks like a western . 	although this is the future , it looks like a western .	2	-1	 although[0] this[0] is[0] the[0] future[0] it[0] looks[0] like[1] a[0] western[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the film opens , kevin costner ( his character's name is never revealed ) is wandering the utah wastelands with only his mule bill for company . 	as the film opens , kevin costner ( his character's name is never revealed ) is wandering the utah wastelands with only his mule bill for company .	1	-2	 as[0] the[0] film[0] opens[0] kevin[0] costner[0] his[0] character's[0] name[0] is[0] never[0] revealed[0] is[0] wandering[0] the[0] utah[0] wastelands[-1] with[0] only[0] his[0] mule[0] bill[0] for[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
giving extraordinarily bad shakespearean performances in exchange for food and lodging , costner is an outsider in a land of outsiders . 	giving extraordinarily bad shakespearean performances in exchange for food and lodging , costner is an outsider in a land of outsiders .	1	-2	 giving[0] extraordinarily[0] bad[-1] shakespearean[0] performances[0] in[0] exchange[0] for[0] food[0] and[0] lodging[0] costner[0] is[0] an[0] outsider[-1] in[0] a[0] land[0] of[0] outsiders[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
running into even worse luck , he is forcibly conscripted into the racially pure holnist army of general bethlehem ( will patton ) . 	running into even worse luck , he is forcibly conscripted into the racially pure holnist army of general bethlehem ( will patton ) .	3	-3	 running[0] into[0] even[0] worse[-2] luck[2] he[0] is[0] forcibly[0] conscripted[0] into[0] the[0] racially[0] pure[0] holnist[0] army[0] of[0] general[0] bethlehem[0] will[0] patton[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
