synopsis : retiring detective jerry black ( nicholson ) becomes involved in the case of a murdered girl , and promises her parents that he will find the killer . 	Translation	Positive	Negative	EmotionRationale
he purchases a gas station on a route he believes the killer takes , and there befriends lori ( wright penn ) and her young daughter . 	he purchases a gas station on a route he believes the killer takes , and there befriends lori ( wright pen ) and her young daughter .	1	-2	 he[0] purchases[0] a[0] gas[0] station[0] on[0] a[0] route[0] he[0] believes[0] the[0] killer[-1] takes[0] and[0] there[0] befriends[0] lori[0] wright[0] penn/pen[0] and[0] her[0] young[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as jerry and lori fall in love , can he do what must be done to fulfill his pledge ? 	as jerry and lori fall in love , can he do what must be done to fulfil his pledge ?	3	-1	 as[0] jerry[0] and[0] lori[0] fall[0] in[0] love[2] can[0] he[0] do[0] what[0] must[0] be[0] done[0] to[0] fulfill/fulfil[0] his[0] pledge[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
review : at first , " the pledge " appears to be just another standard , if well-executed , crime drama . 	review : at first , " the pledge " appears to be just another standard , if well-executed , crime drama .	1	-2	 review[0] at[0] first[0] the[0] pledge[0] appears[0] to[0] be[0] just[0] another[0] standard[0] if[0] well[0] executed[-1] crime[-1] drama[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is anything but ; in its final hour , it turns the corner and becomes a riveting , terrifying study of its lead character , jerry black . 	it is anything but ; in its final hour , it turns the corner and becomes a riveting , terrifying study of its lead character , jerry black .	1	-4	 it[0] is[0] anything[0] but[0] in[0] its[0] final[0] hour[0] it[0] turns[0] the[0] corner[0] and[0] becomes[0] a[0] riveting[0] terrifying[-3] study[0] of[0] its[0] lead[0] character[0] jerry[0] black[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
penn pays attention to all the trappings of the serial killer genre , but they are just window dressing . 	pen pays attention to all the trappings of the serial killer genre , but they are just window dressing .	1	-2	 penn/pen[0] pays[0] attention[0] to[0] all[0] the[0] trappings[0] of[0] the[0] serial[0] killer[-1] genre[0] but[0] they[0] are[0] just[0] window[0] dressing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his interest here , unequivocally , is jerry , a man so haunted by his pledge that it consumes the entirety of the his existence . 	his interest here , unequivocally , is jerry , a man so haunted by his pledge that it consumes the entirety of the his existence .	2	-1	 his[0] interest[1] here[0] unequivocally[0] is[0] jerry[0] a[0] man[0] so[0] haunted[0] by[0] his[0] pledge[0] that[0] it[0] consumes[0] the[0] entirety[0] of[0] the[0] his[0] existence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at first , we see this only in small hints ; some of his habits change , for instance , and he suddenly takes up smoking in a big way . 	at first , we see this only in small hints ; some of his habits change , for instance , and he suddenly takes up smoking in a big way .	1	-1	 at[0] first[0] we[0] see[0] this[0] only[0] in[0] small[0] hints[0] some[0] of[0] his[0] habits[0] change[0] for[0] instance[0] and[0] he[0] suddenly[0] takes[0] up[0] smoking[0] in[0] a[0] big[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then , when jerry buys the gas station and befriends lori , the true extent of his mania draws horrifyingly into focus . 	but then , when jerry buys the gas station and befriends lori , the true extent of his mania draws horrifyingly into focus .	2	-4	 but[0] then[0] when[0] jerry[0] buys[0] the[0] gas[0] station[0] and[0] befriends[0] lori[0] the[0] true[1] extent[0] of[0] his[0] mania[0] draws[0] horrifyingly[-3] into[0] focus[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
nicholson is fantastic , portraying black with rare subtlety and animus ; jerry's gradual descent into obsession is like a car wreck , a thing horrible to look at but impossible to turn away from . 	nicholson is fantastic , portraying black with rare subtlety and animus ; jerry's gradual descent into obsession is like a car wreck , a thing horrible to look at but impossible to turn away from .	3	-4	 nicholson[0] is[0] fantastic[2] portraying[0] black[0] with[0] rare[0] subtlety[0] and[0] animus[0] jerry's[0] gradual[0] descent[0] into[0] obsession[-2] is[0] like[1] a[0] car[0] wreck[-1] a[0] thing[0] horrible[-3] to[0] look[0] at[0] but[0] impossible[0] to[0] turn[0] away[0] from[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
penn coaxes good supporting performances from much of the rest of his cast , too . 	pen coaxes good supporting performances from much of the rest of his cast , too .	2	-1	 penn/pen[0] coaxes[0] good[1] supporting[1] performances[0] from[0] much[0] of[0] the[0] rest[0] of[0] his[0] cast[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
only eckhart disappoints as jerry's replacement , stan ; he never seems entirely convincing , too much a tool of the plot . 	only eckhart disappoints as jerry's replacement , stan ; he never seems entirely convincing , too much a tool of the plot .	1	-2	 only[0] eckhart[0] disappoints[-1] as[0] jerry's[0] replacement[0] stan[0] he[0] never[0] seems[0] entirely[0] convincing[0] too[0] much[0] a[0] tool[0] of[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
penn's direction is astounding , each frame looking as though it is parched -- of water , perhaps , or of sanity . 	penn's direction is astounding , each frame looking as though it is parched - of water , perhaps , or of sanity .	1	-1	 penn's[0] direction[0] is[0] astounding[0] each[0] frame[0] looking[0] as[0] though[0] it[0] is[0] parched[0] of[0] water[0] perhaps[0] or[0] of[0] sanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it all builds up to a shattering , devastating climax which lingers uncomfortably in the mind long after the house lights have come up . 	it all builds up to a shattering , devastating climax which lingers uncomfortably in the mind long after the house lights have come up .	1	-5	 it[0] all[0] builds[0] up[0] to[0] a[0] shattering[0] devastating[-4] climax[0] which[0] lingers[0] uncomfortably[-2] in[0] the[0] mind[0] long[0] after[0] the[0] house[0] lights[0] have[0] come[0] up[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
