with more and more television shows having gay characters , and even the infamous " ellen " sitcom being centered on the life of a lesbian , the movie industry too seems to be gaining more and more homosexual based plot lines . 	Translation	Positive	Negative	EmotionRationale
the birdcage was critically acclaimed , as was this years chasing amy . 	the birdcage was critically acclaimed , as was this years chasing amy .	1	-2	 the[0] birdcage[0] was[0] critically[-1] acclaimed[0] as[0] was[0] this[0] years[0] chasing[0] amy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then along came in & out , and all three of these films are on my top ten list for the years in which they were released . 	then along came in & out , and all three of these films are on my top ten list for the years in which they were released .	1	-1	 then[0] along[0] came[0] in[0] &[0] out[0] and[0] all[0] three[0] of[0] these[0] films[0] are[0] on[0] my[0] top[0] ten[0] list[0] for[0] the[0] years[0] in[0] which[0] they[0] were[0] released[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also noticeable that this " alternative lifestyle " becomes less and less taboo as the years go by , and it seems that using comedy as a medium is proving a worthwhile effort . 	it's also noticeable that this " alternative lifestyle " becomes less and less taboo as the years go by , and it seems that using comedy as a medium is proving a worthwhile effort .	2	-2	 it's[0] also[0] noticeable[0] that[0] this[0] alternative[0] lifestyle[0] becomes[0] less[0] and[0] less[0] taboo[-1] as[0] the[0] years[0] go[0] by[0] and[0] it[0] seems[0] that[0] using[0] comedy[0] as[0] a[0] medium[0] is[0] proving[0] a[0] worthwhile[1] effort[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while it's a very serious issue to many , it is the comedies that people are flocking to see and that are gaining notoriety . 	while it's a very serious issue to many , it is the comedies that people are flocking to see and that are gaining notoriety .	1	-3	 while[0] it's[0] a[0] very[0] serious[-1][-1 LastWordBoosterStrength] issue[0] to[0] many[0] it[0] is[0] the[0] comedies[0] that[0] people[0] are[0] flocking[0] to[0] see[0] and[0] that[0] are[0] gaining[0] notoriety[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the way we're using comedy to present homosexuality is also changing quite dramatically . 	but the way we're using comedy to present homosexuality is also changing quite dramatically .	1	-1	 but[0] the[0] way[0] we're[0] using[0] comedy[0] to[0] present[0] homosexuality[0] is[0] also[0] changing[0] quite[0] dramatically[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the gay community was once very stereotyped and used to laugh * at * , it is more and more becoming something we laugh * with * , and when a movie like in & out comes along , it is something that both heterosexuals and homosexuals should be able to thoroughly enjoy . 	while the gay community was once very stereotyped and used to laugh * at * , it is more and more becoming something we laugh * with * , and when a movie like in & out comes along , it is something that both heterosexuals and homosexuals should be able to thoroughly enjoy .	3	-2	 while[0] the[0] gay[-1] community[0] was[0] once[0] very[0] stereotyped[0] and[0] used[0] to[0] laugh[1] at[0] it[0] is[0] more[0] and[0] more[0] becoming[0] something[0] we[0] laugh[1] with[0] and[0] when[0] a[0] movie[0] like[1] in[0] &[0] out[0] comes[0] along[0] it[0] is[0] something[0] that[0] both[0] heterosexuals[0] and[0] homosexuals[0] should[0] be[0] able[0] to[0] thoroughly[0] enjoy[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it doesn't poke fun at the lifestyle , it simply uses it to all it's comedic capacity , just as love , sex , marriage , birth , death , and anything else has been . 	it doesn't poke fun at the lifestyle , it simply uses it to all it's comedic capacity , just as love , sex , marriage , birth , death , and anything else has been .	3	-3	 it[0] doesn't[0] poke[0] fun[1] at[0] the[0] lifestyle[0] it[0] simply[0] uses[0] it[0] to[0] all[0] it's[0] comedic[0] capacity[0] just[0] as[0] love[2] sex[0] marriage[0] birth[0] death[-2] and[0] anything[0] else[0] has[0] been[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the idea for in & out was born the day tom hanks won his oscar for portraying an aids-afflicted gay man in philadelphia . 	the idea for in & out was born the day tom hanks won his oscar for portraying an aids-afflicted gay man in philadelphia .	1	-3	 the[0] idea[0] for[0] in[0] &[0] out[0] was[0] born[0] the[0] day[0] tom[0] hanks[0] won[0] his[0] oscar[0] for[0] portraying[0] an[0] aids[0] afflicted[-2] gay[-1] man[0] in[0] philadelphia[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you remember , during his acceptance speech , hanks gave a highly emotional tribute to the gay community , and even sighted a former gay teacher of his as a major inspiration in his life . 	if you remember , during his acceptance speech , hanks gave a highly emotional tribute to the gay community , and even sighted a former gay teacher of his as a major inspiration in his life .	3	-2	 if[0] you[0] remember[0] during[0] his[0] acceptance[0] speech[0] hanks[0] gave[0] a[0] highly[0] emotional[-1] tribute[0] to[0] the[0] gay[-1] community[0] and[0] even[0] sighted[0] a[0] former[0] gay[-1] teacher[0] of[0] his[0] as[0] a[0] major[0] inspiration[2] in[0] his[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a serious and touchy subject , but producer scott rudin viewed it as the setting for a potentially hilarious comedy , and pitched it to screenwriter paul rudnick . 	it's a serious and touchy subject , but producer scot rudin viewed it as the setting for a potentially hilarious comedy , and pitched it to screenwriter paul rudnick .	3	-2	 it's[0] a[0] serious[-1] and[0] touchy[-1] subject[0] but[0] producer[0] scott/scot[0] rudin[0] viewed[0] it[0] as[0] the[0] setting[0] for[0] a[0] potentially[0] hilarious[2] comedy[0] and[0] pitched[0] it[0] to[0] screenwriter[0] paul[0] rudnick[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's true that if this same film had been written by a heterosexual , it may have been more controversial , but because it was written by an openly gay writer , the prerogative was set . 	it's true that if this same film had been written by a heterosexual , it may have been more controversial , but because it was written by an openly gay writer , the prerogative was set .	2	-2	 it's[0] true[1] that[0] if[0] this[0] same[0] film[0] had[0] been[0] written[0] by[0] a[0] heterosexual[0] it[0] may[0] have[0] been[0] more[0] controversial[-1] but[0] because[0] it[0] was[0] written[0] by[0] an[0] openly[0] gay[-1] writer[0] the[0] prerogative[0] was[0] set[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kevin kline , who only seems to become more and more acclaimed , stars as howard brackett , a high school english teacher in the small , picturesque town of greenleaf , indiana . 	kevin kline , who only seems to become more and more acclaimed , stars as howard bracket , a high school english teacher in the small , picturesque town of greenleaf , indiana .	2	-1	 kevin[0] kline[0] who[0] only[0] seems[0] to[0] become[0] more[0] and[0] more[0] acclaimed[0] stars[0] as[0] howard[0] brackett/bracket[0] a[0] high[0] school[0] english[0] teacher[0] in[0] the[0] small[0] picturesque[1] town[0] of[0] greenleaf[0] indiana[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after a three-year engagement to fellow teacher emily montgomery ( joan cusack ) , a wedding date has been set , and the hubbub surrounding it is almost as big as that surrounding another huge story - greenleaf high graduate cameron drake ( matt dillon ) is up for a best actor oscar . 	after a three-year engagement to fellow teacher emily montgomery ( joan cusack ) , a wedding date has been set , and the hubbub surrounding it is almost as big as that surrounding another huge story - greenleaf high graduate cameron drake ( matt dillon ) is up for a best actor oscar .	2	-1	 after[0] a[0] three[0] year[0] engagement[0] to[0] fellow[0] teacher[0] emily[0] montgomery[0] joan[0] cusack[0] a[0] wedding[0] date[0] has[0] been[0] set[0] and[0] the[0] hubbub[0] surrounding[0] it[0] is[0] almost[0] as[0] big[0] as[0] that[0] surrounding[0] another[0] huge[0] story[0] greenleaf[0] high[0] graduate[0] cameron[0] drake[0] matt[0] dillon[0] is[0] up[0] for[0] a[0] best[1] actor[0] oscar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the small town eagerly awaits both events , and both seem quite astronomical , but little does anyone know how much one will affect the other . 	the small town eagerly awaits both events , and both seem quite astronomical , but little does anyone know how much one will affect the other .	1	-1	 the[0] small[0] town[0] eagerly[0] awaits[0] both[0] events[0] and[0] both[0] seem[0] quite[0] astronomical[0] but[0] little[0] does[0] anyone[0] know[0] how[0] much[0] one[0] will[0] affect[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when cameron drake is announced the winner , the excitement is heightened as he pays tribute to his high school english teacher , mr . brackett . 	when cameron drake is announced the winner , the excitement is heightened as he pays tribute to his high school english teacher , mr .<br> bracket .	3	-1	 when[0] cameron[0] drake[0] is[0] announced[0] the[0] winner[1] the[0] excitement[2] is[0] heightened[0] as[0] he[0] pays[0] tribute[0] to[0] his[0] high[0] school[0] english[0] teacher[0] mr[0] [[Sentence=-1,3=word max, 1-5]] brackett/bracket[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
everyone is cheering back in greenleaf - that is until cameron tacks on those three calamitous words , " and he's gay . " 	everyone is cheering back in greenleaf - that is until cameron tacks on those three calamitous words , " and he's gay .<br> "	3	-4	 everyone[0] is[0] cheering[2] back[0] in[0] greenleaf[0] that[0] is[0] until[0] cameron[0] tacks[0] on[0] those[0] three[0] calamitous[-3] words[0] and[0] he's[0] gay[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the town becomes silent as the entire population joins in a simultaneous jaw drop . 	the town becomes silent as the entire population joins in a simultaneous jaw drop .	1	-2	 the[0] town[0] becomes[0] silent[0] as[0] the[0] entire[0] population[0] joins[0] in[0] a[0] simultaneous[0] jaw[0] drop[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
