very few people would be unaware of beavis & butt-head ( both created and narrated by mike judge ) . 	Translation	Positive	Negative	EmotionRationale
they are the two animated mtv characters who have the most annoying laughter know to human kind . 	they are the two animated mtv characters who have the most annoying laughter know to human kind .	2	-3	 they[0] are[0] the[0] two[0] animated[0] mtv[0] characters[0] who[0] have[0] the[0] most[0] annoying[-2] laughter[1] know[0] to[0] human[0] kind[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you may have seen them on their television program , as they snigger and make lude remarks about women , anything related to sex , and the music film clips that they watch . 	you may have seen them on their television program , as they snigger and make lude remarks about women , anything related to sex , and the music film clips that they watch .	1	-1	 you[0] may[0] have[0] seen[0] them[0] on[0] their[0] television[0] program[0] as[0] they[0] snigger[0] and[0] make[0] lude[0] remarks[0] about[0] women[0] anything[0] related[0] to[0] sex[0] and[0] the[0] music[0] film[0] clips[0] that[0] they[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in beavis & butt-head do america the pair finally make their big screen debut , to the delight of some , and the deplore of others . 	in beavis & butt-head do america the pair finally make their big screen debut , to the delight of some , and the deplore of others .	3	-2	 in[0] beavis[0] &[0] butt[0] head[0] do[0] america[0] the[0] pair[0] finally[0] make[0] their[0] big[0] screen[0] debut[0] to[0] the[0] delight[2] of[0] some[0] and[0] the[0] deplore[-1] of[0] others[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
beavis & butt-head ( yes , those are their real names ) , are two very ugly teenagers with extremely warped minds driven by raging hormones . 	beavis & butt-head ( yes , those are their real names ) , are two very ugly teenagers with extremely warped minds driven by raging hormones .	1	-4	 beavis[0] &[0] butt[0] head[0] yes[0] those[0] are[0] their[0] real[0] names[0] are[0] two[0] very[0] ugly[-2][-1 LastWordBoosterStrength] teenagers[0] with[0] extremely[0] warped[-1][-2 LastWordBoosterStrength] minds[0] driven[0] by[0] raging[-3] hormones[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they live their lives in front of the television . 	they live their lives in front of the television .	1	-1	 they[0] live[0] their[0] lives[0] in[0] front[0] of[0] the[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the worst possible event occurs to the pair when their television is stolen . 	the worst possible event occurs to the pair when their television is stolen .	1	-3	 the[0] worst[-2] possible[0] event[0] occurs[0] to[0] the[0] pair[0] when[0] their[0] television[0] is[0] stolen[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this happens as they sleep , and when they awake it takes them a few minutes just to decipher that the television has gone . 	this happens as they sleep , and when they awake it takes them a few minutes just to decipher that the television has gone .	1	-1	 this[0] happens[0] as[0] they[0] sleep[0] and[0] when[0] they[0] awake[0] it[0] takes[0] them[0] a[0] few[0] minutes[0] just[0] to[0] decipher[0] that[0] the[0] television[0] has[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beavis even tries to use the remote , though there is no television there . 	beavis even tries to use the remote , though there is no television there .	1	-1	 beavis[0] even[0] tries[0] to[0] use[0] the[0] remote[0] though[0] there[0] is[0] no[0] television[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two spot a van outside and two sinister looking men carrying a television . 	the two spot a van outside and two sinister looking men carrying a television .	1	-4	 the[0] two[0] spot[0] a[0] van[0] outside[0] and[0] two[0] sinister[-3] looking[0] men[0] carrying[0] a[0] television[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even at this point they have no idea what has happened . 	even at this point they have no idea what has happened .	1	-1	 even[0] at[0] this[0] point[0] they[0] have[0] no[0] idea[0] what[0] has[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they look around , seeing all the evidence , but are completely oblivious to the fact that these men have just stolen their television . 	they look around , seeing all the evidence , but are completely oblivious to the fact that these men have just stolen their television .	1	-1	 they[0] look[0] around[0] seeing[0] all[0] the[0] evidence[0] but[0] are[0] completely[0] oblivious[0] to[0] the[0] fact[0] that[0] these[0] men[0] have[0] just[0] stolen[-1][--1 LastWordBoosterStrength] their[0] television[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before the movie i knew that they were stupid , but i didn't realise just how stupid . 	before the movie i knew that they were stupid , but i didn't realise just how stupid .	1	-2	 before[0] the[0] movie[0] i[0] knew[0] that[0] they[0] were[0] stupid[-1] but[0] i[0] didn't[0] realise[0] just[0] how[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is typical of their behaviour throughout the film . 	this is typical of their behaviour throughout the film .	1	-1	 this[0] is[0] typical[0] of[0] their[0] behaviour[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually they realise that their television has been stolen , so they leave their sofa to go search for a television . 	eventually they realise that their television has been stolen , so they leave their sofa to go search for a television .	1	-2	 eventually[0] they[0] realise[0] that[0] their[0] television[0] has[0] been[0] stolen[-1] so[0] they[0] leave[0] their[0] sofa[0] to[0] go[0] search[0] for[0] a[0] television[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
luck would have it that they stumble into a hotel room ( looking for a television ) where a man is awaiting two guys whose task it is to kill his wife . 	luck would have it that they stumble into a hotel room ( looking for a television ) where a man is awaiting two guys whose task it is to kill his wife .	3	-2	 luck[2] would[0] have[0] it[0] that[0] they[0] stumble[0] into[0] a[0] hotel[0] room[0] looking[0] for[0] a[0] television[0] where[0] a[0] man[0] is[0] awaiting[0] two[0] guys[0] whose[0] task[0] it[0] is[0] to[0] kill[-1] his[0] wife[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this man , thinking that beavis & butt-head are the assigned killers , tells them that they can have  10 , 000 if they " do his wife " . 	this man , thinking that beavis & butt-head are the assigned killers , tells them that they can have  10 , 00 if they " do his wife " .	1	-1	 this[0] man[0] thinking[0] that[0] beavis[0] &[0] butt[0] head[0] are[0] the[0] assigned[0] killers[0] tells[0] them[0] that[0] they[0] can[0] have[0] 10[0] 000/00[0] if[0] they[0] do[0] his[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beavis & butt-head , being the ignorant fools that they are , think that he is offering them  10 , 000 dollars to have sex with his good looking wife . 	beavis & butt-head , being the ignorant fools that they are , think that he is offering them  10 , 00 dollars to have sex with his good looking wife .	2	-3	 beavis[0] &[0] butt[0] head[0] being[0] the[0] ignorant[-2] fools[-1] that[0] they[0] are[0] think[0] that[0] he[0] is[0] offering[0] them[0] 10[0] 000/00[0] dollars[0] to[0] have[0] sex[0] with[0] his[0] good[1] looking[0] wife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
